previousIdentifications,taxonName,iNaturalistTaxonName,iNaturalistTaxonId,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,species,authority,commonName,collected,collector,collection,firstObserved,observer,documenting,notes,origin,criticalNotes,index
Pandalopsis lucidirimicola,Pandalus lucidirimicolus,Pandalus lucidirimicolus,1111164,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus lucidirimicolus,"(Jensen, 1998)",sparkling shrimp,1995-11-24,Daniel Kent,DATA,,,unobserved,"reported as Pandalopsis lucidirimicola Jensen, 1998",native,"The genus name Pandalus is adopted as per WoRMS (2021), though there is some contention regarding this matter. ""Since generic splits are rather arbitrary, I am not sure why they [split off Pandalus lucidirimicolus] when all the Pandalopsis fall out together in their tree"" (Gregory Jensen, pers. comm. 2019).",299
Pandalopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergestes similis,Eusergestes similis,Eusergestes similis,459581,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Dendrobranchiata,Sergestoidea,Sergestidae,,,Eusergestes,Eusergestes similis,"(Hansen, 1903)",Pacific sergestid,1965-01-29,W. Barraclough,DATA,,,unobserved,,native,"Accessioned in the RBCM collections as Sergestes similis, an unaccepted synonym according to WoRMS (2021).",305
Crisia spp.,Crisia sp.,Crisia,192680,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Articulina,,Crisiidae,,,Crisia,,,white tuft bryozoan,1985-07-29,Andy Lamb,DATA,,,unobserved,,,,152
Henricia leviuscula species complex,Henricia leviuscula complex,Henricia leviuscula,47664,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,Henricia leviuscula,,Pacific blood star,1973-09-21,Andy Lamb,DATA,2013-07-23,Karolle Wall,observed,,,Species complex currently under revision.,332
Leptasterias aequalis species complex,Leptasterias hexactis,Leptasterias hexactis,117691,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Leptasterias,Leptasterias hexactis,"(Stimpson, 1862)",colourful six-armed star,1993-08-16,Andy Lamb,DATA,,,unobserved,,native,,324
Eupentacta sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henricia leviuscula,Henricia leviuscula complex,Henricia leviuscula,47664,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,Henricia leviuscula,,Pacific blood star,1973-09-21,Andy Lamb,DATA,2013-07-23,Karolle Wall,observed,,,Species complex currently under revision.,332
Strongylocentrotus fragilis,Strongylocentrotus pallidus,Strongylocentrotus pallidus,129221,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,,Strongylocentrotus,Strongylocentrotus pallidus,"(G.O. Sars, 1871)",white sea urchin,1986-04-08,,DATA,,,unobserved,,native,"Previously misidentified as Strongylocentrotus fragilis Jackson, 1912.",351
Ophiura lutkeni,Ophiura luetkenii,Ophiura luetkenii,255865,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,,Ophiura,Ophiura luetkenii,"(Lyman, 1860)",gray brittle star,1973-06-14,Philip Lambert,DATA,,,unobserved,misspelled 'Ophiura lutkeni' in GBIF dataset,native,,346
Henricia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceramaster sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solaster sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psolus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoca vitulina,Phoca vitulina richardii,Phoca vitulina richardii,117766,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Phocidae,,,Phoca,Phoca vitulina,"Linnaeus, 1758",Pacific harbor seal,1995-02-24,Andy Lamb,DATA,2015-02-12,Lauren Magner & Andrew Simon,observed,,native,,376
Ascidia columbiana / A. callosa,Ascidia columbiana,Ascidia columbiana,428617,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,,Ascidia,Ascidia columbiana,"(Huntsman, 1912)",sea blisters,2011-11-18,Andy Lamb,DATA,,,unobserved,,native,,646
Didemnum,Didemnum spp.,Didemnum,55512,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,Didemnum,,,white glove leather,,,DATA,2013-10-13,Peter Luckham,observed,,,"Historically recorded as 'Didemnun/Trididemnum', this report includes encrusting whitish compound tunicates that often form large sheets. It is an impossible task to go further with IDs in the field without collecting samples",635
Corella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radulinus taylori,Asemichthys taylori,Asemichthys taylori,172639,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Asemichthys,Asemichthys taylori,"Gilbert, 1912",spinynose sculpin,1973-09-20,Andy Lamb,DATA,2013-10-13,Peter Luckham,observed,,native,,46
Oncorhynchus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anoplarchus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artedius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pholis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squalus acanthias,Squalus suckleyi,Squalus suckleyi,201523,Animalia,Chordata,Vertebrata,,Elasmobranchii,Neoselachii,Squalomorphi,Squaliformes,,,Squalidae,,,Squalus,Squalus suckleyi,"(Girard, 1855)",Pacific spiny dogfish shark,1982-06-08,C. E. Kasserra,DATA,2017-08-14,Tyson Ehlers,observed,Reported as Squalus acanthias in CMN catalogue,native,Reported as Squalus acanthias in CMN catalogue; Squalus suckleyi recognized in the Pacific,81
