iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Rhinolithodes wosnessenskii,459660,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Rhinolithodes,Rhinolithodes wosnessenskii,Rhinolithodes wosnessenskii,"Brandt, 1848",rhinoceros crab,1994-09-10,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Munida quadrispina,334674,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Munididae,,,Munida,Munida quadrispina,Munida quadrispina,"Benedict, J.E. (1902)",squat lobster,,,DATA,2019-07-05,Randi Mulder,observed
Hyas lyratus,459591,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Oregoniidae,Oregoniinae,,Hyas,Hyas lyratus,Hyas lyratus,"Dana, 1851",Pacific lyre crab,1961-05-13,Dan Quayle,DATA,,,unobserved
Oregonia gracilis,84267,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Oregoniidae,Oregoniinae,,Oregonia,Oregonia gracilis,Oregonia gracilis,"Dana, 1851",graceful decorator crab,1973-09-21,Andy Lamb & Donna Gibbs,DATA,2017-05-29,Karolle Wall,observed
Discorsopagurus schmitti,459564,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Discorsopagurus,Discorsopagurus schmitti,Discorsopagurus schmitti,"(Stevens, 1925)",tubeworm hermit,1986-09-30,,DATA,,,unobserved
Elassochirus gilli,459568,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,Elassochirus gilli,Elassochirus gilli,"(J.E. Benedict, 1892)",orange hermit,1993-08-16,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Elassochirus tenuimanus,459569,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Elassochirus,Elassochirus tenuimanus,Elassochirus tenuimanus,"(Dana, 1851)",widehand hermit,1993-08-16,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pagurus armatus,459543,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus armatus,Pagurus armatus,"(Dana, 1851)",blackeyed hermit,1969-02-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pagurus beringanus,362749,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus beringanus,Pagurus beringanus,"(J.E. Benedict, 1892)",Bering hermit,1986-04-08,,DATA,2015-05-16,Peter Luckham,observed
Pagurus caurinus,180026,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus caurinus,Pagurus caurinus,"J.F.L. Hart, 1971",Greenmark hermit,2005-12-10,Andy Lamb & Donna Gibbs,DATA,2015-05-16,Peter Luckham,observed
Pagurus granosimanus,127555,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus granosimanus,Pagurus granosimanus,"(Stimpson, 1859)",grainy hermit crab,1994-10-23,Andy Lamb & Donna Gibbs,DATA,2013-05-09,Karolle Wall,observed
Pagurus hirsutiusculus,63219,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus hirsutiusculus,Pagurus hirsutiusculus,"(Dana, 1851)",hairy hermit,2016-01-23,Andy Lamb & Donna Gibbs,DATA,2016-08-26,Lauren Magner & Andrew Simon,observed
Pagurus kennerlyi,459637,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus kennerlyi,Pagurus kennerlyi,"(Stimpson, 1864)",bluespine hermit,1999-10-02,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pagurus ochotensis,202044,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus ochotensis,Pagurus ochotensis,"Brandt, 1851",Alaskan hermit,2013-10-20,Andy Lamb & Donna Gibbs,DATA,2018-05-18,Karolle Wall,observed
Pagurus quaylei,366957,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus quaylei,Pagurus quaylei,"J.F.L. Hart, 1971",Quayle's hermit,2008-06-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pagurus samuelis,49095,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus samuelis,Pagurus samuelis,"(Stimpson, 1857)",blueband hermit,2009-03-19,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pagurus stevensae,459640,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,Pagurus,Pagurus stevensae,Pagurus stevensae,"J.F.L. Hart, 1971",Stevens' hermit,2008-03-01,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pandalus borealis,437504,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus borealis,Pandalus borealis,"Krøyer, 1838",northern shrimp,1956-01-29,W. Barraclough,DATA,,,unobserved
Pandalus danae,154708,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus danae,Pandalus danae,"Stimpson, 1857",coonstripe shrimp,1981-05-31,Andy Lamb & Donna Gibbs,DATA,2015-04-22,Karolle Wall,observed
Pandalus eous,459644,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus eous,Pandalus eous,"Makarov, 1935",spiny pink shrimp,1995-02-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pandalus lucidirimicolus,1111164,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus lucidirimicolus,Pandalus lucidirimicolus,"(Jensen, 1998)",sparkling shrimp,1995-11-24,Daniel Kent,DATA,,,unobserved
Pandalus platyceros,180394,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus platyceros,Pandalus platyceros,"Brandt, 1851",Pacific prawn,1995-02-25,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pandalus stenolepis,459645,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,,Pandalus,Pandalus stenolepis,Pandalus stenolepis,"Rathbun, 1902",rough patch shrimp,1995-02-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Lophopanopeus bellus,50818,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Xanthoidea,Panopeidae,,,Lophopanopeus,Lophopanopeus bellus,Lophopanopeus bellus,"Stimpson, 1860)",black-clawed crab,2007-10-21,Andy Lamb & Donna Gibbs,DATA,2016-04-08,Karolle Wall,observed
Fabia subquadrata,117669,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pinnotheroidea,Pinnotheridae,Pinnotherinae,,Fabia,Fabia subquadrata,Fabia subquadrata,"Dana, 1851",pea crab,1934-09-06,Joesphine F.L. Hart,DATA,,,unobserved
Scyra acutifrons,47712,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Pisinae,,Scyra,Scyra acutifrons,Scyra acutifrons,"Dana, 1851",sharpnose crab,1986-04-08,,DATA,2013-10-13,Peter Luckham,observed
Petrolisthes cinctipes,53620,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Porcellanidae,,,Petrolisthes,Petrolisthes cinctipes,Petrolisthes cinctipes,"(J.W. Randall, 1840)",flat porcelain crab,2008-10-06,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Petrolisthes eriomerus,47803,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Porcellanidae,,,Petrolisthes,Petrolisthes eriomerus,Petrolisthes eriomerus,"Stimpson, 1871",flattop crab,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2017-05-26,Kris Krüg,observed
Eusergestes similis,459581,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Dendrobranchiata,Sergestoidea,Sergestidae,,,Eusergestes,Eusergestes similis,Eusergestes similis,"(Hansen, 1903)",,1965-01-29,W. Barraclough,DATA,,,unobserved
Eualus butleri,459508,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Eualus,Eualus butleri,Eualus butleri,"Jensen, 2004",sponge eualid,2016-01-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Heptacarpus kincaidi,459524,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus kincaidi,Heptacarpus kincaidi,"(M.J. Rathbun, 1902)",Kincaid's shrimp,1996-09-28,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Heptacarpus stylus,458674,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus stylus,Heptacarpus stylus,"(Stimpson, 1864)",stiletto shrimp,2006-03-05,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Heptacarpus tridens,459522,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus tridens,Heptacarpus tridens,"(Rathbun, 1902)",threespine shrimp,1999-10-02,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Lebbeus eludus,459480,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Lebbeus,Lebbeus eludus,Lebbeus eludus,"Jensen, 2006",elusive lebbeid,2009-05-30,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Lebbeus grandimanus,459598,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Lebbeus,Lebbeus grandimanus,Lebbeus grandimanus,"(Brazhnikov, 1907)",candy stripe shrimp,1996-09-28,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Lebbeus mundus,459601,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Lebbeus,Lebbeus mundus,Lebbeus mundus,"Jensen, 2006",cleaner lebbeid,2008-02-16,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Hemigrapsus nudus,48342,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,Varuninae,,Hemigrapsus,Hemigrapsus nudus,Hemigrapsus nudus,"(Dana, 1851)",purple shore crab,1948-06-05,,DATA,2016-08-17,Rolando Lampitoc,observed
Hemigrapsus oregonensis,69170,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Grapsoidea,Varunidae,Varuninae,,Hemigrapsus,Hemigrapsus oregonensis,Hemigrapsus oregonensis,"(Dana, 1851)",yellow shore crab,,,DATA,2015-08-28,Andrew Simon,observed
Euphausia,195136,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Euphausiacea,,,Euphausiidae,,,Euphausia,,Euphausia sp.,,krill,1973-09-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Bopyroides hippolytes,873867,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Cymothoida,Bopyroidea,Bopyridae,Bopyrinae,,Bopyroides,Bopyroides hippolytes,Bopyroides hippolytes,"(Kröyer, 1838)",shrimp parasitic isopod,2010-07-17,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pentidotea resecata,141842,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,,Pentidotea,Pentidotea resecata,Pentidotea resecata,"(Stimpson, 1857)",eelgrass isopod,,,DATA,2016-05-08,Karolle Wall,observed
Pentidotea wosnesenskii,126295,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,,Pentidotea,Pentidotea wosnesenskii,Pentidotea wosnesenskii,"(Brandt, 1851)",rockweed isopod,1960-12-22,Donald E. McAllister & M.O Yesaki,DATA,2017-04-08,Tyrel Froese,observed
Ligia occidentalis,117674,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,,Ligia,Ligia occidentalis,Ligia occidentalis,"(Dana, 1853)",western sea roach,,,DATA,2016-06-27,Andrew Simon,observed
Ligia pallasii,84264,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,,Ligia,Ligia pallasii,Ligia pallasii,"Brandt, 1833",common rock louse,,,DATA,2017-08-04,Tyson Ehlers,observed
Gnorimosphaeroma oregonense,123798,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Sphaeromatidea,Sphaeromatoidea,Sphaeromatidae,,,Gnorimosphaeroma,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,"(Dana, 1853)",Oregon pillbug,1976-06-20,Rita M. O'Clair,DATA,2019-05-04,David Metzger,observed
Semibalanus cariosus,47658,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,Semibalanus,Semibalanus cariosus,Semibalanus cariosus,"(Pallas, 1788)",thatched acorn barnacle,1985-12-08,Andy Lamb & Donna Gibbs,DATA,2016-08-17,Andrew Simon,observed
Balanus crenatus,117672,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,Balanus,Balanus crenatus,Balanus crenatus,"Bruguière, 1789",common acorn barnacle,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2019-01-25,‘awworld’,observed
Balanus glandula,81610,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,Balanus,Balanus glandula,Balanus glandula,"Darwin, 1854",common acorn barnacle,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2015-08-28,Andrew Simon,observed
Balanus nubilus,49127,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,Balanus,Balanus nubilus,Balanus nubilus,"Darwin, 1854",giant acorn barnacle,1986-04-08,,DATA,2016-03-24,"Alison, Laura & Malcolm Colwell",observed
Balanus rostratus,782656,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,Balanus,Balanus rostratus,Balanus rostratus,"Hoek, 1883",large acorn barnacle,1986-09-30,,DATA,,,unobserved
Chthamalus dalli,129910,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,Chthamaloidea,Chthamalidae,,,Chthamalus,Chthamalus dalli,Chthamalus dalli,"Pilsbry, 1916",small acorn barnacle,2008-02-16,Andy Lamb & Donna Gibbs,DATA,2015-08-28,Andrew Simon,observed
Lepeophtheirus,329133,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Podoplea,Siphonostomatoida,,,Caligidae,,,Lepeophtheirus,,Lepeophtheirus sp.,,parasitic copepod,2008-02-03,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Amphiodia periercta,957349,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,Amphiuroidea,Amphiuridae,,,Amphiodia,Amphiodia periercta,Amphiodia periercta,"H.L. Clark, 1911",long-armed burrowing brittle star,1975-06-17,Philip Lambert,DATA,,,unobserved
Florometra serratissima,195902,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,Antedonoidea,Antedonidae,Heliometrinae,,Florometra,Florometra serratissima,Florometra serratissima,"A.H. Clark, 1907",feather star,1960-06-21,Dan Quayle,DATA,2015-05-16,Peter Luckham,observed
Evasterias troschelii,84265,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Evasterias,Evasterias troschelii,Evasterias troschelii,"(Stimpson, 1862)",mottled star,1968-08-02,Andy Lamb & Donna Gibbs,DATA,2016-02-07,Peter Luckham,observed
Leptasterias hexactis,117691,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Leptasterias,Leptasterias hexactis,Leptasterias hexactis,"(Stimpson, 1862)",colourful six-armed star,1985-12-08,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Orthasterias koehleri,47669,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Orthasterias,Orthasterias koehleri,Orthasterias koehleri,"(de Loriol, 1897)",rainbow star,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2015-05-16,Peter Luckham,observed
Pisaster brevispinus,49539,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Pisaster,Pisaster brevispinus,Pisaster brevispinus,"(Stimpson, 1857)",giant pink star,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2016-02-07,Peter Luckham,observed
Pisaster ochraceus,49699,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Pisaster,Pisaster ochraceus,Pisaster ochraceus,"(Brandt, 1835)",ochre star,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Bridgit Spencer,observed
Pycnopodia helianthoides,47673,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,Pycnopodiinae,,Pycnopodia,Pycnopodia helianthoides,Pycnopodia helianthoides,"(Brandt, 1835)",sunflower star,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Stylasterias forreri,255883,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Stylasterias,Stylasterias forreri,Stylasterias forreri,"(de Loriol, 1887)",velcro star,1973-09-20,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Cucumaria miniata,117695,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Cucumariidae,,,Cucumaria,Cucumaria miniata,Cucumaria miniata,"(Brandt, 1835)",red sea cucumber,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2016-06-06,Chessi Miltner,observed
Cucumaria pallida,356416,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Cucumariidae,,,Cucumaria,Cucumaria pallida,Cucumaria pallida,"Kirkendale & Lambert, 1995",pale sea cucumber,2002-03-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Cucumaria piperata,424353,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Cucumariidae,,,Cucumaria,Cucumaria piperata,Cucumaria piperata,"(Stimpson, 1864)",salt & pepper sea cucumber,1994-10-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Dendraster excentricus,117696,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Neognathostomata,Clypeasteroida,Scutellina,Scutelloidea,Dendrasteridae,,,Dendraster,Dendraster excentricus,Dendraster excentricus,"(Eschscholtz, 1831)",eccentric sand dollar,1964-12-07,,DATA,2018-05-22,Karolle Wall,observed
Henricia aspera,293168,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,Henricia aspera,Henricia aspera,"Fisher, 1906",ridged blood star,1969-02-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Henricia leviuscula,47664,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,Henricia leviuscula,Henricia leviuscula complex,"(Stimpson, 1857)",Pacific blood star,1973-09-21,Andy Lamb & Donna Gibbs,DATA,2015-01-01,Peter Luckham,observed
Henricia sanguinolenta,62364,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,Henricia sanguinolenta,Henricia sanguinolenta,"(O.F. Môller, 1776)",fat blood star,2009-10-10,Andy Lamb & Donna Gibbs,DATA,2015-05-16,Peter Luckham,observed
Hippasteria phrygiana,464048,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Hippasterinae,,Hippasteria,Hippasteria phrygiana,Hippasteria phrygiana,"Verrill, 1909",spiny red star,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Mediaster aequalis,293174,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Mediasterinae,,Mediaster,Mediaster aequalis,Mediaster aequalis,"Stimpson, 1857",vermilion star,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Gorgonocephalus eucnemis,465153,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Euryalida,,,Gorgonocephalidae,Gorgonocephalinae,,Gorgonocephalus,Gorgonocephalus eucnemis,Gorgonocephalus eucnemis,"(Môller & Troschel, 1842)",basket star,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Luidia foliolata,195859,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Paxillosida,,,Luidiidae,,,Luidia,Luidia foliolata,Luidia foliolata,"Grube, 1866",sand star,1959-12-11,Dan Quayle,DATA,,,unobserved
Ophiopholis kennerlyi,129228,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,Ophiactoidea,Ophiopholidae,,,Ophiopholis,Ophiopholis kennerlyi,Ophiopholis kennerlyi,"Lyman, 1860",daisy brittle star,1981-05-31,Andy Lamb & Donna Gibbs,DATA,2014-03-24,Karolle Wall,observed
Ophiura luetkenii,255865,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,,Ophiura,Ophiura luetkenii,Ophiura luetkenii,"Lyman, 1860",gray brittle star,1973-06-14,Philip Lambert,DATA,2013-10-13,Peter Luckham,observed
Ophiura sarsii,202051,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,,Ophiura,Ophiura sarsii,Ophiura sarsii,"Lutken, 1855",notched brittle star,1993-05-09,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pentamera,171674,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Phyllophoridae,,,Pentamera,,Pentamera sp.,,,2006-06-30,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Dermasterias imbricata,63382,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Asteropseidae,,,Dermasterias,Dermasterias imbricata,Dermasterias imbricata,"(Grube, 1857)",leather star,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2015-02-12,Lauren Magner,observed
Psolidium bidiscum,873892,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,,Psolidium,Psolidium bidiscum,Psolidium bidiscum,"Lambert, 1996",pale creeping pedal sea cucumber,1996-09-28,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Psolus chitonoides,473064,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,,Psolus,Psolus chitonoides,Psolus chitonoides,"Clark, 1901",creeping pedal sea cucumber,1973-09-20,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Psolus squamatus,293149,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,,Psolus,Psolus squamatus,Psolus squamatus,"(O.F. Môller, 1776)",white creeping pedal sea cucumber,2008-10-09,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pteraster tesselatus,194701,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Velatida,,,Pterasteridae,,,Pteraster,Pteraster tesselatus,Pteraster tesselatus,"Ives, 1888",slime star,1971-08-21,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Eupentacta quinquesemita,51695,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Sclerodactylidae,,,Eupentacta,Eupentacta quinquesemita,Eupentacta quinquesemita,"(Selenka, 1867)",stiff-footed sea cucumber,1986-04-08,,DATA,2016-02-07,Peter Luckham,observed
