iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Sebastes ruberrimus,63695,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes ruberrimus,Sebastes ruberrimus,"(Cramer, 1895)",yellow-eye rockfish,1982-06-08,C. E. Kasserra,DATA,2015-05-16,Peter Luckham,observed
Syngnathus leptorhynchus,54538,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Syngnathiformes,,,Syngnathidae,Syngnathinae,,Syngnathus,Syngnathus leptorhynchus,Syngnathus leptorhynchus,"Girard, 1854",bay pipefish,1985-12-07,Andy Lamb & Donna Gibbs,DATA,2016-07-03,Paz Touchburn,observed
Hydrolagus colliei,84182,Animalia,Chordata,Vertebrata,,Holocephali,,,Chimaeriformes,,,Chimaeridae,,,Hydrolagus,Hydrolagus colliei,Hydrolagus colliei,"(Lay & Bennett, 1839)",spotted ratfish,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Beringraja binoculata,607477,Animalia,Chordata,Vertebrata,,Elasmobranchii,Neoselachii,,Rajiformes,,,Anacanthobatidae,Rajinae,,Beringraja,Beringraja binoculata,Beringraja binoculata,"Girard, 1855",big skate,1995-02-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Beringraja rhina,883875,Animalia,Chordata,Vertebrata,,Elasmobranchii,Neoselachii,,Rajiformes,,,Anacanthobatidae,Rajinae,,Beringraja,Beringraja rhina,Beringraja rhina,"Jordan & Gilbert, 1880",longnose skate,2010-11-12,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Squalus suckleyi,201523,Animalia,Chordata,Vertebrata,,Elasmobranchii,Neoselachii,Squalomorphi,Squaliformes,,,Squalidae,,,Squalus,Squalus suckleyi,Squalus suckleyi,"(Girard, 1855)",North Pacific spiny dogfish shark,1982-06-08,C. E. Kasserra,DATA,2017-08-14,Tyson Ehlers,observed
Bathydrilus litoreus,957359,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Phallodrilinae,,Bathydrilus,Bathydrilus litoreus,Bathydrilus litoreus,"Baker, 1983",earthworm,1979-07-05,Randy Baker,DATA,,,unobserved
Limnodriloides victoriensis,957352,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Limnodriloidinae,,Limnodriloides,Limnodriloides victoriensis,Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",earthworm,1979-07-05,Randy Baker,DATA,,,unobserved
Chaetopterus,171303,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,,Chaetopterus,,Chaetopterus sp.,,U-shaped parchment tubeworm,2006-03-05,Andy Lamb & Donna Gibbs,DATA,2019-05-04,Norah Brown,observed
Phyllochaetopterus prolifica,467241,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,,Phyllochaetopterus,Phyllochaetopterus prolifica,Phyllochaetopterus prolifica,"Potts, 1914",prolific three-section tubeworm,2006-11-11,Andy Lamb & Donna Gibbs,DATA,,,unobserved
