scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,provincial_status,national_status,global_status,linkName,linkTaxonID,provincial_status_norm,national_status_clean,national_status_norm,national_status_check,bc_list,residencyStatus,residencyStatusCheck
Pyracantha coccinea,M. Roem.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,,,SNA (2001) ; SNA (2001),unknown,GNR,Pyracantha coccinea,57254,sna,unknown,NA,FALSE,not-listed,NA,NA
Pyrola asarifolia,Michx.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Monotropoideae,,,,see ffg with subspecies,,,Pyrola asarifolia,78793,ecies,,NA,FALSE,NA,NA,NA
Pyura haustor,Stimpson,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,,,genus not in CDC records,,,Pyura haustor,333504,NA,,NA,FALSE,NA,NA,NA
Racomitrium affine,(Schleich. ex Web. & Mohr) Lindb.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,,,S2S3 (2015),unknown,GNRQ,Racomitrium affine,167675,s2s3,unknown,NA,FALSE,blue,NA,NA
Racomitrium canescens,(Hedw.) Brid.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,,,S5 (2015),,,Racomitrium canescens,167679,s5,,NA,FALSE,yellow,NA,NA
Racomitrium ericoides,(F. Weber ex Brid.) Brid.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,,,S4S5 (2015),unknown,G5,Racomitrium ericoides,167682,s4s5,unknown,NA,FALSE,yellow,NA,NA
Racomitrium molle,Cardot,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,,,S3S4 (2011),unknown,GNR,Racomitrium molle,505014,s3s4,unknown,NA,FALSE,blue,NA,NA
Radulinus asprellus,Gilbert,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,Psychrolutidae,,,,,SNR,unknown,GNR,Radulinus asprellus,229751,snr,unknown,NA,FALSE,not-listed,NA,NA
Ranatra fusca,Palisot,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Nepoidea,Nepidae,Ranatrinae,,,,not in CDC records,unknown,GNR,Ranatra fusca,133757,NA,unknown,NA,FALSE,NA,NA,NA
Rheumaptera hastata,L.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Rheumapterini,,,S4S5 (2017),unknown,G5,Rheumaptera hastata,205039,s4s5,unknown,NA,FALSE,yellow,NA,NA
Rhizocarpon lecanorinum,Anders,Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,Rhizocarpaceae,,,,,S5,unknown,G4G5,Rhizocarpon lecanorinum,229961,s5,unknown,NA,FALSE,yellow,NA,NA
Rhizomnium magnifolium,(Horik.) T. Kop.,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,,,S4S5 (2015),unknown,G5,Rhizomnium magnifolium,68067,s4s5,unknown,NA,FALSE,yellow,NA,NA
Rhododendron macrophyllum,D. Don ex G. Don,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,Rhodoreae,,,S3S4 (2015) ; S3S4 (2015),Not at Risk,G5,Rhododendron macrophyllum,57360,s3s4,not at risk,NA,FALSE,blue,NA,NA
Rhytidiadelphus subpinnatus,(Lindb.) T. Kop,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hylocomiaceae,,,,,S3S4 (2015),unknown,G5,Rhytidiadelphus subpinnatus,341595,s3s4,unknown,NA,FALSE,blue,NA,NA
Riccardia latifrons,(Lindb.) Lindb.,Plantae,Marchantiophyta,,,Jungermanniopsida,Metzgeriidae,,Metzgeriales,,,Aneuraceae,,,,,SNR,unknown,G5,Riccardia latifrons,56464,snr,unknown,NA,FALSE,not-listed,NA,NA
Riccardia multifida,(L.) Gray,Plantae,Marchantiophyta,,,Jungermanniopsida,Metzgeriidae,,Metzgeriales,,,Aneuraceae,,,,,SNR,unknown,G5,Riccardia multifida,56465,snr,unknown,NA,FALSE,not-listed,NA,NA
Rimularia actinostoma,Coppins & Fryday,Fungi,Ascomycota,,,Lecanoromycetes,Ostropomycetidae,,Trapeliales,,,Trapeliaceae,,,,,SU,unknown,GNR,Rimularia actinostoma,532211,su,unknown,NA,FALSE,undetermined,NA,NA
Rinodina disjuncta,Sheard & T�nsberg,Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,,,S5,unknown,GNR,Rinodina disjuncta,230226,s5,unknown,NA,FALSE,yellow,NA,NA
Rinodina efflorescens,Malme,Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,,,S5,unknown,GNR,Rinodina efflorescens,230227,s5,unknown,NA,FALSE,yellow,NA,NA
Rinodina laevigata,(Ach.) Malme,Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,,,S5,unknown,GNR,Rinodina laevigata,123456,s5,unknown,NA,FALSE,yellow,NA,NA
Rinodina stictica,Sheard & T�nsberg,Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,,,S5,unknown,G4G5,Rinodina stictica,230277,s5,unknown,NA,FALSE,yellow,NA,NA
Rinodina subpariata,(Nyl.) Zahlbr.,Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,,,,S5,unknown,GNR,Rinodina subpariata,1039737,s5,unknown,NA,FALSE,yellow,NA,NA
Roellia roellii,(Broth. in Röll) Andrews ex Crum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,,,S4S5 (2015),unknown,G4,Roellia roellii,167944,s4s5,unknown,NA,FALSE,yellow,NA,NA
Rorippa curvipes,Greene,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Cardamineae,,,S5 (2019),unknown,G5,Rorippa curvipes,78876,s5,unknown,NA,FALSE,yellow,NA,NA
Rubus allegheniensis,(Porter) Porter,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Rubeae,,,SNA (2017),unknown,G5,Rubus allegheniensis,82110,sna,unknown,NA,FALSE,not-listed,NA,NA
Rubus nivalis,Douglas ex Hook.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,Rubeae,,,S3S4 (2018) ; S3S4 (2018),unknown,G4?,Rubus nivalis,78893,s3s4,unknown,NA,FALSE,blue,NA,NA
Rumex transitorius,L.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,Rumiceae,,,S5 (2019),unknown,G5T5,Rumex transitorius,78910,s5,unknown,NA,FALSE,yellow,NA,NA
Ruppia maritima,L.,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Ruppiaceae,,,,,S5 (2001),unknown,G5,Ruppia maritima,61090,s5,unknown,NA,FALSE,yellow,NA,NA
Sabulina macra,(A. Nelson & J.F. Macbr.) Dillenb. & Kadereit,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Sagineae,,,S5 (2000),,,Sabulina macra,836878,s5,,NA,FALSE,yellow,NA,NA
Sabulina rubella,(Wahlenb.) Dillenb. & Kadereit,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Sagineae,,,S5 (2015) ; S5 (2015),,,Sabulina rubella,836893,s5,,NA,FALSE,yellow,NA,NA
Saccharina latissima,"(Linnaeus) C.E. Lane, C. Mayes, Druehl, et G.W. Saunders",Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,,,not in CDC records,,,Saccharina latissima,130231,NA,,NA,FALSE,NA,NA,NA
Sagina saginoides,(L.) H. Karsten,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Sagineae,,,S5 (2015),unknown,G5,Sagina saginoides,78923,s5,unknown,NA,FALSE,yellow,NA,NA
Salda obscura,Provancher,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Saldoidea,Saldidae,Saldinae,Saldini,,,SNR,unknown,GNR,Salda obscura,454099,snr,unknown,NA,FALSE,not-listed,NA,NA
Salix hookeriana,Barratt ex Hook.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,,,,S5 (2015),unknown,G5,Salix hookeriana,78941,s5,unknown,NA,FALSE,yellow,NA,NA
Sambucus racemosa,L.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Viburnaceae,,,,,S5 (2000),,,Sambucus racemosa,57824,s5,,NA,FALSE,yellow,NA,NA
Sarcodon imbricatus,(L.) P. Karst,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Thelephorales,,,Boletopsidaceae,,,,,SNR,unknown,GNR,Sarcodon imbricatus,122335,snr,unknown,NA,FALSE,not-listed,NA,NA
Sargassum muticum,(Yendo) Fensholt,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,Sargassaceae,,,,,not in CDC records,,,Sargassum muticum,130177,NA,,NA,FALSE,NA,NA,NA
Sarmentypnum exannulatum,,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Calliergonaceae,,,,,S4S5 (2015,unknown,G5,Sarmentypnum exannulatum,461337,s4s5,unknown,NA,FALSE,yellow,NA,NA
Saxifraga cespitosa,L.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,Saxifrageae,,,S4 (2015),unknown,G5,Saxifraga cespitosa,78985,s4,unknown,NA,FALSE,yellow,NA,NA
Scapania paludosa,(K. Müll.) K. Müll.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,Scapaniaceae,,,,,S3S4 (2015),unknown,G5,Scapania paludosa,168518,s3s4,unknown,NA,FALSE,blue,NA,NA
Scapania scandica scandica,(H. Arnell & Buch) Macv.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,Scapaniaceae,,,,,S2S3 (2015),,,Scapania scandica,168524,s2s3,,NA,FALSE,blue,NA,NA
Scapania subalpina,(Nees.) Dum.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,Scapaniaceae,,,,,S4 (2015),unknown,G4G5TNR,Scapania subalpina,168528,s4,unknown,NA,FALSE,yellow,NA,NA
Scapania uliginosa,Sw. Ex Lindenb.) Dum.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,Scapaniaceae,,,,,S4S5 (2015),unknown,G4?,Scapania uliginosa,168530,s4s5,unknown,NA,FALSE,yellow,NA,NA
Scapania undulata,(L.) Dumort.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,Scapaniaceae,,,,,SNR,,,Scapania undulata,123973,snr,,NA,FALSE,not-listed,NA,NA
Schaereria corticola,Muhr & T�nsberg,Fungi,Ascomycota,,,Lecanoromycetes,Ostropomycetidae,,Sarrameanales,,,Schaereriaceae,,,,,S5,unknown,GNR,Schaereria corticola,174999,s5,unknown,NA,FALSE,yellow,NA,NA
Schistidium agassizii,Sull. & Lesq.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,,,S3S4 (2015),unknown,G5,Schistidium agassizii,168564,s3s4,unknown,NA,FALSE,blue,NA,NA
Schistidium maritimum,(Turner) Bruch & Schimp.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,,,S4S5 (2015),unknown,G5,Schistidium maritimum,168578,s4s5,unknown,NA,FALSE,yellow,NA,NA
Schistidium papillosum,Culmann in J. Amann et al.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,,,S5 (2015),unknown,G5,Schistidium papillosum,168581,s5,unknown,NA,FALSE,yellow,NA,NA
Schistidium rivulare,(Brid.) Podp.,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,,,S4S5 (2015),unknown,G5,Schistidium rivulare,168584,s4s5,unknown,NA,FALSE,yellow,NA,NA
Schistostega pennata,(Hedw.) Web. & Mohr.,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Schistostegaceae,,,,,S4 (2015),unknown,G4,Schistostega pennata,168594,s4,unknown,NA,FALSE,yellow,NA,NA
Schljakovia kunzeana,(Huebener) Konstant. & Vilnet,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Anastrophyllaceae,,,,,"S5 (2015) see ""notes""",unknown,G5,Schljakovia kunzeana,1020121,s5,unknown,NA,FALSE,yellow,NA,NA
Schljakovianthus quadrilobus,Stotler and Crandall-Stotler,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,,Anastrophyllaceae,,,,,S3S4 (2015),unknown,G5T5,Schljakovianthus quadrilobus,1122427,s3s4,unknown,NA,FALSE,blue,NA,NA
Schoenoplectus subterminalis,(Torr.) Soják,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Schoenoplectieae,,,S4 (2015) ; S4 (2015),unknown,G5,Schoenoplectus subterminalis,78997,s4,unknown,NA,FALSE,yellow,NA,NA
Sciuro-hypnum curtum,(Grout) Grout,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,,,S2S3 (2011),unknown,G5,Sciuro-hypnum curtum,983922,s2s3,unknown,NA,FALSE,blue,NA,NA
Sciuro-hypnum latifolium,Grout,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,,,S3S4 (2011),unknown,G4G5,Sciuro-hypnum latifolium,1049171,s3s4,unknown,NA,FALSE,blue,NA,NA
Scoliciosporum chlorococcum,(Stenh.) V?zda,Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Scoliciosporaceae,,,,,S5,unknown,G5,Scoliciosporum chlorococcum,230642,s5,unknown,NA,FALSE,yellow,NA,NA
Scutellinia scutellata,(L.) Lambotte,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Pyronemataceae,,,,,SNR,unknown,GNR,Scutellinia scutellata,49137,snr,unknown,NA,FALSE,not-listed,NA,NA
Scyra acutifrons,Dana,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Pisinae,,,,SNR,unknown,G5,Scyra acutifrons,47712,snr,unknown,NA,FALSE,not-listed,NA,NA
Scytinium californicum,Tuck.,Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,,,S2S3,unknown,GNR,Scytinium californicum,532297,s2s3,unknown,NA,FALSE,blue,NA,NA
Scytinium gelatinosum,(With.) J.R. Laundon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,,,S5 (2018),unknown,G5,Scytinium gelatinosum,526716,s5,unknown,NA,FALSE,yellow,NA,NA
Scytinium palmatum,(Huds.) Gray,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,,,,S5 (2018),,,Scytinium palmatum,532308,s5,,NA,FALSE,yellow,NA,NA
Sebastes auriculatus,Girard,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Scorpaenoidei,,Scorpaenidae,Sebastinae,,,,SNR,unknown,GNR,Sebastes auriculatus,117541,snr,unknown,NA,FALSE,not-listed,NA,NA
Sebastes nigrocinctus,Ayres,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Scorpaenoidei,,Scorpaenidae,Sebastinae,,,,SNR,unknown,GNR,Sebastes nigrocinctus,230757,snr,unknown,NA,FALSE,not-listed,NA,NA
Sebastes proriger,D.S. Jordan & C.H. Gilbert,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Scorpaenoidei,,Scorpaenidae,Sebastinae,,,,SNR,unknown,G5,Sebastes proriger,64457,snr,unknown,NA,FALSE,not-listed,NA,NA
Sedum oreganum,Nutt.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Sempervivoideae,Sedeae,,,S5 ; S5,,,Sedum oreganum,79030,s5,,NA,FALSE,yellow,NA,NA
Semisuberites cribrosa,Micklucho-Maclay,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,,,,SNR,unknown,GNR,Semisuberites cribrosa,194571,snr,unknown,NA,FALSE,not-listed,NA,NA
Senecio lugens,Richardson,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Senecioneae,,,S5 (2019),unknown,G5,Senecio lugens,168819,s5,unknown,NA,FALSE,yellow,NA,NA
Setophaga coronata ssp. auduboni,Townsend,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,,,no subsp listed by CDC,,,Setophaga coronata auduboni,126562,NA,,NA,FALSE,NA,"breeding, winter (rare)",FALSE
Sialia mexicana,Swainson,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,S4B,unknown,G5,Sialia mexicana,12937,s4b,unknown,NA,FALSE,yellow,accidental,FALSE
Silene parryi,(S. Watson) C.L. Hitchc. & Maguire,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,Sileneae,,,S5 (2000),unknown,G5,Silene parryi,143681,s5,unknown,NA,FALSE,yellow,NA,NA
Sinea diadema,Fabricius,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Reduvioidea,Reduviidae,Harpactorinae,Harpactorini,,,SNR,unknown,GNR,Sinea diadema,133977,snr,unknown,NA,FALSE,not-listed,NA,NA
Solanum emulans,Raf.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,Solanaceae,Solanoideae,Solaneae,,,SNA,unknown,G5,Solanum emulans,1038940,sna,unknown,NA,FALSE,not-listed,NA,NA
Solenostoma obovatum,(Nees) Mass.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Jungermanniineae,,Solenostomataceae,,,,,S4 (2015),,,Solenostoma obovatum,1132103,s4,,NA,FALSE,yellow,NA,NA
Solenostoma rubrum,(Gott. ex Underw.) Schust.,Plantae,Marchantiophyta,,,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Jungermanniineae,,Jungermanniaceae,,,,,S4,,,Jungermannia rubra,164309,s4,,NA,FALSE,yellow,NA,NA
Solidago canadensis,L.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Astereae,,,SNA (2019),unknown,G5,Solidago canadensis,67808,sna,unknown,NA,FALSE,not-listed,NA,NA
Solidago rugosa var. rugosa,Mill.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Astereae,,Solidago rugosa rugosa,SNA (2019),unknown,G5T5,Solidago rugosa rugosa; Solidago rugosa,128551,sna,unknown,NA,FALSE,not-listed,NA,NA
Solorina crocea,(L.) Ach.,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,,,S5 (2018),unknown,G5,Solorina crocea,231135,s5,unknown,NA,FALSE,yellow,NA,NA
Sorbus sitchensis,M. Roem.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Maleae,,,S5 (2000),,,Sorbus sitchensis,48583,s5,,NA,FALSE,yellow,NA,NA
Sorex monticola,"Merriam, 1890",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,,,S5,,,Sorex monticolus,46456,s5,,NA,FALSE,yellow,NA,NA
Sorex monticolus,Merriam,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,,,S5,,,Sorex monticolus,46456,s5,,NA,FALSE,yellow,NA,NA
Sorex palustris,Richardson,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,Soricidae,Soricinae,Soricini,,,S2S4; S2S4 (2015),unknown,G5,Sorex palustris,46355,s2s4,unknown,NA,FALSE,blue,NA,NA
Sparganium angustifolium,Michx.,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,,,S5 (2000),unknown,G5,Sparganium angustifolium,79161,s5,unknown,NA,FALSE,yellow,NA,NA
Sparganium natans,L.,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,,,S5 (2015) ; S5 (2015),unknown,G5,Sparganium natans,79162,s5,unknown,NA,FALSE,yellow,NA,NA
Sparlingia pertusa,"(Postels & Ruprecht) G.W.Saunders, I.M.Strachan & Kraft",Plantae,Rhodophyta,,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Rhodymeniaceae,,,,,not in CDC records,,,Sparlingia pertusa,429855,NA,,NA,FALSE,NA,NA,NA
Spergula arvensis,L.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Sperguleae,,,SNA (2019),unknown,GNR,Spergula arvensis,57005,sna,unknown,NA,FALSE,not-listed,NA,NA
Spergularia macrotheca macrotheca,(Hornem.) Heynh.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Sperguleae,,,S3S4 (2006) ; S4? (2019); S4 (2019),,,Spergularia macrotheca,61472,"s3s4,s4?,s4",,NA,FALSE,NA,NA,NA
Sphaerites politus,Mannerheim,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Histeroidea,Sphaeritidae,,,,,SU (2017),unknown,GNR,Sphaerites politus,361545,su,unknown,NA,FALSE,undetermined,NA,NA
Sphaerophorus venerabilis,"Wedin, H�gnabba & Goward",Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,,,,,S4,unknown,GNR,Sphaerophorus venerabilis,155226,s4,unknown,NA,FALSE,yellow,NA,NA
Sphagnum contortum,Schultz,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,,,,S3 (2015),unknown,G5,Sphagnum contortum,169208,s3,unknown,NA,FALSE,blue,NA,NA
Sphagnum lindbergii,Schimp.,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,,,,S3 (2015),unknown,G5,Sphagnum lindbergii,169217,s3,unknown,NA,FALSE,blue,NA,NA
Sphagnum palustre,L.,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,,,,S4S5 (2015),unknown,G5,Sphagnum palustre,169228,s4s5,unknown,NA,FALSE,yellow,NA,NA
Sphagnum papillosum,Lindb.,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,,,,S4S5 (2015),unknown,G5,Sphagnum papillosum,143516,s4s5,unknown,NA,FALSE,yellow,NA,NA
Sphagnum riparium,Ångstr.,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,,,,S5 (2015),unknown,G5,Sphagnum riparium,169232,s5,unknown,NA,FALSE,yellow,NA,NA
Sphagnum rubellum,Wils.,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,,,,S5 (2015),unknown,G5,Sphagnum rubellum,132815,s5,unknown,NA,FALSE,yellow,NA,NA
Sphagnum subsecundum,Nees,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,,,,S4 (2015),,,Sphagnum subsecundum,132799,s4,,NA,FALSE,yellow,NA,NA
Sphagnum teres,Ångstr.,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,,,,S4S5 (2015),unknown,G5,Sphagnum teres,132805,s4s5,unknown,NA,FALSE,yellow,NA,NA
Sphagnum warnstorfii,Russ.,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,,,,S4S5 (2015),unknown,G5,Sphagnum warnstorfii,143509,s4s5,unknown,NA,FALSE,yellow,NA,NA
Spiraea douglasii,Hook.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Spiraeeae,,,S5 (2000),,,Spiraea douglasii,62493,s5,,NA,FALSE,yellow,NA,NA
Spiraea japonica fortunei,L.f.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Spiraeeae,,,SNA (2019),,,Spiraea japonica,125790,sna,,NA,FALSE,not-listed,NA,NA
Spiraea splendens var. splendens,Baumann ex K. Koch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Spiraeeae,,Spiraea splendens splendens,S3S4 (2019),unknown,G5T5,Spiraea splendens splendens,243052,s3s4,unknown,NA,FALSE,blue,NA,NA
Stellaria calycantha,(Ledeb.) Bong.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Alsineae,,,S4S5 (2015),unknown,G5,Stellaria calycantha,79200,s4s5,unknown,NA,FALSE,yellow,NA,NA
Stellaria crassifolia,Ehrh.,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,Alsineae,,,S4S5 (2015),unknown,G5,Stellaria crassifolia,169334,s4s5,unknown,NA,FALSE,yellow,NA,NA
Stenocybe clavata,Tibell,Fungi,Ascomycota,,,Eurotiomycetes,Mycocaliciomycetidae,,Mycocaliciales,,,Sphinctrinaceae,,,,,S5,unknown,G3,Stenocybe clavata,231546,s5,unknown,NA,FALSE,yellow,NA,NA
Stereocaulon alpinum,Laurer ex Funck,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,,,S5 (2019),unknown,G5,Stereocaulon alpinum,231686,s5,unknown,NA,FALSE,yellow,NA,NA
Stereocaulon glareosum,(Savicz) H. Magn.,Fungi,Ascomycota,,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,,,S4,unknown,G5,Stereocaulon glareosum,231696,s4,unknown,NA,FALSE,yellow,NA,NA
