Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Pristoceuthophilus,,camel cricket,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Ensifera,Rhaphidophoroidea,Rhaphidophoridae,Ceuthophilinae,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Pearson College;,,ART
Pristoceuthophilus celatus,,camel cricket,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Ensifera,Rhaphidophoroidea,Rhaphidophoridae,Ceuthophilinae,,,,observed,27-Apr-13,J. & K. Miskelly,Roemer Group 13,,,,,,Devonian Park;,,ART
Procyon lotor,,common racoon,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Caniformia,,Procyonidae,,,,,observed,5-May-12,Gretchen Markle,Markle Pearson 12,,,,,,Camas Hill;Class Anthozoa: descr by Sangeeta Asre,,MAM
Progne subis,,purple martin,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Hirundinidae,,,,,observed,24-May-14,Ann Nightingale,Birding Team 14,,,,,,Metchosin;,,BIR
Protodeltote albidula,,pale glyph moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Eustrotiinae,,,,observed,13-Jun-15,Libby Avis,Spellman 15,,,,,,Pearson College;,,ART
Psaltriparus minimus,,bushtit,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Aegithalidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Pseudacris regilla,,northern Pacific treefrog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hylidae,Acridinae,,,,observed,30-Apr-11,Christian Englestoft,Sopuck Englestoff Matheson 11,,,,,,Matheson Lake West Side;,,HER
Pseudanostirus,,propelling click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,,,observed,9-May-16,"Copley, Claudia R.",Albert Head 16,,,,,,Metchosin;,,ART
Psolus chitonoides,,Creeping pedal sea cucumber,Animalia,Echinodermata,,,Holothuroidea,,,Dendrochirotida,,,Psolidae,,,,,unobserved,1-Feb-02,Armin Svoboda,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,ECH
Psyllobora,,western fairy ladybeetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,,,observed,27-Apr-13,Charlene Wood,Bennett Copley 13,,,,,,Albert Head DND;,,ART
Pteraster tesselatus,,slime star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Pterasteridae,,,,,unobserved,14-Oct-14,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,ECH
Pterostichus algidus,,woodland ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,,,,observed,9-May-16,"Copley, Claudia R.",Albert Head 16,,,,,,Witty's Lagoon Park;,,ART
Pterostichus herculaneus,,woodland ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,,,,observed,9-May-16,"Copley, Claudia R.",Albert Head 16,,,,,,Albert Head DND;,,ART
Pterostichus lama,,woodland ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,,,,observed,24-May-14,Kristiina Ovaska,Ovaska B&G Club,,,,,,Albert Head DND;,,ART
Ptilosarcus gurneyi,,orange sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Pennatulidae,,,,,unobserved,10-Jul-18,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;arbutus; garry oak; and douglas-fir woodlands; adult,,JEL
Pugettia gracilis,,graceful kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,,,,observed,5-May-12,Philip Lambert,Lambert Weir Witty 12,,,,,,Weir's Beach to Witty's Beach;,,ART
Pugettia producta,,northern kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,,,,observed,27-Apr-13,Gretchen Markle,Swanwick Beach 13,,,,,,Parry Bay Beach below Swanwick Centre;thin soil over rock,,ART
Pycnoclavella stanleyi,,Yellow social Ascidian:,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Clavelinidae,,,,,unobserved,1-Apr-10,Ryan Murphy,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MAR
Pycnopodia helianthoides,,sunflower sea star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,,observed,5-May-12,Gretchen Markle,Markle Pearson 12,,,,,,Pearson College waterfront by kayak;outcrop face; boulder,,ECH
Pyura haustor,,Warty Tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,,,observed,5-May-12,Philip Lambert,Lambert Weir Witty 12,,,,,,Beach in front of G. Fletcher's;,,MAR
Raja rhina,,Longnose skate,Animalia,Chordata,Vertebrata,,Elasmobranchii,,,Rajiformes,,,Rajidae,,,,,unobserved,15-Jul-10,Ryan Murphy,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,FIS
Rana aurora,,northern red-legged frog,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,,,observed,5-May-12,Libby Avis,Roemer Mary Hill 12,,,,,,Camp Thunderbird;Found by Rich Mably,,HER
Regulus calendula,,ruby-crowned kinglet,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Regulidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Regulus satrapa,,golden-crowned kinglet,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Regulidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Reticulitermes hesperus,,Western Subterranean Termite,Animalia,Arthropoda,,,Insecta,,,Blattodea,,,Rhinotermitidae,,,,,observed,13-Jun-15,James Miskelly,Witty's Lagoon,,,,,,Metchosin;,,ART
Rhamphocottus richardsonii,,grunt sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Rhamphocottidae,,,,,unobserved,1-Mar-10,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,FIS
Rissa tridactyla,,Black-legged Kittiwake,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,,,,,unobserved,13-Dec-15,Pam Birley,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Rostanga pulchra,,Red Dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Opistobranchia,Eudoridoidea,Rostangidae,,,,,observed,27-Apr-13,Gretchen Markle,Swanwick Beach 13,,,,,,Pearson College waterfront by kayak;,,MOL
Rugathodes sexpunctatus,,common six-spotted orb-weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Camosun property;,,ART
Sabacon,,,Animalia,Arthropoda,,,Arachnida,,,Opiliones,,,Sabaconidae,,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Matheson Lake;,,ART
Salticus scenicus,,zebra jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,,,,observed,27-Apr-13,"R. Bennett, D. Copley",Bennett Copley 13,,,,,,Devonian;,,ART
