Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Distichlis spicata,,salt grass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Chloridoideae,,,,observed,5-May-12,Joel Ussery,Ussery witty's 12,,,,,,Witty's Lagoon Park;,,PLA
Draba verna,,common draba,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,PLA
Drymocallis glandulosa,,Sticky potentilla,Plantae,Tracheophyta,,,Magnoliopsida,,,Rosales,,,Rosaceae,,,,,observed,24-May-14,Moralea Milne,Camas Hill 14,,,,,,Parry Bay;,,PLA
Dryopteris carthusiana,,Northern wood fern,Plantae,Tracheophyta,,,Polypodiopsida,,,Polypodiales,,,Dryopteridaceae,,,,,observed,27-Apr-13,Moralea Milne,Camas Hill 13 ,,,,,,Van der Meer (Camosun) property;,,PLA
Dryopteris expansa,,spiny wood fern,Plantae,Pteridophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,,,Dryopteridaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Eleocharis,,blunt spikerush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,,,,observed,5-May-12,Joel Ussery,Ussery witty's 12,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Eleocharis palustris,,common spike-rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,,,,observed,9-May-16,James/Kristen Miskelly,William Head 16,,,,,,DND Rocky Point Area B;,,PLA
Elodea canadensis,,common waterweed,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Alismatales,,,Hydrocharitaceae,,,,,observed,24-May-14,Hans Roemer,Metchosin General 14,,,,,,Camas Hill;,,PLA
Elymus glaucus,,blue wild rye,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Endocladia muricata,,Beard hair algae,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Endocladiaceae,,,,,observed,30-Apr-11,Melissa Frey,Frey Pearson Intertidal 11,,,,,,Pearson College Seashore;,,ALG
Epilobium angustifolium,,,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,,,observed,30-Apr-11,Jeremy Tatum/Bill Savale,Tatum Savale 11,,,,,,Camas Hill;,,PLA
Epilobium brachycarpum,,tall annual willowherb,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,,,observed,24-May-14,Moralea Milne,Camas Hill 14,,,,,,Witty's Lagoon Park;,,PLA
Epilobium ciliatum,,fringed willowherb,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,,,observed,27-Apr-13,Hans Roemer,Roemer Group 13,,,,,,Witty's Lagoon Park;,,PLA
Epilobium foliosum,,California Willowherb,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,PLA
Epilobium lactiflorum,,,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,,,observed,27-Apr-13,J. & K. Miskelly,DND Lands Area B 13,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,PLA
Epilobium minutum,,little willowherb,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,,,observed,27-Apr-13,Hans Roemer,Roemer Group 13,,,,,,Devonian Park;,,PLA
Epipactis helleborine,,broad-leaved helleborine,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Epidendroideae,,,,observed,24-May-14,Hans Roemer,Metchosin General 14,,,,,,Camas Hill;,,PLA
Epipterygium tozeri,,Tozer?s transparent thread-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Bryaceae,,,,,observed,24-May-14,Hans Roemer,Metchosin General 14,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;Red alga",,PLA
Equisetum arvense,,field horsetail,Plantae,Equisetophyta,,,Equisetopsida,Equisetidae,,Equisetales,,,Equisetidae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,PLA
Equisetum hyemale,,rough horsetail,Plantae,Equisetophyta,,,Equisetopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,,,observed,27-Apr-13,Garry Fletcher,Fletcher Farm Shore 13,,,,,,Camas Hill;,,PLA
Equisetum telmateia,,great horsetail,Plantae,Equisetophyta,,,Equisetopsida,Equisetidae,,Equisetales,,,Equisetidae,,,,,observed,30-Apr-11,Gerry Allen,Antos Allen Pearson 11,,,,,,DND Rocky Point Area B;,,PLA
Eremogone capillaris,,,Plantae,Tracheophyta,,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,,,,observed,27-Apr-13,J. & K. Miskelly,DND Lands Area B 13,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,PLA
Eriophyllum lanatum,,Oregon sunshine,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Camas Hill;,,PLA
Erodium cicutarium,,stork?s bill,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Geraniales,,,Geraniaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,PLA
Erythranthe alsinoides,,chickweed monkey-flower,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Phrymaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Camas Hill;,,PLA
Erythranthe sookensis,,,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Phrymaceae,,,,,observed,5-May-12,Moralea Milne,Milne Camas 12,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Erythronium oregonum,,White fawnlily,Plantae,Tracheophyta,,,Liliopsida,,,Liliales,,,Liliaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Pearson lands;,,PLA
Farlowia mollis,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Dumontiaceae,,,,,observed,27-Apr-13,Mike Hawkes,Tower Point/Devonian 13,,,,,,Tower Point and Devonian Beach;low intertidal,,ALG
Festuca occidentalis,,western fescue,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,,,observed,5-May-12,Joel Ussery,Ussery witty's 12,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Festuca roemeri,,Roemer?s fescue,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Witty's Lagoon Park;,,PLA
Festuca rubra,,red fescue,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Festuca subuliflora,,crinkle-awned fescue,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Witty's Lagoon Park;,,PLA
Fissidens adianthoides,,,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,,,,observed,27-Apr-13,"S. Joya, O. Lee",Moss Group C Thunderbird 13,,,,,,Glinz Lake;Red alga,,PLA
Fissidens bryoides,,lesser pocket-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Fissidentales,,,Fissidentaceae,,,,,observed,27-Apr-13,Olivia Lee,Moss Group Matheson 13,,,,,,Matheson Lake;on cliff in spray zone,,PLA
Fissidens crispus,,Herzog?s pocket-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Fissidentales,,,Fissidentaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,PLA
Fontinalis antipyretica,,willow moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Fontinalaceae,,,,,observed,1-May-17,Terry McIntosh,Mary Hill 17,,,,,,Mary Hill/DND;Brown alga,,PLA
Fontinalis neomexicana,,,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Fontinalaceae,,,,,observed,5-May-12,Gerry Ansell,SVIMS Glinz Lake 12,,,,,,YMCA Camp Thunderbird;Brown alga,,PLA
Fossombronia longiseta,,,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Metzgeriales,,,Fossombroniaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,PLA
Fragaria vesca,,woodland strawberry,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Mid to south Taylor Beach bluffs;,,PLA
Fragaria virginiana,,Wild strawberry,Plantae,Tracheophyta,,,Magnoliopsida,,,Rosales,,,Rosaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,DND Rocky Point Area B;,,PLA
Fraxinus excelsior,,European ash,Plantae,Tracheophyta,,,Magnoliopsida,,,Lamiales,,,Oleaceae,,,,,observed,24-May-14,Hans Roemer,Metchosin General 14,,,,,,Race Rocks;,,PLA
Fritillaria affinis,,chocolate lily,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Liliales,,,Liliaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Fritillaria lanceolata,,chocolate lily,Plantae,Marchantiophyta,,,Jungermanniopsida,Marchantiidae,,Porellales,,,Jubulaceae,,,,,observed,5-May-12,Joel Ussery,Ussery witty's 12,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Frullania californica,,liverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,Marchantiidae,,Porellales,,,Jubulaceae,,,,,observed,27-Apr-13,Steve Joya,Moss Group Metch Dist Office 13,,,,,,Metchosin District Office;,,PLA
Frullania tamarisci,,hanging millipede liverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,Marchantiidae,,Porellales,,,Jubulaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;Ph Rodophyta;,,PLA
Fryeella gardneri,,arched red seaweed,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Fryeellaceae,,,,,observed,9-May-16,Garry Fletcher,William Head 16,,,,,,William Head Prison;,,ALG
Funaria hygrometrica,,common cord-moss,Plantae,Bryophyta,,,Bryopsida,Funariidae,,Funariales,,,Funariaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;Brown alga,,PLA
Galium aparine,,cleavers,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Gentianales,,,Rubiaceae,Rubioideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Galium trifidum,,small bedstraw,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Gentianales,,,Rubiaceae,Rubioideae,,,,observed,1-May-17,Kristin Miskelly,Mary Hill 17,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,PLA
Galium triflorum,,sweet-scented bedstraw,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Gentianales,,,Rubiaceae,Rubioideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Gamochaeta ustulata,,purple cudweed,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Camas Hill;,,PLA
Gaultheria shallon,,salal,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Vaccinioideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,PLA
Geranium dissectum,,cut-leaved cranesbill,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Geraniales,,,Geraniaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Witty's Lagoon Park;,,PLA
Geranium molle,,dove?s foot,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Geraniales,,,Geraniaceae,,,,,observed,30-Apr-11,Peter McAuliffe,Race Rocks McAuliffe 11,,,,,,Mary Hill/DND;,,PLA
Geranium pusillum,,small-flowered cranesbill,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Geraniales,,,Geraniaceae,,,,,observed,5-May-12,James Fenneman,Fenneman Gatten Blinkhorn 12,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Geranium robertianum,,herb Robert,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Geraniales,,,Geraniaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Camas Hill;,,PLA
Geum macrophyllum,,large-leaved avens,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Race Rocks;,,PLA
Glechoma hederacea,,ground-ivy,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,,,observed,5-May-12,Richard Winder,Winder Blinkhorn 12,,,,,,Mt Blinkhorn and Mt. Helmcken;,,PLA
Gnaphalium palustris,,,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,,,observed,9-May-16,James/Kristen Miskelly,Albert Head 16,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Gnaphalium purpureum,,,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,,,observed,27-Apr-13,Hans Roemer,Roemer Group 13,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Gnaphalium uliginosum,,marsh cudweed,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,,,observed,5-May-12,James Fenneman,Fenneman Gatten Blinkhorn 12,,,,,,Blinkhorn Lake Park and mountain;,,PLA
Goodyera oblongifolia,,western rattlesnake plantain,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Orchidoideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Albert Head DND;,,PLA
Gracilaria pacifica,,California limu,Plantae,Rhodophyta,,,Florideophyceae,,,Gracilariales,,,Gracilariaceae,,,,,observed,27-Apr-13,Mike Hawkes,Tower Point/Devonian 13,,,,,,Tower Point and Devonian Beach;,,ALG
Gracilariopsis andersonii,,,Plantae,Rhodophyta,,,Florideophyceae,,,Gracilariales,,,Gracilariaceae,,,,,observed,27-Apr-13,Sandra Lindstrom,Witty Beach Lindstrom 13,,,,,,Witty's Lagoon shoreline;low intertidal,,ALG
Grimmia pulvinata,,grey-cushioned grimmia,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,,,,observed,27-Apr-13,Terry McIntosh,DND Lands Area B 13,,,,,,DND Rocky Point Area B;Red alga,,PLA
Grimmia trichophylla,,hair-pointed grimmia,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;Brown alga,,PLA
Grindelia hirsutula,,hairy gumweed,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Mt Blinkhorn and Mt. Helmcken;,,PLA
Grindelia integrifolia,,,Plantae,Tracheophyta,,,Magnoliopsida,,,Asterales,,,Asteraceae,,,,,observed,9-May-16,Andy MacKinnon,William Head 16,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Grindelia stricta,,Oregon gumweed,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,DND Rocky Point Area B;,,PLA
Halosaccion glandiforme,,sea sacks,Plantae,Rhodophyta,,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,,,observed,30-Apr-11,Melissa Frey,Frey Pearson Intertidal 11,,,,,,Pearson College Seashore;Ph Chlorophyta;,,ALG
Hedera helix,,English ivy,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Araliaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,PLA
Hedwigia stellata,,starry hoar-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Leucodontales,,,Hedwigiaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;red,,PLA
Heracleum maximum,,Cow-parsnip,Plantae,Tracheophyta,,,Magnoliopsida,,,Apiales,,,Apiaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,PLA
Heuchera micrantha,,crevice alumroot,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Saxifragaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Hieracium albiflorum,,white-flowered hawkweed,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Camas Hill;,,PLA
Holcus lanatus,,common velvet-grass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,,,observed,5-May-12,Joel Ussery,Ussery witty's 12,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Holodiscus discolor,,oceanspray,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Homalothecium aeneum ,,,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,,,,observed,1-May-17,Terry McIntosh,Mary Hill 17,,,,,,Mary Hill/DND;,,PLA
Homalothecium aureum ,,,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,PLA
Homalothecium fulgescens,,yellow curl-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;low intertidal,,PLA
Homalothecium nuttallii,,Nuttall?s homalothecium,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;Red alga,,PLA
Hordeum brachyantherum,,meadow barley,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,,,observed,27-Apr-13,J. & K. Miskelly,DND Lands Area B 13,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Hordeum marinum,,,Plantae,Tracheophyta,,,Liliopsida,,,Poales,,,Poaceae,,,,,observed,13-Jun-15,James Miskelly,Witty's Miskelly 15,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Hordeum murinum,,wall barley,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,,,observed,24-May-14,Hans Roemer,Metchosin General 14,,,,,,Witty's Lagoon Park;,,PLA
Hosackia gracilis,,,Plantae,Tracheophyta,,,Magnoliopsida,,,Fabales,,,Fabaceae,,,,,observed,27-Apr-13,J. & K. Miskelly,DND Lands Area B 13,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Hyacinthoides hispanica,,bluebells,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Asparagaceae,Scilloideae,,,,observed,30-Apr-11,Richard Winder,Winder Rafuse Devonian 11,,,,,,Camas Hill;Found by Rich Mably,,PLA
Hyacinthoides non-scripta,,English Bluebells,Plantae,Tracheophyta,,,Liliopsida,,,Asparagales,,,Asparagaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,4645 Wm Head Rd beach/bluffs;,,PLA
Hyacinthus orientalis,,Hyacinth,Plantae,Tracheophyta,,,Liliopsida,,,Asparagales,,,Asparagaceae,,,,,observed,5-May-12,Peter McAuliffe,Lambert Weir Witty 12,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Hylocomium splendens,,glittering wood-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Hylocomiaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;Ph Chlorophyta;,,PLA
Hypericum perforatum,,common St John's wort,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Rosanae,Malpighiales,,,Hypericaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Camas Hill;,,PLA
Hypnum circinale,,coiled-leaf claw-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Hypnaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;Green alga,,PLA
Hypnum cupressiforme,,cypess-leaved plaitmoss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Hypnaceae,,,,,observed,27-Apr-13,Terry McIntosh,DND Lands Area B 13,,,,,,DND Rocky Point Area B;,,PLA
Hypnum dieckii,,,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Hypnaceae,,,,,observed,27-Apr-13,"S. Joya, O. Lee",Moss Group C Thunderbird 13,,,,,,Glinz Lake;,,PLA
Hypnum subimponens,,curly claw-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Hypnaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Hypochaeris glabra,,smooth cat?s ear,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,,,observed,n.d.,James Fenneman,Fenneman Gatten Camas 11,,,,,,Weir's Beach to Witty's Beach;,,PLA
Hypochaeris radicata,,hairy cat?s-ear,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Camas Hill;,,PLA
Ilex aquifolium,,holly,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Aquifoliales,,,Aquifoliaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Imbribryum miniatum,,red threadmoss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Bryaceae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,PLA
Imbribryum torenii,,threadmoss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Bryaceae,,,,,observed,28-Apr-18,Steve Joya,M Crown 62 Joya,,,,,,"Metch crown lands secs 64,66,67;",,PLA
Impatiens,,copper tops,Plantae,Magnoliophyta,,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Balsaminaceae,,,,,observed,5-May-12,Joe Antos,Mackinnon Winder B&G 12,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Iris pseudacorus,,yellow-flag iris,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Iridaceae,Iridoideae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,PLA
Iris setosa,,Wild flag iris,Plantae,Tracheophyta,,,Liliopsida,,,Asparagales,,,Iridaceae,,,,,observed,30-Apr-11,Peter McAuliffe,Race Rocks McAuliffe 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Isothecium cristatum,,isothecium moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,PLA
Isothecium stoloniferum,,cat's tail moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,,,,observed,30-Apr-11,Hans Roemer,Sugarloaf Expedition 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;Pink encrusting algae,,PLA
Juglans regia,,,Plantae,Tracheophyta,,,Magnoliopsida,,,Fagales,,,Juglandaceae,,,,,observed,27-Apr-13,Hans Roemer,Roemer Group 13,,,,,,Van der Meer (Camosun) property;,,PLA
