iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Subtaxon Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting,Notes,Origin,Critical Notes
Leptocottus armatus,49163,Leptocottus armatus,"Girard, 1854",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Cottidae,,,Leptocottus,armatus,,Pacific staghorn sculpin,1982-06-09,K.D. Genereux,CMN,,,unobserved,,native,
Myoxocephalus polyacanthocephalus,47640,Myoxocephalus polyacanthocephalus,"(Pallas, 1814)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Myoxocephalinae,,Myoxocephalus,polyacanthocephalus,,great sculpin,1982-06-09,K.D. Genereux,CMN,2018-08-10,Karolle Wall,observed,,native,
Oligocottus maculosus,67629,Oligocottus maculosus,"Girard, 1856",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Oligocottinae,,Oligocottus,maculosus,,tidepool sculpin,1960-12-22,Donald E. McAllister & M. O. Yesaki,CMN,2017-05-25,Karolle Wall,observed,,native,
Scorpaenichthys marmoratus,47638,Scorpaenichthys marmoratus,"(Ayres, 1854)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Jordaniidae,,,Scorpaenichthys,marmoratus,,cabezon,1973-09-20,Andy Lamb,PMLS,,,unobserved,,native,
Synchirus gilli,232130,Synchirus gilli,"Bean, 1890",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Psychrolutinae,,Synchirus,gilli,,manacled sculpin,1996-09-28,Andy Lamb,PMLS,,,unobserved,,native,
Triglops macellus,232944,Triglops macellus,"(Bean, 1884)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Triglopinae,,Triglops,macellus,,roughspine sculpin,2013-10-20,Andy Lamb,PMLS,,,unobserved,,native,
Nautichthys oculofasciatus,183019,Nautichthys oculofasciatus,"(Girard, 1858)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Agonidae,Hemitripterinae,,Nautichthys,oculofasciatus,,sailfin sculpin,1995-02-24,Andy Lamb,PMLS,2015-04-15,Karolle Wall,observed,,native,
Hexagrammos decagrammus,68596,Hexagrammos decagrammus,"(Pallas, 1810)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Hexagrammidae,Hexagramminae,,Hexagrammos,decagrammus,,kelp greenling,1982-06-08,C. E. Kasserra,CMN,2017-07-07,Karolle Wall,observed,,native,
Hexagrammos stelleri,186849,Hexagrammos stelleri,"Tilesius, 1810",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Hexagrammidae,Hexagramminae,,Hexagrammos,stelleri,,whitespotted greenling,1982-06-09,K.D. Genereux,CMN,2016-07-05,Karolle Wall,observed,,native,
Ophiodon elongatus,52539,Ophiodon elongatus,"Girard, 1854",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Hexagrammidae,Ophiodontinae,,Ophiodon,elongatus,,lingcod,1968-08-02,Andy Lamb,PMLS,2013-10-13,Peter Luckham,observed,,native,
Oxylebius pictus,48452,Oxylebius pictus,"Gill, 1862",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Hexagrammidae,Oxylebiinae,,Oxylebius,pictus,,painted greenling,1971-08-21,Andy Lamb,PMLS,2019-05-05,Emily Adamczyk,observed,,native,
Liparis dennyi,180028,Liparis dennyi,"Jordan & Starks, 1895",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Liparidae,,,Liparis,dennyi,,marbled snailfish,1995-02-23,Charlie Gibbs,PMLS,,,unobserved,,native,
