Taxon,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Author,Common Name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First observed,iNaturalist Link,iNaturalist taxon name,iNaturalist taxon ID,iNaturalist Photo,Notes
Dicranella heteromalla,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranella,(Hedw.) Schimp.,silky forklet-moss,native,S4S5 (2011),reported,1962-06-04,Wilfred B. Schofield,UBC,B50518,,,Dicranella heteromalla,67876,,
Dicranoweisia cirrata,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranoweisia,(Hedw.) Lindb.,common pincushion,native,S3S4 (2015),confirmed,1962-06-04,Wilfred B. Schofield,UBC,B59697,,https://www.inaturalist.org/observations/19836678,Dicranoweisia cirrata,67949,https://static.inaturalist.org/photos/30580655/medium.jpeg?1548306082,
Dicranoweisia crispula,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranoweisia,(Hedw.) Milde,mountain pincushion,native,S4S5 (2015),confirmed,2016-04-09,Terry McIntosh,Edith Point Ecological Baseline Report,,,https://www.inaturalist.org/observations/19703784,Dicranoweisia crispula,154135,https://static.inaturalist.org/photos/30353039/medium.jpeg?1547775668,
Dicranum fuscescens,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,Turner,dusky fork-moss,native,S5 (2015) *listed subtaxa in BC,reported,1969-08-21,C.C. Chuang,UBC,B208345,,,Dicranum fuscescens,123177,,
Dicranum howellii,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,Renauld & Cardot,Howell’s fork-moss,native,S4S5 (2011),reported,1969-07-11,Wilfred B. Schofield,UBC,B64024,,,Dicranum howellii,161860,,
Dicranum scoparium,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,Hedw.,broom moss,native,S5 (2015),reported,1914-05-23,John Macoun,UBC,B66553,,,Dicranum scoparium,123134,,
Dicranum tauricum,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Dicranum,Sapjegin,fragile fork-moss,native,S5 (2015),reported,1914-05-20,John Macoun,UBC,B67439,,,Dicranum tauricum,161872,,
Ceratodon purpureus,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,Ceratodon,(Hedw.) Brid.,fire moss,native,S5,confirmed,1962-06-04,Wilfred B. Schofield,UBC,B39981,,https://www.inaturalist.org/observations/24706304,Ceratodon purpureus,123117,https://static.inaturalist.org/photos/38205086/medium.jpeg?1557192894,
Ditrichum heteromallum,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,Ditrichum,(Hedw.) Britt.,curve-leaved ditrichum,unlisted,unlisted,reported,2016-04-10,Terry McIntosh,UBC,B239042,,,Ditrichum heteromallum,161968,,
Pleuridium acuminatum,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,Pleuridium,Lindb.,taper-leaved earthmoss,native,SU (2015),reported,2016-04-09,Terry McIntosh,Edith Point Ecological Baseline Report,,,,Pleuridium acuminatum,127427,,
