Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID
Lemna minor,L.,common duckweed,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Alismatales,,,Araceae,Lemnoideae,native,S5,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,54518
Triglochin concinna,Burtt Davy,graceful arrow-grass,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Alismatales,,,Juncaginaceae,,native,S3S4 (2017),reported,unobserved,1980-05-13,Harvey Janszen,RBCM,V107436Y,,,,,,79435
Triglochin maritima,L.,seaside arrow-grass,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Alismatales,,,Juncaginaceae,,native,S5 (2000),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,60264
Potamogeton berchtoldii,Fieber,small pondweed,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Alismatales,,,Potamogetonaceae,,native,S4 (2001),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,78706
Potamogeton natans,L.,floating pondweed,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Alismatales,,,Potamogetonaceae,,native,S5,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,5/31/2019,Andrew Simon,https://www.inaturalist.org/observations/26153581,https://static.inaturalist.org/photos/40581640/medium.jpeg?1559355176,,78712
Zostera marina,L.,common eelgrass,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Alismatales,,,Zosteraceae,,native,S5,confirmed,observed,6/20/1915,John Davidson,UBC,V46481,7/4/2019,Andrew Simon,https://www.inaturalist.org/observations/28204817,https://static.inaturalist.org/photos/43949705/medium.jpeg?1562284200,,52614
Allium acuminatum,Hook.,Hooker's onion,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Amaryllidaceae,,native,S5,confirmed,observed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,6/11/2018,pblaeser,https://www.inaturalist.org/observations/13350670,https://static.inaturalist.org/photos/19567459/medium.jpeg?1528762392,,59782
Allium amplectens,Torr.,slimleaf onion,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Amaryllidaceae,,native,S3 (2015); N3 Vulnerable,reported,unobserved,5/22/1996,Jenifer L. Penny,UBC,V223862,,,,,Georgina Point,60267
Allium cernuum,Roth,nodding onion,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Amaryllidaceae,,native,S5,confirmed,observed,6/21/1974,Gerda Krause,UBC,V157823,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25247938,https://static.inaturalist.org/photos/39085369/medium.jpeg?1558061905,,116364
Allium geyeri var. tenerum,M.E. Jones,Geyer's onion,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Amaryllidaceae,,native,S3S4 (2018),reported,unobserved,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,,,,
Allium vineale,L.,wild garlic,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Amaryllidaceae,,exotic,unlisted,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,
Narcissus pseudonarcissus,L.,daffodil,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Amaryllidaceae,,exotic,unlisted,reported,unobserved,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,,,,55848
Brodiaea coronaria,(Salisb.) Jeps.,crown brodiaea,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Asparagaceae,Brodiaeoideae,native,S3S4 (2015),confirmed,observed,1948-07-05,B. McGusty,RBCM,V021269,6/6/2018,pilebuck,https://www.inaturalist.org/observations/29734061,https://static.inaturalist.org/photos/46420105/medium.jpg?1564344464,,57126
Camassia leichtlinii ssp. suksdorfii,(Greenm.) Gould,great camas,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Asparagaceae,Agavoideae,native,S4 (2015),confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,4/28/2019,Andrew Simon,https://www.inaturalist.org/observations/24711147,https://static.inaturalist.org/photos/38208315/medium.jpeg?1557195397,,79659
Camassia quamash,(Pursh) Greene,small camas,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Asparagaceae,Agavoideae,native,S4,confirmed,observed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25247935,https://static.inaturalist.org/photos/39085305/medium.jpeg?1558061819,,62220
Convallaria majalis,L.,lily-of-the-valley,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Asparagaceae,Nolinoideae,unlisted,exotic,reported,unobserved,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,,,,
Ornithogalum umbellatum,L.,common star-of-Bethlehem,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Asparagaceae,Scilloideae,exotic,unlisted,reported,unobserved,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,,,,56137
Iris pseudacorus,L.,yellow-flag iris,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Iridaceae,Iridoideae,exotic,unlisted,reported,unobserved,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,,,,47779
Sisyrinchium idahoense,E.P. Bicknell,Idaho blue-eyed grass,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Iridaceae,Iridoideae,native,S3S4 (2001),confirmed,observed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,5/31/2019,Andrew Simon,https://www.inaturalist.org/observations/26153569,https://static.inaturalist.org/photos/40581101/medium.jpeg?1559354696,,79129
Calypso bulbosa var. occidentalis,(Holz.) Cockerell,western fairy slipper,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Epidendroideae,native,S5,confirmed,observed,1896-06,Albert J. Hill,UBC,V51948,5/7/2018,Roger Steeb,https://www.inaturalist.org/observations/12524578,https://static.inaturalist.org/photos/18085261/medium.jpg?1526504379,,57724
Corallorhiza maculata var. occidentalis,(Lindl.) Ames,western spotted coralroot,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Epidendroideae,native,SU,confirmed,observed,6/21/1974,Gerda Krause,UBC,V157825,6/11/2018,pblaeser,https://www.inaturalist.org/observations/13351018,https://static.inaturalist.org/photos/19568103/medium.jpeg?1528763012,,49475
Goodyera oblongifolia,Raf.,western rattlesnake plantain,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Orchidoideae,native,S5,confirmed,observed,8/9/1956,T.R. Ashlee,UBC,V765787,6/11/2018,pblaeser,https://www.inaturalist.org/observations/13350968,https://static.inaturalist.org/photos/19567995/medium.jpeg?1528762889,,50719
Neottia cordata,(L.) Rich.,heart-leaved twayblade,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Epidendroideae,native,S4S5 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,204364
Platanthera elegans,Lindl.,elegant rein orchid,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Orchidoideae,native,S4 (2015),reported,unobserved,7/3/1953,R. Pillsbury,UBC,V52054,,,,,questionable = P. elongata ?,132362
Platanthera transversa,(Suksd.) R.M. Bateman,royal rein orchid,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Orchidoideae,native,S3S4 (2001),reported,unobserved,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,,,,50733
Platanthera unalascensis,(Spreng.) Kurtz.,Alaska rein orchid,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Orchidoideae,native,S5 (2000),reported,unobserved,1914-06-02,John Macoun,RBCM,V001247B,,,,,,50734
Spiranthes romanzoffiana,Cham.,hooded ladies’ tresses,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Asparagales,,,Orchidaceae,Orchidoideae,native,S4,reported,unobserved,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,,,,50743
Maianthemum dilatatum,(Alph. Wood) A. Nelson & J.F. Macbr.,false lily-of-the-valley,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Liliales,,,Asparagaceae,Nolinoideae,native,S5 (2000),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,63939
Maianthemum stellatum,(L.) Link,star-flowered Solomon's seal,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Liliales,,,Asparagaceae,Nolinoideae,native,S5 (2015),confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,6/3/2019,Andrew Simon,https://www.inaturalist.org/observations/26372169,https://static.inaturalist.org/photos/40945420/medium.jpeg?1559623822,,
Triteleia hyacinthina,(Lindl.) Greene,white brodiaea,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Liliales,,,Asparagaceae,Brodiaeoideae,native,S4,reported,unobserved,1895-06,Albert J. Hill,UBC,V24850,,,,,,57132
Colchicum sp.,,naked ladies,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Liliales,,,Colchicaceae,,,,new 2019,observed,,,,,10/6/2018,scog7,https://www.inaturalist.org/observations/17265478,https://static.inaturalist.org/photos/26190756/medium.jpg?1538873485,,131587
Erythronium oregonum,,white fawn lily,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Liliales,,,Liliaceae,,native,S4? (2015),confirmed,observed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,4/30/2019,Andrew Simon,https://www.inaturalist.org/observations/24824998,https://static.inaturalist.org/photos/38396178/medium.jpeg?1557383660,,59520
Fritillaria affinis,(Schult. & Schult.f.) Sealy,chocolate lily,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Liliales,,,Liliaceae,,native,S5,confirmed,observed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,5/5/2019,Andrew Simon,https://www.inaturalist.org/observations/24706268,https://static.inaturalist.org/photos/38204707/medium.jpeg?1557192590,,50618
Lilium columbianum,Leichtlin,Columbia lily,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Liliales,,,Liliaceae,,native,S5 (2015),reported,unobserved,6/21/1974,Gerda Krause,UBC,V157824,,,,,,77744
Toxicoscordion venenosum,(S. Watson) Rydb.,meadow deathcamas,Plantae,Magnoliophyta,,,Liliopsida,Magnoliidae,Lilianae,Liliales,,,Melanthiaceae,,native,S5 (2000),confirmed,observed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,5/21/2019,Bob Kennedy,https://www.inaturalist.org/observations/25810561,https://static.inaturalist.org/photos/40010546/medium.jpg?1558881688,,59087
Bolboschoenus maritimus var. paludosus,(A. Nelson) T. Koyama,seacoast bulrush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,79646
Carex aquatilis var. dives,(Holm) Kük.,Sitka sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),new 2019,observed,,,,,5/31/2019,Andrew Simon,https://www.inaturalist.org/observations/26153584,https://static.inaturalist.org/photos/40581823/medium.jpeg?1559355350,,80511
Carex arcta,Boott,northern clustered sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25454712,https://static.inaturalist.org/photos/39423095/medium.jpeg?1558373432,,76014
Carex aurea,Nutt.,golden sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,76017
Carex cf rossii,Boott,Ross' sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,2016-04-09,MICS,Edith Point Ecological Baseline Report,,,,,,,
Carex crawfordii,Fern.,Crawford's sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,1979-06-04,Harvey Janszen,RBCM,V097977,,,,,,
Carex cusickii,Mack. ex Piper & Beattie,Cusick’s sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,5/22/1996,Harvey Janszen,UBC,V215335,,,,,,76028
Carex deweyana var. deweyana,Schwein.,Dewey’s sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,likely misapplied to Carex leptopoda,239769
Carex exsiccata,L.H. Bailey,inflated sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,76036
Carex feta,L.H. Bailey,green-sheathed sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S3S4 (2018),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,
Carex hendersonii,L.H. Bailey,Henderson’s sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25454702,https://static.inaturalist.org/photos/39422473/medium.jpeg?1558373078,,76048
Carex inops ssp. inops,L.H. Bailey,long-stolon sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S3S4 (2001); N3N4 Vulnerable in Canada,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,4/5/2019,Andrew Simon,https://www.inaturalist.org/observations/22070936,https://static.inaturalist.org/photos/34179322/medium.jpeg?1554526821,,76056
Carex lenticularis var. limnophila,(Holm) Cronquist,lakeshore sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S4S5 (2015),reported,unobserved,1975-05-29,Harvey Janszen,RBCM,V083296,,,,,,80516
Carex leporina,,oval sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,,new 2019,observed,,,,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25454767,https://static.inaturalist.org/photos/39425093/medium.jpeg?1558374634,,76067
Carex leptopoda,Mack.,slender-footed sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),new 2019,observed,,,,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25454790,https://static.inaturalist.org/photos/39425696/medium.jpeg?1558374990,,76070
Carex lyngbyei,Hornem.,Lyngbye’s sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25473402,https://static.inaturalist.org/photos/39455219/medium.jpeg?1558393588,,76076
Carex magellanica ssp. irrigua,(Wahl.) Hiit.,poor sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,2009-01-01,Quentin Cronk,Mayne Flora List,,,,,,,
Carex obnupta,L.H. Bailey,slough sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,5/17/2019,Bob Kennedy,https://www.inaturalist.org/observations/25625971,https://static.inaturalist.org/photos/39707308/medium.jpg?1558628983,,61000
Carex ovalis,Gooden.,oval sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,1996-05-22,"Jenifer Penny, Charlotte Norris & Harvey Janszen",RBCM,V186360,,,,,reported as C. tracyi by H. Janszen,160051
Carex pachystachya,Cham. ex Steud.,thick-headed sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,5/24/2019,Andrew Simon,https://www.inaturalist.org/observations/25720396,https://static.inaturalist.org/photos/39867630/medium.jpeg?1558768671,,76089
Carex sylvatica,Huds.,European woodland sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,exotic,unlisted,reported,unobserved,2009-01-01,Quentin Cronk,Mayne Flora List,,,,,,,
Carex unilateralis,Mack.,one-sided sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S4 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,
Carex utriculata,Boott,beaked sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),confirmed,observed,1975-07-09,Harvey Janszen,RBCM,V083230,5/31/2019,Andrew Simon,https://www.inaturalist.org/observations/26153591,https://static.inaturalist.org/photos/40582018/medium.jpeg?1559355511,,76124
Carex viridula,Michx.,greenish sedge,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,5/31/2019,Andrew Simon,https://www.inaturalist.org/observations/26153599,https://static.inaturalist.org/photos/40582914/medium.jpeg?1559356312,,76128
Eleocharis palustris,(L.) Roem. & Schult.,common spike-rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5,confirmed,observed,1975-07-09,Harvey Janszen,RBCM,V083202,5/31/2019,Andrew Simon,https://www.inaturalist.org/observations/26153571,https://static.inaturalist.org/photos/40581232/medium.jpeg?1559354828,,76782
Schoenoplectus acutus,(Muhl. ex Bigelow) Á. Löve & D. Löve,common tule,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2000),confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,5/31/2019,Andrew Simon,https://www.inaturalist.org/observations/26153596,https://static.inaturalist.org/photos/40582588/medium.jpeg?1559356026,,59205
Scirpus cyperinus,(L.) Kunth,woolgrass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,79002
Scirpus microcarpus ,J. Presl & C. Presl,small-flowered bullrush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,5/31/2019,Andrew Simon,https://www.inaturalist.org/observations/26153595,https://static.inaturalist.org/photos/40582557/medium.jpeg?1559355995,,59068
Juncus acuminatus,Michx.,tapered rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S4 (2001),reported,unobserved,1975-07-09,Harvey Janszen,RBCM,V113218Y,,,,,specimen is not determined (J. cf. acuminatus),77549
Juncus articulatus,L.,jointed rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2000),confirmed,observed,1975-07-09,Harvey Janszen,RBCM,V083238,7/9/2019,Andrew Simon,https://www.inaturalist.org/observations/28523907,https://static.inaturalist.org/photos/44468830/medium.jpeg?1562710024,,77552
Juncus balticus ssp. ater,Willd.,Baltic rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),reported,unobserved,1975-08-04,Harvey Janszen,RBCM,V083249,,,,,,58347
Juncus bolanderi,Engelm.,Bolander’s rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S3S4 (2015),confirmed,observed,1975-07-09,Harvey Janszen,RBCM,V083191,6/10/2019,Andrew Simon,https://www.inaturalist.org/observations/27420988,https://static.inaturalist.org/photos/42665394/medium.jpeg?1561189074,,77553
Juncus bufonius,L.,toad rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2017),confirmed,observed,1979-05-31,Harvey Janszen,RBCM,V097844,5/8/2019,Andrew Simon,https://www.inaturalist.org/observations/24874234,https://static.inaturalist.org/photos/38474935/medium.jpeg?1557466818,,57107
Juncus effusus ssp. pacificus,L.,common rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,exotic,unlisted,confirmed,observed,1975-07-09,Harvey Janszen,RBCM,V083241,5/29/2019,Andrew Simon,https://www.inaturalist.org/observations/26031776,https://static.inaturalist.org/photos/40385099/medium.jpeg?1559176219,Juncus effusus reported by H. Janszen; both J.e.solutus & J.e.pacificus reported by CRB in CQ's list,56153
Juncus effusus ssp. solutus,,eastern soft rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,,,new 2019,observed,,,,,5/24/2019,Andrew Simon,https://www.inaturalist.org/observations/25720373,https://static.inaturalist.org/photos/39866149/medium.jpeg?1558766328,,79962
Juncus ensifolius,Wikstr.,dagger rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S4,confirmed,observed,1975-07-09,Harvey Janszen,RBCM,V083190,7/9/2019,Andrew Simon,https://www.inaturalist.org/observations/28523909,https://static.inaturalist.org/photos/44468856/medium.jpeg?1562710048,,77569
Juncus falcatus,E. Mey.,sickle-leaved rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S4 (2015),reported,unobserved,1914-05-24,John Macoun,RBCM,V000847,,,,,J. f. sitchensis reported by H. Janszen,
Juncus hesperius,,Lamp rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,,,new 2019,observed,,,,,6/19/2019,Andrew Simon,https://www.inaturalist.org/observations/27405438,https://static.inaturalist.org/photos/42636512/medium.jpeg?1561159983,,77574
Juncus occidentalis,(Coville) Wiegand,western rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S3S4 (2015),reported,unobserved,1975-07-09,Harvey Janszen,RBCM,V083192,,,,,,
Juncus supiniformis,,hair-leaved rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,,,new 2019,observed,,,,,7/9/2019,Andrew Simon,https://www.inaturalist.org/observations/28523912,https://static.inaturalist.org/photos/44468903/medium.jpeg?1562710089,,77594
Juncus tenuis,Willd.,slender rush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,69930
Luzula comosa var. laxa,E. Mey.,Pacific woodrush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S4,new 2019,observed,,,,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25247925,https://static.inaturalist.org/photos/39085207/medium.jpeg?1558061713,,81080
Luzula macrantha,,,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,,,new 2019,observed,,,,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25247929,https://static.inaturalist.org/photos/39085254/medium.jpeg?1558061756,,890625
Luzula multiflora s.lat.,,common woodrush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,reported by Harvey; taxon has been split up,
Luzula parviflora,(Ehrh.) Desv.,small-flowered woodrush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,77897
Luzula subsessilis,(S. Watson) Buchenau,many-flowered woodrush,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2000),confirmed,observed,2016-04-09,MICS,Edith Point Ecological Baseline Report,,3/21/2019,Andrew Simon,https://www.inaturalist.org/observations/21474054,https://static.inaturalist.org/photos/33227659/medium.jpeg?1553228577,,77901
Achnatherum lemmonii var. lemmonii,(Vasey) Barkworth,Lemmon's needlegrass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,native,S4,reported,unobserved,6/3/2007,Jeffery M. Saarela,UBC,V237423,,,,,,117414
Agrostis capillaris,L.,colonial bentgrass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,exotic,unlisted,reported,unobserved,1975-07-09,Harvey Janszen,RBCM,V097316,,,,,Harvey reports both A. capillaris & A. palustris; the two are synonymous with A. stolonifera ,75312
Agrostis exarata ,Trin.,Pacific bentgrass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,native,S5 (2015),reported,unobserved,1976-07-09,Harvey Janszen,RBCM,V097306,,,,,,59088
Agrostis gigantea,Roth,redtop,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,exotic,unlisted,reported,unobserved,1975-07-09,Harvey Janszen,RBCM,V097317,,,,,,75314
Agrostis pallens,Trin.,dune bentgrass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,native,S3S4 (2015),reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,52692
Agrostis scabra,Willd.,hair bentgrass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,native,S5 (2015),reported,unobserved,1980-09-16,Harvey Janszen,RBCM,V107730,,,,,,75319
Aira caryophyllea,L.,silver hairgrass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,exotic,unlisted,confirmed,observed,6/3/2007,Jeffery M. Saarela,UBC,V237460,5/8/2019,Andrew Simon,https://www.inaturalist.org/observations/24874232,https://static.inaturalist.org/photos/38474895/medium.jpeg?1557466758,,52694
Aira praecox,L.,early hair grass,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,exotic,unlisted,reported,unobserved,6/3/2007,Jeffery M. Saarela,UBC,V237461,,,,,,61058
Alopecurus geniculatus,L.,water meadow-foxtail,Plantae,Magnoliophyta,,,Liliopsida,,,Poales,,,Poaceae,Pooideae,exotic,unlisted,reported,unobserved,1975-07-09,Harvey Janszen,RBCM,V097304,,,,,,71140
