Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Observed,Observer,iNaturalist Link,iNaturalist photo,Notes,ID
Letharia vulpina,(L.) Hue,timber wolf,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native ,S5 (2018),new 2019,observed,,,,,1/29/2019,Andrew Simon,https://www.inaturalist.org/observations/19956815,https://static.inaturalist.org/photos/30792958/medium.jpeg?1548803063,,54613
Melanelia hepatizon,(Ach.) Thell.,rimmed rock leather,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),new 2019,unobserved,2019-05-05,Juliet Pendray & James Holkko,Bioblitz 2019,,,,,,,224572
Melanelia sorediata,(Ach.) Goward & Ahti,star-studded rockleather,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Melanelixia fuliginosa,(Fr. ex Duby) Essl.,shiny camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2010),confirmed,observed,2009-01-01,Curtis R. Bjork,Mayne Flora List,,2/1/2019,Andrew Simon,https://www.inaturalist.org/observations/20023019,https://static.inaturalist.org/photos/30906936/medium.jpeg?1549076659,,345339
Melanelixia glabratula,(Lamy) Sandler & Arup,camouflage lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,unlisted,reported,unobserved,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,,,,,,463479
Melanelixia subaurifera,"(Nyl.) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch",abraded camouflage lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2010),confirmed,observed,2009-01-01,Curtis R. Bjork,Mayne Flora List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336545,https://static.inaturalist.org/photos/19536776/medium.jpeg?1528729407,,194686
Menegazzia subsimilis,(H. Magn.) R. Sant.,tragic flute,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2010),confirmed,observed,1974-06-20,Willa J. Noble,UBC,L20492,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25454721,https://static.inaturalist.org/photos/39423374/medium.jpeg?1558373579,,194700
Menegazzia terebrata,(Hoffm.) A. Massal.,magic flute,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2010),confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336579,https://static.inaturalist.org/photos/19538835/medium.jpeg?1528731681,,123677
Montanelia panniformis,"(Nyl.) Divakar, A. Crespo, Wedin & Essl.",,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,unlisted,confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336572,https://static.inaturalist.org/photos/19538327/medium.jpeg?1528731018,,
Neofuscelia verruculifera,(Nyl.) Essl.,carbuncular toad,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S3S4 (2018),reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38198,,,,,,117849
Parmelia hygrophila,Goward & Ahti,granulating crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2010),confirmed,observed,1974-06-18,Willa J. Noble,UBC,L38939,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/9286371,https://static.inaturalist.org/photos/12587183/medium.jpeg?1514493031,,194661
Parmelia pseudosulcata,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S3S4 (2010),new 2019,observed,,,,,5/5/2019,James Holkko,https://www.inaturalist.org/observations/26064308,https://static.inaturalist.org/photos/40438489/medium.jpg?1559232490,,227218
Parmelia saxatilis,(L.) Ach.,salted crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2010),confirmed,observed,1974-06-02,Willa J. Noble,UBC,L38272,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336539,https://static.inaturalist.org/photos/19536424/medium.jpeg?1528729021,,117860
Parmelia squarrosa,Hale,bottlebrush crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S3S4 (2010),new 2019,observed,,,,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25454719,https://static.inaturalist.org/photos/39423412/medium.jpeg?1558373602,,125728
Parmelia sulcata,Taylor,hammered crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2010),confirmed,observed,1914-05-24,John Macoun,UBC,L6122,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25454713,https://static.inaturalist.org/photos/39423132/medium.jpeg?1558373461,,54734
Parmeliopsis ambigua,(Wulfen) Nyl.,green starburst,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018) ,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,182652
Parmotrema arnoldii,(Du Rietz) Hale,king ruffle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2010),reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38200,,,,,,123349
Parmotrema cf perlatum,(Huds.) M. Choisy,queen ruffle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native ,S3 (2010),reported,unobserved,6/19/2017,Andrew Simon,Lichens of St. John Point Preliminary List,,,,,,,
Platismatia glauca,(L.) W.L.Culb. & C.F.Culb,rag bags,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018) ,confirmed,observed,1974-06-18,Willa J. Noble,UBC,L37613,5/17/2019,Bob Kennedy,https://www.inaturalist.org/observations/25626005,https://static.inaturalist.org/photos/39707500/medium.jpg?1558629099,,117874
Platismatia herrei,(Imshaug) W.L.Culb. & C.F.Culb.,tattered rags,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018) ,confirmed,observed,1904-03-20,A.J. Hill,UBC,L7440,5/5/2019,James Holkko,https://www.inaturalist.org/observations/26064512,https://static.inaturalist.org/photos/40438769/medium.jpg?1559232758,,117876
Punctelia stictica,(Delise ex Duby) Krog,blueshift speckleback,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2018)  ,confirmed,observed,1974-06-21,Willa J. Noble,UBC,L14419,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/9286378,https://static.inaturalist.org/photos/12587279/medium.jpeg?1514493270,,117879
Tuckermannopsis chlorophylla,(Willd.) Hale,powdered wrinkle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2010) ,confirmed,observed,1974-06-18,Willa J. Noble,UBC,L14402,1/28/2019,Andrew Simon,https://www.inaturalist.org/observations/19942065,https://static.inaturalist.org/photos/30766949/medium.jpeg?1548732656,,54320
Tuckermannopsis orbata,(Nyl.) M.J.Lai,shape-shifting wrinkle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),confirmed,observed,1974-06-18,Willa J. Noble,UBC,L14401,1/29/2019,Andrew Simon,https://www.inaturalist.org/observations/19956803,https://static.inaturalist.org/photos/30792797/medium.jpeg?1548802783,,54324
Usnea cavernosa,Tuck.,pitted beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S3S4 (2018),reported,unobserved,1974-05-02,Willa J. Noble,UBC,L38197,,,,,,182690
Usnea dasypoga,(Ach.) Nyl.,fish net beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4S5 (2010),reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,reported as Usnea filipendula,532452
Usnea glabrescens,(Nyl. ex Vain.) Vain.,spotted beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2018),confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336542,https://static.inaturalist.org/photos/19536657/medium.jpeg?1528729270,,233313
Usnea hirta,(L.) Weber ex F.H. Wigg.,bristly beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2010),confirmed,observed,2009-01-01,Curtis R. Bjork,Mayne Flora List,,3/5/2019,Andrew Simon,https://www.inaturalist.org/observations/20987802,https://static.inaturalist.org/photos/32412261/medium.jpeg?1551844131,,182679
Usnea intermedia,Jatta,exploding beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S3S4 (2018),reported,unobserved,1914-05-26,John Macoun,UBC,L35500,,,,,,202002
Usnea scabrata,Nyl.,scarecrow’s beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2010),reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Usnea subfloridana,Stirton.,nit beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2018),reported,unobserved,1914-05,,UBC,L50882,,,,,reported as Usnea florida; this report likely refers to Usnea intermedia,
Vulpicida canadensis,(Räsänen) J.-E. Mattsson & M. J. Lai ,brown-eyed sunshine,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),new 2019,observed,,,,,5/5/2019,James Holkko,https://www.inaturalist.org/observations/26064635,https://static.inaturalist.org/photos/40439002/medium.jpg?1559232953,,54317
Xanthoparmelia coloradoensis grp.,(Gyeln.) Hale,questionable rockfrog,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,SU (2010),confirmed,observed,1914-05-28,John Macoun,UBC,L5792,1/17/2019,Andrew Simon,https://www.inaturalist.org/observations/19703782,https://static.inaturalist.org/photos/30352941/medium.jpeg?1547775530,"At least two species here, one (or possibly two) upland and one on coastal rocks; a difficult complex of many species, many of them undescribed; this species is often recorded as Xanthoparmelia cumberlandia, though that name is misapplied here",123230
Xanthoparmelia mougeotii,(Schaer.) Hale,powdered rockfrog,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S3S4 (2018),reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38195,,,,,,233712
Amandinea punctata,(Hoffm.) Coppins & Scheid.,tiny button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,155082
Phaeophyscia orbicularis,(Necker) Moberg.,powder-headed shadow,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native ,S4 (2010),new 2019,observed,,,,,4/12/2019,Andrew Simon,https://www.inaturalist.org/observations/22374574,https://static.inaturalist.org/photos/34653577/medium.jpeg?1555088242,,60718
Physcia adscendens,H. Olivier.,hooded rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native ,S5 (2010),confirmed,observed,2009-01-01,Curtis R. Bjork,Mayne Flora List,,3/5/2019,Andrew Simon,https://www.inaturalist.org/observations/20987799,https://static.inaturalist.org/photos/32412253/medium.jpeg?1551844123,,124439
Physcia alnophila,"(Vain.) Loht., Moberg, Myllys & Tehler",grey-eyed rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native,S5 (2018),reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38223,,,,,,463769
Physcia caesia,(Hoffm.) Hampe ex Fürnr.,blue-grey rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native ,S4 (2010),confirmed,observed,1974-06-02,Willa J. Noble,UBC,L38259,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/9286381,https://static.inaturalist.org/photos/12587312/medium.jpeg?1514493358,"Physcia cascadensis, also reported by W. Noble, considered synonymous",194681
Physcia phaea,(Tuck.) J.W.Thomson,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native ,,confirmed,observed,1974-06-20,Willa J. Noble,UBC,L20969,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25244525,https://static.inaturalist.org/photos/39079761/medium.jpeg?1558056611,,
Physcia tenella,(Scop.) DC.,hoodless rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native,S5 (2018),reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38260,,,,,,228059
Physconia enteroxantha,(Nyl.) Poelt,gilded frost,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native,S3S4 (2010),reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38224,,,,,,228066
Rinodina bolanderi,H.Magn.,creamy pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native,unlisted,confirmed,observed,1974-06-18,Willa J. Noble,UBC,L36909,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25473400,https://static.inaturalist.org/photos/39455076/medium.jpeg?1558393508,,230206
Rinodina gennarii,Bagl.,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,230233
Rinodina hallii,Tuck.,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,,native,unlisted,reported,unobserved,1914-05-29,John Macoun,UBC,L7884,,,,,,230239
Micarea micrococca,(Körb.) Gams ex Coppins,shadow dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Pilocarpaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Cliostomum griffithii,(Sm.) Coppins,multicolored dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,unlisted,reported,unobserved,1914-05-26,John Macoun,UBC,L837,,,,,,217200
Lecania aipospila,(Wahlenb.) Th. Fr.,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,unlisted,reported,unobserved,1974-06-18,Willa J. Noble,UBC,L20732,,,,,,
Lecania dudleyi,Herre,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,unlisted,reported,unobserved,1974-06-19,Willa J. Noble,UBC,L20737,,,,,,222792
Lecania nylanderiana,A.Massal.,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,unlisted,reported,unobserved,1974-06-19,Willa J. Noble,UBC,L20740,,,,,,
Ramalina dilacerata,(Hoffm.) Hoffm.,punctured ribbon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,S5 (2018),reported,unobserved,1974-06-20,Willa J. Noble,UBC,L10961,,,,,,182732
Ramalina farinacea,(L.) Ach.,farinose cartilage lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,S5 (2018),confirmed,observed,1974-06-18,Willa J. Noble,UBC,L20490,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336540,https://static.inaturalist.org/photos/19536567/medium.jpeg?1528729175,,54758
Ramalina menziesii,Taylor,canopy fishnet,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,S3S4 (2010),confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,L7735,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336598,https://static.inaturalist.org/photos/19538990/medium.jpeg?1528731921,,49578
Ramalina sp.2 sensu Goward 1999,,maritime bush,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,unlisted,reported,unobserved,1914-05-25,John Macoun,UBC,L7706,,,,,,
Ramalina subleptocarpha,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,,new 2019,observed,,,,,5/5/2019,Andrew Simon,https://www.inaturalist.org/observations/24706248,https://static.inaturalist.org/photos/38204637/medium.jpeg?1557192535,,203077
Scoliciosporum chlorococcum,(Graewe ex Stenh.) Vezda,umber dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Scoliciosporaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Scoliciosporum umbrinum,(Ach.) Arnold,umber dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Scoliciosporaceae,,native ,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,230644
Sphaerophorus globosus,(Huds.) Vain.,coral lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,,,,reported,unobserved,1974-06-18,Willa J. Noble,UBC,L12473,,,,,Unlikely,
Sphaerophorus tuckermanii,Räsänen,Tuckerman’s coral lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,,native,S4S5 (2018),reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38254,,,,,,123231
Lepraria sp.,,Dust Lichens,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,,new 2017,observed,,,,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336529,https://static.inaturalist.org/photos/19535622/medium.jpeg?1528728096,,154184
Lepraria torii,,dust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Stereocaulon glareosum,(Savicz) H. Magn.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,,reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,L8266,,,,,,
Stereocaulon intermedium,(Savicz) H. Magn.,Pacific foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,native,S4 (2010),new 2019,observed,,,,,4/28/2019,Andrew Simon,https://www.inaturalist.org/observations/24711208,https://static.inaturalist.org/photos/38210144/medium.jpeg?1557196633,,231701
Lecidea beringeriana,A. Massal.,bearded dot,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Lecidea cruciaria,Tuck.,tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,native,unlisted,reported,unobserved,1974-06-19,Willa J. Noble,UBC,L20739,,,,,,
Lecidea fuscoatra,(L.) Ach.,tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,native,unlisted,reported,unobserved,1974-06-19,Willa J. Noble,UBC,L20741,,,,,,
Lecidea mannii,Tuck.,tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,native,unlisted,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38270,,,,,,223050
Lecidea sulphurea,(Hoffm.) Ach.,brimstone tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,native,unlisted,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38268,,,,,,222956
Lecidea tessellata,Flörke,tile lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Lecideaceae,,native,unlisted,reported,unobserved,1974-06-18,Willa J. Noble,UBC,L20731,,,,,,
Porpidia crustulata,(Ach.) Hertel & Knoph,concentric boulder lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Porpidiaceae,,native,unlisted,confirmed,observed,1974-06-02,Willa J. Noble,UBC,L38278,1/17/2019,Andrew Simon,https://www.inaturalist.org/observations/19703790,https://static.inaturalist.org/photos/30353125/medium.jpeg?1547775844,,182467
Halecania viridescens,Coppins & P. James,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Leprocaulales,,,Leprocaulaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Graphis scripta,(L.) Ach.,common script lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,native,unlisted,reported,unobserved,1914-05-21,John Macoun,UBC,L3940,,,,,,117987
Phlyctis argena,(Ach.) Flot.,whitewash lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Phlyctidaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,182631
Phlyctis speirea,G. Merr.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Phlyctidaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Pseudosagedia chlorotica,(Ach.) Hafellner & Kalb,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Porinaceae,,,,reported,unobserved,1974-06-19,Willa J. Noble,UBC,L20736,,,,,,
Stictis radiata,(L.) Pers.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Stictidaceae,,native,unlisted,new 2019,observed,,,,,2/1/2019,Andrew Simon,https://www.inaturalist.org/observations/20023008,https://static.inaturalist.org/photos/30906632/medium.jpeg?1549075982,,352459
Thelotrema lepadinum,(Ach.) Ach.,bark barnacles,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Thelotremataceae,,native,unlisted,confirmed,observed,1974-06-17,Willa J. Noble,UBC,L12471,5/5/2019,James Holkko,https://www.inaturalist.org/observations/26064580,https://static.inaturalist.org/photos/40438894/medium.jpg?1559232871,,129667
Spilonema revertens,Nyl.,rock hairball,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Coccocarpiaceae,,,,reported,unobserved,1974-06-19,Willa J. Noble,UBC,L8198,,,,,,
Blennothallia fecunda,"(Degel.) Otálora, P. M. Jørg. & Wedin",seaside tarpaper,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,native,S3 (2010),new 2019,observed,,,,,2019-05-05,Andrew Simon,https://www.inaturalist.org/observations/24706267,https://static.inaturalist.org/photos/38204775/medium.jpeg?1557192653,,462484
Collema furfuraceum,(Arnold) Du Rietz.,effervescent tarpaper lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,native,S3S4 (2010),reported,unobserved,1974-06-19,Willa J. Noble,UBC,L14414,,,,,,117947
Scytinium gelatinosum,"(With.) Otálora, P.M. Jørg. & Wedin",ageing vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,native,S5 (2018),reported,unobserved,1974-06-21,Willa J. Noble,UBC,L20494,,,,,,526716
Scytinium lichenoides,"(L.) Otálora, P.M. Jørg. & Wedin",tattered vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,native,S5 (2018),confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,4/19/2019,Andrew Simon,https://www.inaturalist.org/observations/22740058,https://static.inaturalist.org/photos/35237385/medium.jpeg?1555726752,,526717
Scytinium palmatum,(Huds.) Gray,horned vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Collemataceae,,native,S5 (2018),confirmed,observed,1974-06-21,Willa J. Noble,UBC,L20493,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336544,https://static.inaturalist.org/photos/19536734/medium.jpeg?1528729353,,532308
