Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name
Balanophyllia elegans,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,very many,open,50,14,orange cup coral
Ceratostoma foliatum,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,very many,open,50,14,leafy hornmouth
Cadlina luteomarginata,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,few,open,50,14,yellow-rimmed nudibranch
Cancer productus,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,1,open,50,14,red rock crab
Dermasterias imbricata,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,few,open,50,14,leather star
Mediaster aequalis,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,1,open,50,14,vermilion star
Pycnopodia helianthoides,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,1,open,50,14,sunflower star
Mesocentrotus franciscanus,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,very many,open,50,14,red sea urchin
Apostichopus californicus,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,very many,open,50,14,giant sea cucumber
Cucumaria miniata,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,few,open,50,14,red sea cucumber
Cnemidocarpa finmarkiensis,2019-05-04T12:53:00,logged as shiny orange sea squirt,"Edith Point, inside",48.855,-123.25,very many,open,50,14,broadbase tunicate
Metandrocarpa taylori,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,present,open,50,14,orange social tunicate
Sebastes caurinus,2019-05-04T12:53:00,20-30cm,"Edith Point, inside",48.855,-123.25,1,open,50,14,copper rockfish
Synchirus gilli,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,few,open,50,14,manacled sculpin
Sargassum muticum,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,wireweed
Pachycerianthus fimbriatus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,tube-dwelling anemone
Balanophyllia elegans,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,orange cup coral
Dodecaceria fewkesi,2019-05-04T13:24:00,logged as fringed tube worm,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,fringed filament-worm
Hippodiplosia insculpta,2019-05-04T13:24:00,she wrote check so not sure lattice or this one,"Retreat Cove South, island",48.938826,-123.501192,present,open,49,60,fluted bryozoan
Crassadoma gigantea,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,giant rock scallop
Ceratostoma foliatum,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,leafy hornmouth
Triopha catalinae,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,clown nudibranch
Cancer productus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,red rock crab
Pugettia gracilis,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,graceful kelp crab
Balanus nubilus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,giant acorn barnacle
Pisaster brevispinus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,giant pink star
Dermasterias imbricata,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,leather star
Mesocentrotus franciscanus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,red sea urchin
Apostichopus californicus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,1,open,49,60,giant sea cucumber
Cucumaria miniata,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,red sea cucumber
Rhinogobiops nicholsii,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,blackeye goby
Ronquilus jordani,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,1,open,49,60,northern ronquil
Chirolophis nugator,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,1,open,49,60,mosshead warbonnet
Embiotoca lateralis,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,very many,open,49,60,striped seaperch
Brachyistius frenatus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,1,open,49,60,kelp perch
Sebastes maliger,2019-05-04T13:24:00,"10-20cm, 20-30cm few of each","Retreat Cove South, island",48.938826,-123.501192,some,open,49,60,quillback rockfish
Sebastes flavidus,2019-05-04T13:24:00,"10-20cm, 20-30cm few of each","Retreat Cove South, island",48.938826,-123.501192,some,open,49,60,yellowtail rockfish
Hexagrammos decagrammus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,kelp greenling
Oxylebius pictus,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,painted greenling
Artedius harringtoni,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,scalyhead sculpin
Jordania zonope,2019-05-04T13:24:00,,"Retreat Cove South, island",48.938826,-123.501192,few,open,49,60,longfin sculpin
Metridium farcimen,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,abundant,open,47,51,giant plumose anemone
Pachycerianthus fimbriatus,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,very many,open,47,51,tube-dwelling anemone
Balanophyllia elegans,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,abundant,open,47,51,orange cup coral
Ptilosarcus gurneyi,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,very many,open,47,51,orange sea pen
Phidolopora pacifica,2019-05-04T15:25:00,logged as lacy,Walker Rock,48.92833,-123.50483,present,open,47,51,lattice-work bryozoan
Cryptochiton stelleri,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,giant Pacific chiton
Crassadoma gigantea,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,giant rock scallop
Ceratostoma foliatum,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,leafy hornmouth
Diaulula odonoghuei,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,1,open,47,51,spotted leopard dorid
Cadlina luteomarginata,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,1,open,47,51,yellow-rimmed nudibranch
Triopha catalinae,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,1,open,47,51,clown nudibranch
Dendronotus iris,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,giant nudibranch
Pandalus danae,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,coonstripe shrimp
Balanus nubilus,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,very many,open,47,51,giant acorn barnacle
Dermasterias imbricata,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,very many,open,47,51,leather star
Mediaster aequalis,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,vermilion star
Mesocentrotus franciscanus,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,very many,open,47,51,red sea urchin
Strongylocentrotus droebachiensis,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,abundant,open,47,51,green sea urchin
Apostichopus californicus,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,giant sea cucumber
Cucumaria miniata,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,very many,open,47,51,red sea cucumber
Metandrocarpa taylori,2019-05-04T15:25:00,logged as 1 so assuming 1 patch,Walker Rock,48.92833,-123.50483,few,open,47,51,orange social tunicate
Rhinogobiops nicholsii,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,abundant,open,47,51,blackeye goby
Sebastes maliger,2019-05-04T15:25:00,"20-30cm, 30-40cm",Walker Rock,48.92833,-123.50483,2,open,47,51,quillback rockfish
Hexagrammos decagrammus,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,1,open,47,51,kelp greenling
Artedius harringtoni,2019-05-04T15:25:00,,Walker Rock,48.92833,-123.50483,few,open,47,51,scalyhead sculpin
Metridium farcimen,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,giant plumose anemone
Balanophyllia elegans,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,43,53,orange cup coral
Ptilosarcus gurneyi,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,43,53,orange sea pen
Crassadoma gigantea,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,giant rock scallop
Triopha catalinae,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,clown nudibranch
Hermissenda crassicornis,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,opalescent nudibranch
Pandalus danae,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,coonstripe shrimp
Cancer productus,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,red rock crab
Lopholithodes mandtii,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,43,53,Puget Sound king crab
Balanus nubilus,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,43,53,giant acorn barnacle
Dermasterias imbricata,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,leather star
Mesocentrotus franciscanus,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,abundant,open,43,53,red sea urchin
Strongylocentrotus droebachiensis,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,abundant,open,43,53,green sea urchin
Apostichopus californicus,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,43,53,giant sea cucumber
Cnemidocarpa finmarkiensis,2019-05-05T09:56:00,logged as shiny orange sea squirt,Ballingall Islets Park,48.906568,-123.460574,very many,open,43,53,broadbase tunicate
