CatalogueNumber,ItemName,ScientificName,Phylum,Class,Order,Family,Genus,Species,Subspecies,TaxonCode,Synonyms,Identifier,IDDate,CDC,Quantity,SpecimenNature,Collector,CollectionDate,FieldEventCode,DepthBelowSurface_Min,DepthBelowSurface_Max,DepthBelowSurface_Unit,Eco_GenHabitat,Terrestrial_Aquatic,HabitatGrossCover,HabitatRemarks,Substrate,Vegetation,Country,Prov_State,LocationName,LocationDescription,LocationRemarks,Latitude,Longitude,Approximate,UTMZone,UTMNorthing,UTMEasting,Elevation,Continent,District,WaterBody,MuseumCollection,CurrentLocation,SpecimenType,SpecimenNotes,ContainerType,Preservative,Fixative,Prefixative,PreparationNotes,PreparatorNotes,RegistrationNo,TSRNo,Cataloguer,CatalogueDate,LastModifiedBy,LastModifiedDate,Restriction
986-00191-013,Strongylocentrotus pallidus,Strongylocentrotus pallidus,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,pallidus,,40-1-5-4," Strongylocentrotus echinoides A. Agassiz and H. L. Clark, 1907; Strongylocentrotus sachalinicus Clark, 1912", Philip Lambert,2019-10-18,,3,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1162b,,,Jar,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,Heidi Gartner,10/21/2019 12:08:14 PM,
986-00191-015,Amphissa columbiana,Amphissa columbiana,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,columbiana,,30-1-50,,,,,2,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-016,Pododesmus macrochisma,Pododesmus macrochisma,Mollusca,Bivalvia,Ostreoida,Anomiidae,Pododesmus,macrochisma,,32-3-2-10," Pododesmus cepio (J. E. Gray, 1850); Pododesmus macroschisma (Deshayes, 1839)",,,,3,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.968b,,,,,,,,,,,,2004-04-08,,,
986-00191-017,Pododesmus macrochisma,Pododesmus macrochisma,Mollusca,Bivalvia,Ostreoida,Anomiidae,Pododesmus,macrochisma,,32-3-2-10," Pododesmus cepio (J. E. Gray, 1850); Pododesmus macroschisma (Deshayes, 1839)",,,,5,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-018,Epiactis,Epiactis,Cnidaria,Anthozoa,Actiniara,Actiniidae,Epiactis,,,4-3-2-1-5,, Daphne Fautin,1997-08-01,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.138,,,Jar,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,,,
986-00191-019,Boltenia villosa,Boltenia villosa,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,villosa,,45-1-2-2," Cynthia villosa Stimpson, 1864", Heidi Gartner,2011-04-28,,6,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1267b,,,Jar,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,,,
986-00191-020,Pododesmus,Pododesmus,Mollusca,Bivalvia,Ostreoida,Anomiidae,Pododesmus,,,,,,,,6,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-021,Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,droebachiensis,,40-1-5-4, Strongylocentrotus droehbachiensis, Dave Gillan,1991-08-07,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1160,,,,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,,,
986-00191-022,Nucella lamellosa,Nucella lamellosa,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,lamellosa,,30-1-48,,,,,,,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-023,Chlamys,Chlamys,Mollusca,Bivalvia,Ostreoida,Pectinidae,Chlamys,,,,,,,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-024,,,Arthropoda,Malacostraca,Amphipoda,,,,,25-6-4-5,,,,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-026,Chlamys hastata,Chlamys hastata,Mollusca,Bivalvia,Ostreoida,Pectinidae,Chlamys,hastata,,32-3-2-6,,,,,9,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
986-00191-027,Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,droebachiensis,,40-1-5-4, Strongylocentrotus droehbachiensis, A. Bazhin,1996-05-23,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1160,,,,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,,,
986-00191-028,Ceratostoma foliatum,Ceratostoma foliatum,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ceratostoma,foliatum,,30-1-48,,,,,3,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
986-00191-029,Nucella lamellosa,Nucella lamellosa,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,lamellosa,,30-1-48,,,,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.856,,,,Isopropanol - 60%,,,,,,,,2004-04-08,Heidi Gartner,9/24/2019 2:53:56 PM,
986-00191-030,Eupentacta quinquesemita,Eupentacta quinquesemita,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,quinquesemita,,41-3-4,, Philip Lambert,2001-03-13,,2,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1231,,,Jar,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,Heidi Gartner,12/12/2014 2:04:29 PM,
986-00191-031,Eupentacta quinquesemita,Eupentacta quinquesemita,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,quinquesemita,,41-3-4,, Philip Lambert,2000-05-19,,2,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1231,,,Jar,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,Heidi Gartner,10/21/2019 12:13:46 PM,
986-00191-032,Parastichopus californicus,Parastichopus californicus,Echinodermata,Holothuroidea,Aspidochirotida,Stichopodidae,Parastichopus,californicus,,41-1-2," Stichopus californicus Stimpson, 1857", Philip Lambert,2000-05-16,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,,,
986-00191-033,Balanus nubilus,Balanus nubilus,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,nubilus,,25-5-1,, Kelly Sendall,2000-07-18,,10,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.414,,,Jar,Isopropanol - 60%,formalin - 10%,,jar; 2,,,,,,,,
986-00191-034,Mopaliidae,,Mollusca,Polyplacophora,Neoloricata,Mopaliidae,,,,29-1-2,, Rory Macklin,2018-06-12,,3,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.742,,,Jar,Isopropanol - 60%,formalin - 10%,,,,,,Heidi Gartner,2018-10-01,Heidi Gartner,10/15/2018 10:37:08 AM,
986-00191-035,Mopalia vespertina,Mopalia vespertina,Mollusca,Polyplacophora,Neoloricata,Mopaliidae,Mopalia,vespertina,,29-1-2,, Rory Macklin,2018-06-12,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.752b,,,Jar,Isopropanol - 60%,formalin - 10%,,,,,,Heidi Gartner,2018-10-01,Heidi Gartner,10/15/2018 10:39:39 AM,
986-00191-036,Lepidozona mertensii,Lepidozona mertensii,Mollusca,Polyplacophora,Neoloricata,Ischnochitonidae,Lepidozona,mertensii,,29-1-4,, Rory Macklin,2018-06-12,,1,Wet,,1986-04-08,G86-03,,,,,marine,,,submerged BC Hydro cable,,Canada,British Columbia,Active Pass; Galiano Island; Mayne Island,between Galiano and Mayne Island,,48.865,-123.306666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.762a,,,Vial,Isopropanol - 60%,formalin - 10%,,,,,,Heidi Gartner,2018-10-01,Heidi Gartner,10/15/2018 10:38:22 AM,
987-00051-001,Berryteuthis magister,Berryteuthis magister,Mollusca,Cephalopoda,Teuthida,Gonatidae,Berryteuthis,magister,,33-3-1-11," Gonatus magister Berry, 1913; Gonatus magister S. S. Berry, 1913; Gonatus septemdentatus Sasaki, 1915",,,,1,Wet, W. Barraclough,1965-01-29,UV'65-1 tow #38,121.0000,121.0000,m,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,W.G. Fields Collection,T.00.018.INVT-BIN.1038a,,,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
988-00095-001,Mopalia vespertina,Mopalia vespertina,Mollusca,Polyplacophora,Neoloricata,Mopaliidae,Mopalia,vespertina,,29-1-2,,,,,5,Wet, Ian McTaggart-Cowan,1973-04-20,,,,,,marine,,,,,Canada,British Columbia,Galiano Island,north of Montague Harbour,,48.9,-123.416666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,Isopropanol - 60%,Ethanol - 90%,,,,,,,2004-04-08,Heidi Gartner,9/5/2019 3:48:02 PM,
988-00095-001,Mopalia vespertina,Mopalia vespertina,Mollusca,Polyplacophora,Neoloricata,Mopaliidae,Mopalia,vespertina,,29-1-2,,,,,5,Wet, Ian McTaggart-Cowan,1973-04-20,,,,,,marine,,,,,Canada,British Columbia,Galiano Island,north of Montague Harbour,,48.9,-123.416666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,Isopropanol - 60%,Ethanol - 90%,,,,,,,2004-04-08,Heidi Gartner,9/5/2019 3:48:02 PM,
989-00041-001,Metridium,Metridium,Cnidaria,Anthozoa,Actiniara,Metridiidae,Metridium,,,,, Daphne Fautin,1989-03-29,,2,Wet, P. Frank; Rita O'Clair,1976-06-20,National Museum 760029,,,,,marine,,,floats,,Canada,British Columbia,Galiano Island; Virago Point,,,49.01,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.150,,,Jar,Isopropanol - 60%,,,,,,,,2004-04-08,,,
989-00585-001,Patinopecten caurinus,Patinopecten caurinus,Mollusca,Bivalvia,Ostreoida,Pectinidae,Patinopecten,caurinus,,,,,,,1,Dry, Neil Bourne,1967-04-01,,109.7300,109.7300,m,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
989-00864-001,Patinopecten caurinus,Patinopecten caurinus,Mollusca,Bivalvia,Ostreoida,Pectinidae,Patinopecten,caurinus,,,,,,,1,Dry, Dan Quayle,,,110.0000,110.0000,m,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
989-00923-001,Chlamys hastata hericia,Chlamys hastata hericia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Chlamys,hastata,hericia,32-3-2-6,,,,,2,Dry, Dan Quayle,1962-01-01,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00066-001,Lepidochitona,Lepidochitona,Mollusca,Polyplacophora,Neoloricata,Tonicellidae,Lepidochitona,,,29-1-1,,,2008-08-15,,5,Dry, Charles Newcombe,1893-06-01,,,,,,marine,,,,,Canada,British Columbia,Galiano Island,,,48.9333333333333,-123.45,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00066-002,Tonicella,Tonicella,Mollusca,Polyplacophora,Neoloricata,Tonicellidae,Tonicella,,,,,,2002-03-12,,1,Dry, Charles Newcombe,1893-06-01,,,,,,marine,,,,,Canada,British Columbia,Galiano Island,,,48.9333333333333,-123.45,False,,,,,North America,Gulf Islands,Strait of Georgia,Newcombe,T.00.018.INVT,,,Box,,,,,,,,Rian Dickson,2002-03-12,,,
991-00464-001,Yoldia amygdalea,Yoldia amygdalea,Mollusca,Bivalvia,Nuculoida,Yoldiidae,Yoldia,amygdalea,,32-2-1-2,,,,,13,Dry, John Fleury,1962-09-14,FRB 62-50,73.0000,73.0000,m,,marine,,,mud,,Canada,British Columbia,Trincomali Channel; Walker Rock,,,48.925,-123.491666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00498-001,Yoldia scissurata,Yoldia scissurata,Mollusca,Bivalvia,Nuculoida,Yoldiidae,Yoldia,scissurata,,32-2-1-2," Yoldia ensifera Dall, 1897; Yoldia plena Dall, 1908",,,,3,Dry,,1917-06-29,,29.0000,29.0000,m,,marine,,,,,Canada,British Columbia,Trincomali Channel,,,48.8666666666667,-123.391666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00500-001,Yoldia thraciaeformis,Yoldia thraciaeformis,Mollusca,Bivalvia,Nuculoida,Yoldiidae,Yoldia,thraciaeformis,,32-2-1-2,,,,,1,Dry, Dan Quayle,1942-06-01,,201.0000,201.0000,m,,marine,,,,,Canada,British Columbia,Stuart Channel,near Saltspring Island,,48.8666666666667,-123.391666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00521-001,Patinopecten caurinus,Patinopecten caurinus,Mollusca,Bivalvia,Ostreoida,Pectinidae,Patinopecten,caurinus,,,,,,,1,Dry, Dan Quayle,1964-06-01,,37.0000,37.0000,m,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Bernard,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00598-001,Bathydrilus litoreus,Bathydrilus litoreus,Annelida,Clitellata,Haplotaxida,Tubificidae,Bathydrilus,litoreus,,,,,,,1,, Randy Baker,1979-07-05,GI 020,,,,,marine,,,,,Canada,British Columbia,Galiano Island,west coast of Galiano Island,,48.9166666666667,-123.45,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00598-002,Limnodriloides victoriensis,Limnodriloides victoriensis,Annelida,Clitellata,Haplotaxida,Tubificidae,Limnodriloides,victoriensis,,19-4,,,,,1,, Randy Baker,1979-07-05,GI 020,,,,,marine,,,,,Canada,British Columbia,Galiano Island,west coast of Galiano Island,,48.9166666666667,-123.45,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00598-003,Limnodriloides victoriensis,Limnodriloides victoriensis,Annelida,Clitellata,Haplotaxida,Tubificidae,Limnodriloides,victoriensis,,19-4,,,,,,, Randy Baker,1979-07-05,GI 020,,,,,marine,,,,,Canada,British Columbia,Galiano Island,west coast of Galiano Island,,48.9166666666667,-123.45,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00598-004,Limnodriloides victoriensis,Limnodriloides victoriensis,Annelida,Clitellata,Haplotaxida,Tubificidae,Limnodriloides,victoriensis,,19-4,,,,,,, Randy Baker,1979-07-05,GI 020,,,,,marine,,,,,Canada,British Columbia,Galiano Island,west coast of Galiano Island,,48.9166666666667,-123.45,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
991-00720-001,Limnodriloides victoriensis,Limnodriloides victoriensis,Annelida,Clitellata,Haplotaxida,Tubificidae,Limnodriloides,victoriensis,,19-4,,,,,,, Randy Baker,1979-07-05,GI 20,,,,,marine,,,,,Canada,British Columbia,Galiano Island; Whaler Bay,,,48.89,-123.33,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
994-00072-002,Daphnia longiremis,Daphnia longiremis,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Daphnia,longiremis,,25-1-4-2-6,, Bert Loro,1998-01-14,,5,Wet,,1991-05-10,,,,,,freshwater,,,,,Canada,British Columbia,Gulf Islands; Galiano Island; Stocking Lake,,,48.9666666666667,-123.833333333333,False,,,,,North America,,,,T.00.018.INVT,,,,Isopropanol - 60%,formalin - 10%,,,,,,,,,,
997-00068-001,Pandalopsis lucidirimicola,Pandalopsis lucidirimicola,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalopsis,lucidirimicola,,25-6-10-5,,,,,1,Wet, Daniel Kent,1995-11-24,,17.0000,18.0000,m,,marine,,,,,Canada,British Columbia,Galiano Island; Matthews Point,,,48.86,-123.328333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,Paratype,male,,Isopropanol - 60%,,,,,,,,2004-04-08,Heidi Gartner,5/13/2015 4:44:01 PM,
997-00574-001,Pandalopsis,Pandalopsis,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalopsis,,,25-6-10-5,,,,,1,Wet, Gregory Jensen,1995-11-24,,16.7000,18.3000,m,,marine,,,,,Canada,British Columbia,Galiano Island; Matthews Point,,,48.8583333333333,-123.326666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.548,,not a postitive spp id,,Isopropanol - 60%,formalin - 10%,,,,,,,2004-04-08,,,
999-00379-001,Eubranchipus oregonus,Eubranchipus oregonus,Arthropoda,Branchiopoda,Anostraca,Chirocephalidae,Eubranchipus,oregonus,,25-1-1,, Kristina Grant,2013-10-25,,1,Wet, Geoffrey Scudder,1999-03-02,,,,,,freshwater,,,,,Canada,British Columbia,Galiano Island,Spanish Hills,,,,False,,,,,North America,Gulf Islands,,,T.00.018.INVT-BIN.353,,,Vial,Isopropanol - 60%,,,,,,,,1999-11-10,,,
