iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,area,HJ_comment,FPNW_note,critical_comments,reviewed,id
Ambrosia chamissonis,71135,Allotropa virgata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Heliantheae,Ambrosia,chamissonis,saanich,Humus soil in coniferous forest; rare; first collected by J. R. Anderson in the Highland district in 1898; recently collected in Goldstream by M. C. Melburn in 1966 and 1967.,,,,COMP-Saanich:44
Amelanchier alnifolia semiintegrifolia,80360,Alnus rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Amelanchier,alnifolia,saanich,"Moist woods, along the ditches and wet shoreline; common in suitable habitats throughout.",,,AS,COMP-Saanich:45
Amsinckia menziesii intermedia,49141,Alnus viridis ssp. sinuata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,menziesii,saanich,"Moist places, margins of streams and lakes; rare; restricted to Goldstream and the Langford areas.",,,,COMP-Saanich:46
Amsinckia lycopsoides,58048,Alopecurus aequalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,lycopsoides,saanich,"In shallow waters and wet places; locally abundant; Roval Oak, Elk Lake, and Sidney.",,,,COMP-Saanich:47
Amsinckia menziesii,55436,Alopecurus carolinianus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,menziesii,saanich,"Waste areas; rare; known from the Uplands where it was collected by M. C. Melburn in 1961, 1965, and 1967; to our knowledge this species was collected for the first time in Oak Bay by Macoun in 1887. Collecdtions Christmas Hill Douglas, Penny, Donovan. Trial Island Donovan, Ceska.Several Oak Bay Ceskas, Donovan, Hartwell.",,,,COMP-Saanich:48
Amsinckia menziesii menziesii,58049,Alopecurus geniculatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,menziesii,saanich,"Native of Eurasia; shallow water and wet places; occasional in Saanich, Victoria, Oak Bay and at Island View Beach",,,,COMP-Saanich:49
Amsinckia spectabilis,71045,Alopecurus myosuroides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,spectabilis,saanich,Native of Europe; rare; known only from the Saanichton Experimental Farm. JWE 1939. On Lomer & Penny's non-established list.,,,,COMP-Saanich:50
Amsinckia tessellata,58050,Alopecurus pratensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,tessellata,saanich,"Introduced, now established in Victoria,Oak Bay, deep Cove and Royal Oak.",,,,COMP-Saanich:51
Anaphalis margaritacea,52833,Alopecurus saccatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Anaphalis,margaritacea,saanich,Wet meadows; restricted to the Sidney area. (?) No herbarium records found.,,,,COMP-Saanich:52
Anchusa azurea,75429,Alyssum alyssoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Anchusa,azurea,saanich,Waste places on dry soil; well established and weedy in some areas.,,,,COMP-Saanich:53
