Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,authority
Asteraceae,Anisocarpus madioides Nutt.,,Forest,20,,,,,,Anisocarpus madioides,Nutt.
Asteraceae,Antennaria racemosa Hook.,,Open,1,,,,,,Antennaria racemosa,Hook.
Asteraceae,Anthemis cotula L.*,,Open,2,,,,,,Anthemis cotula,L.*
Asteraceae,Arctium minus (Hill) Bernh.*,,Open,4,,,,,,Arctium minus,(Hill) Bernh.*
Asteraceae,Artemisia campestris L.,var. scouleriana,Open,17,,,,,,Artemisia campestris,L.
Asteraceae,Artemisia suksdorfii Piper,,Open,5,,,,,,Artemisia suksdorfii,Piper
Asteraceae,Artemisia vulgaris L.*,,Open,1,,,,,,Artemisia vulgaris,L.*
Asteraceae,Bellis perennis L.*,,Open,23,,,,,,Bellis perennis,L.*
Asteraceae,Bidens beckii Torr. ex Spreng.,,Wetland,1,,,,,,Bidens beckii,Torr. ex Spreng.
Asteraceae,Bidens frondosa L.,,Shoreline,1,,,,,,Bidens frondosa,L.
Asteraceae,Calendula officinalis L.*,,Open,1,,,,,,Calendula officinalis,L.*
Asteraceae,Carduus nutans L.*,,Open,1,,,,,,Carduus nutans,L.*
Asteraceae,Centaurea cyanus L.*,,Open,2,,,,,,Centaurea cyanus,L.*
Asteraceae,Centaurea diffusa Lam.*,,Open,1,,,,,,Centaurea diffusa,Lam.*
Asteraceae,Centaurea gerstlaueri Erdner*,,Open,3,,,,,,Centaurea gerstlaueri,Erdner*
Asteraceae,Centaurea jacea L.*,,Open,2,,,,,,Centaurea jacea,L.*
Asteraceae,Centaurea melitensis L.*,,Open,2,,,,,,Centaurea melitensis,L.*
Asteraceae,Centaurea montana L.*,,Open,1,,,,,,Centaurea montana,L.*
Asteraceae,Centaurea stoebe L.*,ssp. australis,Open,3,,,,,,Centaurea stoebe,L.*
Asteraceae,Centaurea varnensis Velen.*,,Open,1,,,,,,Centaurea varnensis,Velen.*
Asteraceae,Cichorium intybus L.*,,Open,2,,,,,,Cichorium intybus,L.*
Asteraceae,Cirsium arvense (L.) Scop.*,,Open,32,,,,,,Cirsium arvense,(L.) Scop.*
Asteraceae,Cirsium brevistylum Cronquist,,Forest,7,,,,,,Cirsium brevistylum,Cronquist
Asteraceae,Cirsium vulgare (Savi) Ten.*,,Open,67,,,,,,Cirsium vulgare,(Savi) Ten.*
