ID,Date,LatitudeDD,LongitudeDD,SpeciesName,ScientificName,GroupSize,Confidence,SightingsID
515,06/17/17,48.95916667,-123.5520833,humpback whale,Megaptera novaeangliae,1,certain,122959
519,07/01/17,48.85706667,-123.3210667,humpback whale,Megaptera novaeangliae,2,probable,123099
523,11/12/18,49.0198,-123.5764333,humpback whale,Megaptera novaeangliae,4,certain,126282
524,11/24/18,48.98833333,-123.4998333,humpback whale,Megaptera novaeangliae,1,certain,126419
525,01/30/16,48.88816667,-123.2926167,humpback whale,Megaptera novaeangliae,1,certain,113381
526,08/21/17,49.02643333,-123.5837833,humpback whale,Megaptera novaeangliae,1,certain,117520
535,07/17/18,48.97798333,-123.5967167,humpback whale,Megaptera novaeangliae,1,certain,124232
536,07/17/18,48.9855,-123.5833667,humpback whale,Megaptera novaeangliae,2,certain,124233
537,07/18/18,48.9077,-123.4639167,humpback whale,Megaptera novaeangliae,1,certain,124257
538,08/08/18,48.86253333,-123.34365,humpback whale,Megaptera novaeangliae,1,possible,124560
545,09/09/17,48.85846667,-123.338,humpback whale,Megaptera novaeangliae,1,certain,129013
554,10/24/19,48.88853333,-123.2954,humpback whale,Megaptera novaeangliae,2,,131293
563,09/24/18,48.87811667,-123.2919833,humpback whale,Megaptera novaeangliae,1,certain,125516
566,09/26/17,48.85623333,-123.3076833,humpback whale,Megaptera novaeangliae,2,certain,129370
571,07/12/19,48.85845,-123.3439667,humpback whale,Megaptera novaeangliae,2,uncertain,129908
572,12/30/19,48.86638333,-123.3088167,humpback whale,Megaptera novaeangliae,2,certain,131823
573,12/22/19,48.86638333,-123.3088167,humpback whale,Megaptera novaeangliae,1,certain,131826
575,07/12/19,48.86038333,-123.3494,humpback whale,Megaptera novaeangliae,2,uncertain,132189
585,08/21/19,48.8817,-123.3016,humpback whale,Megaptera novaeangliae,NA,certain,E4C5B9D5-953D-4DEE-AADC-0E61C04D9BEC
591,09/04/19,48.8543,-123.3456,humpback whale,Megaptera novaeangliae,-,certain,7bc45562-5984-488a-a281-456e83e74c35
592,09/04/19,48.8545,-123.3445,humpback whale,Megaptera novaeangliae,-,certain,42a68a30-d62a-4af8-adef-71bfa8d8ce02
