iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920008,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920009,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920010,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920012,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920013,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920014,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920015,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920016,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920018,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920019,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920020,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920023,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920025,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920027,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920028,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920032,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920034,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920036,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920039,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920040,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920045,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920046,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920049,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:60619085,,,,,2011-10-29,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:60619086,,,,,2011-10-29,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:60619088,,,,,2011-10-30,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,ade2c3e0-c84e-4437-ad4d-d07da053d65d,,,Invertebrate Zoology,016-00066-001,2011-10-30,Galiano Island: Galiano Glass Sponge Reef,Jackson Chu
