iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:1346,,,PMLS,,1995-02-23,Cliff House,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:1422,,,PMLS,,1995-02-24,Virago Point,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:1514,,,PMLS,,1995-02-24,Alcala Point,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:1611,,,PMLS,,1995-02-25,Spanish Hills Store,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:1702,,,PMLS,,1995-02-25,Alcala Point,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:1875,,,PMLS,,1995-02-26,wreck of the Point Grey,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:1949,,,PMLS,,1995-02-26,Virago Point,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:2027,,,PMLS,,1996-02-24,wreck of the Point Grey,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:2130,,,PMLS,,1996-02-24,Spanish Hills Store,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:2226,,,PMLS,,1996-02-25,Baines Bay,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:2319,,,PMLS,,1996-05-29,Spanish Hills Store,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:2425,,,PMLS,,1996-09-28,Shaw's Landing,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:2514,,,PMLS,,1996-09-28,"Bodega, off Bodega Ridge",Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:2599,,,PMLS,,1996-09-29,Alcala Point,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:2692,,,PMLS,,1996-09-29,"Retreat Cove, north of",Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:2940,,,PMLS,,1999-07-31,Mathews Point,Charlie Gibbs
