Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Sebastes melanops,"Girard, 1856",black rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,Scorpaenoidei,,Sebastidae,Sebastinae,unlisted,unlisted,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Sebastes nigrocinctus,"Ayres, 1859",tiger rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,Scorpaenoidei,,Sebastidae,Sebastinae,unlisted,unlisted,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Sebastes ruberrimus,"(Cramer, 1895)",yellow-eye rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,Scorpaenoidei,,Sebastidae,Sebastinae,unlisted,unlisted,confirmed,observed,1982-06-08,C. E. Kasserra,CMN,CMNFI 1985-0086.1,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854164,https://static.inaturalist.org/photos/3256011/medium.jpg?1459375796,,63695,
Syngnathus leptorhynchus,"Girard, 1854",bay pipefish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Syngnathiformes,,,Syngnathidae,Syngnathinae,unlisted,unlisted,confirmed,observed,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,2016-07-03,Paz Touchburn,http://www.inaturalist.org/observations/3612908,https://static.inaturalist.org/photos/4172035/medium.JPG?1467577966,,54538,
Clavelina huntsmani,"Van Name, 1931",light-bulb tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Clavelinidae,,unlisted,unlisted,reported,unobserved,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Pycnoclavella stanleyi,"Berrill & Abbott, 1949",yellow social ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Clavelinidae,,unlisted,unlisted,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Didemnum carnulentum,"Ritter & Forsyth, 1917",Pacific white crust,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,unlisted,unlisted,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Didemnum spp.,,white glove leather,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,unlisted,unlisted,confirmed,observed,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976349,https://static.inaturalist.org/photos/3420624/medium.jpg?1461099539,,55512,Didemnum spp. in our dive log data for Galiano Island is most likely via our Didemnun/Trididemnum category. This category has traditionally been used for encrusting whitish compound tunicate that often forms large sheets . We have followed this procedure based upon Gretchen Lambert's advice. An impossible task to go further in the field and without specimen sampling.
Didemnum vexillum,"Kott, 2002",carpet sea squirt,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,unlisted,unlisted,reported,unobserved,2013-10-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,"Requires review; confer with Gretchen Lambert; the Didemnum vexillum name is the result of a recent interaction with Gretchen Lambert. This is the correct name for the invasive species shown in our book (page 357, CH43) which was tentatively termed Didemnum."
Diplosoma listerianum,"(Milne-Edwards, 1841)",gray encrusting compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,unlisted,unlisted,reported,unobserved,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Trididemnum alexi,"Lambert, 2003",speckled compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,unlisted,unlisted,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Distaplia occidentalis,"Bancroft, 1899",mushroom compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Holozoidae,,unlisted,unlisted,confirmed,observed,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Larry Taylor,https://www.inaturalist.org/observations/30012080,https://static.inaturalist.org/photos/46864041/medium.jpeg?1564701493,,347339,
Cystodytes lobatus,"(Ritter, 1900)",lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,unlisted,unlisted,reported,unobserved,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Eudistoma molle,"(Ritter, 1900)",red-dotted compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,unlisted,unlisted,reported,unobserved,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Aplidium californicum,"(Ritter & Forsyth, 1917)",California sea pork,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,unlisted,unlisted,reported,unobserved,1994-10-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Aplidium solidum,"(Ritter & Forsyth, 1917)",red ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,unlisted,unlisted,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Synoicum parfustis,"(Ritter & Forsyth, 1917)",peach-coloured compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,unlisted,unlisted,reported,unobserved,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Eudistoma purpuropunctatum,"Lambert, 1989",mauve lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Enterogona,,,Polycitoridae,,unlisted,unlisted,confirmed,observed,2008-11-12,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976065,https://static.inaturalist.org/photos/3420229/medium.jpg?1461098012,,492675,
Ascidia columbiana,"(Huntsman, 1912)",sea blisters,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,unlisted,unlisted,reported,unobserved,2011-11-18,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ascidia paratropa,"(Huntsman, 1912)",glassy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,unlisted,unlisted,reported,unobserved,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ciona savignyi,"Herdman, 1882",sea vase,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Cionidae,,unlisted,unlisted,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Chelyosoma productum,"Stimpson, 1864",disc-top tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,unlisted,unlisted,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Corella inflata,"Huntsman, 1912",brooding transparent tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,unlisted,unlisted,reported,unobserved,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Corella willmeriana,"Herdman, 1898",transparent tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,unlisted,unlisted,reported,unobserved,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Perophora annectens,"Ritter, 1893",yellow social tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Perophoridae,,unlisted,unlisted,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Boltenia villosa,"(Stimpson, 1864)",hairy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Pyuridae,,unlisted,unlisted,confirmed,observed,,,RBCM,986-00191-019,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854899,https://static.inaturalist.org/photos/3257040/medium.jpg?1459383044,,194568,not represented in GBIF / RBCM catalogue
Halocynthia igaboja,"Oka, 1906",bristly tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Pyuridae,,unlisted,unlisted,confirmed,observed,1994-02-26,Andy Lamb & Donna Gibbs,PMLS,,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854905,https://static.inaturalist.org/photos/3257048/medium.jpg?1459383148,,428524,
Cnemidocarpa finmarkiensis,"(Kiaer, 1893)",broadbase tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Styelidae,,unlisted,unlisted,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2013-07-24,Karolle Wall,http://www.inaturalist.org/observations/4015210,https://static.inaturalist.org/photos/3420358/medium.jpg?1461098569,,47807,
Styela montereyensis,"(Dall, 1872)",stalked tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Styelidae,,unlisted,unlisted,new 1978,observed,,,,,,1978-02-19,Rick Harbo,https://www.inaturalist.org/observations/31752058,https://static.inaturalist.org/photos/49728830/original.jpeg?1567113798,,333922,
Molgula pacifica,"(Huntsman, 1912)",globular ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Molgulidae,,unlisted,unlisted,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Bathypera feminalba,"Young & Vazquez, 1995",tiny white tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,unlisted,unlisted,reported,unobserved,2009-04-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Halocynthia aurantium,"(Pallas, 1787)",Pacific sea peach,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,unlisted,unlisted,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-008,1898284570,,,,,,473652,
Pyura haustor,"(Stimpson, 1864)",warty tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,unlisted,unlisted,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Pyura mirabilis,"(Von Drasche, 1884)",Aladdin's lamp tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,unlisted,unlisted,reported,unobserved,2013-10-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Botrylloides violaceus,"Oka, 1927",lined compound ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,unlisted,unlisted,reported,unobserved,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Metandrocarpa taylori,"Huntsman, 1912",orange social tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,unlisted,unlisted,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Styela gibbsii,"Stimpson, 1864",brown tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,unlisted,unlisted,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Hydrolagus colliei,"(Lay & Bennett, 1839)",spotted ratfish,Animalia,Chordata,Vertebrata,,Chondrichthyes,Holocephali,,Chimaeriformes,,,Chimaeridae,,unlisted,unlisted,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,84182,
Beringraja binoculata,"Girard, 1855",big skate,Animalia,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,,Rajiformes,,,Rajidae,Rajinae,unlisted,unlisted,reported,unobserved,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,607477,
Beringraja rhina,"Jordan & Gilbert, 1880",longnose skate,Animalia,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,,Rajiformes,,,Rajidae,Rajinae,unlisted,unlisted,reported,unobserved,2010-11-12,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,883875,
Squalus suckleyi,"(Girard, 1855)",North Pacific spiny dogfish shark,Animalia,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,Squalomorphi,Squaliformes,,,Squalidae,,unlisted,unlisted,confirmed,observed,1982-06-08,C. E. Kasserra,CMN,CMNFI 1985-0086.5,,2017-08-14,Tyson Ehlers,https://www.inaturalist.org/observations/8898612,https://static.inaturalist.org/photos/11974205/medium.jpeg?1511380177,Reported as Squalus acanthias,201523,
Anthopleura artemisia,"(Pickering in Dana, 1846)",burrowing anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,confirmed,observed,1996-09-29,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976378,https://static.inaturalist.org/photos/3421025/medium.jpg?1461100891,,51658,
Anthopleura elegantissima,"(Brandt, 1835)",pink-tipped anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,confirmed,observed,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,2015-08-28,Andrew Simon,http://www.inaturalist.org/observations/2580645,https://static.inaturalist.org/photos/2880823/medium.JPG?1452760887,,52564,
Cribrinopsis fernaldi,"Siebert & Spaulding, 1976.",snakelock anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Cribrinopsis rubens,"Sanamyan, Sanamyan, McDaniel, Martynov, Korshunova & Bocharova, 2019",crimson anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,reported,unobserved,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Epiactis lisbethae,"Fautin & Chia, 1986",brooding anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,reported,unobserved,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Epiactis prolifera,"Verrill, 1869",proliferating anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,reported,unobserved,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Urticina clandestina,"(Cuvier, 1798)",stubby rose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Urticina coriacea,"(Cuvier, 1798)",stubby rose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,new 2016,observed,,,,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763403,https://static.inaturalist.org/photos/3127639/medium.jpg?1457577398,,122038,
Urticina crassicornis,"(Müller, 1776)",Christmas anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,new 2016,observed,,,,,,2016-05-08,Karolle Wall,http://www.inaturalist.org/observations/3706034,https://static.inaturalist.org/photos/4303411/medium.jpg?1468965737,,127236,
Urticina grebelnyi,"(O.F. Môller, 1776)",painted anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,unlisted,unlisted,confirmed,observed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975837,https://static.inaturalist.org/photos/3419900/medium.jpg?1461096606,,492672,
Stomphia coccinea,"(O.F. Môller, 1776)",spotted swimming anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinostoloidea,Actinostolidae,,unlisted,unlisted,reported,unobserved,2009-04-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Stomphia didemon,"Siebert, 1973",swimming anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinostoloidea,Actinostolidae,,unlisted,unlisted,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Diadumene lineata,"(Verrill, 1869)",striped green sea anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Diadumenidae,,unlisted,unlisted,new 2018,observed,,,,,,2018-08-05,Kristian Sigvardsen,https://www.inaturalist.org/observations/15156184,https://static.inaturalist.org/photos/22659175/medium.jpg?1533521228,,81783,
Halcampa decemtentaculata,"Hand, 1955",ten-tentacled burrowing anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Halcampidae,,unlisted,unlisted,reported,unobserved,2008-06-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Peachia quinquecapitata,"McMurrich, 1913",jelly-dwelling anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Haloclavidae,,unlisted,unlisted,reported,unobserved,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Metridium farcimen,"(Brandt, 1835)",giant plumose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,unlisted,unlisted,reported,unobserved,1973-09-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Metridium senile,"(Linnaeus, 1761)",short plumose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,unlisted,unlisted,confirmed,observed,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,,,2017-04-30,Andrew Simon,https://www.inaturalist.org/observations/6047558,https://static.inaturalist.org/photos/7577726/medium.jpeg?1493700336,,49071,
Alcyonium sp.,,orange soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,unlisted,unlisted,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,"Dr. Gary Williams is still grappling with the official naming of this species; ""both the 'Gulf Island soft coral' and the 'Race Rocks/Browning Passage/Weynton Passage soft coral' are in the genus Alcyonium. But they are genetically different and await sorting out taxonomically."" (Neil McDaniel pers. comm. 2019)"
Discophyton rudyi,"de Blainville, 1830",white soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,unlisted,unlisted,reported,unobserved,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Thrombophyton trachydermum,"de Blainville, 1830",pale soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,unlisted,unlisted,reported,unobserved,2009-01-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Scleronephthya sp.,,cauliflower coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Nephtheidae,,unlisted,unlisted,new 2016,observed,,,,,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854918,https://static.inaturalist.org/photos/3257063/medium.jpg?1459383294,,418133,
Pachycerianthus fimbriatus,"McMurrich, 1910",tube-dwelling anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Ceriantharia,,,Cerianthidae,,unlisted,unlisted,confirmed,observed,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,2016-07-05,Karolle Wall,http://www.inaturalist.org/observations/4052594,https://static.inaturalist.org/photos/4799740/medium.jpg?1473210888,,47702,
Halipteris willemoesi,"K_lliker, 1870",sea whip,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Halipteridae,,unlisted,unlisted,reported,unobserved,2007-12-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ptilosarcus gurneyi,"(Gray, 1860)",orange sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Pennatulidae,,unlisted,unlisted,confirmed,observed,1923-06-18,,RBCM,976-01146-015,1898281934,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763461,https://static.inaturalist.org/photos/3130226/medium.jpg?1457631809,,448320,no collector name in GBIF dataset
Acanthoptilum sp.,,white sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,unlisted,unlisted,reported,observed,2016-01-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Stylatula sp.,,white sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,unlisted,unlisted,reported,unobserved,2016-01-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Virgularia sp.,,white sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,unlisted,unlisted,confirmed,observed,1995-02-25,Andy Lamb & Donna Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975931,https://static.inaturalist.org/photos/3420031/medium.jpg?1461097213,,,
Caryophyllia alaskensis,"Vaughan, 1941",round tan cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Caryophylliina,,Caryophylliidae,,unlisted,unlisted,reported,unobserved,2009-02-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Paracyathus stearnsii,"Verrill, 1869",brown oval cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Caryophylliina,,Caryophylliidae,,unlisted,unlisted,reported,unobserved,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Balanophyllia elegans,"Verrill, 1864",orange cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Dendrophylliina,,Dendrophylliidae,,unlisted,unlisted,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Isabelle Côté,https://www.inaturalist.org/observations/24792362,https://static.inaturalist.org/photos/38342287/medium.jpeg?1557335898,,51799,
Epizoanthus scotinus,"Wood, 1958",orange zoanthid,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,Epizoanthidae,,unlisted,unlisted,reported,unobserved,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Bougainvillia sp.,,cluster-tentacled jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,unlisted,unlisted,reported,unobserved,2008-10-05,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Garveia annulata,"Nutting, 1901",orange hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,unlisted,unlisted,reported,unobserved,1994-10-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Euphysa flammea,"(Hartlaub, 1902)",,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Corymorphidae,,unlisted,unlisted,new 2016,observed,,,,,,2013-05-09,Karolle Wall,http://www.inaturalist.org/observations/4052450,https://static.inaturalist.org/photos/4799494/medium.jpg?1473208745,,465161,
Euphysa sp.,,tiny red sausage jellies,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Corymorphidae,,unlisted,unlisted,reported,unobserved,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Sarsia sp.,,thimble jellyfishes,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,unlisted,unlisted,reported,unobserved,2009-04-13,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Sarsia tubulosa,"(M. Sars, 1835)",clapper hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,unlisted,unlisted,confirmed,observed,2009-04-13,Andy Lamb & Donna Gibbs,PMLS,,,2011-05-18,Karolle Wall,http://www.inaturalist.org/observations/4028771,https://static.inaturalist.org/photos/4762685/medium.jpg?1472950513,,448319,
Hydractinia cf aggregata,"Fraser, 1911",snail fur hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,unlisted,unlisted,reported,unobserved,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,"Andy Lamb: ""With respect to Hydractinia sp./Hydractinia cf. aggregata: This Hydractinia sp. was used in our database for ""snail fur hydroid""; Jensen et al, 2018, page 36, shows two species Schuchertinia allmani and Clavactinia serrata that essentially speak to what we have done historically. For sure our records would include the latter but also most likely the latter. Perhaps Henry could advise on this? Or perhaps there is photographic evidence available (Charlie/Neil or others)? As a fall back, I would be confident in listing the former but not for sure the latter based upon our records."" Henry Choong: “I can only answer your question very generally, as I haven’t seen the specimen to which you refer. Hydractinia aggregata is still a valid species. The arrangement of the tentacles will help you distinguish between Clavactinia and Hydractinia. Some Hydractinia spp. are now included in Schuchertinia S. allmani is circum-arctic. In any case the genus Schuchertinia has no diagnostic morphological characters except for the presence of fixed gonophores (with one exception). Schuchertinia allmani and Clavactinia serrataa are not synonymous. I cannot say anything specific to your specimen as I have not seen it.”"
Hydractinia sp.,"Fraser, 1922",barnacle fur hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,unlisted,unlisted,reported,unobserved,2008-03-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,"Andy Lamb: ""With respect to Hydractinia sp, vs Hydractinia cf. laevispina -- our data base and Jensen et al, 2018 use the former"""
Schuchertinia milleri,"(Torrey, 1902)",hedge-hog hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,unlisted,unlisted,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Clavactinia milleri,,
Neoturris breviconis,"(Murbach & Shearer, 1902)",blob-top jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,unlisted,unlisted,confirmed,observed,2007-09-29,Andy Lamb & Donna Gibbs,PMLS,,,2011-05-18,Karolle Wall,http://www.inaturalist.org/observations/3706339,https://static.inaturalist.org/photos/4304000/medium.jpg?1468970531,,491131,
