iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,GBIF ID,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Pectinatella magnifica,68103,Animalia,Bryozoa,,,Phylactolaemata,,,Plumatellida,,,Pectinatellidae,,,Pectinatella,Pectinatella magnifica,Pectinatella magnifica,unlisted,unlisted,new 2018,,,,2009-10-02,Rene Zich,,,https://www.inaturalist.org/observations/16620436,https://static.inaturalist.org/photos/25048080/medium.jpeg?1537166316,,,magnificent bryozoan
Crisia,192680,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Articulina,,Crisiidae,,,Crisia,,Crisia sp.,unlisted,unlisted,reported,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,white tuft bryozoan
Diaperoforma californica,345872,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,,,,,,Diaperoforma,Diaperoforma californica,Diaperoforma californica,unlisted,unlisted,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,southern staghorn bryozoan
Heteropora alaskensis,873902,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,,Heteropora,Heteropora alaskensis,Heteropora alaskensis,unlisted,unlisted,reported,2008-07-19,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,delicate staghorn bryozoan
Heteropora pacifica,465163,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,,Heteropora,Heteropora pacifica,Heteropora pacifica,unlisted,unlisted,reported,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,northern staghorn bryozoan
Disporella separata,465160,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Rectangulata,,Lichenoporidae,,,Disporella,Disporella separata,Disporella separata,unlisted,unlisted,reported,1997-04-15,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,purple encrusting bryozoan
Parasagitta elegans,448318,Animalia,Chaetognatha,,,Sagittoidea,,,Aphragmophora,,,Sagittidae,,,Parasagitta,Parasagitta elegans,Parasagitta elegans,unlisted,unlisted,reported,1994-02-27,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,arrow worm
Porichthys notatus,60021,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Batrachoidiformes,,,Batrachoididae,Porichthyinae,,Porichthys,Porichthys notatus,Porichthys notatus,unlisted,unlisted,confirmed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,2016-05-08,Karolle Wall,,,http://www.inaturalist.org/observations/3706223,https://static.inaturalist.org/photos/4303798/medium.jpg?1468968364,,,plainfin midshipman
Clupea pallasii,117571,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,,,Clupeidae,Clupeinae,,Clupea,Clupea pallasii,Clupea pallasii,unlisted,unlisted,reported,1973-09-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Pacific herring
Engraulis mordax,63770,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,,,Engraulidae,Engraulinae,,Engraulis,Engraulis mordax,Engraulis mordax,unlisted,unlisted,reported,2006-12-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,northern anchovy
Gadus chalcogrammus,614161,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,,Gadus,Gadus chalcogrammus,Gadus chalcogrammus,unlisted,unlisted,reported,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Theragra chalcogramma,,walleye pollock
Gadus macrocephalus,180029,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,,Gadus,Gadus macrocephalus,Gadus macrocephalus,unlisted,unlisted,confirmed,1994-02-26,Andy Lamb & Donna Gibbs,PMLS,2018-05-18,Karolle Wall,,,https://www.inaturalist.org/observations/12684562,https://static.inaturalist.org/photos/18361263/medium.jpg?1526928964,,,Pacific cod
Aulorhynchus flavidus,117568,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gasterosteiformes,,,Aulorhynchidae,,,Aulorhynchus,Aulorhynchus flavidus,Aulorhynchus flavidus,unlisted,unlisted,reported,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,tubesnout
Gasterosteus aculeatus,48403,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gasterosteiformes,,,Gasterosteidae,,,Gasterosteus,Gasterosteus aculeatus,Gasterosteus aculeatus,unlisted,unlisted,confirmed,XXXX,Keith Erickson,GCA internal document,2016-06-20,Karolle Wall,,,http://www.inaturalist.org/observations/4014949,https://static.inaturalist.org/photos/4741820/medium.jpg?1472785436,,"""Due to the species’ tendency for genetic variability among isolated populations, ... Jack Creek’s three spine sticklebacks may be a rare sub-species. This investigation was never followed up."" Keith Erickson (GCA)",three-spined stickleback
Gobiesox maeandricus,67409,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiesociformes,,,Gobiesocidae,Gobiesocinae,,Gobiesox,Gobiesox maeandricus,Gobiesox maeandricus,unlisted,unlisted,confirmed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,2018-05-18,Karolle Wall,,,https://www.inaturalist.org/observations/12684292,https://static.inaturalist.org/photos/18360054/medium.jpg?1526927654,,,northern clingfish
Brosmophycis marginata,215459,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Ophidiiformes,,,Bythitidae,Brosmophycinae,,Brosmophycis,Brosmophycis marginata,Brosmophycis marginata,unlisted,unlisted,reported,2010-05-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,red brotula
Ammodytes hexapterus,130238,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Ammodytidae,,,Ammodytes,Ammodytes hexapterus,Ammodytes hexapterus,unlisted,unlisted,confirmed,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,2011-05-20,Karolle Wall,,,http://www.inaturalist.org/observations/4028615,https://static.inaturalist.org/photos/4762503/medium.jpg?1472949647,,,Pacific sand lance
Anarrhichthys ocellatus,60635,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Anarhichadidae,,,Anarrhichthys,Anarrhichthys ocellatus,Anarrhichthys ocellatus,unlisted,unlisted,reported,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,wolf-eel
Ronquilus jordani,230312,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Bathymasteridae,,,Ronquilus,Ronquilus jordani,Ronquilus jordani,unlisted,unlisted,reported,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,northern ronquil
Brachyistius frenatus,117553,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,,Brachyistius,Brachyistius frenatus,Brachyistius frenatus,unlisted,unlisted,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,kelp perch
Cymatogaster aggregata,98855,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,unlisted,unlisted,confirmed,1982-06-09,K.D. Genereux,CMN,2018-08-29,Tom Appleby,CMNFI 1985-0087.1,,https://www.inaturalist.org/observations/16014197,https://static.inaturalist.org/photos/23985327/original.jpg?1535584201,,,shiner perch
Embiotoca lateralis,117555,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,,Embiotoca,Embiotoca lateralis,Embiotoca lateralis,unlisted,unlisted,reported,1982-06-08,C. E. Kasserra,CMN,,,CMNFI 1985-0086.1,,,,,,striped seaperch
Rhacochilus vacca,111616,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Embiotocidae,,,Rhacochilus,Rhacochilus vacca,Rhacochilus vacca,unlisted,unlisted,reported,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Damalichthys vacca,,pile perch
Clevelandia ios,117564,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Gobiidae,Gobionellinae,,Clevelandia,Clevelandia ios,Clevelandia ios,unlisted,unlisted,new 2017,,,,2017-05-26,Karolle Wall,,,https://www.inaturalist.org/observations/7648112,https://static.inaturalist.org/photos/10006904/large.jpg?1503689037,,,arrow goby
Rhinogobiops nicholsii,132521,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Gobiidae,Gobiinae,,Rhinogobiops,Rhinogobiops nicholsii,Rhinogobiops nicholsii,unlisted,unlisted,confirmed,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,2016-02-07,Peter Luckham,,,http://www.inaturalist.org/observations/2763449,https://static.inaturalist.org/photos/3127718/medium.jpg?1457577990,,,blackeye goby
Apodichthys flavidus,67408,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Apodichthys,Apodichthys flavidus,Apodichthys flavidus,unlisted,unlisted,confirmed,1982-06-09,K.D. Genereux,CMN,2013-06-22,Karolle Wall,CMNFI 1985-0087.5,,http://www.inaturalist.org/observations/4015148,https://static.inaturalist.org/photos/4742119/large.jpg?1472786735,,,penpoint gunnel
Pholis clemensi,67405,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Pholis,Pholis clemensi,Pholis clemensi,unlisted,unlisted,reported,1994-10-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,longfin gunnel
Pholis laeta,67362,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Pholis,Pholis laeta,Pholis laeta,unlisted,unlisted,confirmed,1982-06-09,K.D. Genereux,CMN,2013-07-07,Karolle Wall,CMNFI 1985-0087.6,,http://www.inaturalist.org/observations/4032541,https://static.inaturalist.org/photos/4768198/medium.jpg?1473009277,,,crescent gunnel
Pholis ornata,62605,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Pholis,Pholis ornata,Pholis ornata,unlisted,unlisted,new 2016,,,,2016-05-06,Karolle Wall,,,http://www.inaturalist.org/observations/4032638,https://static.inaturalist.org/photos/4768306/medium.jpg?1473010418,,,saddled blenny
Ptilichthys goodei,229394,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Ptilichthyidae,,,Ptilichthys,Ptilichthys goodei,Ptilichthys goodei,unlisted,unlisted,reported,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,quillfish
Anoplarchus purpurescens,67316,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,,Anoplarchus,Anoplarchus purpurescens,Anoplarchus purpurescens,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2015-08-28,Andrew Simon,,,https://www.inaturalist.org/observations/2580652,https://static.inaturalist.org/photos/2880832/large.JPG?1452761026,,,high cockscomb
Chirolophis decoratus,216742,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Chirolophinae,,Chirolophis,Chirolophis decoratus,Chirolophis decoratus,unlisted,unlisted,reported,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,decorated warbonnet
Chirolophis nugator,216743,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Chirolophinae,,Chirolophis,Chirolophis nugator,Chirolophis nugator,unlisted,unlisted,confirmed,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,2019-05-04,imcote,,,https://www.inaturalist.org/observations/24798244,https://static.inaturalist.org/photos/38352194/medium.jpg?1557343644,,,mosshead warbonnet
Lumpenus sagitta,224164,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Lumpeninae,,Lumpenus,Lumpenus sagitta,Lumpenus sagitta,unlisted,unlisted,new 2017,,,,2017-05-30,Karolle Wall,,,https://www.inaturalist.org/observations/7647286,https://static.inaturalist.org/photos/10005433/medium.jpg?1503684535,,,snake prickleback
Citharichthys stigmaeus,117542,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Paralichthyidae,,,Citharichthys,Citharichthys stigmaeus,Citharichthys stigmaeus,unlisted,unlisted,confirmed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,2016-07-05,Karolle Wall,,,http://www.inaturalist.org/observations/4014940,https://static.inaturalist.org/photos/4741761/medium.jpg?1472784980,,,speckled sanddab
Lepidopsetta bilineata,183018,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Lepidopsetta,Lepidopsetta bilineata,Lepidopsetta bilineata,unlisted,unlisted,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,rock sole
Lyopsetta exilis,104926,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Lyopsetta,Lyopsetta exilis,Lyopsetta exilis,unlisted,unlisted,new 2017,,,,2008-05-24,J.W.F. Chu,,,https://www.inaturalist.org/observations/8533887,https://static.inaturalist.org/photos/11398013/medium.jpg?1508871108,,,slender sole
Parophrys vetulus,117545,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Parophrys,Parophrys vetulus,Parophrys vetulus,unlisted,unlisted,reported,1982-06-09,J. M. Ellis,CMN,,,CMNFI 1985-0088.1,,,,,,English sole
Platichthys stellatus,83170,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Platichthys,Platichthys stellatus,Platichthys stellatus,unlisted,unlisted,reported,1982-06-09,J. M. Ellis,CMN,,,CMNFI 1985-0088.2,,,,,,starry flounder
Pleuronichthys coenosus,228393,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Pleuronichthys,Pleuronichthys coenosus,Pleuronichthys coenosus,unlisted,unlisted,confirmed,1994-02-27,Andy Lamb & Donna Gibbs,PMLS,2013-06-22,Karolle Wall,,,http://www.inaturalist.org/observations/4015105,https://static.inaturalist.org/photos/4742064/medium.jpg?1472786381,,,C-O sole
Oncorhynchus clarkii,68075,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarkii,unlisted,unlisted,reported,XXXX,Keith Erickson,Galiano Conservancy Association internal document,,,,,,,,,cutthroat trout
Oncorhynchus keta,107572,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta,unlisted,unlisted,reported,2013-05-17,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,chum salmon
Oncorhynchus kisutch,53692,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch,unlisted,unlisted,reported,XXXX,Keith Erickson,Galiano Conservancy Association internal document,,,,,,,,,coho salmon
Oncorhynchus tshawytscha,54191,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,unlisted,unlisted,new 2017,,,,2017-02-12,Christina Robinson,,,https://www.inaturalist.org/observations/5101395,https://static.inaturalist.org/photos/6270737/medium.jpg?1486962958,,,chinook salmon
Agonopsis vulsa,180027,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Agoninae,,Agonopsis,Agonopsis vulsa,Agonopsis vulsa,unlisted,unlisted,reported,1995-02-25,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,northern spearnose poacher
Odontopyxis trispinosa,226210,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Bathyagoninae,,Odontopyxis,Odontopyxis trispinosa,Odontopyxis trispinosa,unlisted,unlisted,confirmed,2006-06-30,Andy Lamb & Donna Gibbs,PMLS,2017-07-25,Karolle Wall,,,https://www.inaturalist.org/observations/7238958,https://static.inaturalist.org/photos/9349625/medium.jpg?1501194861,,,pygmy poacher
Podothecus accipenserinus,228455,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Agoninae,,Podothecus,Podothecus accipenserinus,Podothecus accipenserinus,unlisted,unlisted,reported,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,sturgeon poacher
Artedius fenestralis,117527,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,Artedius fenestralis,Artedius fenestralis,unlisted,unlisted,confirmed,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,2013-10-13,Peter Luckham,,,http://www.inaturalist.org/observations/2976334,https://static.inaturalist.org/photos/3420609/medium.jpg?1461099471,,,padded sculpin
Artedius harringtoni,117528,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,Artedius harringtoni,Artedius harringtoni,unlisted,unlisted,confirmed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,2015-01-01,Peter Luckham,,,http://www.inaturalist.org/observations/2797281,https://static.inaturalist.org/photos/3175104/medium.jpg?1458270463,,,scalyhead sculpin
Artedius lateralis,117529,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,Artedius lateralis,Artedius lateralis,unlisted,unlisted,reported,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,smoothhead sculpin
Asemichthys taylori,172639,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Asemichthys,Asemichthys taylori,Asemichthys taylori,unlisted,unlisted,confirmed,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,2013-10-13,Peter Luckham,,,http://www.inaturalist.org/observations/2975888,https://static.inaturalist.org/photos/3419987/medium.jpg?1461096959,,,spinynose sculpin
Chitonotus pugetensis,216746,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Chitonotus,Chitonotus pugetensis,Chitonotus pugetensis,unlisted,unlisted,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,roughback sculpin
Enophrys bison,117536,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Enophrys,Enophrys bison,Enophrys bison,unlisted,unlisted,confirmed,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,2013-10-13,Peter Luckham,,,http://www.inaturalist.org/observations/2976525,https://static.inaturalist.org/photos/3420725/medium.jpg?1461100027,,,buffalo sculpin
Hemilepidotus hemilepidotus,221165,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Hemilepidotus,Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus,unlisted,unlisted,confirmed,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,2015-05-16,Peter Luckham,,,http://www.inaturalist.org/observations/2854794,https://static.inaturalist.org/photos/3256887/medium.jpg?1459381706,,,red Irish lord
Icelinus tenuis,222146,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Icelinus,Icelinus tenuis,Icelinus tenuis,unlisted,unlisted,reported,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,spotfin sculpin
Jordania zonope,222465,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Jordania,Jordania zonope,Jordania zonope,unlisted,unlisted,confirmed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,2016-02-07,Peter Luckham,,,http://www.inaturalist.org/observations/2763466,https://static.inaturalist.org/photos/3127747/medium.jpg?1457578330,,,longfin sculpin
Leptocottus armatus,49163,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Leptocottus,Leptocottus armatus,Leptocottus armatus,unlisted,unlisted,reported,1982-06-09,J. M. Ellis,CMN,,,CMNFI 1985-0088.3,,,,,,Pacific staghorn sculpin
Myoxocephalus polyacanthocephalus,47640,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Myoxocephalus,Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus,unlisted,unlisted,confirmed,1982-06-09,K.D. Genereux,CMN,2019-08-29,Andrew Simon,CMNFI 1985-0087.4,,https://www.inaturalist.org/observations/32022362,https://static.inaturalist.org/photos/50178873/original.jpeg?1567466628,,,great sculpin
Oligocottus maculosus,67629,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Oligocottus,Oligocottus maculosus,Oligocottus maculosus,unlisted,unlisted,confirmed,1982-06-09,J. M. Ellis,CMN,2017-05-29,Karolle Wall,CMNFI 1985-0088.4,,https://www.inaturalist.org/observations/7647288,https://static.inaturalist.org/photos/10005456/medium.jpg?1503684630,,,tidepool sculpin
Scorpaenichthys marmoratus,47638,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Scorpaenichthys,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,unlisted,unlisted,reported,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,cabezon
Synchirus gilli,232130,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Synchirus,Synchirus gilli,Synchirus gilli,unlisted,unlisted,reported,1996-09-28,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,manacled sculpin
Triglops macellus,232944,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Triglops,Triglops macellus,Triglops macellus,unlisted,unlisted,reported,2013-10-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,roughspine sculpin
Nautichthys oculofasciatus,183019,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hemitripteridae,,,Nautichthys,Nautichthys oculofasciatus,Nautichthys oculofasciatus,unlisted,unlisted,confirmed,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,2015-04-15,Karolle Wall,,,http://www.inaturalist.org/observations/3706257,https://static.inaturalist.org/photos/4303863/medium.jpg?1468968686,,,sailfin sculpin
Hexagrammos decagrammus,68596,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus,unlisted,unlisted,confirmed,1982-06-08,C. E. Kasserra,CMN,2017-07-07,Karolle Wall,CMNFI 1985-0086.4,,https://www.inaturalist.org/observations/6967042,https://static.inaturalist.org/photos/8911997/medium.jpg?1499526792,,,kelp greenling
Hexagrammos stelleri,186849,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,,Hexagrammos,Hexagrammos stelleri,Hexagrammos stelleri,unlisted,unlisted,confirmed,1982-06-09,K.D. Genereux,CMN,2016-07-05,Karolle Wall,CMNFI 1985-0087.2,,http://www.inaturalist.org/observations/4015063,https://static.inaturalist.org/photos/4741973/medium.jpg?1472786009,,,whitespotted greenling
Ophiodon elongatus,52539,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Ophiodontinae,,Ophiodon,Ophiodon elongatus,Ophiodon elongatus,unlisted,unlisted,confirmed,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,2016-02-18,Peter Luckham,,,http://www.inaturalist.org/observations/2755465,https://static.inaturalist.org/photos/3116302/medium.jpg?1457384753,,,lingcod
Oxylebius pictus,48452,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Oxylebiinae,,Oxylebius,Oxylebius pictus,Oxylebius pictus,unlisted,unlisted,confirmed,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,2019-05-05,Emily Adamczyk,,,https://www.inaturalist.org/observations/24797825,https://static.inaturalist.org/photos/38351413/medium.jpeg?1557343041,,,painted greenling
Liparis dennyi,180028,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Liparidae,,,Liparis,Liparis dennyi,Liparis dennyi,unlisted,unlisted,reported,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,marbled snailfish
Liparis florae,117539,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Liparidae,,,Liparis,Liparis florae,Liparis florae,unlisted,unlisted,new 2018,,,,2018-07-28,Karolle Wall,,,https://www.inaturalist.org/observations/14868791,https://static.inaturalist.org/photos/22197421/medium.jpg?1532842069,,,tidepool snailfish
Liparis pulchellus,223899,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Liparidae,,,Liparis,Liparis pulchellus,Liparis pulchellus,unlisted,unlisted,confirmed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,2013-10-13,Peter Luckham,,,http://www.inaturalist.org/observations/2976683,https://static.inaturalist.org/photos/3420958/medium.jpg?1461100641,,,showy snailfish
Psychrolutes sigalutes,229295,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Psychrolutidae,,,Psychrolutes,Psychrolutes sigalutes,Psychrolutes sigalutes,unlisted,unlisted,new 2016,,,,2011-09-22,Karolle Wall,,,http://www.inaturalist.org/observations/4051923,https://static.inaturalist.org/photos/4798657/medium.jpg?1473204757,,,soft sculpin
Rhamphocottus richardsonii,51881,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Rhamphocottidae,,,Rhamphocottus,Rhamphocottus richardsonii,Rhamphocottus richardsonii,unlisted,unlisted,confirmed,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,2010-07-14,Karolle Wall,,,http://www.inaturalist.org/observations/4052031,https://static.inaturalist.org/photos/4798682/medium.jpg?1473205023,,,grunt sculpin
Sebastes auriculatus,117541,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes auriculatus,Sebastes auriculatus,unlisted,unlisted,reported,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,brown rockfish
Sebastes caurinus,68597,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,Sebastes caurinus,unlisted,unlisted,confirmed,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,2016-05-06,Karolle Wall,,,http://www.inaturalist.org/observations/3707593,https://static.inaturalist.org/photos/4305810/medium.jpg?1468983285,,,copper rockfish
Sebastes diploproa,64448,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes diploproa,Sebastes diploproa,unlisted,unlisted,reported,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,splitnose rockfish
