id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage
52327,47366,Amaranthaceae,amaranths,family,https://inaturalist-open-data.s3.amazonaws.com/photos/34572/medium.jpg
52345,48515,Convolvulaceae,bindweed family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/73482456/medium.jpg
52469,47195,Hydrangeaceae,hydrangea family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/154345374/medium.jpeg
52615,48073,Zosteraceae,Seagrasses,family,https://inaturalist-open-data.s3.amazonaws.com/photos/170768896/medium.jpg
52642,47162,Juncaceae,Rushes and Allies,family,https://inaturalist-open-data.s3.amazonaws.com/photos/306524062/medium.jpg
52849,48700,Araliaceae,ivy family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/8874/medium.jpg
53855,71272,Aquifoliaceae,holly family,family,https://static.inaturalist.org/photos/240827687/medium.jpg
55329,55328,Ophioglossaceae,adder's-tongue family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/111297641/medium.jpg
55849,47218,Amaryllidaceae,"amaryllis, onions, and allies",family,https://inaturalist-open-data.s3.amazonaws.com/photos/9537450/medium.jpeg
56235,47363,Gentianaceae,gentian family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/200324833/medium.jpeg
57860,48151,Lentibulariaceae,bladderwort family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/59790672/medium.jpg
58321,47729,Sapindaceae,soapberry family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/27342760/medium.jpeg
58771,58770,Selaginella,spikemosses,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/20479/medium.jpg
58935,47791,Lythraceae,lythrum family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/9787692/medium.jpg
59109,48073,Potamogetonaceae,pondweed family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/102629371/medium.jpg
59992,49669,Santalaceae,sandalwood family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/250082606/medium.jpg
60205,71289,Haloragaceae,water milfoil family,family,https://static.inaturalist.org/photos/227196307/medium.jpg
60266,48073,Juncaginaceae,Arrowgrass family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/14177/medium.jpg
60478,47366,Plumbaginaceae,plumbago family,family,https://static.inaturalist.org/photos/3926141/medium.jpg
60998,153070,Ceratophyllaceae,coontails,family,https://inaturalist-open-data.s3.amazonaws.com/photos/80184/medium.jpg
62369,47605,Menyanthaceae,bogbean family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/6099661/medium.jpg
64552,48151,Phrymaceae,lopseed family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/177471315/medium.jpg
64695,47132,Elaeagnaceae,oleaster family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/20487/medium.jpg
71412,51820,Hypericaceae,St. John's wort family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/23343255/medium.jpg
71417,47366,Montiaceae,Pussypaw Family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/853/medium.jpg
133387,47181,Ericaceae,heath family,family,https://static.inaturalist.org/photos/27053770/medium.jpg
781703,48526,Viburnaceae,elder family,family,https://static.inaturalist.org/photos/2419980/medium.jpg
47130,47131,Ribes,currants and gooseberries,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/117502191/medium.jpeg
47193,47194,Cornus,dogwoods,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/37787988/medium.jpeg
47561,47562,Pinus,pines,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/54643374/medium.jpeg
47566,47567,Populus,"poplars, cottonwoods, and aspens",genus,https://inaturalist-open-data.s3.amazonaws.com/photos/16738351/medium.jpeg
47574,47374,Juniperus,junipers,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/3521476/medium.jpg
47620,47621,Lycopodium,ground and creeping clubmosses,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/20805663/medium.jpg
47688,47689,Erodium,stork's-bills,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/66772719/medium.jpeg
47701,47689,Geranium,geraniums and cranesbills,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/49517684/medium.jpg
47727,58321,Acer,maples,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/99147747/medium.jpg
47746,47747,Equisetum,horsetails,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/67590226/medium.jpg
47753,47754,Dryopteridaceae,shieldfern family,family,https://static.inaturalist.org/photos/161285165/medium.jpg
47758,47759,Oxalis,woodsorrels,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/19227560/medium.jpg
47789,47790,Clarkia,Clarkias,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/17563453/medium.jpeg
47851,47852,Quercus,oaks,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/96348060/medium.jpg
47889,47890,Impatiens,touch-me-nots,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/54562552/medium.jpg
47933,47790,Circaea,enchanter's nightshades,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/61135411/medium.jpg
48253,47374,Thuja,arborvitaes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/10015447/medium.jpg
48255,47562,Tsuga,hemlocks,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/605983/medium.jpg
48257,47562,Pseudotsuga,Douglas-firs,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/11770154/medium.jpeg
48434,47754,Blechnaceae,Chain Fern Family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/190348520/medium.jpg
48437,47754,Pteridaceae,brake family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/8305/medium.jpg
48626,47790,Oenothera,"evening primroses, sundrops, and beeblossoms",genus,https://inaturalist-open-data.s3.amazonaws.com/photos/3615404/medium.jpg
48686,48694,Typha,Cattails,genus,https://static.inaturalist.org/photos/640955/medium.jpg
48790,71417,Montia,Montias,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/354073635/medium.jpg
49156,49155,Betula,birches,genus,https://static.inaturalist.org/photos/44632280/medium.jpg
49674,49041,Ceanothus,Ceanothus,genus,https://static.inaturalist.org/photos/115875111/medium.jpg
49912,71417,Calandrinia,,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/25658/medium.jpg
50339,47790,Ludwigia,Primrose-willows,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/56018181/medium.jpeg
50829,50828,Viola,violets,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/11654351/medium.jpeg
51886,51885,Urtica,nettles,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/202182474/medium.jpeg
51935,51937,Drosera,Sundews,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/9788583/medium.jpg
52470,52469,Philadelphus,mock oranges,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/83023833/medium.jpeg
52616,52615,Zostera,Eelgrasses,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/35524456/medium.jpg
52643,52642,Juncus,rushes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/403792468/medium.jpeg
52679,47754,Polypodiaceae,polypody family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/8304/medium.jpg
52682,47754,Dennstaedtiaceae,bracken family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/143677347/medium.jpeg
52689,781703,Sambucus,elders,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/39056940/medium.jpeg
52942,48932,Navarretia,Pincushion plants,genus,https://static.inaturalist.org/photos/41009557/medium.jpeg
52972,47790,Epilobium,willowherbs,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/16455/medium.jpg
52995,71417,Claytonia,spring beauties,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/8870/medium.jpg
52997,48932,Collomia,trumpets,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/12790537/medium.jpeg
53350,58321,Aesculus,buckeyes and horse-chestnuts,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/277035469/medium.jpg
