Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code
Hygrophoropsis aurantiaca,(Wulfen) Maire,false chanterelle,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Hygrophoropsidaceae,,,no status,new 2019,Documented,,,,,2019-10-12,benkeen,https://www.inaturalist.org/observations/34274389,https://static.inaturalist.org/photos/53920291/medium.jpeg?1570920724,,63538,
Hygrophorus piceae,Kühner,spruce waxy-cap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Hygrophoraceae,,,no status,new 2018,Documented,,,,,2018-11-19,judithofsquamish,https://www.inaturalist.org/observations/18716083,https://static.inaturalist.org/photos/28658811/medium.jpeg?1543510287,,499710,
Hyperphyscia sp.,(C. Knight)  Müll. Arg,none,Fungi,Ascomycota,,,Lecanoromycetes,,,Caliciales,,,Physciaceae,,,genus not in CDC records,new 2019,Documented,,,,,2019-03-16,benkeen,https://www.inaturalist.org/observations/21295232,https://static.inaturalist.org/photos/32928682/medium.jpg?1552767984,,175712,
Hypholoma capnoides,(Fr.) P. Kumm,smoky-gilled hypholoma,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,no status,new 2018,Documented,,,,,2018-10-02,judithofsquamish,https://www.inaturalist.org/observations/17176121,https://static.inaturalist.org/photos/26029115/medium.jpeg?1538616525,,64071,
Hypholoma fasciculare,(Huds.:Fr.) P. Kumm,sulphur tuft,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,no status,new 2015,Documented,,,,,2015-10-14,thuja,https://www.inaturalist.org/observations/8335289,https://static.inaturalist.org/photos/11075393/medium.jpg?1507600657,,48767,
Hypogymnia enteromorpha,(Ach.) NYL,budding tube lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S5 (2018),new 2018,Documented,,,,,2018-11-24,judithofsquamish,https://www.inaturalist.org/observations/18748025,https://static.inaturalist.org/photos/28708650/medium.jpeg?1543635300,,222048,
Hypogymnia imshaugii,Krog,Imshaug's tube lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S5 (2018)  ,new 2018,Documented,,,,,2018-03-10,derekkillby,https://www.inaturalist.org/observations/13803298,https://static.inaturalist.org/photos/20360157/medium.jpg?1530028068,,179042,
Hypogymnia inactiva,(Krog) Ohlsson,mottled tube lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S5 (2019) ,new 2018,Documented,,,,,2018-10-09,judithofsquamish,https://www.inaturalist.org/observations/18003107,https://static.inaturalist.org/photos/27521658/medium.jpeg?1541049283,,126597,
Hypogymnia physodes,(L.) Nyl.,hooded tube lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S5 (2018) ,new 2018,Documented,,,,,2018-11-10,judithofsquamish,https://www.inaturalist.org/observations/18404674,https://static.inaturalist.org/photos/28131487/medium.jpeg?1542257425,,117971,
Hypomyces lactifluorum,(Schwein.) Tul. & C. Tul.,lobster mushroom,Fungi,Ascomycota,,,Sordariomycetes,,,Hypocreales,,,Hypocreaceae,,,no status,new 2017,Documented,,,,,2017-10-07,rainwalker,https://www.inaturalist.org/observations/8301711,https://static.inaturalist.org/photos/11018737/medium.jpg?1507414016,,48215,
Icmadophila ericetorum,(L.) Zahlbr.,candy lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Pertusariales,,,Icmadophilaceae,,,not in CDC records,new 2018,Documented,,,,,2018-11-10,judithofsquamish,https://www.inaturalist.org/observations/18404747,https://static.inaturalist.org/photos/28131632/medium.jpeg?1542257945,,119695,
Inocybe geophylla,(Sowerby) P. Kumm.,whitefFibrecap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Inocybaceae,,,no status,new 2018,Documented,,,,,2018-12-15,benkeen,https://www.inaturalist.org/observations/19035711,https://static.inaturalist.org/photos/29196626/medium.jpg?1544910526,,118336,
Irpex lacteus,(Fr.) Fr.,milk-white toothed polypore,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,no status,new 2019,Documented,,,,,2019-03-12,benkeen,https://www.inaturalist.org/observations/21194746,https://static.inaturalist.org/photos/32761291/medium.jpg?1552446890,,130910,
Kretzschmaria deusta,(Hoffm.) P.M.D. Martin,brittle cinder,Fungi,Ascomycota,,,Sordariomycetes,,,Xylariales,,,Xylariaceae,,,no status,new 2019,Documented,,,,,2019-03-31,benkeen,https://www.inaturalist.org/observations/21858631,https://static.inaturalist.org/photos/33863150/medium.jpg?1554086195,,128051,
Laccaria amethysteo-occidentalis,Müeller,western amethyst laccaria,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Hydnangiaceae,,,no status,new 2018,Documented,,,,,2018-11-15,judithofsquamish,https://www.inaturalist.org/observations/18414919,https://static.inaturalist.org/photos/28149312/medium.jpg?1542314069,,54893,
Laccaria laccata,(Scop.) Cooke,deceiver,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Hydnangiaceae,,,no status,new 2019,Documented,,,,,2019-08-24,kmfret,https://www.inaturalist.org/observations/31807168,https://static.inaturalist.org/photos/49816048/medium.jpeg?1567191240,,63236,
Lacrymaria lacrymabunda,(Bull.) Pat.,weeping widow,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,no status,new 2019,Documented,,,,,2019-09-21,benkeen,https://www.inaturalist.org/observations/33163957,https://static.inaturalist.org/photos/52063381/medium.jpeg?1569109057,,130934,
Lactarius rubidus,(Hesler & Smith) Methven,candy cap,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Russulaceae,,,not in CDC records,new 2018,Documented,,,,,2018-11-11,benkeen,https://www.inaturalist.org/observations/18341077,https://static.inaturalist.org/photos/28028586/medium.jpg?1541983691,,55276,
Lactarius rufus,(Fr.) Fr.,rufous milkcap,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Russulaceae,,,no status,new 2018,Documented,,,,,2018-11-24,judithofsquamish,https://www.inaturalist.org/observations/18741430,https://static.inaturalist.org/photos/28697268/medium.jpeg?1543612411,,118223,
Laetiporus conifericola,Burdsall & Banik,conifer chicken of the woods,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,no status,new 2017,Documented,,,,,2017-09-19,judithofsquamish,https://www.inaturalist.org/observations/8080549,https://static.inaturalist.org/photos/10713587/medium.jpeg?1506300486,,118057,
Laetiporus gilbertsonii,Burds.,western hardwood sulphur shelf,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,no status,new 2019,Documented,,,,,2019-09-02,jonahwho,https://www.inaturalist.org/observations/32036436,https://static.inaturalist.org/photos/50206116/medium.jpeg?1567485599,,120154,
Lecanora thysanophora,R.C. Harris,mapledust lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Lecanoraceae,,,not in CDC records,new 2019,Documented,,,,,2019-12-29,benkeen,https://www.inaturalist.org/observations/37083307,https://static.inaturalist.org/photos/58729771/medium.jpeg?1577668843,,182613,
Lepiota magnispora,Murrill,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,no status,new 2019,Documented,,,,,2019-10-20,benkeen,https://www.inaturalist.org/observations/34663642,https://static.inaturalist.org/photos/54580348/medium.jpeg?1571616197,,194663,
Lepista nuda,(Bull.) Cooke,blewit,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,no status,new 2018,Documented,,,,,2018-12-01,benkeen,https://www.inaturalist.org/observations/18763265,https://static.inaturalist.org/photos/28733930/medium.jpg?1543701939,,351380,
Lepraria finkii,(de Lesd.) R.C. Harris,fluffy dust lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Stereocaulaceae,,,not in CDC records,new 2019,Documented,,,,,2019-11-17,benkeen,https://www.inaturalist.org/observations/35797981,https://static.inaturalist.org/photos/56493337/medium.jpeg?1574037225,,463344,
Leptonia sp.,(Fr.) P. Kumm.,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Entolomataceae,,,genus is in CDC records,new 2019,Documented,,,,,2019-09-23,benkeen,https://www.inaturalist.org/observations/33292667,https://static.inaturalist.org/photos/52280340/medium.jpeg?1569290410,,54425,
Leucoagaricus leucothites,(Vittad.) Wasser,white dapperling,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,no status,new 2019,Documented,,,,,2019-09-24,benkeen,https://www.inaturalist.org/observations/33314281,https://static.inaturalist.org/photos/52316550/medium.jpeg?1569335302,,179125,
Leucopaxillus albissimus,(Peck) Singer,large white leucopax,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,no status,new 2018,Documented,,,,,2018-11-15,judithofsquamish,https://www.inaturalist.org/observations/18440269,https://static.inaturalist.org/photos/28191361/medium.jpeg?1542421093,,67351,
Leucopaxillus gentianeus,(Quél.) Kotl.,bitter brown leucopax,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,no status,new 2019,Documented,,,,,2019-08-25,jonahwho,https://www.inaturalist.org/observations/31506606,https://static.inaturalist.org/photos/49314469/medium.jpeg?1566770182,,67346,
Lichenomphalia umbellifera,"(H.S. Jenn.) Redhead, Lutzoni, Moncalvo & Vilgalys",lichen agaric,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Hygrophoraceae,,,no status,new 2015,Documented,,,,,2015-05-24,judithofsquamish,https://www.inaturalist.org/observations/6017778,https://static.inaturalist.org/photos/7529999/medium.jpeg?1493519680,,118245,
Lobaria linita,(Ach.) Rabenh.,cabbage lung lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Lobariaceae,,Native,S5 (2018) ,new 2018,Documented,,,,,2018-07-10,judithofsquamish,https://www.inaturalist.org/observations/14331024,https://static.inaturalist.org/photos/21292019/medium.jpeg?1531524822,,224041,
Lobaria pulmonaria,(L.) Hoffm.,tree lungwort,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Lobariaceae,,Native,S5 (2018) ,new 2017,Documented,,,,,2017-11-26,squamishobserver,https://www.inaturalist.org/observations/9001017,https://static.inaturalist.org/photos/12131998/medium.jpg?1512077410,,48711,
Lycoperdon perlatum,Pers.,common puffball,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Lycoperdaceae,,,no status,new 2019,Documented,,,,,2019-07-14,benkeen,https://www.inaturalist.org/observations/28836479,https://static.inaturalist.org/photos/44976955/medium.jpeg?1563150580,,48443,
Lycoperdon pyriforme,Schaeff.,stump puffball,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Lycoperdaceae,,,no status,new 2018,Documented,,,,,2018-09-16,benkeen,https://www.inaturalist.org/observations/16605262,https://static.inaturalist.org/photos/25019469/medium.jpg?1537134809,,119528,
Lycoperdon umbrinum,Pers.,umber-brown puffball,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Lycoperdaceae,,,no status,new 2018,Documented,,,,,2018-09-29,benkeen,https://www.inaturalist.org/observations/17041781,https://static.inaturalist.org/photos/25781037/medium.jpg?1538256556,,118139,
Lyophyllum connatum,(Schumach.) Singer ,white domecap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Lyophyllaceae,,,not in CDC records,new 2018,Documented,,,,,2018-10-15,judithofsquamish,https://www.inaturalist.org/observations/18715575,https://static.inaturalist.org/photos/28658143/medium.jpeg?1543509029,,194393,
Marasmiellus candidus,(Bolt.) Singer,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Marasmiineae,,Omphalotaceae,,,no status,new 2018,Documented,,,,,2018-09-23,benkeen,https://www.inaturalist.org/observations/16852567,https://static.inaturalist.org/photos/25448456/medium.jpg?1537744519,,118242,
Marasmius calhouniae,Singer,Calhoun's pinwheel,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Marasmiineae,,Marasmiaceae,,,not in CDC records,new 2018,Documented,,,,,2018-12-26,benkeen,https://www.inaturalist.org/observations/19238734,https://static.inaturalist.org/photos/29557238/medium.jpg?1545866569,,118241,
Melanoleuca sp.,Pat.,cavaliers,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Pluteaceae,,,genus is in CDC records,new 2019,Documented,,,,,2019-10-05,benkeen,https://www.inaturalist.org/observations/33919468,https://static.inaturalist.org/photos/53325481/medium.jpeg?1570315160,,332511,
Merulius tremellosus,Schrad.,trembling crust,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,not in CDC records,new 2018,Documented,,,,,2018-09-23,benkeen,https://www.inaturalist.org/observations/16852469,https://static.inaturalist.org/photos/25448289/medium.jpg?1537744369,,179113,
Mitrula sp.,"Fr,",none,Fungi,Ascomycota,,,Leotiomycetes,,,Helotiales,,,Mitrulaceae,,,genus is in CDC records,new 2019,Documented,,,,,2019-06-22,citizen1,https://www.inaturalist.org/observations/27595592,https://static.inaturalist.org/photos/42952204/medium.jpg?1561414350,,120552,
Mucronella pendula,(Massee) R.H. Petersen,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Clavariaceae,,,no status,new 2018,Documented,,,,,2018-11-04,citizen1,https://www.inaturalist.org/observations/18306352,https://static.inaturalist.org/photos/27970248/medium.jpg?1541867159,,355939,
Mycena acicula,(Schaeff.) P. Kumm.,orange bonnet,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,no status,new 2019,Documented,,,,,2019-10-06,judithofsquamish,https://www.inaturalist.org/observations/34046618,https://static.inaturalist.org/photos/53535775/medium.jpeg?1570499256,,63426,
Mycena capillaripes,Peck,pinkedge bonnet,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,no status,new 2018,Documented,,,,,2018-09-18,benkeen,https://www.inaturalist.org/observations/16675529,https://static.inaturalist.org/photos/25149304/medium.jpg?1537320510,,63434,
Mycena epipterygia,(Scop.:Fr.) Gray,yellowleg bonnet,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,no status,new 2018,Documented,,,,,2018-11-25,benkeen,https://www.inaturalist.org/observations/18637396,https://static.inaturalist.org/photos/28527816/medium.jpg?1543190205,,179107,
Mycena galericulata,(Scop.) Gray,common bonnet,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,no status,new 2018,Documented,,,,,2018-11-10,benkeen,https://www.inaturalist.org/observations/18315516,https://static.inaturalist.org/photos/27985309/medium.jpg?1541891346,,63446,
Mycena haematopus,(Pers.) P. Kumm.,bleeding fairy helmet,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,no status,new 2018,Documented,,,,,2018-09-29,benkeen,https://www.inaturalist.org/observations/17041667,https://static.inaturalist.org/photos/25780841/medium.jpg?1538256399,,63460,
Mycena oregonensis,Smith,western yellow mycena,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,no status,new 2019,Documented,,,,,2019-09-22,benkeen,https://www.inaturalist.org/observations/33232035,https://static.inaturalist.org/photos/52178504/medium.jpeg?1569199551,,63472,
Mycena pura,(Pers.) P. Kumm.,lilac bonnet,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,no status,new 2019,Documented,,,,,2019-09-29,benkeen,https://www.inaturalist.org/observations/33620008,https://static.inaturalist.org/photos/52818890/medium.jpeg?1569796485,,63473,
Myxarium nucleatum,Wallr.,crystal brain fungus,Fungi,Basidiomycota,,,Tremellomycetes,,,Tremellales,,,Hyaloriaceae,,,no status,new 2019,Documented,,,,,2019-04-13,benkeen,https://www.inaturalist.org/observations/22451844,https://static.inaturalist.org/photos/34777592/medium.jpg?1555220405,,742831,
Nectria cinnabarina,(Tode) Fr.,coral spot,Fungi,Ascomycota,,,Sordariomycetes,,,Hypocreales,,,Nectriaceae,,,no status,new 2019,Documented,,,,,2019-04-14,benkeen,https://www.inaturalist.org/observations/22489965,https://static.inaturalist.org/photos/34839992/medium.jpg?1555283823,,118012,
Nidula candida,(Peck) V.S.,jellied bird's nest fungus,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Nidulariaceae,,,no status,new 2018,Documented,,,,,2018-10-02,judithofsquamish,https://www.inaturalist.org/observations/17176575,https://static.inaturalist.org/photos/26029822/medium.jpeg?1538617674,,120036,
Nidula niveotomentosa,(Henn.) Lloyd,bird's-nest fungus,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Nidulariaceae,,,no status,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17732255,https://static.inaturalist.org/photos/27039366/medium.jpg?1540175779,,118138,
Nolanea sp.,(Fr.) P. Kumm.,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Entolomataceae,,,genus is in CDC records,new 2019,Documented,,,,,2019-12-28,benkeen,https://www.inaturalist.org/observations/37048756,https://static.inaturalist.org/photos/58668032/medium.jpeg?1577582339,,205894,
Panellus stipticus,(Bull.) P. Karst.,luminescent panellus,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Mycenaceae,,,no status,new 2019,Documented,,,,,2019-12-07,benkeen,https://www.inaturalist.org/observations/36446840,https://static.inaturalist.org/photos/57612090/medium.jpeg?1575754827,,68309,
Parmelia sulcata,Taylor,shield lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S3S4 (2010) ,new 2018,Documented,,,,,2018-09-29,benkeen,https://www.inaturalist.org/observations/17041766,https://static.inaturalist.org/photos/25780962/medium.jpg?1538256505,,54734,
Parmotrema arnoldii,(Du Rietz) Hale.,Arnold's parmotrema lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S5 (2019) ,new 2019,Documented,,,,,2019-10-02,judithofsquamish,https://www.inaturalist.org/observations/33776649,https://static.inaturalist.org/photos/53084292/medium.jpeg?1570059995,,123349,
Paxillus sp.,(Batsch) Fr.,rollrims,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Paxillaceae,,,genus is in CDC records,new 2019,Documented,,,,,2019-10-01,judithofsquamish,https://www.inaturalist.org/observations/33928011,https://static.inaturalist.org/photos/53340731/medium.jpeg?1570326665,,55943,
Peltigera aphthosa,(L.) Willd.,freckled pelt lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Peltigeraceae,,Native,S5 (2018) ,new 2014,Documented,,,,,2014-11-23,judithofsquamish,https://www.inaturalist.org/observations/5972368,https://static.inaturalist.org/photos/7464137/medium.jpeg?1493241576,,119675,
Peltigera britannica,(Gyelnik) Holt.-Hartw. & Tonsb.,flaky freckle pelt lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Peltigeraceae,,Native,S5 (2018) ,new 2019,Documented,,,,,2019-03-16,benkeen,https://www.inaturalist.org/observations/21295188,https://static.inaturalist.org/photos/32928584/medium.jpg?1552767905,,119677,
Peltigera collina,(Ach.) Schrader,tree pelt lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Peltigeraceae,,Native,S5 (2018)  ,new 2018,Documented,,,,,2018-11-02,judithofsquamish,https://www.inaturalist.org/observations/18043202,https://static.inaturalist.org/photos/27587294/medium.jpeg?1541201356,,194736,
Peltigera leucophlebia,(Nyl.) Gyelnik,ruffled freckled pelt lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Peltigeraceae,,Native,S5 (2018),new 2018,Documented,,,,,2018-07-10,judithofsquamish,https://www.inaturalist.org/observations/14337714,https://static.inaturalist.org/photos/21303826/medium.jpeg?1531540950,,119676,
Peltigera membranacea,(Ach.) Nyl.,membranous pelt lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Peltigeraceae,,Native,S5 (2018)  ,new 2018,Documented,,,,,2018-04-15,gwenlh,https://www.inaturalist.org/observations/11070295,https://static.inaturalist.org/photos/15622895/medium.jpg?1523981833,,117858,
Peltigera neopolydactyla,(Gyelnik) Gyelnik,carpet pelt lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Peltigeraceae,,Native,S5 (2019,new 2018,Documented,,,,,2018-11-07,judithofsquamish,https://www.inaturalist.org/observations/18237281,https://static.inaturalist.org/photos/27866390/medium.jpeg?1541657631,,147374,
Peltigera polydactylon,(Necker) Hoffm.,many-fruited pelt lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Peltigeraceae,,Native,S5 (2018)  ,new 2018,Documented,,,,,2018-04-09,derekkillby,https://www.inaturalist.org/observations/13802249,https://static.inaturalist.org/photos/20358484/medium.jpg?1530026233,,69728,
Peziza repanda,Pers.,palomino cup,Fungi,Ascomycota,,,Pezizomycetes,,,Pezizales,,,Pezizaceae,,,no status,new 2018,Documented,,,,,2018-12-29,benkeen,https://www.inaturalist.org/observations/19298237,https://static.inaturalist.org/photos/29664446/medium.jpg?1546127536,,118008,
Phaeolus schweinitzii,(Fr.) Pat.,Dyer's polypore,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,no status,new 2018,Documented,,,,,2018-09-23,benkeen,https://www.inaturalist.org/observations/16857601,https://static.inaturalist.org/photos/25457967/medium.jpg?1537754153,,118084,
Phlebia radiata,Fr.,wrinkled crust,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,no status,new 2018,Documented,,,,,2018-11-06,judithofsquamish,https://www.inaturalist.org/observations/18194657,https://static.inaturalist.org/photos/27807137/medium.jpeg?1541570309,,155122,
Phlyctis argena,(Sprengel) Flotow,whitewash lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Ostropales,,,Phlyctidaceae,,,not in CDC records,new 2018,Documented,,,,,2018-11-10,benkeen,https://www.inaturalist.org/observations/18315427,https://static.inaturalist.org/photos/27985160/medium.jpg?1541891070,,182631,
Pholiota aurivella,(Batsch.) P. Kumm.,golden pholiota,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,no status,new 2017,Documented,,,,,2017-10-09,sea2skynaturebc,https://www.inaturalist.org/observations/8328042,https://static.inaturalist.org/photos/11063593/medium.jpg?1507570454,,124705,
Pholiota squarrosa,(Weigel) P. Kumm.,shaggy pholiota,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,no status,new 2019,Documented,,,,,2019-09-08,benkeen,https://www.inaturalist.org/observations/32380572,https://static.inaturalist.org/photos/50779986/medium.jpeg?1567985905,,153445,
Pholiota squarrosoides,(Peck) Sacc.,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,no status,new 2018,Documented,,,,,2018-11-25,judithofsquamish,https://www.inaturalist.org/observations/18635972,https://static.inaturalist.org/photos/28525421/medium.jpg?1543186971,,157728,
Pholiota terrestris,Overh.,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,no status,new 2018,Documented,,,,,2018-11-04,judithofsquamish,https://www.inaturalist.org/observations/18135683,https://static.inaturalist.org/photos/27722958/medium.jpeg?1541438161,,118266,
Pholiotina sp.,Fayod,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Bolbitiaceae,,,genus not in CDC records,new 2019,Documented,,,,,2019-09-29,benkeen,https://www.inaturalist.org/observations/33619958,https://static.inaturalist.org/photos/52818776/medium.jpeg?1569796423,,118269,
Phomopsis sp.,Sacc. & Roum.,none,Fungi,Ascomycota,,,Sordariomycetes,,,Diaporthales,,,Diaporthaceae,,,genus not in CDC records,new 2018,Documented,,,,,2018-10-01,judithofsquamish,https://www.inaturalist.org/observations/17718862,https://static.inaturalist.org/photos/27013423/medium.jpeg?1540151388,,209670,
Phragmidium sp.,(Pers.) Schitdl.,none,Fungi,Basidiomycota,,,Pucciniomycetes,,,Pucciniales,,,Phragmidiaceae,,,genus not in CDC records,new 2018,Documented,,,,,2018-06-07,fmgee,https://www.inaturalist.org/observations/13457025,https://static.inaturalist.org/photos/19753935/medium.jpeg?1529088617,,205077,
Pilophorus acicularis,(Ach.) Th. Fr.,devil's matchstick,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2018),new 2018,Documented,,,,,2018-10-09,judithofsquamish,https://www.inaturalist.org/observations/18003289,https://static.inaturalist.org/photos/27521985/medium.jpeg?1541050380,,128919,
Platismatia glauca,(L.) Culb. & C. Culb.,varied rag lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S5 (2018) ,new 2018,Documented,,,,,2018-11-07,judithofsquamish,https://www.inaturalist.org/observations/18237353,https://static.inaturalist.org/photos/27866517/medium.jpeg?1541657895,,117874,
Platismatia tuckermanii,(Oakes) W.L. Culb. & C.F. Culb.,crumpled rag lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,,not in CDC records,new 2019,Documented,,,,,2019-12-25,gwenlh,https://www.inaturalist.org/observations/36976610,https://static.inaturalist.org/photos/58539559/medium.jpg?1577391690,,182657,
Pleurocybella porrigens,(Pers.) Singer,angel's wings,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Marasmiineae,,Marasmiaceae,,,no status,new 2017,Documented,,,,,2017-09-30,rainwalker,https://www.inaturalist.org/observations/8187171,https://static.inaturalist.org/photos/10845273/medium.jpg?1506796704,,48509,
Pleurotus ostreatus,(Jacq. ex Fr.) P. Kumm.,oyster mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pleurotineae,,Pleurotaceae,,,no status,new 2017,Documented,,,,,2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113067,https://static.inaturalist.org/photos/7649678/medium.jpeg?1494092197,,48494,
Pleurotus pulmonarius,(Fr.) Quél.,summer oyster mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pleurotineae,,Pleurotaceae,,,no status,new 2019,Documented,,,,,2019-06-02,judithofsquamish,https://www.inaturalist.org/observations/26418885,https://static.inaturalist.org/photos/41021459/medium.jpeg?1559699197,,136399,
Pluteus cervinus,(Schäffer:Fr)  P. Kumm,deer mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Pluteaceae,,,no status,new 2019,Documented,,,,,2019-07-07,benkeen,https://www.inaturalist.org/observations/28402123,https://static.inaturalist.org/photos/44273211/medium.jpeg?1562544751,,60782,
