Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Ophrydium versatile,Müller,a colonial microscopic single-celled protozoan,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Ophrydiidae,,,genus not in CDC records,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/71512859,,364055
Orthotrichum consimile ,Mitt.,none,Plantae,Bryophyta,,,Bryopsida,,,Orthotricales,,,Orthotricaceae,,native,S4S5 (2015) ,reported,undocumented,29327,W. B. Schofield & T. T. Mcintosh,UBC  ,B10284,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: floodplain north of and near Squamish; on trunk of Sambucus ,165946
Orthotrichum pulchellum,Brunt.,elegant bristle-moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotricales,,,Orthotricaceae,,native,S3S4 (2015) ,reported,undocumented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,165965
Orthotrichum rupestre,Schleich. ex Schwaegr.,rock bristle-moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotricales,,,Orthotricaceae,,native,S4 (2015) ,reported,undocumented,29746,Terry Taylor,UBC  ,B48599,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Keats Island, Eastbourne; on rocky headland above sea ",165970
Orthotrichum speciosum,Nees in Sturm,showy bristle-moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotricales,,,Orthotriaceae,,native,S4S5 (2015) ,reported,undocumented,39944,W. R. Buck,NY,NY: 01105224,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,165973
Porotrichum bigelovii,(Sull.) Kindb.,none,Plantae,Bryophyta,,,Bryopsida,,,Leucodontales,,,Neckeraceae,,native,S4S5 (2015),confirmed,documented,29354,Joop van Velzen,UBC  ,B10251,"LGL Limited, Environmental Research Associates, Sidney, BC",43639,rambryum,https://www.inaturalist.org/observations/27554087,"UBC: Point Robertson, above Horseshoe Bay, Howe Sound",67841
Pulvigera lyellii,"(Hook. & Taylor) Plášek, Sawicki & Ochyra",lyell's bristle-moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S4S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Orthotrichum lyallii ,1123491
Pulvigera lyellii,"(Hook. & Taylor) Plášek, Sawicki & Ochyra",lyell's bristle-moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotricales,,,Orthotricaceae,,native,S4S5 (2015),confirmed,documented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,,43881,nicolarammell,https://www.inaturalist.org/observations/39234079,,67951
Plenogemma phyllantha,"(Brid.) Plášek, Sawicki & Ochyra",none,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S4S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Ulota phyllantha ,1123493
Ulota crispa,(Hedw.) Brid.,crisped pincushion,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,,not in CDC records,new 2019,documented,,,,,,43560,benkeen,https://www.inaturalist.org/observations/22064987,iNat: needs i.d.,170060
Ulota megalospora,Vent. in Röll,ulota megalospora,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S4 (2015),reported,undocumented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,170065
Ulota obtusiuscula,C. Müll. & Kindb. in Mac. & Kindb.,twisted ulota moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S4 (2015) ,confirmed,documented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",42319,judithofsquamish,https://www.inaturalist.org/observations/8728702,one of the 2 BC varieties is listed,123137
Ulota phyllantha ,Brid.,frizzled pincushion ,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S4S5 (2015),reported,undocumented,29808,Terry Taylor,UBC  ,B27172,,,,,"UBC: Herbarium record: Keats Island, south side; on rock",170066
Zygodon viridissimus,(Dicks.) Brid.,zygodon moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,170457
Atrichum selwynii ,Aust.,selwyn's smoothcap moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S5? (2015) ,confirmed,documented,30565,W. B. Schofield ,UBC  ,B58058,,43898,judithofsquamish,https://www.inaturalist.org/observations/40028215,"UBC:  Britannia Beach, Howe Sound;   iNat: needs i.d.",55331
Atrichum tenellum,(Röhl.) Bruch & Schimp. ,slender smoothcap moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S2 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,159057
Atrichum undulatum,(Hedw.) P. Beauv.,catherine's moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S5 (2015) ,confirmed,documented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",43428,judithofsquamish,https://www.inaturalist.org/observations/18749557,,124155
Meiotrichum lyallii,G. L. S. Merrill,lyall's polytrichum moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Polytrichum juniperinum ,364132
Oligotrichum aligerum ,Mitt,oligotrichum moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S4S5 (2015) ,reported,undocumented,37033,W. B. Schofield,UBC  ,B187028,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Woodfibre, head of Howe Sound; mineral bank ",165831
Oligotrichum hercynicum,Lamarck & A.P.de Candolle,oligotrichum moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S4S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,165833
Oligotrichum parallelum ,(Mitt.) Kindb.,oligotrichum moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S4S5 (2015),reported,undocumented,34966,W. B. Schofield,UBC  ,B160571,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP Cypress Bowl area, gully at base of Mt. Strachan; shaded bank in gully ",165834
Pogonatum contortum,(Brid.) Lesq.,contorted pogonatum moss,Plantae,Bryophyta,,,Bryopsida,,,Polytrichales,,,Polytrichaceae,,native,S4S5 (2015),confirmed,documented,37033,W. B. Schofield,UBC  ,B187037,"LGL Limited, Environmental Research Associates, Sidney, BC",42787,elsemikkelsen,https://www.inaturalist.org/observations/9211853,"UBC: Woodfibre, head of Howe Sound; shaded earth bank ",127042
Pogonatum urnigerum ,(Hedw.) P. Beauv.,urn hair moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S4S5 (2015) ,confirmed,documented,29374,Joop van Velzen,UBC  ,B20355,"LGL Limited, Environmental Research Associates, Sidney, BC",44352,cgbc,https://www.inaturalist.org/observations/81816635,"UBC: Shannon Falls, S of Squamish; Partially shaded boulder along stream, 1 cm soil accumulation, heavy spray from adjacent falls ",167121
Polytrichastrum alpinum,(Hedw.) G.L. Smith,alpine haircap moss,Plantae,Bryophyta,,,Bryopsida,,,Polytrichales,,,Polytrichaceae,,native,S4S5 (2015),confirmed,documented,39944,W. R. Buck,NY,NY: 01105220,"LGL Limited, Environmental Research Associates, Sidney, BC",43639,rambryum,https://www.inaturalist.org/observations/27553888,f. P. alpinum var. alpinum 242382 & LGL have a record of P. alpinum var. sylvaticum,167286
Polytrichastrum sexangulare var. sexangulare,(Bridel) G. L. Smith,northern haircap moss,Plantae,Bryophyta,,,Bryopsida,,,Polytrichales,,,Polytrichaceae,,native,S4 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,taxon ID is to species level as iNaturalist records no varieties,68294
Polytrichum commune,Hedw.,common haircap moss,Plantae,Bryophyta,,,Bryopsida,,,Polytrichales,,,Polytrichaceae,,native,S5 (2015) ,confirmed,documented,30154,J. Spence ,UBC  ,B104183,"LGL Limited, Environmental Research Associates, Sidney, BC",44234,gwenlh,https://www.inaturalist.org/observations/69547797,"UBC: Cypress PP Cypress Bowl Prov. Park, trail to Lions, along ridge crest; on moist humus in dry streambed ",68293
Polytrichum formosum,(Hedw.) G.L. Smith,bank haircap moss,Plantae,Bryophyta,,,Bryopsida,,,Polytrichales,,,Polytrichaceae,,native,S4S5 (2015),confirmed,documented,28908,W. B. Schofield,UBC  ,B7395,"LGL Limited, Environmental Research Associates, Sidney, BC",43639,rambryum,https://www.inaturalist.org/observations/27554079,"UBC: Cypress PP Cypress Bowl area, Crest Trail, toward The Lions; margin of swamp ",68290
Polytrichum juniperinum,Hedw.,juniper polytrichum moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S5 (2015)  ,confirmed,documented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",42091,judithofsquamish,https://www.inaturalist.org/observations/9139409,,68286
Polytrichum longisetum,Brid.,polytrichum moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,68289
Polytrichum piliferum,Hedw.,bristly haircap moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S5 (2015),confirmed,documented,37033,W. B. Schofield,UBC  ,B187000,"LGL Limited, Environmental Research Associates, Sidney, BC",41004,judithofsquamish,https://www.inaturalist.org/observations/9139626,"UBC: Woodfibre, head of Howe Sound; dry cliff shelves ",67905
Polytrichum strictum,M+B89menzies ex Brid,polytrichum moss,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,133206
Anoectangium aestivum ,"(Hedwig) Mitten, J. Linn. ",summer-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4 (2015) ,reported,undocumented,30950,W. B. Schofield ,UBC  ,B94599,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Stawamus Chief PP Shannon Falls,158394
Barbula convoluta ,Hedw.,lesser bird's-claw beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2015) ,reported,undocumented,27251,W. B. Schofield ,UBC  ,B76595,,,,,UBC: Brew Lake,159168
Barbula unguiculata ,Hedw.,bird's-claw beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S3S4 (2015),reported,undocumented,22337,W. B. Schofield ,UBC  ,B117323,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Squamish nearby,159173
Bryoerythrophyllum recurvirostrum ,(Hedwig) P. C. Chen,red beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2011),reported,undocumented,27251,W. B. Schofield ,UBC  ,B79644,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: trail from Brandywine Falls toward Brew Lake; cliff base; LGL & CDC record is B. recurvirostre,273647
Chionoloma tenuirostre,"Hook. & Taylor) M.Alonso, M.J.Cano & J.A.Jiménez",narrow-fruited crisp moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Trichostomum tenuirostre ,1138348
Didymodon vinealis,(Brid.) Zand.,soft-tufted beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S5 (2015),reported,undocumented,37033,W. B. Schofield,UBC  ,B186998,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Woodfibre, head of Howe Sound; roadside ",161892
Didymodon vinealis var. vinealis,(Bridel) R. H. Zander,soft-tufted beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,240336
Gymnostomum aeruginosum,Sm.,bluish-green beardless moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,163467
Syntrichia latifolia,(Bruch ex Hartman) Huebener,wideleaf tortula moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S3S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,207978
Syntrichia montana,Nees,none,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,169511
Syntrichia norvegica,F. Weber,norwegian tortula moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (I2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,494575
Syntrichia princeps,(de Not.) Mitt.,"tortula moss, brown screw-moss",Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44271,gwenlh,https://www.inaturalist.org/observations/71399712,iNat: needs i.d.,67915
Syntrichia ruralis,(Hedwig) F. Weber & D. Mohr,star moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S5 (2015),confirmed,documented,37791,W. B. Schofield,UBC  , ,"LGL Limited, Environmental Research Associates, Sidney, BC",43561,benkeen,https://www.inaturalist.org/observations/22096684,,244075
Timmiella crassinervis,(Hampe) B174L.F. Koch,timmiella moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S3S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,169775
Tortella fragilis ,(Hook. & Wils. in Drumm.) Limpr.,fragile twisted moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2015),reported,undocumented,29452,Joop van Velzen,UBC  ,B21518,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Garibaldi PP Black Tusk Area; Exposed rock surface along creek, moderate slope 1 cm soil Herbarium record: acc., smooth rock surface",169800
Tortella inclinata ,(Hedw. f.) Limpr.,inclined twisted moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S3S4 (2015) ,reported,undocumented,27247,W. B. Schofield,UBC  ,B119464,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Garibaldi PP Garibaldi Lake Trail; crevices of cliff of overlook to the barrier ,169802
Tortella tortuosa ,(Hedw.) Limpr.,twisted moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S5 (2015)  ,reported,undocumented,28704,W. B. Schofield,UBC  ,B150649,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Shannon Falls S. of Squamish; on cliff shelf,134215
Tortula hoppeana ,(Schultz) Ochyra,none,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4S5 (2015),reported,undocumented,30588,John Spence,UBC  ,s.n.,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,364138
Weissia controversa,Hedw.,controversial weissia moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,170306
Aulacomnium palustre,(Hedw.) Schwägr.,ribbed bog moss,Plantae,Bryophyta,,,Bryopsida,,,Rhizogoniales,,,Aulacomniaceae,,native,S5 (2015) ,confirmed,documented,30539,J. Spence ,UBC  ,B102272,"LGL Limited, Environmental Research Associates, Sidney, BC",43932,judithofsquamish,https://www.inaturalist.org/observations/41971497,"UBC: Garibaldi PP Russet Lake-Singing Pass area, damp soil below hut along stream;    needs i.d.",154189
Leptobryum pyriforme,(Hedw.) Wilson,golden thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Splachnales,,,Meesiaceae,,native,S4S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,164536
Meesia uliginosa,Hedw.,meesia moss,Plantae,Bryophyta,,,Bryopsida,,,Splachnales,,,Meesiaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,148219
Paludella squarrosa,(Hedw.) Brid.,tufted fen moss/angled paludella moss,Plantae,Bryophyta,,,Bryopsida,,,Splachnales,,,Meesiaceae,,native,S4S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,166063
Tetraplodon mnioides,(Hedw.) B.S.G.,entireleaf nitrogen moss,Plantae,Bryophyta,,,Bryopsida,,,Sphagnales,,,Sphagnaceae,,native,S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,133496
Sphagnum capillifolium,(Ehrh.) Hedw. ,northern peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015,confirmed,documented,31664,W. B. Schofield ,NY,NY: 00082334,"LGL Limited, Environmental Research Associates, Sidney, BC",42946,judithofsquamish,https://www.inaturalist.org/observations/7361708,iNat: needs i.d.,123958
Sphagnum compactum ,Lam. & DC.,low peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015) ,reported,undocumented,22717,E.B. Peterson ,UBC  ,B29548,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Cypress PP top of Mt. Strachan,169207
Sphagnum contortum,Schultz,contorted sphagnum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S3 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,169208
Sphagnum divinum,,Divine Bogmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2020),new 2021,documented,,,,,,44413,cgbc,https://www.inaturalist.org/observations/90569099,,1050173
Sphagnum fallax ,(H. Klinggräff) H. Klinggräff,flat-top bogmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,exotic,SNA (2015),reported,undocumented,26438,V. J. Krajina,UBC  ,B72852,,,,,UBC: Bowen Island ,127361
Sphagnum fimbriatum,Wils. & Hook. ,fringed bogmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4 (2015),reported,undocumented,29803,W. B. Schofield,UBC  ,B24171,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Cypress PP Cypress Bowl; on sloping bog terrace ,132823
Sphagnum fuscum,(Schimp.) H. Klinggr.,brown peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S5 (2015),reported,undocumented,31664,W. B. Schofield,NY,NY: 00093320,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,132803
Sphagnum girgensohnii,Russ.,girgensohn's peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015),confirmed,documented,39944,W. R. Buck ,NY,NY: 01105214,"LGL Limited, Environmental Research Associates, Sidney, BC",42787,elsemikkelsen,https://www.inaturalist.org/observations/9211146, ,129775
Sphagnum henryense,Warnst.,henry's sphagnum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,169211
Sphagnum lindbergii,Schimp.,lindberg's peatmos,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S3 (2015),reported,undocumented,29803,J. Spence,UBC,B104095,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Cypress PP  Cypress Bowl; in bog on peat and in water ,169217
Sphagnum mendocinum ,Sull. & Lesq. in Sull. ,mendocino peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015) ,reported,undocumented,31664,W. B. Schofield,UBC  ,B113862,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Cypress PP  Cypress Bowl; edge of pool on margin of peaty meadow ,169221
Sphagnum pacificum,Flatberg,pacific sphagnum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,169227
Sphagnum palustre,L.,prairie peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43669,judithofsquamish,https://www.inaturalist.org/observations/29449280,iNat: needs i.d.,169228
Sphagnum papillosum,Lindb.,papillose peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43934,judithofsquamish,https://www.inaturalist.org/observations/42141546,iNat: needs i.d.,143516
Sphagnum riparium ,Ångstr.,streamside sphagnum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S5 (2015) ,reported,undocumented,29803,J. Spence,UBC  ,B104083,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Cypress PP Cypress Bowl;  in bog on peat and water ,169232
Sphagnum rubellum ,Wils.,red peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S5 (2015),confirmed,documented,30196,W. B. Schofield,UBC  ,B56147,"LGL Limited, Environmental Research Associates, Sidney, BC",44413,cgbc,https://www.inaturalist.org/observations/90569103,UBC: Cypress PP Cypress Bowl; peaty slope among pools ,132815
Sphagnum russowii ,Warnst.,russow's peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015) ,confirmed,documented,24364,W. B. Schofield,NY,NY: 00543505,"LGL Limited, Environmental Research Associates, Sidney, BC",44143,shura-no-hana,https://www.inaturalist.org/observations/64583733,iNat: needs i.d.,155565
Sphagnum squarrosum,Crome,crome sphagnum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S5 (2015) ,confirmed,documented,37171,W. B. Schofield,UBC  ,B189704,"LGL Limited, Environmental Research Associates, Sidney, BC",43340,judithofsquamish,https://www.inaturalist.org/observations/17456926,"UBC: Cypress PP Cypress bowl area, mainly near base of Mt. Strachan; krumholz margin of streamlet ",132807
Sphagnum subnitens ,Russ. & Warnst. in Warnst.,lustrous bog-moss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4? (2015),reported,undocumented,31664,W. B. Schofield,UBC  ,B11386,,,,,"UBC: Cypress PP Yew lakes area, Cypress Bowl; in peaty meadow",132808
Sphagnum subsecundum ,Nees,orange peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4 (2015),reported,undocumented,30196,W. B. Schofield,UBC  ,B56142,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Cypress PP Black Mountain trail from Cypress Bowl; peaty margin of pond  ,132799
Sphagnum tenellum ,(Brid.) Bory,delicate peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015),reported,undocumented,30196,W. B. Schofield,UBC  ,B56136,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Cypress PP Black Mountain trail from Cypress Bowl; peaty slope,132798
Sphagnum teres ,Ångstr.,rigid bog-moss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015),reported,undocumented,22483,E.B. Peterson ,UBC  ,B35474,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Cypress PP Mt. Strachan,132805
Sphagnum warnstorfii ,Russ.,fen peatmoss,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,Sphagnaceae,,native,S4S5 (2015) ,reported,undocumented,30196,W. B. Schofield,UBC  ,B56158,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Cypress PP Black Mountain trail from Cypress Bowl; peaty slope among ponds,143509
Tetraphis geniculata,Girg. ex Milde,tetraphis moss,Plantae,Bryophyta,,,Tetraphidopsida,,,Tetraphidales,,,Tetraphidaceae,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,169632
Tetraphis pellucida ,Hedw.,common four-tooth moss,Plantae,Bryophyta,,,Tetraphidopsida,,,Tetraphidales,,,Tetraphidaceae,,native,S4S5 (2015),confirmed,documented,38462,W. B. Schofield,UBC  ,B195627,"LGL Limited, Environmental Research Associates, Sidney, BC",44309,elsemikkelsen,https://www.inaturalist.org/observations/75370899,"UBC: Horseshoe Bay, W. Vancouver; cut end of rotten log ",124385
Blidingia minima var. vexata & other B. spp.,Setchell & N.L.Gardner,green rope,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Bryopsideceae,,,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,338996
Bryopsis sp./Bryopsis corticulans,Setchell,sea fern,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Bryopsideceae,, ,not in CDC records,confirmed,documented,38400,Donna Gibbs,Howe Sound Marine Data,,"LGL Limited, Environmental Research Associates, Sidney, BC",43622,bclarkston,https://www.inaturalist.org/observations/27915803, ,339004
Codium setchellii,N.L. Gardner,spongy cushion,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Codiaceae,,,not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117776
Cladophora sp.,Kützing,none,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,Cladophroaceae,,,not in CDC records,reported,undocumented,34601,Donna Gibbs,Howe Sound Marine Data,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,53707
