Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,
Anser canagicus,Sevastianov ,emperor goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Accidental,SNA (2015),reported,undocumented,1998-00-00,per Chris Dale,,,,,,,historical record Porteau Cove,558425,,
Anser caerulescens,L.,snow goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,S4M (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2016-11-19,sea2skynaturebc,http://inaturalist.ca/observations/4601651,https://static.inaturalist.org/photos/5563049/medium.jpg?1479598422,,558426,,
Anser rossii,Cassin,Ross's goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Accidental,SNA (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2013-05-08,hillanddale,https://www.inaturalist.org/observations/8611845,https://static.inaturalist.org/photos/11518708/medium.png?1509339894,,558427,,
Anthus rubescens,Turnstall,American pipit,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Motacillidae,,Native,"S5B, SNRN (2015)",confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-05-08,hillanddale,https://www.inaturalist.org/observations/8497877,https://static.inaturalist.org/photos/11336037/medium.jpeg?1508631651,,13732,,
Antigone canadensis,L.,sandhill crane,Animalia,Chordata,Vertebrata,,Aves,,,Gruiformes,,,Gruidae,,Native,S4B (2018) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-09-17,hillanddale,https://www.inaturalist.org/observations/8474614,https://static.inaturalist.org/photos/11299738/medium.jpeg?1508475688,,508048,,
Aquila chrysaetos,L.,golden eagle,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,Native,S4S5 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-04-08,hillanddale,https://www.inaturalist.org/observations/8473420,https://static.inaturalist.org/photos/11297863/medium.jpeg?1508467537,,5074,,
Ardea herodias,L.,great blue heron,Animalia,Chordata,Vertebrata,,Aves, ,,Pelecaniformes,,,Ardeidae,Ardeinae,Native,S3 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-04-02,sea2skynaturebc,http://inaturalist.ca/observations/5540866,https://static.inaturalist.org/photos/6850834/medium.jpg?1491187188,,4956,,
Arenaria melanocephala,Vigors,black turnstone,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,Native,"S4N,S5M (2015)",confirmed,documented,,,Dale&Ricker Bird Checklists,,2019-02-24,benkeen,https://www.inaturalist.org/observations/20737090,https://static.inaturalist.org/photos/31972463/medium.jpg?1551041850,,3941,,
Asio flammeus,Pontoppidan,short-eared owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,Native,"S3B,S2N (2015)",confirmed,documented,,,Dale&Ricker Bird Checklists,,2012-10-30,hillanddale,https://www.inaturalist.org/observations/8486803,https://static.inaturalist.org/photos/11319171/medium.jpeg?1508564598,,20315,,
Asio otus,L.,long-eared owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,Native,S4 (2015)  ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2008-05-22,hillanddale,https://www.inaturalist.org/observations/8527696,https://static.inaturalist.org/photos/11387828/medium.jpeg?1508814456,,20307,,
Aythya affinis,Eyton,lesser scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,"S5B,S5N (2015)",confirmed,documented,,,Dale&Ricker Bird Checklists,,2015-04-20,hillanddale,https://www.inaturalist.org/observations/8499726,https://static.inaturalist.org/photos/11339144/medium.jpeg?1508641371,,7054,,
Aythya collaris,Donovan,ring-necked duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,"S5B,S5N (2015)",confirmed,documented,,,Dale&Ricker Bird Checklists,,2018-04-08,hillanddale,https://www.inaturalist.org/observations/10722035,https://static.inaturalist.org/photos/14980850/medium.jpeg?1523246216,,7044,,
Aythya fuligula,L.,tufted duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Accidental,SNA (2015),new 2017,documented,,,,,2017-04-06,hillanddale,https://www.inaturalist.org/observations/8473599,https://static.inaturalist.org/photos/11298181/medium.jpeg?1508468954,,7046,,
Aythya marila,L.,greater scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,S4N (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-05-03,hillanddale,https://www.inaturalist.org/observations/9563579,https://static.inaturalist.org/photos/13052596/medium.jpeg?1516642850,,7047,,
Aythya valisineria,Wilson,canvasback,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,"S4B, SNRN (2015)",confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-04-10,hillanddale,https://www.inaturalist.org/observations/8473704,https://static.inaturalist.org/photos/11298262/medium.jpeg?1508469229,,7057,,
Bombycilla cedrorum,Viellot,cedar waxwing,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Bombycillidae,,Native,S5 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-06-09,sea2skynaturebc,http://inaturalist.ca/observations/6574332,https://static.inaturalist.org/photos/8340908/medium.jpg?1497107248,,7428,,
Bombycilla garrulus,L.,Bohemian waxwing,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Bombycillidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2016-11-30,hillanddale,https://www.inaturalist.org/observations/8503873,https://static.inaturalist.org/photos/11347154/medium.jpg?1508682954,,7429,,
Bonasa umbellus,Stephens,ruffed grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Phasianidae,,Native,S5 (2015),reported,undocumented,1949-04-03,,RBCM,14631,,,,,historical record West Vancouver,890,,
Brachyramphus marmoratus,Gmelin,marbled murrelet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,Native,"S3B,S3N (2015)",reported,undocumented,1931-01-31,,RBCM,14699,,,,,historical record Bowen Island,4531,,
Branta bernicla,L.,brant,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,S3M (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2016-11-30,hillanddale,https://www.inaturalist.org/observations/8503899,https://static.inaturalist.org/photos/11347201/medium.jpeg?1508683081,,7087,,
Branta canadensis,L.,Canada goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2019-03-30,judithofsquamish,https://www.inaturalist.org/observations/21827617,https://static.inaturalist.org/photos/33815796/medium.jpeg?1554045639,,7089,,
Branta hutchinsii,Richardson,cackling goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,S4S5M (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2013-12-13,hillanddale,https://www.inaturalist.org/observations/8494482,https://static.inaturalist.org/photos/11330791/medium.jpeg?1508618019,,59220,,
Branta hutchinsii leucopareia,Delacour,Aleutian cackling goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,S4S5M (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2012-10-20,hillanddale,https://www.inaturalist.org/observations/9565675,https://static.inaturalist.org/photos/13056074/medium.jpeg?1516655877,,179299,,
Bubo scandiacus,L.,snowy owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,Unknown,SUN+Q806 Q878(2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2012-12-11,hillanddale,https://www.inaturalist.org/observations/8490668,https://static.inaturalist.org/photos/11324608/medium.jpg?1508600104,,144594,,
Bubo virginianus,Gmelin,great horned owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-05-05,hillanddale,https://www.inaturalist.org/observations/8473900,https://static.inaturalist.org/photos/11298604/medium.jpeg?1508470400,,20044,,
Bucephala albeola,L.,bufflehead,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,"S5B, SNRN (2015)",confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-01-05,sea2skynaturebc,https://www.inaturalist.org/observations/9035645,https://static.inaturalist.org/photos/12190305/medium.jpg?1512342301,,6993,,
Bucephala clangula,Bonaparte,common goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-02-11,sea2skynaturebc,https://www.inaturalist.org/observations/9035976,https://static.inaturalist.org/photos/12190715/medium.jpg?1512344219,,6990,,
Bucephala islandica,Gmelin,Barrow's goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,S4S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-04-10,hillanddale,https://www.inaturalist.org/observations/9563507,https://static.inaturalist.org/photos/13052542/medium.png?1516642543,,6994,,
Buteo jamaicensis,Gmelin,red-tailed hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,Native,S5 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2016-12-30,hillanddale,https://www.inaturalist.org/observations/8639442,https://static.inaturalist.org/photos/11564674/medium.jpeg?1509505004,,5212,,
Buteo lagopus,Pontoppidan,rough-legged hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,Native,S3N (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-04-05,hillanddale,https://www.inaturalist.org/observations/8474547,https://static.inaturalist.org/photos/11299551/medium.jpeg?1508474833,,5200,,
Buteo lagopus sanctijohannis,Pontoppidan,American rough-legged hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,Native,S3N (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2013-04-02,hillanddale,https://www.inaturalist.org/observations/9300037,https://static.inaturalist.org/photos/12610096/medium.jpeg?1514598702,,524418,,
Buteo swainsoni,Bonaparte,Swainson's hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,Native,S2B (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-05-31,hillanddale,https://www.inaturalist.org/observations/8473944,https://static.inaturalist.org/photos/11298734/medium.jpeg?1508470669,,5196,,
Butorides virescens,L.,green heron,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,Ardeidae,Ardeinae,Native,S3S4B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2013-08-11,hillanddale,https://www.inaturalist.org/observations/8486523,https://static.inaturalist.org/photos/11318795/medium.jpeg?1508562685,,5020,,
Calcarius lapponicus,L.,Lapland longspur,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Calcariidae,,Unknown,SUM (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2012-10-26,hillanddale,https://www.inaturalist.org/observations/8486795,https://static.inaturalist.org/photos/11319156/medium.jpeg?1508564475,,116840,,
Calidris alpina,L.,dunlin,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,Native,S4N (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2012-10-30,hillanddale,https://www.inaturalist.org/observations/8486814,https://static.inaturalist.org/photos/11319193/medium.png?1508564713,,3857,,
Calidris bairdii,Coues,Baird's sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,Unknown,"SUB,SUM (2015)",confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-08-13,hillanddale,https://www.inaturalist.org/observations/8474708,https://static.inaturalist.org/photos/11299819/medium.jpeg?1508476271,,3851,,
Calidris mauri,Cabanis,western sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,Native,S4M (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-08-30,hillanddale,https://www.inaturalist.org/observations/8474115,https://static.inaturalist.org/photos/11336096/medium.jpeg?1508631782,,3855,,
Calidris melanotos,Vieillot,pectoral sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,Unknown,SUM (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-09-22,hillanddale,https://www.inaturalist.org/observations/8474189,https://static.inaturalist.org/photos/11299033/medium.jpeg?1508472016,,3865,,
Calidris minutilla,Vieillot,least sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,Native,S4?B (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-08-30,hillanddale,https://www.inaturalist.org/observations/8474642,https://static.inaturalist.org/photos/11299762/medium.jpeg?1508475913,,3864,,
Calidris virgata,Gmelin,surfbird,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,Native,S4M (2015)  ,new 2019,documented,,,,,2019-12-01,benkeen,https://www.inaturalist.org/observations/36265146,https://static.inaturalist.org/photos/57306006/medium.jpeg?1575231948,,339592,,
Calypte anna,Lesson,Anna's hummingbird,Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,Trochilidae,,Native,S4S5 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2016-12-30,hillanddale,https://www.inaturalist.org/observations/8504248,https://static.inaturalist.org/photos/11347870/medium.jpeg?1508684593,,6317,,
Cardellina pusilla,Wilson,Wilson's warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,Native,S5B (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2019-02-03,breannawilson,https://www.inaturalist.org/observations/20093014,no photo - see Breanna's explanation on the observation itself,,145276,,
Cathartes aura,L.,turkey vulture,Animalia,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,Cathartidae,,Native,S4 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2015-05-30,hillanddale,https://www.inaturalist.org/observations/8499788,https://static.inaturalist.org/photos/11339283/medium.jpeg?1508641806,,4756,,
Catharus guttatus,Pallas,hermit thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,Native,S5B (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2018-12-25,benkeen,https://www.inaturalist.org/observations/19217802,https://static.inaturalist.org/photos/29520617/medium.jpg?1545770862,,12890,,
Catharus ustulatus,Nuttall,Swainson's thrush,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,Native,S5B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-05-25,hillanddale,https://www.inaturalist.org/observations/8528331,https://static.inaturalist.org/photos/11389022/medium.png?1508819732,,12878,,
Cepphus columba,Pallas,pigeon guillemot,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,Native,S4 (2015) ,new 2017,documented,,,,,2014-06-23,hillanddale,https://www.inaturalist.org/observations/8548702,https://static.inaturalist.org/photos/11422102/medium.png?1508963484,,4415,,
Certhia americana,Bonaparte,brown creeper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Certhiidae,,Native,S5 (2015)  ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-04-24,hillanddale,https://www.inaturalist.org/observations/8473750,https://static.inaturalist.org/photos/11298303/medium.jpg?1508469423,,7458,,
Charadrius semipalmatus,Bonaparte,semipalmated plover,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,Native,S4S5B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-05-04,hillanddale,https://www.inaturalist.org/observations/8497777,https://static.inaturalist.org/photos/11335885/medium.jpeg?1508631387,,4817,,
Charadrius vociferus,L.,killdeer,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,Native,S4S5B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-01-20,hillanddale,https://www.inaturalist.org/observations/8504407,https://static.inaturalist.org/photos/11348138/medium.png?1508685331,,4793,,
Chondestes grammacus,Say,lark sparrow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,Native,S3S4B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2019-09-25,hillanddale,https://www.inaturalist.org/observations/33662299,https://static.inaturalist.org/photos/52893660/medium.jpeg?1569870341,,10479,,
Chroicocephalus philadelphia,Ord.,Bonaparte's gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,Native,S5? (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2008-11-17,hillanddale,https://www.inaturalist.org/observations/8553818,https://static.inaturalist.org/photos/11430753/medium.jpeg?1508990593,,144502,,
Cinclus mexicanus,Swainson,American dipper,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Cinclidae,,Native,S4 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2016-09-19,sea2skynaturebc,http://inaturalist.ca/observations/4148379,https://static.inaturalist.org/photos/4939158/medium.jpg?1474302136,,7643,,
Circus hudsonius,L.,northern harrier,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,Native,S4B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2013-10-01,hillanddale,https://www.inaturalist.org/observations/8486577,https://static.inaturalist.org/photos/11318912/medium.jpeg?1508563132,,558446,,
Cistothorus palustris,Wilson,marsh wren,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Troglodytidae,,Native,S5 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-06-23,hillanddale,https://www.inaturalist.org/observations/8499428,https://static.inaturalist.org/photos/11338576/medium.png?1508639219,,7601,,
Clangula hyemalis,L.,long-tailed duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,"S2S3B,S4N (2015) ",confirmed,documented,,,Dale&Ricker Bird Checklists,,2013-07-14,hillanddale,https://www.inaturalist.org/observations/8516424,https://static.inaturalist.org/photos/11367971/medium.jpeg?1508732526,,7170,,
Coccothraustes vespertinus,W. Cooper,evening grosbeak,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Fringillidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-03-13,hillanddale,https://www.inaturalist.org/observations/8497545,https://static.inaturalist.org/photos/11335581/medium.png?1508630762,,9800,,
Colaptes auratus,L.,northern flicker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,Native,S5 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-10-03,gwenlh,https://www.inaturalist.org/observations/8330730,https://static.inaturalist.org/photos/11067930/medium.jpg?1507579743,,18236,,
Colaptes auratus cafer,L.,red-shafted flicker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2011-10-30,hillanddale,https://www.inaturalist.org/observations/8516402,https://static.inaturalist.org/photos/11367933/medium.jpg?1508732344,,236980,,
Columba livia,Gmelin,rock pigeon,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,Exotic,SNA (2015) ,new 2018,documented,,,,,2018-01-27,hillanddale,https://www.inaturalist.org/observations/9634918,https://static.inaturalist.org/photos/13156116/medium.jpeg?1517091012,,3017,,
Contopus cooperi,Swainson,olive-sided flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,Native,S3S4B (2015),new 2019,documented,,,,,2019-06-03,breannawilson,https://www.inaturalist.org/observations/26654061,https://static.inaturalist.org/photos/41400788/medium.jpg?1560052576,,16110,,
Contopus sordidulus,Slater,western wood-pewee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,Native,S5B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-07-31,sea2skynaturebc,https://www.inaturalist.org/observations/8943680,https://static.inaturalist.org/photos/12050599/medium.jpg?1511725689,,16079,,
Corvus caurinus,Baird,northwestern crow,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2018-01-22,hillanddale,https://www.inaturalist.org/observations/9565414,https://static.inaturalist.org/photos/13055800/medium.jpeg?1516654509,,8018,,
Corvus corax,L.,common raven,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-01-04,sea2skynaturebc,https://www.inaturalist.org/observations/8945179,https://static.inaturalist.org/photos/12053084/medium.jpeg?1511731784,,8010,,
Cyanocitta cristata,L.,blue jay,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,Native,S4S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2009-11-06,hillanddale,https://www.inaturalist.org/observations/9568983,https://static.inaturalist.org/photos/13061843/medium.jpeg?1516677114,,8229,,
Cyanocitta stelleri,Gmelin,Steller's jay,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Corvidae,,Native,S5 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-10-03,gwenlh,https://www.inaturalist.org/observations/8342204,https://static.inaturalist.org/photos/11088064/medium.jpg?1507652469,,8234,,
Cygnus buccinator,Richardson,trumpeter swan,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,Native,"S4B,S5N (2015)",confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-04-04,hillanddale,https://www.inaturalist.org/observations/8497664,https://static.inaturalist.org/photos/11335736/medium.png?1508631109,,6915,,
Dendragapus fuliginosus,Ridgway,sooty grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Phasianidae,,Native,S4 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2015-09-25,thuja,https://www.inaturalist.org/observations/8335279,https://static.inaturalist.org/photos/11075270/medium.jpeg?1507600381,,72797,,
Dryobates pubescens,L.,downy woodpecker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,Native,S5 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-03-31,hillanddale,https://www.inaturalist.org/observations/8528279,https://static.inaturalist.org/photos/11388913/medium.png?1508819308,,792988,,
Dryobates villosus,L.,hairy woodpecker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,Native,S5 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2016-12-16,hillanddale,https://www.inaturalist.org/observations/8503947,https://static.inaturalist.org/photos/11347280/medium.png?1508683257,,792990,,
Dryocopus pileatus,L.,pileated woodpecker,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-02-11,sea2skynaturebc,https://www.inaturalist.org/observations/9036089,https://static.inaturalist.org/photos/12190923/medium.jpg?1512345144,,17855,,
Dumetella carolinensis,L.,grey catbird,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Mimidae,,Native,S5B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-05-31,hillanddale,https://www.inaturalist.org/observations/8499390,https://static.inaturalist.org/photos/11338487/medium.jpeg?1508638960,,14995,,
Empidonax difficilis,Baird,Pacific-slope flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,Native,S5B (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2019-08-04,breannawilson,https://www.inaturalist.org/observations/30613659,https://static.inaturalist.org/photos/47836760/medium.jpg?1565535855,,16598,,
Empidonax minimus,Baird,least flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,Native,S5B (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2013-06-23,hillanddale,https://www.inaturalist.org/observations/8492394,https://static.inaturalist.org/photos/11327348/medium.png?1508609243,,16602,,
Empidonax traillii,Audubon,willow flycatcher,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Tyrannidae,,Native,S5B (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-05-31,sea2skynaturebc,http://inaturalist.ca/observations/6443973,https://static.inaturalist.org/photos/12050337/medium.jpg?1511725006,,16611,,
Eremophila alpestris,L.,horned lark,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Alaudidae,,Native,S5?B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2010-09-18,hillanddale,https://www.inaturalist.org/observations/8527782,https://static.inaturalist.org/photos/11387985/medium.jpeg?1508815211,,7294,,
Euphagus carolinus,Muller,rusty blackbird,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,Native,S3S4B (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-04-28,hillanddale,https://www.inaturalist.org/observations/8497726,https://static.inaturalist.org/photos/11335811/medium.jpeg?1508631247,,10322,,
Euphagus cyanocephalus,Wagler,Brewer's blackbird,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-03-03,sea2skynaturebc,https://www.inaturalist.org/observations/9035583,https://static.inaturalist.org/photos/12190232/medium.jpg?1512341930,,10325,,
Falco columbarius,L.,merlin,Animalia,Chordata,Vertebrata,,Aves,,,Falconiformes,,,Falconidae,,Native,S5 (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2018-09-23,breannawilson,https://www.inaturalist.org/observations/17089496,https://static.inaturalist.org/photos/25870906/medium.jpg?1538364883,,4672,,
Falco peregrinus,Tunstall,peregrine falcon,Animalia,Chordata,Vertebrata,,Aves,,,Falconiformes,,,Falconidae,,Native,S3 (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2014-05-26,hillanddale,https://www.inaturalist.org/observations/8498083,https://static.inaturalist.org/photos/11336361/medium.jpeg?1508632432,,4647,,
Falco sparverius,L.,American kestrel,Animalia,Chordata,Vertebrata,,Aves,,,Falconiformes,,,Falconidae,,Native,S4S5B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2012-10-26,hillanddale,https://www.inaturalist.org/observations/8500866,https://static.inaturalist.org/photos/11341462/medium.jpeg?1508651037,,4665,,
Fulica americana,Gmelin,American coot,Animalia,Chordata,Vertebrata,,Aves,,,Gruiformes,,,Rallidae,,Native,S4S5B (2015),confirmed,documented,,,Dale&Ricker Bird Checklists,,2017-09-24,hillanddale,https://www.inaturalist.org/observations/8474598,https://static.inaturalist.org/photos/11299670/medium.jpeg?1508475410,,473,,
Gallinago delicata,Ord.,Wilson's snipe,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,Native,S5B (2015) ,confirmed,documented,,,Dale&Ricker Bird Checklists,,2018-09-01,breannawilson,https://www.inaturalist.org/observations/16408409,https://static.inaturalist.org/photos/24683261/medium.jpg?1536633035,,144496,,
