Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,
Papilio rutulus,Lucas,western tiger swallowtail,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,Native,S5 (2013),new 2008,documented,,,,,2008-07-15,hillanddale,https://www.inaturalist.org/observations/9551483,https://static.inaturalist.org/photos/13032449/medium.jpeg?1516559019,,47226,,
Papilio zelicaon,Lucas,anise swallowtail,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,Native,S5 (2013) ,confirmed,documented,0000-00-00,G.J. Spencer,UBC,SEM-UBC PAP-0266,2015-06-05,judithofsquamish,https://www.inaturalist.org/observations/6016859,https://static.inaturalist.org/photos/7528536/medium.jpeg?1493515794,,51097,,
Parabagrotis sulinaris,Lafontaine & Crabo,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-09-08,benkeen,https://www.inaturalist.org/observations/32390788,https://static.inaturalist.org/photos/50798343/medium.jpeg?1567997023,,226954,,
Paraleuctra occidentalis,(Banks),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Plecoptera,,,Leuctridae,,Native,S4S5 (2017),reported,undocumented,1981-06-13,S.G. Cannings,UBC,SEM-UBC PLE-0240,,,,,,227024,,
Parapoynx allionealis,Walker,watermilfoil leafcutter moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Acentropinae,Native,SNR (2017),new 2019,documented,,,,,2019-08-22,benkeen,https://www.inaturalist.org/observations/31332191,https://static.inaturalist.org/photos/49029690/medium.jpeg?1566542798,,227082,,
Parasyrphus sp.,Matsumura,bristleside flies,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Syrphinae,,genus not in CDC records,new 2018,undocumented,,,,,2018-07-03,judithofsquamish,https://www.inaturalist.org/observations/14191062,https://static.inaturalist.org/photos/21044988/medium.jpeg?1531108476,,208047,,
Parnassius clodius,Ménétriés,Clodius Parnassian,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Parnassiinae,Native,S5 (2013),confirmed,documented,1969-06-14,J.L. Gordon,UBC,SEM-UBC PAP-0352,2015-06-27,breannawilson,https://www.inaturalist.org/observations/27572608,https://static.inaturalist.org/photos/42914876/medium.jpg?1561390494,historical record P. clodius claudianus Bowen Island,68239,,
Paromalus mancus,Casey,clown beetle sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Histeroidea,Histeridae,Dendrophilinae,Native,S4S5 (2017) ,reported,undocumented,1936-07-02,unrecorded online,,ENT991-040387,,,,,historical record West Vancouver ,456599,,
Pasiphila rectangulata,L.,green pug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Exotic,SNA (2017),new 2019,documented,,,,,2019-05-24,benkeen,https://www.inaturalist.org/observations/25713237,https://static.inaturalist.org/photos/39857269/medium.jpeg?1558755280,,129223, ,
Passaloecus cuspidatus,Smith,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Pemphredoninae,,not in CDC records,reported,undocumented,0000-00-00,G.J. Spencer,UBC,SEM-UBC HYM-7826,,,,,,498411,,
Pedetontus submutans,Silvestri,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Archaeognatha,,,Machilidae,Petrobiinae,,not in CDC records,new 2012,documented,,,,,2012-06-02,judithofsquamish,https://www.inaturalist.org/observations/32711658,https://static.inaturalist.org/photos/51324190/medium.jpeg?1568484541,,517769,,
Pemphredon inornata,Say,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Pemphredoninae,,not in CDC records,reported,undocumented,2015-06-26,SEM Team,UBC,SEM-UBC HYM-8717,,,,,,203312,,
Peridroma saucia,Hübner,variegated cutworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017) ,new 2019,documented,,,,,2019-06-02,benkeen,https://www.inaturalist.org/observations/26305232,https://static.inaturalist.org/photos/40836415/medium.jpeg?1559533433,,179339,,
Periscepsia polita,Brooks,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Tachinidae,Dexiinae,,not in CDC records,reported,undocumented,1959-05-08,G.J. Spencer,,SEM-UBC TAC-0001,,,,,iNaturalist 337928-Periscepsia genus,0,,
Perizoma costiguttata,Hulst,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-05-23,benkeen,https://www.inaturalist.org/observations/25659119,https://static.inaturalist.org/photos/39769081/medium.jpeg?1558673081,,347195,,
