Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin or Residency Status,Status (coloured if red or blue listed),Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code,Latitude,Longditude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus armatus,Dana,armed hermit crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,not yet assessed,SNR (23 spp Pagurus in CDC records),confirmed,documented,2017-04-15T10:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-02-14,imcote,https://www.inaturalist.org/observations/37938956,Gibbs: Porteau shoreline north,459543,,49.56283,-123.23417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus beringanus,Benedict,Bering hermit crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,not yet assessed,SNR,confrrmed,documented,2005-02-17T10:45:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2015-06-20,mlssofbc,http://www.inaturalist.org/observations/3189216,,362749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus caurinus,Hart,greenmark hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea, Paguridae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,180026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus granosimanus ,Stimpson,grainyhand hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,127555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus hirsutiusculus,Dana,Pacific hairy hermit crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,not yet assessed,SNR,confirmed,documented,2013-07-04T10:44:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2017-07-26,caitlinforeman,https://www.inaturalist.org/observations/7298477,"Gibbs: Britannia mine, north",63219,,49.63072,-123.21237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus kennerlyi ,Stimpson,bluespine hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea, Paguridae,,not yet assessed,SNR,reported,undocumented,2018-01-16T13:37:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"Gibbs: Defence Islands, sponge garden",459637,,49.57667,-123.27443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus ochotensis ,Brandt,alaskan hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea, Paguridae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,202044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus samuelis ,Stimpson,blueband hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Balanidae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,49095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus stevensae,Hart,stevens' hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea, Paguridae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,459640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalus danae,Simpson,dock shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,not yet assessed,SNR,confirmed,documented,2018-01-16T13:37:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2015-06-20,mlssofbc,http://www.inaturalist.org/observations/3189213,"Gibbs: Defence Islands, sponge garden",154708,,49.57667,-123.27443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalus dispar ,Rathbun,sidestripe shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,Exotic,CDC records 8 spp Pandulus but not P. dispar ,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,1072163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalus eous ,Makarov,spiny pink shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,not yet assessed,SNR,reported,undocumented,2013-07-15T11:38:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"Gibbs: Defence Islands, shore bioherm",459644,,49.5774,-123.27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalus goniurus ,Stimpson,humpy shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,226883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalus goniurus,Stimpson,Humpy Shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,,,,,SNR,,,2004-07-14T12:56:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,"Gibbs: Defence Islands, shore bioherm",226883,,49.5774,-123.27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalus hypsinotus ,Brandt,humpback shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,not yet assessed,SNR,reported,undocumented,2012-05-01T12:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Miniaty Bay,226884,,49.6115,-123.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalus lucidirimicolus,Jensen,sparkling shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,not yet assessed,SNR in CDC records as Pandalopsis lucidirimicola ,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,original record updated to current iNaturalist taxonomy,1111164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalus platyceros,Brandt,California spot prawn,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,not yet assessed,SNR,confirmed,documented,2017-08-20T11:50:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-06-10,bstarzomski,https://www.inaturalist.org/observations/13320853,Gibbs: Porteau,180394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalus stenolepis,M.J. Rathbun,roughpatch shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Pandaloidea,Pandalidae,,not yet assessed,SNR,confirmed,documented,2015-02-11T11:14:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-06-22,thiebaud,https://www.inaturalist.org/observations/55767284,Gibbs: Porteau 2008 slide,459645,,49.56617,-123.23417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paracrangon echinata ,Dana,horned shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,459683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petrolisthes eriomerus,Stimpson,flattop crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Porcellanidae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,47803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllolithodes papillosus ,Brandt,heart crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata, Lithodoidea,Lithodidae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,424896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placetron wosnessenskii ,Schlafeew,scaled crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata, Lithodoidea,Hapalogastridae,,not yet assessed,SNR,reported,undocumented,2012-05-01T12:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Miniaty Bay,459657,,49.6115,-123.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pugettia foliatus ,Stimpson,foliate kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae, Epialtinae,not yet assessed,SNR in CDC records as Mimulus foliatus,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,original record Mimulus foliatus updated to current iNaturalist taxonomy,468765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pugettia gracilis ,Dana,graceful kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae, Epialtinae,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau,130344,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pugettia producta ,Randall,northern kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae, Epialtinae,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,49723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinolithodes wosnessenskii ,Brandt,rhinoceros crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata, Lithodoidea,Lithodidae,,not yet assessed,SNR,reported,undocumented,1994-05-08T14:26:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau,459660,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhynocrangon alata ,Rathbun,saddleback shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,459662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scyra acutifrons ,Dana,sharpnose crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Epialtinae,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau 2008 slide,47712,,49.56617,-123.23417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirontocaris lamellicornis ,Dana,dana's blade shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,not yet assessed,SNR (8 spp Spirontocaris in CDC records),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,459673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirontocaris prionota ,Stimpson,deep blade shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,424249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirontocaris snyderi ,Rathbun,snyder's blade shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,not yet assessed,SNR,reported,undocumented,2017-09-30T14:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau shoreline south,459678,,49.54983,-123.24167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upogebia pugettensis ,Dana,blue mud shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,, Upogebiidae,,not yet assessed,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphausia spp. ,Dana,krill,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Euphausiacea,,,Euphausiidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,195136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanoessa spinifera,Holmes,a sp of krill,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Euphausiacea,,,Euphausiidae,,Exotic,genus not in CDC records,new 2021,documented,,,,,,2/16/2021,urielgc,https://www.inaturalist.org/observations/69710506,,296029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromopleustes oculatus ,Holmes,black-and-white sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,796029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caprella laeviuscula,Mayer,a caprellid amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,Exotic,genus not in CDC records,new 2021,documented,,,,,,,,,,345260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eogammarus sp.,Birstein,a sp of amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Gammaroidea,Anisogammaridae,,Exotic,genus not in CDC records,new 2021,documented,,,,,,2/9/2021,urielgc,https://www.inaturalist.org/observations/69398181,,345517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caprella alaskana ,Mayer,alaskan skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,508889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talitridae,Rafinesque,Sandhoppers and Landhoppers,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitroidea,Talitridae,,Exotic,,new 2019,documented,,,,,,12/26/2019,benkeen,https://www.inaturalist.org/observations/36983481,,63288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armadillidium vulgare,Latreille,Common Pill Woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Armadillidiidae,,Exotic,genus not in CDC records,new 2018,documented,,,,,,5/28/2018,gwenlh,https://www.inaturalist.org/observations/13079638,,56083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirolana harfordi,Lockington,Harford's Isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Cymothoida,,,,,not in CDC records,,,2009-05-20T11:26:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,"Gibbs:Defence Islands, shore bioherm",67634,,49.5774,-123.27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudione galacanthae ,Hansen,none,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Cymothoida,,,,,not in CDC records,,,2005-12-05T12:30:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,Gibbs: Britannia bioherm,261248,,49.59062,-123.25868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligia occidentalis,Dana,Western Sea Slater,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,Exotic,genus not in CDC records,new 2016,documented,,,,,,6/25/2016,joanseptembre,http://www.inaturalist.org/observations/3531342,,117674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligidium gracile,Dana,Western Rockslater,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,Exotic,genus not in CDC records,new 2019,documented,,,,,,12/21/2019,benkeen,https://www.inaturalist.org/observations/36835951,,339104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oniscus asellus,L.,Common Shiny Woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Oniscidae,,Exotic,genus not in CDC records,new 2017,documented,,,,,,9/16/2017,elsemikkelsen,https://www.inaturalist.org/observations/9198257,,48284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philoscia muscorum,Scopoli,Common Striped Woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Philosciidae,,Exotic,genus not in CDC records,new 2020,documented,,,,,,12/26/2020,benkeen,https://www.inaturalist.org/observations/67121592,,48292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porcellio scaber,Latreille,Common Rough Woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Porcellionidae,,Exotic,genus not in CDC records,new 2018,documented,,,,,,9/8/2018,benkeen,https://www.inaturalist.org/observations/16333600,,122238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentidotea wosnesenskii,Brandt,Rockweed isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,Exotic,genus not in CDC records,new 2017,documented,,,,,,7/26/2017,caitlinforeman,https://www.inaturalist.org/observations/7298487,,126295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bopyroides hippolytes,Kroyer,shrimp parasitic isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Cymothoida,Bopyroidea,Bopyridae,Bopyrinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,873867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bopyroides harfordi ,Lockington,scavenging isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Cymothoida,Cymothooidea,Cirolanidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,67634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnorimosphaeroma oregonense,Dana,Oregon pillbug,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Sphaeromatidea,Sphaeromatoidea,Sphaeromatidae,,Exotic,genus not in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2017-07-26,caitlinforeman,https://www.inaturalist.org/observations/7298478,,123798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligia occidentalis,Dana,Western sea slater,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,Exotic,genus not in CDC records,new 2016,documented,,,,,,2016-06-25,joanseptembre,http://www.inaturalist.org/observations/3531342,,117674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligidium gracile,Dana,a species of rock slater,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Ligiidae,,Exotic,genus not in CDC records,new 2019,documented,,,,,,2019-12-21,benkeen,https://www.inaturalist.org/observations/36835951,,339104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oniscus asellus,Linnaeus,common shiny woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Oniscidae,,Exotic,genus not in CDC records,new 2019,documented,,,,,,2019-04-30,benkeen,https://www.inaturalist.org/observations/24243684,,48284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentidotea resecata,Stimpson,eelgrass isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,original  record Idotea resecata updated to current iNaturalist name,141842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentidotea stenops,Benedict,feather boa isopod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Valvifera,,Idoteidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,original record Idotea wosnesenskii  updated to current iNaturalist name,1151497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
