iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Author,Common name,Origin,Status,Reporting,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Catalogue Number,sinceTimestamp,sinceRecordedBy,sinceCollection,Documenting,iNaturalist Observation Link,Notes
Squalus suckleyi,201523,Squalus acanthias  ,Animalia,Chordata,Vertebrata,,Elasmobranchii,Neoselachii,Squalomorphi,Squaliformes,,,,Squalidae,,,Squalus,suckleyi,L.,pacific spiny dogfish,Origin,Status,reported,1989-07-20T21:10:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,, 
Squalus suckleyi,201523,Squalus suckleyi,Animalia,Chordata,Vertebrata,,Elasmobranchii,Neoselachii,Squalomorphi,Squaliformes,,,,Squalidae,,,Squalus,suckleyi,Girard,North Pacific Spiny Dogfish,Origin,Status,new 2021,,,,,,8/6/2021,cgbc,iNat,documented,https://www.inaturalist.org/observations/90361221,
Hydrolagus colliei,84182,Hydrolagus colliei ,Animalia,Chordata,Vertebrata,,Holocephali,,,Chimaeriformes,,,,Chimaeridae,,,Hydrolagus,colliei,Lay & E.T. Bennett,spotted ratfish,Origin,Status,reported,1994-08-16T23:01:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,iNat,undocumented,,Gibbs: Porteau
Erethizon dorsatum,44026,Erethizon dorsatum,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Hystricomorpha,Hystricognathi,Erethizontoidea,Erethizontidae,Erethizontinae,,Erethizon,dorsatum,L.,north american porcupine,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Lepus americanus,43132,Lepus americanus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,,Leporidae,,,Lepus,americanus,Erxleben,snowshoe hare,Origin,Status,new 2019,,,,,,2019-03-12,poppyng,iNat,documented,https://www.inaturalist.org/observations/27008499,
Lepus americanus washingtonii,236660,Lepus americanus washingtonii,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,,Leporidae,,,Lepus,americanus,Baird,"snowshoe hare, washington subspecies",Origin,Status,reported,,,,,,,,iNat,undocumented,,
Ochotona princeps,43188,Ochotona princeps ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,,Ochotonidae,,,Ochotona,princeps,Richardson,American pika,Origin,Status,confirmed,1940-10-14,,RBCM,,4971,2017-07-16,birdspaz,iNat,documented,http://inaturalist.ca/observations/7094048,original record O. princeps brunnescens but ssp no longer recognized  
Sylvilagus floridanus,43111,Sylvilagus floridanus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Lagomorpha,,,,Leporidae,,,Sylvilagus,floridanus,J.A. Allen,Eastern cottontail,Origin,Status,new 2020,,,,,,2020-12-20,benkeen,iNat,documented,https://www.inaturalist.org/observations/67069583,
Castor canadensis,43794,Castor canadensis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,,Castoridae,,,Castor,canadensis,Kuhl,Canadian beaver,Origin,Status,confirmed,,,,,,2016-09-03,sea2skynaturebc,iNat,documented,http://inaturalist.ca/observations/4029181,
Microtus longicaudus,44307,Microtus longicaudus  ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,longicaudus,Merriam,long-tailed vole,Origin,Status,reported,1935-12-31,,RBCM,,1533,,,iNat,undocumented,,original record M. longicaudus macrurus but ssp no longer recognized  
Microtus oregoni,44318,Microtus oregoni,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,oregoni,Bachman,creeping vole,Origin,Status,reported,,,,,,,,iNat,documented,,
Microtus pennsylvanicus,44311,Microtus pennsylvanicus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,pennsylvanicus,Ord.,Meadow Vole,Origin,Status,new 2021,,,,,,1/13/2021,hillanddale,iNat,documented,https://www.inaturalist.org/observations/68025221,
Microtus townsendii,44298,Microtus townsendii,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,townsendii,Bachman,townsend's vole,Origin,Status,reported,,,,,,,,iNat,documented,,
Myodes gapperi,74677,Myodes gapperi  ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Myodini,Myodes,gapperi,Vigors,southern red-backed vole,Origin,Status,reported,1936-01-01,,RBCM,,1532,,,iNat,undocumented,,original record M. gapperi cascadensis but ssp no longer recognized 
Myodes gapperi occidentalis,237346,Myodes gapperi occidentalis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Myodini,Myodes,gapperi,Merriam,"southern red-backed vole, occidentalis subspecies",Origin,Status,reported,,,,,,,,iNat,undocumented,,
Ondatra zibethicus,45763,Ondatra zibethicus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Ondatrini,Ondatra,zibethicus,L.,common muskrat,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Peromyscus keeni,44387,Peromyscus keeni  ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,keeni,Rhoads,northwestern deer mouse,Origin,Status,confirmed?,1935-12-29,,RBCM,,1534,,,iNat,undocumented,,original record P. keeni oreas but ssp no longer recognized  
Peromyscus maniculatus,44396,Peromyscus maniculatus ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,maniculatus,Wagner,deer mouse,Origin,Status,confirmed,1989-07-20,,RBCM,,16960,2019-05-02,benkeen,iNat,documented,https://www.inaturalist.org/observations/24424316,
Phenacomys intermedius,45714,Phenacomys intermedius,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Phenacomyini,Phenacomys,intermedius,Merriam,western heather vole,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Rattus rattus,44575,Rattus rattus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Muridae,Murinae,Rattini,Rattus,rattus,L.,Black Rat,Origin,Status,new 2021,,,,,,2/13/2021,benkeen,iNat,documented,https://www.inaturalist.org/observations/69531104,
Synaptomys borealis,45760,Synaptomys borealis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Lemmini,Synaptomys,borealis,Richardson,northern bog lemming,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Zapus trinotatus,43844,Zapus trinotatus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Dipodoidea,Zapodidae,,,Zapus,trinotatus,Rhoads,pacific jumping mouse,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Glaucomys sabrinus,46266,Glaucomys sabrinus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Sciurinae,Pteromyini,Glaucomys,sabrinus,Shaw,northern flying squirrel,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Marmota caligata,46087,Marmota caligata,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Xerinae,Marmotini,Marmota,caligata,Eschscholtz,hoary marmot,Origin,Status,confirmed,,,,,,2019-07-12,bpearse,iNat,documented,https://www.inaturalist.org/observations/28796794,
Marmota flaviventris,46086,Marmota flaviventris,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Xerinae,Marmotini,Marmota,flaviventris,Audubon & Bachman,Yellow-bellied Marmot,Origin,Status,new 2021,,,,,,8/2/2021,loudnana,iNat,documented,https://www.inaturalist.org/observations/89730550,
Neotamias amoenus,225740,Neotamias amoenus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Xerinae,Tamiini,Neotamias,amoenus,J.A. Allen,yellow-pine chipmunk,Origin,Status,confirmed,,,,,,2019-06-14,judithofsquamish,iNat,documented,https://www.inaturalist.org/observations/27003425,
Neotamias townsendii,225756,Neotamias townsendii,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Xerinae,Tamiini,Neotamias,townsendii,Bachman,Townsend's chipmunk,Origin,Status,confirmed,,,,,,2017-08-23,kelseytikka,iNat,documented,https://www.inaturalist.org/observations/32323832,"LGL: unknown, potentially occurring"
Sciurus carolinensis,46017,Sciurus carolinensis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Sciurinae,Sciurini,Sciurus,carolinensis,Gmelin,Eastern grey squirrel,Origin,Status,new 2017,,,,,,2017-10-19,gwenlh,iNat,documented,https://www.inaturalist.org/observations/8483582,
Tamiasciurus douglasii,46259,Tamiasciurus douglasii ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Sciurinae,Sciurini,Tamiasciurus,douglasii,Bachman,soft-haired squirrel,Origin,Status,confirmed,1937-08-07,,RBCM,,2066,2019-02-20,gwenlh,iNat,documented,https://www.inaturalist.org/observations/20523899,
Cervus canadensis roosevelti,566550,Cervus canadensis roosevelti,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,,Cervidae,Cervinae,Cervini,Cervus,canadensis,Merriam,Roosevelt elk,Origin,Status,confirmed,,,,,,2017-01-08,sea2skynaturebc,iNat,documented,https://www.inaturalist.org/observations/9037981,
Odocoileus hemionus columbianus,42221,Odocoileus hemionus columbianus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,,Cervidae,Capreolinae,Odocoileini,Odocoileus,hemionus,Richardson,Columbian black-tailed deer,Origin,Status,confirmed,,,,,,2019-04-11,benkeen,iNat,documented,https://www.inaturalist.org/observations/22352878,
Oreamnos americanus,42414,Oreamnos americanus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,,Bovidae,Antilopinae,Caprini,Oreamnos,americanus,Blainville,mountain goat,Origin,Status,reported,,,,,,2018-05-08,jillbinghamdaniels,iNat,undocumented,https://www.inaturalist.org/observations/37796336,
Balaenoptera acutorostrata,41550,Balaenoptera acutorostrata ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,,Balaenopteridae,,,Balaenoptera,acutorostrata,Lacépède,minke whale,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Eschrichtius robustus,41478,Eschrichtius robustus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,,Eschrichtiidae,,,Eschrichtius,robustus,Lilljeborg,grey whale,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Sagmatias obliquidens,1368491,Lagenorhynchus obliquidens,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Delphinoidea,Delphinidae,Lissodelphininae,,Sagmatias,obliquidens,Gill,Pacific white-sided dolphin,Origin,Status,confirmed,,,,,,2014-03-15,sea2skynaturebc,iNat,documented,https://www.inaturalist.org/observations/9037481,
Megaptera novaeangliae,41566,Megaptera novaeangliae,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,,Balaenopteridae,,,Megaptera,novaeangliae,Gray,humpback whale,Origin,Status,confirmed,,,,,,2018-04-14,sea2skynaturebc,iNat,documented,https://www.inaturalist.org/observations/11296557,
Orcinus orca,41521,Orcinus orca (eg. NE Pacific  population 3  transient) ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Delphinoidea,Delphinidae,,,Orcinus,orca,Linnaeus,orca,Origin,Status,confirmed,,,,,,2014-03-15,sea2skynaturebc,iNat,documented,https://www.inaturalist.org/observations/9037407,
Phocoena phocoena,41440,Phocoena phocoena,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Delphinoidea,Phocoenidae,,,Phocoena,phocoena,L.,harbour porpoise,Origin,Status,confirmed,,,,,,2018-01-10,birdspaz,iNat,documented,https://www.inaturalist.org/observations/9754277,
Phocoenoides dalli,41446,Phocoenoides dalli ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Delphinoidea,Phocoenidae,,,Phocoenoides,dalli,F.W. True,dall’s porpoise,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Pseudorca crassidens,41539,Pseudorca crassidens ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Delphinoidea,Delphinidae,Globicephalinae,,Pseudorca,crassidens,Owen,false killer whale,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Canis latrans,42051,Canis latrans,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Canidae,,,Canis,latrans,Say,coyote,Origin,Status,confirmed,,, ,,,2019-06-04,gwenlh,iNat,documented,https://www.inaturalist.org/observations/26409566, 
Canis lupus,42048,Canis lupus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Canidae,,,Canis,lupus,Linnaeus,grey wolf,Origin,Status,confirmed,,, ,,,2019-11-14,breannawilson,iNat,documented,https://www.inaturalist.org/observations/36026810, 
Eumetopias jubatus,41755,Eumetopias jubatus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Otariidae,,,Eumetopias,jubatus, ,steller sea lion,Origin,Status,confirmed,2017-04-12T12:00:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,2017-12-05,hillanddale,iNat,documented,https://www.inaturalist.org/observations/9058303,
Gulo gulo luscus,236285,Gulo gulo luscus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Guloninae,,Gulo,gulo,L.,"wolverine, luscus",Origin,Status,reported,,, ,,,,,iNat,undocumented,, 
Histriophoca fasciata,41698,Histriophoca fasciata,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Phocidae,,,Histriophoca,fasciata,Gill,ribbon seal,Origin,Status,new 2012,,,,,,2012-07-08,hillanddale,iNat,documented,https://www.inaturalist.org/observations/8486729,
Lontra canadensis,41777,Lontra canadensis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Lutrinae,,Lontra,canadensis,Shreber,north American river otter,Origin,Status,confirmed,,,,,,2019-04-28,breannawilson,iNat,documented,https://www.inaturalist.org/observations/24992645,
Lynx rufus,41976,Lynx rufus  ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Felidae,Felinae,,Lynx,rufus,"Rafinesque,",western bobcat,Origin,Status,confirmed,1988-05-01,,RBCM,,16743,2017-04-09,hillanddale,iNat,documented,https://www.inaturalist.org/observations/8473454,original record L. rufus fasciatus but ssp no longer recognized
Martes americana,41798,Martes americana,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Guloninae,,Martes,americana,Turton,pine marten,Origin,Status,new 2020,,,,,,2020-12-09,soakden,iNat,documented,https://www.inaturalist.org/observations/66558135,
Martes caurina,453111,Martes caurina,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Guloninae,,Martes,caurina,Merriam,Pacific marten,Origin,Status,confirmed,,,,,,2018-01-27,judithofsquamish,iNat,documented,https://www.inaturalist.org/observations/9636626,
Mephitis mephitis,41880,Mephitis mephitis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mephitidae,Mephitinae,,Mephitis,mephitis,Schreber,striped skunk,Origin,Status,confirmed,,,,,,2019-05-27,benkeen,iNat,documented,https://www.inaturalist.org/observations/25925670,
Mustela erminea,41808,Mustela erminea,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Mustelinae,,Mustela,erminea,L.,stoat,Origin,Status,confirmed,1935-12-31,,RBCM,,1552,2017-12-04,briannawilson,iNat,documented,https://www.inaturalist.org/observations/16576404,
Neogale frenata altifrontalis,1265170,Mustela frenata altifrontalis ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Mustelinae,,Neogale,frenata,Hall,"long-tailed weasel, altifrontalis subspecies",Origin,Status,reported,,,,,,,,iNat,undocumented,,
Mustela richardsonii,1264427,Mustela richardsonii,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Mustelinae,,Mustela,richardsonii,Bonaparte,American Stoat,Origin,Status,new 2017,,,,,,9/10/2017,birdspaz,iNat,documented,https://www.inaturalist.org/observations/7862461,
Neogale vison,1264432,Neogale vison ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Mustelinae,,Neogale,vison,Von Schreber,American Mink,Origin,Status,new 2017,,,,,,8/12/2017,caitlinforeman,iNat,documented,https://www.inaturalist.org/observations/7507259,historical record: Neovison vison
Pekania pennanti,453109,Pekania pennanti,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Guloninae,,Pekania,pennanti,Erxleben,fisher,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Phoca vitulina richardii,117766,Phoca vitulina,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Phocidae,,,Phoca,vitulina,Linnaeus,harbour seal,Origin,Status,confirmed,,,,,,2019-02-24,benkeen,iNat,documented,https://www.inaturalist.org/observations/20737018,
Phoca vitulina richardii,117766,Phoca vitulina richardii,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Phocidae,,,Phoca,vitulina,Gray,Pacific harbour seal,Origin,Status,new 2019,,,,,,2019-09-02,benkeen,iNat,documented,https://www.inaturalist.org/observations/32016795,"subspecies is generally recognized, but CDC only lists the species"
Procyon lotor,41663,Procyon lotor,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Procyonidae,,,Procyon,lotor,L.,common  raccoon,Origin,Status,new 2019,,,,,,2019-05-29,elsemikkelsen,iNat,documented,https://www.inaturalist.org/observations/32729257,
Puma concolor,42007,Puma concolor,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Felidae,Felinae,,Puma,concolor,L.,cougar,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Spilogale gracilis,58393,Spilogale gracilis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mephitidae,Mephitinae,,Spilogale,gracilis,Merriam,western spotted skunk,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Ursus americanus,41638,Ursus americanus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Ursidae,Ursinae,,Ursus,americanus,Pallas,American black bear,Origin,Status,confirmed,,,,,,2019-05-10,breannawilson,iNat,documented,https://www.inaturalist.org/observations/24991935,
Ursus arctos horribilis,125461,Ursus arctos horribilis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Ursidae,Ursinae,,Ursus,arctos,Ord.,North American brown bear (grizzly bear),Origin,Status,confirmed,1982-06-12,,RBCM,,11208,2019-08-27,chrisobennett,iNat,documented,https://www.inaturalist.org/observations/37384465,original record U. arctos horribilis but ssp no longer generally recognized 
Vulpes vulpes,42069,Vulpes vulpes,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Canidae,,,Vulpes,vulpes,L.,red fox,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Zalophus californianus,41740,Zalophus californianus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Otariidae,,,Zalophus,californianus,Lesson,California sea lion,Origin,Status,confirmed,,,,,,2019-04-15,birdspaz,iNat,documented,https://www.inaturalist.org/observations/23223832,
Corynorhinus townsendii,74205,Corynorhinus townsendii,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Corynorhinus,townsendii,Cooper,townsend's big-eared bat,Origin,Status,reported,,, ,,,,,iNat,undocumented,, 
Eptesicus fuscus,40509,Eptesicus fuscus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Eptesicus,fuscus,Beauvois,big brown bat,Origin,Status,reported,,, ,,,,,iNat,undocumented,, 
Lasionycteris noctivagans,40629,Lasionycteris noctivagans,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Lasionycteris,noctivagans,LeConte,silver-haired bat,Origin,Status,reported,,, ,,,,,iNat,undocumented,, 
Lasiurus cinereus,40523,Lasiurus cinereus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,Lasiurus,cinereus,Beauvois,hoary bat,Origin,Status,reported,,, ,,,,,iNat,undocumented,, 
Myotis californicus,40342,Myotis californicus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,californicus,Audubon & Bachman,california myotis,Origin,Status,reported,,, ,,,,,iNat,undocumented,, 
Myotis evotis,40354,Myotis evotis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,evotis,H. Allen,Miller's myotis,Origin,Status,confirmed,,,,,,2018-08-18,carl1986,iNat,documented,https://www.inaturalist.org/observations/15715775, 
Myotis lucifugus,40346,Myotis lucifugus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,lucifugus,LeConte,little brown bat,Origin,Status,confirmed,,,,,,2017-08-12,piercestudio,iNat,documented,https://www.inaturalist.org/observations/7472848, 
Myotis volans,40344,Myotis volans,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,volans,H. Allen,long-legged myotis,Origin,Status,reported,,, ,,,,,iNat,undocumented,, 
Myotis yumanensis,40325,Myotis yumanensis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,yumanensis,H. Allen,yuma myotis,Origin,Status,reported,,, ,,,,,iNat,undocumented,, 
Neurotrichus gibbsii,47051,Neurotrichus gibbsii  ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,,Talpidae,Talpinae,Neurotrichini,Neurotrichus,gibbsii,Baird,American shrew mole,Origin,Status,reported,1997-09-08,,RBCM,,19805,,,iNat,undocumented,,original record N. gibbsii gibbsii but ssp no longer recognized
Scapanus orarius,47007,Scapanus orarius,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,,Talpidae,Scalopinae,Scalopini,Scapanus,orarius,TRUE,coast mole,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Sorex bendirii,46446,Sorex bendirii  ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,,Soricidae,Soricinae,Soricini,Sorex,bendirii,Merriam,Bendire's shrew,Origin,Status,reported,2008-04-23,,RBCM,,20946,,,iNat,undocumented,,original record S. bendirii bendirii but spp no longer recognized
Sorex cinereus,59815,Sorex cinereus ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,,Soricidae,Soricinae,Soricini,Sorex,cinereus,Kerr,masked shrew,Origin,Status,confirmed,1936-01-02,,RBCM,,1547,2020-06-07,scottdwilson,iNat,documented,https://www.inaturalist.org/observations/48845961,original record S. cinereus streatori but ssp no longer recognized  
Sorex monticola,46456,Sorex monticolus ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,,Soricidae,Soricinae,Soricini,Sorex,monticola,Merriam,dusky shrew,Origin,Status,reported,1992-09-02,,RBCM,,18931A,,,iNat,undocumented,,"original record S. monticolus setosus (I.T.I.S. recognizes ssp but not iNaturalist); Note: CDC calls dusky shrew S. obscurus but this is a different species in  iNaturalist (updated S. obscurus to S. vagrans, wandering shrew)"
Sorex navigator,1370755,Sorex navigator  ,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,,Soricidae,Soricinae,Soricini,Sorex,navigator,Baird,western water shrew,Origin,Status,reported,1936-01-01,,RBCM,,1536,,,iNat,undocumented,,original record S. navigator navigator but ssp no longer recognized; sp not recognized by iNaturalist
Sorex palustris,46355,Sorex palustris,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,,Soricidae,Soricinae,Soricini,Sorex,palustris,Richardson,american water shrew,Origin,Status,reported,,,,,,,,iNat,undocumented,,
Sorex rohweri,75088,Sorex rohweri,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,,Soricidae,Soricinae,Soricini,Sorex,rohweri,"Rausch, Feagin, & Rausch",vagrant shrew,Origin,Status,,,,,,,,,iNat,undocumented,,
Sorex trowbridgii,46503,Sorex trowbridgii,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,,Soricidae,Soricinae,Soricini,Sorex,trowbridgii,Baird,trowbridge's shrew,Origin,Status,reported,,,,,,,,iNat,undocumented,,
