Taxon,Author of Species,Author of       Subspecies or Variety,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status (B.C.),reporting,Documented,Last Collected/ Reported,Collector/Source,Collection Accession #/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Taraxacum officinale,F.H. Wigg.,,common dandelion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001) ,confirmed,documented,1966-07-29,B. Fraser ,UBC: V158266,2018-09-03,benkeen,https://www.inaturalist.org/observations/16180471,https://static.inaturalist.org/photos/24264742/medium.png?1536005339,,47602,
Taxus brevifolia ,Nutt.,,Pacific yew,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Taxaceae,,native,S5 (2000) ,reported,undocumented,1912-07-11,John Davidson,UBC: V5631,,,,,,55209,
Tellima grandiflora,(Pursh) Douglas ex Lindl.,,fringe cups,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S5 (2015) ,confirmed,documented,1974-06-20,Charles E. Biel ,UBC: V176063,2017-10-12,vanezo,https://www.inaturalist.org/observations/8437609,https://static.inaturalist.org/photos/11238768/medium.jpg?1508216277,,51655,
Thuja plicata,Donn ex D. Don,,western redcedar,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Cupressaceae,,native,S5 (2015),confirmed,documented,1939-03-18,D.C. Buckland ,UBC: V5301,2016-07-13,judithofsquamish,http://www.inaturalist.org/observations/4508551,https://static.inaturalist.org/photos/5454050/medium.jpeg?1478472905,,48252,
Tiarella trifoliata,L.,,threeleaf foamflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,see fo+R1093lowing 3 varieties,confirmed,documented,1967-06-10,Pat Warrington ,LEA,2015-05-09,judithofsquamish,http://www.inaturalist.org/observations/4508657,https://static.inaturalist.org/photos/5454300/medium.jpeg?1478474088,,51643,
Tiarella trifoliata var. laciniata,L.,(Hook.) Wheelock,lace foamflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S5 (2000),reported,undocumented,1980-06-15,A. E. Grable,WS: 333087,,,,,,51650,
Tiarella trifoliata var. unifoliata,L.,(Hook.) Kurtz.,oneleaf foamflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S5 (2000),confirmed,documented,1980-06-15,A. E. Grable ,WS: 333064,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/7272723,https://static.inaturalist.org/photos/9401784/medium.jpeg?1501388426,,81427,
Tiarella trifoliata var. trifoliata ,L.,,threeleaf foamflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S5 (2000),reported,undocumented,1980-06-15,A. E. Grable ,WS: 333046,,,,,,51649,
Tolmiea menziesii,(Pursh) Torr. & A. Gray,,youth-on-age,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S5 (2015) ,new 2017,documented,,,,2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113072,https://static.inaturalist.org/photos/7649726/medium.jpeg?1494092269,,128848,
Tonestus lyallii,(A. Gray) A. Nelson,,Lyall's tonestus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2000),reported,undocumented,1967-08-22,V. Bednar ,UBC: V158352,,,,,,79371,
Torreyochloa pallida var. pauciflora ,(Torr.) G.L. Church ,(J. Presl) J.I. Davis,weak manna grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,native,S5 (2015),reported,undocumented,1979-07-28,C. M. Tay ,V148200,,,,,,81431,
Toxicodendron diversilobum ,(Torr. & A. Gray) Greene,,Pacific poison oak,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Anacardiaceae,Anacardioideae,native,S3S4 (2018) ,reported,undocumented,1931-05-00,Mrs. Norton Smith,UBC: V5915,,,,,,51080,
Toxicoscordion venenosum var. venenosum ,(S. Watson) Rydb.,,none,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,native,S5 (2000) ,reported,undocumented,2012-05-02,Erin R. Manton ,UBC: V238420,,,,,,81432,
Trautvetteria caroliniensis,(Walter) Vail ,,Carolina bugbane,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,,native,S5 (2000),new 2017,documented,,,,2017-06-09,vanezo,http://inaturalist.ca/observations/6564538,https://static.inaturalist.org/photos/8326351/medium.jpg?1497039338,,79387,
Triantha glutinosa,(Michx.) Baker,,sticky false asphodel,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Tofieldiaceae,,native,S5 (2000),confirmed,documented,1989-08-06,T. C. Wells ,"WTU: 371152, WTU-V-029170",2017-07-30,judithofsquamish,https://www.inaturalist.org/observations/7362020,https://static.inaturalist.org/photos/9545841/medium.jpeg?1501955428,,169913,
Triantha occidentalis ssp. brevistyla ,(S. Watson) R.R. Gates,(C.L. Hitchc.) Packer,short-style sticky tofieldia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Tofieldiaceae,,native,S5 (2000),reported,undocumented,2016-08-13,Qianshi Lin,UBC: V245038,,,,,,238899,
Trifolium aureum,Pollich,,large hop clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,exotic,SNA (2001),new 2018,documented,,,,2018-07-16,judithofsquamish,https://www.inaturalist.org/observations/14469405,https://static.inaturalist.org/photos/21536573/medium.jpeg?1531886557,,79409,
Trifolium hybridum,L.,,Alsike clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,exotic,SNA (2001) ,new 2017,documented,,,,2017-07-30,judithofsquamish,https://www.inaturalist.org/observations/7362285,https://static.inaturalist.org/photos/9546253/medium.jpeg?1501956366,,61824,
Trifolium microcephalum ,Pursh,,small-headed clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,native,S4? (2015) ,reported,undocumented,1983-05-20,Mary Comber Miles ,UBC: V181419,,,,,,58911,
Trifolium pratense,L.,,red clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,exotic,SNA (2001) ,new 2016,documented,,,,2016-05-21,judithofsquamish,http://www.inaturalist.org/observations/4509418,https://static.inaturalist.org/photos/5455374/medium.jpeg?1478479732,,51875,
Trifolium repens,L.,,white clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,exotic,SNA (2001),new 2016,documented,,,,2016-05-17,judithofsquamish,http://www.inaturalist.org/observations/4509465,https://static.inaturalist.org/photos/5455457/medium.jpeg?1478480176,,55745,
Trifolium wormskioldii,Lehm.,,springbank clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,native,S5 (2001),confirmed,documented,1913-08-10,John Davidson,UBC: V50927,2016-09-15,judithofsquamish,http://www.inaturalist.org/observations/4509519,https://static.inaturalist.org/photos/5455538/medium.jpeg?1478480638,,71146,
Triglochin maritima,L.,,common arrowgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Juncaginaceae,,native,S5 (2000),confirmed,documented,1997-05-18,Gerald B. Straley ,UBC: V226287,2018-08-21,judithofsquamish,https://www.inaturalist.org/observations/15866264,https://static.inaturalist.org/photos/23722310/medium.jpeg?1535167858,,60264,
Trisetum cernuum ,Trin.,,tall trisetum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,native,S5 (2015) ,reported,undocumented,2005-07-29,P.M. Peterson ,UBC: V225302,,,,,,79444,
Trisetum spicatum ,(L.) K. Richt.,,spike trisetum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,native,S5 (2015) ,reported,undocumented,1912-08-14,John Davidson,UBC: V21178,,,,,,79446,
Triteleia grandiflora ,Lindl.,,large-flower triplet lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Brodiaeoideae,native,S4 (2015) ,reported,undocumented,1916-07-15,W. Taylor,UBC: V219822,,,,,,79452,
Triteleia hyacinthina ,(Lindl.) Greene,,white brodiaea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Brodiaeoideae,native,S4 (2015),reported,undocumented,2001-06-15,Helen Kennedy ,UBC: V217115,,,,,,57132,
Trollius laxus albiflorus,(A. Gray) Rydb.,,spreading globeflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,native,S5 (2000),reported,undocumented,1914-08-02,John Davidson,UBC: V34777,,,,,"herbarium record T. albiflorus which is currently also accepted by I.T.I.S., FNA, BC CDC",238943,
Tsuga heterophylla,(Raf.) Sarg.,,western hemlock,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,native,S5 (2015),confirmed,documented,1976-04-30,N.E. Kenny,UBC: V182048,2015-03-13,judithofsquamish,https://www.inaturalist.org/observations/5997546,https://static.inaturalist.org/photos/7500549/medium.jpeg?1493405802,,48254,
Tsuga mertensiana,(Bong.) Carrière,,mountain hemlock,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,native,S5 (2000),confirmed,documented,1976-04-30,N.E. Kenny ,UBC: V182052,2015-03-13,judithofsquamish,https://www.inaturalist.org/observations/5997925,https://static.inaturalist.org/photos/7501173/medium.jpeg?1493407789,,68089,
Turritis glabra ,L.,,tower mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2015),reported,undocumented,1974-05-22,John Pinder-Moss,UBC: V156931,,,,,,79460,
Typha angustifolia,L.,,narrow-leaved cattail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,exotic,SNA (2001) ,reported,undocumented,1991-07-19,Frank Lomer,UBC: V203896,,,,,,60316,
Typha latifolia,L.,,broadleaf cattail,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,native,S5 (2015),new 2016,documented,,,,2016-06-25,judithofsquamish,http://www.inaturalist.org/observations/4509960,https://static.inaturalist.org/photos/5456054/medium.jpeg?1478483988,,48685,
Ulex europaeus,L.,,gorse,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,exotic,SNA (2001) ,new 2018,documented,,,,2018-09-16,benkeen,https://www.inaturalist.org/observations/16605414,https://static.inaturalist.org/photos/25019748/medium.jpg?1537135031,,51751,
Urtica dioica,L.,,stinging nettle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Urticaceae,,exotic,SNA (2000) ,new 2015,documented,,,,2015-04-04,judithofsquamish,http://www.inaturalist.org/observations/4510148,https://static.inaturalist.org/photos/5456457/medium.jpg?1478485950,,51884,
Utricularia minor ,L.,,lesser bladderwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lentibulariaceae,,native,S5? (2015),reported,undocumented,1982-08-02,A.A. Rose,UBC: V176400,,,,,,79466,
Vaccinium alaskaense,Howell,,Alaska blueberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S5 (2000) ,new 2014,documented,,,,2014-05-24,judithofsquamish,https://www.inaturalist.org/observations/5947266,https://static.inaturalist.org/photos/7427220/medium.jpeg?1493086436,,126559,
Vaccinium cespitosum,Michx.,,dwarf bilberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S5 (2000),new 2018,documented,,,,2018-07-03,judithofsquamish,https://www.inaturalist.org/observations/14191471,https://static.inaturalist.org/photos/21045756/medium.jpeg?1531109931,,79470,
Vaccinium deliciosum,Piper,,blue-leaved huckleberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S5 (2000),confirmed,documented,1956-08-07,Vernon C. Brink,UBC: V56023,2017-09-02,judithofsquamish,https://www.inaturalist.org/observations/7769814,https://static.inaturalist.org/photos/10207602/medium.jpeg?1504483939,,48348,
Vaccinium membranaceum,Douglas ex Torr.,,black huckleberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S5 (2015) ,confirmed,documented,1967-08-17,V. Bednar ,UBC: V160979,2017-09-23,judithofsquamish,https://www.inaturalist.org/observations/8074206,https://static.inaturalist.org/photos/10703155/medium.jpeg?1506279414,,48347,
Vaccinium ovalifolium,Sm.,,oval-leaf blueberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S5 (2015),confirmed,documented,1966-08-05,Bruce Fraser ,UBC: V160976,2014-06-21,judithofsquamish,http://www.inaturalist.org/observations/4510218,https://static.inaturalist.org/photos/5456543/medium.jpeg?1478486344,,63820,
Vaccinium oxycoccos ,L.,,bog cranberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S4S5 (2015) ,reported,undocumented,1938-08-15,John W. Eastham,UBC: V16631,,,,,,126560,
Vaccinium parvifolium,Sm.,,red huckleberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S5 (2015),confirmed,documented,1959-04-05,L. Holm,UBC: V78917,2014-05-17,judithofsquamish,http://www.inaturalist.org/observations/4510295,https://static.inaturalist.org/photos/5456703/medium.jpeg?1478487553,,48354,
Vaccinium uliginosum ,L.,,bog bilberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,native,S4 (2015),reported,undocumented,1961-07-21,E.B. Peterson,UBC: V97603,,,,,,64714,
Vahlodea atropurpurea,(Wahlenb.) Fr. ex Hartm.,,mountain hairgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,native,S5 (2000) ,confirmed,documented,1969-09-03,T. Christopher Brayshaw,V055011,2018-07-21,judithofsquamish,https://www.inaturalist.org/observations/14705489,https://static.inaturalist.org/photos/21928917/medium.jpeg?1532483723,,79473,
Valeriana sitchensis,Bong.,,Sitka valerian,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,,native,S5 (2015) ,confirmed,documented,1912-07-12,Anonymous,UBC: V66423,2017-09-22,keeganjd,https://www.inaturalist.org/observations/8071745,https://static.inaturalist.org/photos/10699724/medium.jpg?1506271351,,79477,
Veratrum viride,Aiton,,green false hellebore,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,native,S5 (2015),confirmed,documented,1969-06-24,P. Warrington,LEA,2014-06-21,judithofsquamish,https://www.inaturalist.org/observations/8894020,https://static.inaturalist.org/photos/11966465/medium.jpeg?1511330000,V. viride var. eschscholzianum is western variety,79484,
Veratrum viride+A1035 eschscholzianum ,Aiton,(Roem. & Schult.) Breitung,western green false hellebore,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,native,S5 (2015),reported,undocumented,1965-07-21,B. Fraser ,UBC: V158337,,,,,,360545,
Verbascum thapsus,L.,,common mullein,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,exotic,SNA (2001) ,new 2015,documented,,,,2015-05-31,judithofsquamish,https://www.inaturalist.org/observations/17501966,https://static.inaturalist.org/photos/26627378/medium.jpeg?1539538602,,59029,
Veronica alpina ?,L.,,alpine speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,1917-08-12,John Davidson,UBC: V29638,,,,,"a species of eastern NA, not recorded in BC",170185,
Veronica americana,Schwein. ex Benth.,,American brooklime,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2000),new 2017,documented,,,,2017-06-25,judithofsquamish,https://www.inaturalist.org/observations/6797596,https://static.inaturalist.org/photos/8646330/medium.jpeg?1498426953,aka V. beccabunga var. americana,57277,
Veronica filiformis,Sm.,,slender speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001),new 2018,documented,,,,2018-04-26,derekkillby,https://www.inaturalist.org/observations/13801904,https://static.inaturalist.org/photos/20357887/medium.jpg?1530025602,,55825,
Veronica officinalis,L.,,heath speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001),new 2017,documented,,,,2017-06-18,judithofsquamish,https://www.inaturalist.org/observations/8849668,https://static.inaturalist.org/photos/11893657/medium.jpeg?1511029108,,129020,
Veronica scutellata,L.,,marsh speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2015) ,new 2017,documented,,,,2017-08-07,judithofsquamish,https://www.inaturalist.org/observations/8882583,https://static.inaturalist.org/photos/11946347/medium.jpeg?1511240314,,61112,
Veronica serpyllifolia,L.,,thyme-leaved speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2000),new 2018,documented,,, ,2018-07-03,judithofsquamish,https://www.inaturalist.org/observations/14191672,https://static.inaturalist.org/photos/21046046/medium.jpeg?1531110494,,55749,
Veronica wormskjoldii,Roem. & Schult. ,,American alpine speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,unlisted, unlisted,new 2017,documented,,,,2017-09-05,judithofsquamish,https://www.inaturalist.org/observations/8849452,https://static.inaturalist.org/photos/11893175/medium.jpeg?1511027484,,61145,
Vicia cracca,L.,,tufted vetch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,exotic,SNA (2000),new 2016,documented,,,,2016-07-02,hillanddale,https://www.inaturalist.org/observations/9532541,https://static.inaturalist.org/photos/13000190/medium.jpg?1516403558,,52471,
Vicia gigantea,Hook. & Arn..,(Hook.) Broich,giant vetch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S5 (2000),confirmed,documented,1913-06-01,W. Taylor ,UBC: V24625,2015-04-29,judithofsquamish,https://www.inaturalist.org/observations/10691028,https://static.inaturalist.org/photos/14929729/medium.jpeg?1523147751,aka V. nigricans ssp. gigantea,53322,
Vinca minor,L.,,lesser periwinkle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,,exotic,SNA (2001),confirmed,documented,1949-07-24,Vladimir J. Krajina,UBC: V88787,2018-05-02,gwenlh,https://www.inaturalist.org/observations/12297450,https://static.inaturalist.org/photos/17691785/medium.jpg?1525885192,,55844,
Viola adunca ,Sm.,,hooked spur violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S5 (2015),reported,undocumented,1914-04-26,W. Taylor ,UBC: V57381,,,,,,53328,
Viola glabella,Nutt.,,stream violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S4S5 (2015),confirmed,documented,1974-06-07,Charles E. Beil ,UBC: V176122,2017-04-10,vanezo,http://inaturalist.ca/observations/5640769,https://static.inaturalist.org/photos/6979299/medium.jpg?1491852857,,71113,
Viola howellii ,A. Gray,,Howell's violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S2 (2015),reported,undocumented,1974-05-29,Charles E. Beil,UBC: V176114,,,,,,79510,
Viola nephrophylla ,Greene,,northern bog violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S4 (2015),reported,undocumented,1913-05-31,F. Perry ,UBC: V80672,,,,,,79513,
Viola palustris,L.,,alpine marsh violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S5? (2015) ,confirmed,documented,1974-06-07,Charles E. Beil,UBC: V176179,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/10529391,https://static.inaturalist.org/photos/14657218/medium.jpeg?1522519737,,79514,
Viola sempervirens,Greene,,redwood violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S4 (2015) ,confirmed,documented,1958-03-21,Katherine I. Beamish,UBC: V72387,2018-06-30,mrob,https://www.inaturalist.org/observations/13927174,https://static.inaturalist.org/photos/20577452/medium.jpg?1530396904,,55342,
Vulpia bromoides,(L.) Gray,,brome fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,exotic,SNA (2000) ,confirmed,documented,2006-05-27,Jeffery M. Saarela,UBC: V236841,2018-05-07,judithofsquamish,https://www.inaturalist.org/observations/12246806,https://static.inaturalist.org/photos/17605072/medium.jpeg?1525731216,,170281,
Vulpia myuros ,(L.) C.C. Gmel.,,rat's-tail fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,exotic,SNA (2000),reported,undocumented,2006-05-27,Jeffery M. Saarela,UBC: V228356,,,,,,52814,
Woodsia oregana ,D.C. Eaton,,Oregon woodsia,Plantae,Tracheophyta,,,Polypodiopsida,,,Polypodiales,,,Woodsiaceae,,native,S4S5 (2015),reported,undocumented,1967-08-21,V. Bednar ,UBC: V161030,,,,,,79532,
Zannichellia palustris ,L.,,horned pondweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,native,S4 (2015) ,reported,undocumented,1981-07-29,G.E. Bradfield,UBC: V175131,,,,,,79546,
Anastrophyllum assimile ,(Mitt.) Steph.,,similar notchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales, ,,Jungermanniaceae,,native,S4 (2015) ,reported,undocumented,1984-09-25,W. B. Schofield ,UBC 1379052 , , , ,,herbarium record Scapaniaceae,71113,
Anastrophyllum minutum ,(Schreb.) Schust. ,,comb notchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S5 (2015),reported,undocumented,1980-05-22,Joop van Velzen ,UBC 1459388 .,,,,,herbarium record Scapaniaceae,56467,
Aneura pinguis,(L.) Dum.,,greasewort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Metzgeriales,,,Aneuraceae,,native,S5 (2015),reported,undocumented,1980-08-13,Joop van Velzen ,UBC 1437042 .,,,,, ,56439,
Anthelia julacea ,(L.) Dum.,,alpine silverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Antheliaceae,, ,SNR,reported,undocumented,2001-10-07,W. B. Schofield ,UBC 1317609 .,,,,, ,158423,
Anthelia juratzkana,(Limpr.) Trev.,,Juratzka's silverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,, ,Jungermanniales,,,Antheliaceae,,native,S5 (2015),reported,undocumented,1980-08-18,Joop van Velzen ,UBC 1436902 ,,,,, ,56470,
Barbilophozia barbata ,(Schmid. ex Schreb.) Loeske,,bearded pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S5 (2015),reported ,undocumented,1977-03-30,W. B. Schofield ,UBC 1400377 .,,,,,herbarium record Scapaniaceae,159158,
Barbilophozia floerkei ,(Web. & Mohr) Loeske,,Floerke's pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S4 (2015),reported ,undocumented,1980-05-22,Joop van Velzen ,UBC 1346283 ,,,,,herbarium record Scapaniaceae,159161,
Barbilophozia hatcheri ,(Evans) Loeske,,Hatcher's pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S5 (2015),reported ,undocumented,2003-06-19,W. B. Schofield ,UBC 1313507 .,,,,,herbarium record Scapaniaceae,0,
Barbilophozia kunzeana ,(Hub.) Gams,,Kunze's pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S5 (2015) ,reported,undocumented,1974-10-19,J. D. Godfrey ,UBC 1350570 ,,,,,herbarium record Scapaniaceae,159163,
Barbilophozia lycopodioides ,(Wallr.) Loeske,,greater pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S5 (2015),reported,undocumented,1980-08-19,J. van Velzen ,UBC 1424041 .,,,,,herbarium record Scapaniaceae,159164,
Barbilophozia quadriloba ,(Lindb.) Loeske,,four-fingered pawwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,native,S5 (2015),reported,undocumented,1979-03-25,W. B. Schofield ,UBC 1391286 ,,,,,herbarium record Scapaniaceae,159165,
Bazzania denudata,(Torr. ex Gott. et al.) Trev.,,bazzania liverwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lepidoziaceae,,native,S4 (2015),reported,undocumented,2005-04-20,W. B. Schofield ,UBC 1310858 ,,,,,,56476,
Bazzania tricrenata,(Wahlenb.) Lindb.,,lesser whipwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lepidoziaceae,,native,S4S5 (2015),reported,undocumented,1998-11-11,W. B. Schofield ,UBC 1333072 .,,,,,,159203,
Bazzania trilobata,(L.) S. Gray,,greater whipwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Lepidoziaceae,,native,S4S5 (2015) ,new 2018,documented, , , ,2018-09-24,keeganjd,https://www.inaturalist.org/observations/16895413,https://static.inaturalist.org/photos/9685926/medium.jpg?1502468012,unconfirmed,136608,
Blasia pusilla  ,L.,,common kettlewort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Metzgeriales,,,Blasiaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,1980-10-04,W. B. Schofield ,UBC 1390390 ,,,,,"is in E-Flora, Consortium of NA Bryophyte Herbaria, I.T.I.S.",56441,
Blepharostoma trichophyllum ,(L.) Dum.,,hairy threadwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Pseudolepicoleaceae,, ,SNR,reported,undocumented,1998-06-19,W. B. Schofield ,UBC 1339036 ,,,, ,,56479,
Calypogeia muelleriana,(Schiffn.) Müll.Frib.,,Mueller's pouchwort,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Calypogeiaceae,, ,SNR,confirmed,documented,1980-04-16,W. B. Schofield ,UBC 1423539 ,7/6/2017,elsemikkelsen,https://www.inaturalist.org/observations/7448197,https://static.inaturalist.org/photos/9685926/medium.jpg?1502468012,,56487,
