Taxon,Author of Species,Author of       Subspecies or Variety,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status (B.C.),reporting,Documented,Last Collected/ Reported,Collector/Source,Collection Accession #/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Climacium dendroides ,(Hedw.) Web. & Mohr,,tree climacium moss,Plantae,Bryophyta,,,Bryopsida,,,Leucodontales,,,Climaciaceae,,native,S4S5 (2015),reported,undocumented,1970-00-17,W. B. Schofield ,UBC s.n.,,,,,,123751,
Conostomum tetragonum ,(Hedw.) Lindb,,helmet-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S4S5 (2011) ,reported,undocumented,1982-07-22,J. Spence ,UBC s.n.,,,,,,160833,
Cynodontium jenneri ,(Schimp. in Howie) Stirt.,,Jenner's dog-tooth,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011) ,reported,undocumented,1991-07-15,R. J. Belland ,UBC s.n.,,,,,,161409,
Cyrtomnium hymenophyllum ,(Bruch & Schimp. in B.S.G.) Holm,,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4 (2015)  ,reported,undocumented,1983-08-11,John Spence,UBC s.n.,,,,, ,161572,
Dendroalsia abietina ,(Hook.) Britt,,none,Plantae,Bryophyta,,,Bryopsida,,,Leucodontales,,,Leucodontaceae,,native,S3S4 (2015),reported,undocumented,2009-05-11,W. R. Buck ,NY: 01105211,,,,,,55340,
Dichelyma uncinatum,Mitt.,,Dichelyma moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Fontinalaceae,,native,S3S4 (2015),reported,undocumented,1970-00-17,W. B. Schofield ,UBC s.n.,,,,,,161818,
Dichodontium olympicum ,Ren. & Card.,,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015) ,reported,undocumented,1983-09-29,W. B. Schofield,UBC s.n.,,,,,,161819,
Dichodontium pellucidum,(Hedw.) Schimp.,,transparent fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015) ,reported,undocumented,1983-08-11,J. Spence,UBC s.n.,,,,,,161820,
Dicranella heteromalla, (Hedw.) Schimp,,silky forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011)  ,reported,undocumented,2009-05-11,W. R. Buck ,NY: 01105227,,,,,,67876,
Dicranella palustris,(Dickson) E.F. Warb.,,marsh forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,2001-10-07,W. B. Schofield ,UBC s.n.,,,,,,161837,
Dicranella rufescens,(With.) Schimp.,,rufous forklet-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015),reported,undocumented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,,,,,161838,
Dicranodontium denudatum,(Brid.) Britt. in Williams,,denuded dicranodontium moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015)   ,reported,undocumented,1981-03-01,W. B. Schofield,UBC s.n.,,,,,,161845,
Dicranoweisia cirrata,(Hedw.) Lindb. ex Milde,,common pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2015)  ,confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),2018-09-26,benkeen,https://www.inaturalist.org/observations/16933780,https://static.inaturalist.org/photos/25621900/medium.jpg?1538011246,,67949,
Dicranoweisia crispula,(Hedw.) Lindb. ex Milde,,mountain pincushion,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2015) ,reported,undocumented,2003-06-19,W. B. Schofield,UBC s.n.,,,,,,154135,
Dicranum bonjeanii ,De Not.,,crisped fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015) ,reported,undocumented,1961-08-04,E.B. Peterson ,UBC s.n.,,,,,,161852,
Dicranum fuscescens ,Turn.,,dusky fork moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015),reported,undocumented,2001-05-22,W. B. Schofield,UBC s.n.,,,,,,123177,
Dicranum howellii ,Ren. & Card.,,Howell's dicranum moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,"not in CDC records, see 'notes'",reported,undocumented,1972-12-24,M. Barkworth,WTU-B-019671,,,,,"on NatureServe, FNA & iNaturalist accept this grows in BC",161860,
Dicranum muehlenbeckii ,Bruch & Schimp.,,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,1982-07-22,J. Spence,UBC s.n.,,,,,,161865,
Dicranum pallidisetum,(Bail. in Holz.) Irel.,,none,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,undocumented,2001-05-22,W. B. Schofield,UBC s.n.,,,,,,161867,
Dicranum scoparium,Hedw.,,broom moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),2018-09-24,keeganjd,https://www.inaturalist.org/observations/16875100,https://static.inaturalist.org/photos/25487966/medium.jpg?1537809904,,123134,
Dicranum tauricum,Sapeh,,fragile fork-moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S5 (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),2017-02-21,elsemikkelsen,https://www.inaturalist.org/observations/9211015,https://static.inaturalist.org/photos/12458503/medium.jpg?1513708869,,161872,
Didymodon vinealis,(Brid.) Zand.,,soft-tufted beard-moss,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,native,S5 (2015),reported,undocumented,2001-05-22,W. B. Schofield,UBC s.n.,,,,,,161892,
Ditrichum heteromallum ,(Hedw.) Britt.,,curve-leaved ditrichum,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4S5 (2011) ,reported,undocumented,2001-05-22,W. B. Schofield,UBC s.n.,,,,,,161968,
Drepanocladus aduncus ,(Hedw.) Warnst.,,Knieff's hook-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Amblystegiaceae,,native,S5? (2015)  ,reported,undocumented,1970-00-17,W. B. Schofield,UBC s.n.,,,,,,154182,
Dryptodon patens ,(Hedw.) Brid.,,spreading fringemoss,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2011)  see 'notes',reported,undocumented,1982-09-02,W. B. Schofield,UBC s.n.,,,,,"current name on NatureServe, Grimmia ramondii in CDC records; iNaturalist has both names ",338191,
Eurhynchium-praelongum,(Sull.) Ochyra,,common feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S5 (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),2017-05-05,chlorophilia,https://www.inaturalist.org/observations/6113045,https://static.inaturalist.org/photos/7647837/medium.jpeg?1494086402,herbarium record Kindbergia praelonga,782852,
Fissidens adianthoides,Hedw.,,maidenhair pocket-moss,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,native,S4S5 (2011) ,confirmed,documented,1984-09-25,W. B. Schofield,UBC s.n.,2017-02-21,elsemikkelsen,https://www.inaturalist.org/observations/9211630,https://static.inaturalist.org/photos/12459442/medium.jpg?1513713331,,162992,
