iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported
Corallorhiza maculata,49475,Corallorhiza maculata,8,"{""iNat:3200795"":[48.582384,-123.142204],""iNat:3200815"":[48.582384,-123.142204],""iNat:49068551"":[48.587522,-123.154442],""iNat:49269537"":[48.586197,-123.139694],""iNat:77441346"":[48.592217,-123.1522],""iNat:78373910"":[48.592216,-123.15217],""iNat:84611667"":[48.585961,-123.144889],""iNat:86999779"":[48.57497,-123.135067]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,maculata,,iNat,,,iNat:3200795,2016-05-17T00:00:00.000Z,nadja q.,iNat,,,iNat:86999779,2021-07-14T09:26:02.000Z
Epipactis helleborine,50717,Epipactis helleborine,9,"{""iNat:3200802"":[48.582384,-123.142204],""iNat:3257925"":[48.58559,-123.149666],""iNat:53170531"":[48.584581,-123.143806],""iNat:53734105"":[48.586339,-123.148156],""iNat:67437944"":[48.5901,-123.149522],""iNat:84611670"":[48.579006,-123.135217],""iNat:86668449"":[48.577238,-123.13274],""iNat:87239012"":[48.579128,-123.135192],""iNat:133381817"":[48.576832,-123.13248]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Neottieae,Epipactis,helleborine,,iNat,,,iNat:3200802,2016-05-17T00:00:00.000Z,Kendra Dedinsky,iNat,,,iNat:133381817,2022-09-02T17:51:26.000Z
Corallorhiza striata,50708,Corallorhiza striata,9,"{""iNat:3200807"":[48.582384,-123.142204],""iNat:3200819"":[48.582384,-123.142204],""iNat:44332153"":[48.581278,-123.138976],""iNat:77557443"":[48.595225,-123.133439],""iNat:77993031"":[48.595161,-123.133469],""iNat:78877973"":[48.583748,-123.149725],""iNat:80526981"":[48.583496,-123.142151],""iNat:115987598"":[48.585392,-123.14785],""iNat:121797492"":[48.583679,-123.143233]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,striata,,iNat,,,iNat:3200807,2016-05-17T00:00:00.000Z,Natalie Lemanski,iNat,,,iNat:121797492,2022-06-12T20:12:50.000Z
Berberis aquifolium,126887,Berberis aquifolium,8,"{""iNat:3200824"":[48.582384,-123.142204],""iNat:17149142"":[48.583277,-123.137518],""iNat:33661433"":[48.584034,-123.141991],""iNat:42984532"":[48.584759,-123.138608],""iNat:78372226"":[48.58747,-123.15402],""iNat:86665482"":[48.58229,-123.142076],""iNat:90826760"":[48.58339,-123.142336],""iNat:131543149"":[48.585051,-123.148933]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Berberidaceae,Berberidoideae,Berberideae,Berberis,aquifolium,,iNat,,,iNat:3200824,2016-05-17T00:00:00.000Z,,iNat,,,iNat:131543149,2022-08-19T21:14:08.000Z
Trifolium microcephalum,58911,Trifolium microcephalum,1,"{""iNat:3200846"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,microcephalum,,iNat,,,iNat:3200846,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3200846,2016-05-17T00:00:00.000Z
Quercus garryana,68632,Quercus garryana,25,"{""iNat:3200855"":[48.582384,-123.142204],""iNat:3737226"":[48.582894,-123.141266],""iNat:17148595"":[48.582815,-123.142395],""iNat:17148774"":[48.580532,-123.136907],""iNat:17148885"":[48.581222,-123.136665],""iNat:17161293"":[48.584863,-123.140998],""iNat:20965119"":[48.582873,-123.1412],""iNat:45128019"":[48.580384,-123.134305],""iNat:49068461"":[48.584825,-123.14965],""iNat:49178063"":[48.582931,-123.141275],""iNat:62859080"":[48.582813,-123.141075],""iNat:78878002"":[48.585068,-123.149642],""iNat:84612194"":[48.582206,-123.141967],""iNat:86667974"":[48.578755,-123.134754],""iNat:86668093"":[48.578161,-123.134412],""iNat:87643000"":[48.575162,-123.129411],""iNat:87643260"":[48.575192,-123.1295],""iNat:101042680"":[48.573362,-123.127586],""iNat:105874967"":[48.576395,-123.131539],""iNat:110319691"":[48.582177,-123.142391],""iNat:112346762"":[48.583361,-123.145832],""iNat:112453496"":[48.577825,-123.128427],""iNat:112459206"":[48.573392,-123.129135],""iNat:112459755"":[48.573087,-123.129101],""iNat:121797475"":[48.582905,-123.14131]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Quercus,garryana,,iNat,,,iNat:3200855,2016-05-17T00:00:00.000Z,Natalie Lemanski,iNat,,,iNat:121797475,2022-06-12T20:08:40.000Z
Lolium perenne,52801,Lolium perenne,1,"{""iNat:3200859"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Lolium,perenne,,iNat,,,iNat:3200859,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3200859,2016-05-17T00:00:00.000Z
Cycloneda polita,55492,Cycloneda polita,2,"{""iNat:3200888"":[48.582384,-123.142204],""iNat:70690418"":[48.583513,-123.137528]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Cycloneda,polita,,iNat,,,iNat:3200888,2016-05-17T00:00:00.000Z,,iNat,,,iNat:70690418,2021-03-06T12:35:24.000Z
Camassia leichtlinii suksdorfii,79659,Camassia leichtlinii suksdorfii,1,"{""iNat:3200897"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Agavoideae,,Camassia,leichtlinii,,iNat,,,iNat:3200897,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3200897,2016-05-17T00:00:00.000Z
Aira caryophyllea,52694,Aira caryophyllea,1,"{""iNat:3200953"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Aira,caryophyllea,,iNat,,,iNat:3200953,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3200953,2016-05-17T00:00:00.000Z
Triteleia hyacinthina,57132,Triteleia hyacinthina,3,"{""iNat:3200973"":[48.582384,-123.142204],""iNat:49301745"":[48.585382,-123.13815],""iNat:49890617"":[48.584956,-123.149666]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Brodiaeoideae,,Triteleia,hyacinthina,,iNat,,,iNat:3200973,2016-05-17T00:00:00.000Z,Eliza,iNat,,,iNat:49890617,2020-06-16T22:50:48.000Z
Rumex acetosella,53195,Rumex acetosella,2,"{""iNat:3200980"":[48.582384,-123.142204],""iNat:120264429"":[48.581184,-123.140951]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Polygonaceae,Polygonoideae,Rumiceae,Rumex,acetosella,,iNat,,,iNat:3200980,2016-05-17T00:00:00.000Z,,iNat,,,iNat:120264429,2022-06-04T21:42:17.000Z
Hypericum perforatum,56077,Hypericum perforatum,4,"{""iNat:3200983"":[48.582384,-123.142204],""iNat:53982016"":[48.584731,-123.143997],""iNat:66496400"":[48.583228,-123.142483],""iNat:126995301"":[48.583131,-123.142548]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,perforatum,,iNat,,,iNat:3200983,2016-05-17T00:00:00.000Z,Jeff Lahr,iNat,,,iNat:126995301,2022-07-19T19:05:26.000Z
Rhinocyllus conicus,229899,Rhinocyllus conicus,1,"{""iNat:3201007"":[48.582384,-123.142204]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,Lixinae,Lixini,Rhinocyllus,conicus,,iNat,,,iNat:3201007,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3201007,2016-05-17T00:00:00.000Z
Cirsium vulgare,52989,Cirsium vulgare,3,"{""iNat:3201014"":[48.582384,-123.142204],""iNat:48848561"":[48.585467,-123.149543],""iNat:86671967"":[48.580429,-123.137162]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cirsium,vulgare,,iNat,,,iNat:3201014,2016-05-17T00:00:00.000Z,Doug McCutchen,iNat,,,iNat:86671967,2021-07-12T03:23:43.000Z
Tharsalea helloides,1360298,Tharsalea helloides,1,"{""iNat:3201122"":[48.583065,-123.140144]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Lycaenidae,Lycaeninae,Lycaenini,Tharsalea,helloides,,iNat,,,iNat:3201122,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3201122,2016-05-17T00:00:00.000Z
Leucorrhinia intacta,104551,Leucorrhinia intacta,2,"{""iNat:3201198"":[48.583065,-123.140144],""iNat:3209239"":[48.58171,-123.140545]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Libelluloidea,Libellulidae,,,Leucorrhinia,intacta,,iNat,,,iNat:3201198,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3209239,2016-05-18T20:17:24.000Z
Erynnis propertius,59187,Erynnis propertius,2,"{""iNat:3209206"":[48.58171,-123.140545],""iNat:3209297"":[48.58171,-123.140545]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Hesperiidae,Pyrginae,Erynnini,Erynnis,propertius,,iNat,,,iNat:3209206,2016-05-18T20:17:24.000Z,,iNat,,,iNat:3209206,2016-05-18T20:17:24.000Z
Noctua pronuba,81687,Noctua pronuba,2,"{""iNat:3209354"":[48.58171,-123.140545],""iNat:3226282"":[48.582611,-123.141346]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Noctua,pronuba,,iNat,,,iNat:3226282,2016-05-18T00:00:00.000Z,,iNat,,,iNat:3209354,2016-05-18T20:17:24.000Z
Sherardia arvensis,47691,Sherardia arvensis,1,"{""iNat:3226297"":[48.582611,-123.141346]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Rubiaceae,Rubioideae,Rubieae,Sherardia,arvensis,,iNat,,,iNat:3226297,2016-05-18T00:00:00.000Z,,iNat,,,iNat:3226297,2016-05-18T00:00:00.000Z
Haematopus bachmani,4838,Haematopus bachmani,1,"{""iNat:3269376"":[48.588119,-123.143496]}",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Haematopodidae,,,Haematopus,bachmani,,iNat,,,iNat:3269376,2015-07-22T00:00:00.000Z,,iNat,,,iNat:3269376,2015-07-22T00:00:00.000Z
Onthophagus nuchicornis,226430,Onthophagus nuchicornis,1,"{""iNat:3284756"":[48.581313,-123.140802]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeiformia,Scarabaeoidea,Scarabaeidae,Scarabaeinae,Onthophagini,Onthophagus,nuchicornis,,iNat,,,iNat:3284756,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3284756,2016-05-17T00:00:00.000Z
Cynosurus echinatus,47695,Cynosurus echinatus,1,"{""iNat:3290801"":[48.58559,-123.149666]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Cynosurus,echinatus,,iNat,,,iNat:3290801,2016-05-21T20:35:28.000Z,,iNat,,,iNat:3290801,2016-05-21T20:35:28.000Z
Dactylis glomerata,52720,Dactylis glomerata,2,"{""iNat:3290812"":[48.58559,-123.149666],""iNat:66496710"":[48.583228,-123.142483]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Dactylis,glomerata,,iNat,,,iNat:3290812,2016-05-21T20:36:40.000Z,Eliza,iNat,,,iNat:66496710,2020-12-11T13:07:33.000Z
Trifolium arvense,79408,Trifolium arvense,1,"{""iNat:3290819"":[48.58559,-123.149666]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,arvense,,iNat,,,iNat:3290819,2016-05-21T20:42:30.000Z,,iNat,,,iNat:3290819,2016-05-21T20:42:30.000Z
Gaultheria shallon,48441,Gaultheria shallon,5,"{""iNat:3290826"":[48.58643,-123.145237],""iNat:31144441"":[48.586407,-123.146395],""iNat:106769645"":[48.592436,-123.147776],""iNat:126988269"":[48.585771,-123.144517],""iNat:127009171"":[48.586145,-123.14504]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Gaultherieae,Gaultheria,shallon,,iNat,,,iNat:3290826,2016-05-21T20:47:24.000Z,Jeff Lahr,iNat,,,iNat:127009171,2022-07-19T19:12:01.000Z
Alnus rubra,56034,Alnus rubra,3,"{""iNat:3290859"":[48.58559,-123.149666],""iNat:27229565"":[48.587846,-123.148949],""iNat:48717205"":[48.585832,-123.144587]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Alnus,rubra,,iNat,,,iNat:3290859,2016-05-21T20:55:57.000Z,Sarah Teman,iNat,,,iNat:48717205,2020-06-06T23:08:58.000Z
Stachys chamissonis cooleyae,52627,Stachys chamissonis cooleyae,1,"{""iNat:3290869"":[48.58559,-123.149666]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Stachydeae,Stachys,chamissonis,,iNat,,,iNat:3290869,2016-05-21T20:58:08.000Z,,iNat,,,iNat:3290869,2016-05-21T20:58:08.000Z
Ribes lacustre,78858,Ribes lacustre,2,"{""iNat:3290870"":[48.58559,-123.149666],""iNat:31144204"":[48.585921,-123.145606]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Grossulariaceae,,,Ribes,lacustre,,iNat,,,iNat:3290870,2016-05-21T20:59:36.000Z,Brett,iNat,,,iNat:31144204,2019-08-19T22:24:17.000Z
Leucanthemum vulgare,1404861,Leucanthemum vulgare,1,"{""iNat:3390752"":[48.587566,-123.149099]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemum,vulgare,Elmer Vazquez,iNat,,,iNat:3390752,2016-05-21T10:56:00.000Z,Elmer Vazquez,iNat,,,iNat:3390752,2016-05-21T10:56:00.000Z
Epitheca spinigera,100218,Epitheca spinigera,2,"{""iNat:3390788"":[48.589553,-123.145494],""iNat:3390789"":[48.58961,-123.147297]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Libelluloidea,Corduliidae,,,Epitheca,spinigera,Elmer Vazquez,iNat,,,iNat:3390788,2016-05-21T13:31:00.000Z,Elmer Vazquez,iNat,,,iNat:3390788,2016-05-21T13:31:00.000Z
Rhionaeschna californica,67736,Rhionaeschna californica,2,"{""iNat:3390793"":[48.590121,-123.149357],""iNat:3390795"":[48.588872,-123.152361]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Aeshnoidea,Aeshnidae,,,Rhionaeschna,californica,Elmer Vazquez,iNat,,,iNat:3390793,2016-05-21T13:33:00.000Z,Elmer Vazquez,iNat,,,iNat:3390793,2016-05-21T13:33:00.000Z
Strongylocentrotus droebachiensis,120070,Strongylocentrotus droebachiensis,1,"{""iNat:6037232"":[48.588245,-123.154831]}",Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,,Camarodonta,,Echinidea,Odontophora,Strongylocentrotidae,,,Strongylocentrotus,droebachiensis,,iNat,,,iNat:6037232,2017-04-27T22:36:03.000Z,,iNat,,,iNat:6037232,2017-04-27T22:36:03.000Z
Hemigrapsus oregonensis,69170,Hemigrapsus oregonensis,2,"{""iNat:6037311"":[48.588245,-123.154831],""iNat:6047233"":[48.588255,-123.154831]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Grapsoidea,Varunidae,Varuninae,,Hemigrapsus,oregonensis,Dennis Conetta,iNat,,,iNat:6047233,2017-04-27T22:19:40.000Z,,iNat,,,iNat:6037311,2017-04-27T22:20:37.000Z
Onchidoris bilamellata,47480,Onchidoris bilamellata,2,"{""iNat:6037342"":[48.588245,-123.154831],""iNat:6047229"":[48.588245,-123.154831]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Onchidoris,bilamellata,,iNat,,,iNat:6037342,2017-04-27T22:25:28.000Z,,iNat,,,iNat:6037342,2017-04-27T22:25:28.000Z
Lysimachia latifolia,496537,Lysimachia latifolia,7,"{""iNat:6208956"":[48.586137,-123.144727],""iNat:44368240"":[48.586128,-123.138711],""iNat:45128061"":[48.580402,-123.134252],""iNat:48965777"":[48.59267,-123.154363],""iNat:49956635"":[48.584161,-123.143005],""iNat:51963877"":[48.589254,-123.146909],""iNat:75493253"":[48.592641,-123.154528]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Primulaceae,Myrsinoideae,,Lysimachia,latifolia,,iNat,,,iNat:6208956,2017-05-14T18:55:24.000Z,,iNat,,,iNat:75493253,2021-04-28T00:37:34.000Z
Corallorhiza maculata occidentalis,80615,Corallorhiza maculata occidentalis,3,"{""iNat:6209028"":[48.584083,-123.143165],""iNat:45545878"":[48.586037,-123.138503],""iNat:46658472"":[48.592053,-123.151803]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Epidendreae,Corallorhiza,maculata,,iNat,,,iNat:6209028,2017-05-14T19:03:49.000Z,,iNat,,,iNat:45545878,2020-05-10T20:16:20.000Z
Ariolimax columbianus,47776,Ariolimax columbianus,3,"{""iNat:6209279"":[48.586109,-123.138407],""iNat:8040545"":[48.586042,-123.148803],""iNat:125131775"":[48.586217,-123.148636]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Ariolimacidae,Ariolimacinae,,Ariolimax,columbianus,,iNat,,,iNat:6209279,2017-05-14T19:26:31.000Z,MBMKilkenny,iNat,,,iNat:125131775,2022-07-04T20:20:40.000Z
Bombus vancouverensis vancouverensis,1020322,Bombus vancouverensis vancouverensis,6,"{""iNat:10006000"":[48.581642,-123.139739],""iNat:10006001"":[48.5816,-123.139747],""iNat:10006004"":[48.581589,-123.139831],""iNat:10006176"":[48.585869,-123.150261],""iNat:10006179"":[48.585869,-123.150275],""iNat:10006180"":[48.585881,-123.150239]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,Bombini,Bombus,bifarius,,iNat,,,iNat:10006000,2017-08-04T16:50:00.000Z,,iNat,,,iNat:10006180,2017-08-04T20:21:00.000Z
Coelioxys rufitarsis,626642,Coelioxys rufitarsis,1,"{""iNat:10006005"":[48.581639,-123.139703]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae,Megachilini,Coelioxys,rufitarsis,,iNat,,,iNat:10006005,2017-08-04T17:13:00.000Z,,iNat,,,iNat:10006005,2017-08-04T17:13:00.000Z
Ochlodes sylvanoides,59194,Ochlodes sylvanoides,4,"{""iNat:10006008"":[48.581597,-123.139703],""iNat:10006168"":[48.58352,-123.142984],""iNat:10006171"":[48.585864,-123.150283],""iNat:10006172"":[48.585881,-123.150214]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Ochlodes,sylvanoides,,iNat,,,iNat:10006008,2017-08-04T17:23:00.000Z,,iNat,,,iNat:10006168,2017-08-04T20:22:00.000Z
Lophocampa argentata,84792,Lophocampa argentata,1,"{""iNat:10006164"":[48.583453,-123.142822]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Noctuoidea,Erebidae,Arctiinae,Arctiini,Lophocampa,argentata,,iNat,,,iNat:10006164,2017-08-04T18:08:00.000Z,,iNat,,,iNat:10006164,2017-08-04T18:08:00.000Z
Bombus flavifrons,119308,Bombus flavifrons,2,"{""iNat:10006169"":[48.585831,-123.150336],""iNat:10006182"":[48.585908,-123.150208]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,Bombini,Bombus,flavifrons,,iNat,,,iNat:10006169,2017-08-04T19:38:00.000Z,,iNat,,,iNat:10006182,2017-08-04T20:30:00.000Z
Neophasia menapia,81734,Neophasia menapia,3,"{""iNat:10006173"":[48.585908,-123.150239],""iNat:53888232"":[48.586265,-123.149293],""iNat:53894204"":[48.595299,-123.142951]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Pieridae,Pierinae,Pierini,Neophasia,menapia,,iNat,,,iNat:10006173,2017-08-04T19:55:00.000Z,Joseph DeVito,iNat,,,iNat:53894204,2020-07-21T23:07:22.000Z
Papilio eurymedon,55521,Papilio eurymedon,6,"{""iNat:13514243"":[48.585697,-123.150009],""iNat:26783282"":[48.586485,-123.147189],""iNat:52067123"":[48.587158,-123.148072],""iNat:53890092"":[48.586388,-123.149129],""iNat:85923369"":[48.585697,-123.149956],""iNat:85998399"":[48.587116,-123.150166]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,eurymedon,PointMan,iNat,,,iNat:13514243,2018-06-16T22:50:13.000Z,,iNat,,,iNat:85923369,2021-06-19T20:01:06.000Z
Brodiaea coronaria,57126,Brodiaea coronaria,8,"{""iNat:14113519"":[48.583247,-123.137467],""iNat:49162917"":[48.581364,-123.141144],""iNat:49337794"":[48.58352,-123.13907],""iNat:126142305"":[48.574038,-123.126869],""iNat:126143090"":[48.576147,-123.127364],""iNat:126143171"":[48.576245,-123.128128],""iNat:126143210"":[48.576138,-123.128189],""iNat:126145154"":[48.578312,-123.134086]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Brodiaeoideae,,Brodiaea,coronaria,,iNat,,,iNat:14113519,2018-07-06T20:27:35.000Z,Adam Martin,iNat,,,iNat:126142305,2022-07-13T22:40:43.000Z
Equisetum telmateia,57030,Equisetum telmateia,9,"{""iNat:14531701"":[48.586113,-123.144883],""iNat:14991507"":[48.58594,-123.145156],""iNat:26763582"":[48.586231,-123.148076],""iNat:55847510"":[48.586127,-123.148233],""iNat:78377631"":[48.588839,-123.148558],""iNat:82254742"":[48.586761,-123.147994],""iNat:88958903"":[48.586047,-123.145081],""iNat:91801582"":[48.586102,-123.147408],""iNat:95877657"":[48.586411,-123.149239]}",Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,,Equisetaceae,,,Equisetum,telmateia,,iNat,,,iNat:14531701,2018-07-19T21:36:05.000Z,,iNat,,,iNat:95877657,2021-09-23T18:12:27.000Z
Quercus garryana garryana,63890,Quercus garryana garryana,4,"{""iNat:14531804"":[48.582962,-123.141242],""iNat:86666914"":[48.58062,-123.140153],""iNat:86668737"":[48.576966,-123.131062],""iNat:86668960"":[48.576643,-123.130368]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Quercus,garryana,,iNat,,,iNat:14531804,2018-07-19T21:49:55.000Z,Doug McCutchen,iNat,,,iNat:86668960,2021-07-12T02:51:58.000Z
Lonicera hispidula,53416,Lonicera hispidula,5,"{""iNat:16003556"":[48.5875,-123.155278],""iNat:17161020"":[48.584795,-123.141087],""iNat:53170044"":[48.583435,-123.142837],""iNat:66495391"":[48.584614,-123.14375],""iNat:115724802"":[48.589871,-123.144775]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,hispidula,Joshua Morris,iNat,,,iNat:16003556,2018-08-26T21:56:00.000Z,naturallyken,iNat,,,iNat:115724802,2022-05-03T03:23:22.000Z
Juniperus maritima,164313,Juniperus maritima,6,"{""iNat:17163067"":[48.583247,-123.142368],""iNat:48368852"":[48.584713,-123.139562],""iNat:72226571"":[48.584378,-123.133842],""iNat:78878000"":[48.584897,-123.149549],""iNat:143759020"":[48.587391,-123.14953],""iNat:143808351"":[48.591197,-123.151531]}",Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Cupressaceae,Cupressoideae,,Juniperus,maritima,Mart Hughes,iNat,,,iNat:17163067,2018-09-18T20:20:11.000Z,,iNat,,,iNat:143759020,2022-12-05T22:41:32.000Z
Collinsia parviflora,59013,Collinsia parviflora,4,"{""iNat:21224177"":[48.583195,-123.138442],""iNat:72225669"":[48.581903,-123.136528],""iNat:78877995"":[48.584895,-123.14954],""iNat:109336883"":[48.583203,-123.138772]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Cheloneae,Collinsia,parviflora,,iNat,,,iNat:21224177,2019-03-14T00:09:22.000Z,Eden Light,iNat,,,iNat:109336883,2022-03-23T22:08:33.000Z
Melanitta perspicillata,7036,Melanitta perspicillata,1,"{""iNat:21430786"":[48.586983,-123.151167]}",Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Melanitta,perspicillata,Kristin M. Tolle,iNat,,,iNat:21430786,2018-12-27T00:00:00.000Z,Kristin M. Tolle,iNat,,,iNat:21430786,2018-12-27T00:00:00.000Z
Odocoileus hemionus columbianus,42221,Odocoileus hemionus columbianus,6,"{""iNat:22484078"":[48.586752,-123.15074],""iNat:26075857"":[48.595537,-123.145103],""iNat:44237997"":[48.586752,-123.15074],""iNat:50010043"":[48.583256,-123.142767],""iNat:80422371"":[48.585967,-123.148167],""iNat:105586201"":[48.589453,-123.138883]}",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,,Cervidae,Capreolinae,Odocoileini,Odocoileus,hemionus,,iNat,,,iNat:22484078,2018-04-29T00:00:00.000Z,,iNat,,,iNat:105586201,2021-06-18T04:14:00.000Z
