iNaturalis,iNatural_1,Taxon name,ambiguousN,nameStatus,Common nam,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamil,Family,Subfamily,Tribe,Genus,Species,observatio,Latitude,Longitude,Date obser,Descriptio,Place name,Recorded b,Event Rema,coordinate,Individual,Depth,gbifOccurr,Catalog Nu,Confidence,Sex,Field numb,Coordina_1,Coordina_2,GeoCorrect,LatNew,LongNew
Quercus garryana,68632,Quercus garryana,0,accepted,Oregon oak,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Quercus,garryana,iNat:164148488,48.943385999999997,-123.50938,2023-05-27,,,Jackson W.F. Chu,,,,,,,,,,,,yes,48.943488,-123.509314
Cytisus scoparius,48538,Cytisus scoparius,0,accepted,Scotch Broom,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Cytisus,scoparius,iNat:164148493,48.943427999999997,-123.509445,2023-05-27,,,Jackson W.F. Chu,,,,,,,,,,,,yes,48.943487,-123.509372
Plantago lanceolata,53178,Plantago lanceolata,0,accepted,ribwort plantain,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Plantagineae,Plantago,lanceolata,iNat:164154043,48.943266000000001,-123.510387,2023-05-27,,,Jackson W.F. Chu,,2,,,,,,,,,,yes,48.943303,-123.51054
Rubus parviflorus,51646,Rubus parviflorus,0,accepted,thimbleberry,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,parviflorus,iNat:164154045,48.943257000000003,-123.510297,2023-05-27,,,Jackson W.F. Chu,,,,,,,,,,,,yes,48.94329,-123.510604
Hypochaeris radicata,53104,Hypochaeris radicata,0,accepted,Common Cat's-ear,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Hypochaeris,radicata,iNat:164350195,48.939208000000001,-123.501663,2023-05-28,,,Joan Septembre,,76,,,,,,,,,,yes,48.93931,-123.501229
Holodiscus discolor,53414,Holodiscus discolor,0,accepted,Ocean spray,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Spiraeeae,Holodiscus,discolor,iNat:164354352,48.944294999999997,-123.517625,2023-05-28,,,Joan Septembre,,9,,,,,,,,,,yes,48.944328,-123.517623
Rubus parviflorus,51646,Rubus parviflorus,0,accepted,thimbleberry,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,parviflorus,iNat:164355448,48.943195000000003,-123.510522,2023-05-27,,,Joan Septembre,,130,,,,,,,,,,yes,48.943248,-123.510609
Rubus ursinus,53445,Rubus ursinus,0,accepted,trailing blackberry,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,ursinus,iNat:164356089,48.942836999999997,-123.510612,2023-05-27,,,Joan Septembre,,4,,,,,,,,,,yes,48.942882,-123.510717
Rubus ursinus,53445,Rubus ursinus,0,accepted,trailing blackberry,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,ursinus,iNat:164356210,48.942895000000000,-123.510583,2023-05-27,,,Joan Septembre,,100,,,,,,,,,,yes,48.94291,-123.510729
Sedum spathulifolium,58886,Sedum spathulifolium,0,accepted,Broad-leaved Stonecrop,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,spathulifolium,iNat:164356242,48.942827999999999,-123.510505,2023-05-27,,,Joan Septembre,,17,,,,,,,,,,yes,48.942901,-123.510703
Brodiaea,51753,Brodiaea,0,accepted,Brodiaeas,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Brodiaeoideae,,Brodiaea,,iNat:164371376,48.936934999999998,-123.514168,2023-05-27,,,,,,,,,,,,,,,yes,48.943094,-123.51443
Rosa nutkana,78883,Rosa nutkana,0,accepted,Nootka rose,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Roseae,Rosa,nutkana,iNat:164466911,48.943252999999999,-123.510095,2023-05-27,,,Joan Septembre,,138,,,,,,,,,,yes,48.943539,-123.509744
Quercus garryana,68632,Quercus garryana,0,accepted,Oregon oak,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Quercus,garryana,iNat:164487594,48.943420000000003,-123.509483,2023-05-27,,,Joan Septembre,,7,,,,,,,,,,yes,48.943509,-123.509447
Arbutus menziesii,51046,Arbutus menziesii,0,accepted,Pacific madrone,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arbutus,menziesii,iNat:164488033,48.943108000000002,-123.510353,2023-05-27,,,Joan Septembre,,16,,,,,,,,,,yes,48.943137,-123.510643
Clarkia amoena,61048,Clarkia amoena,0,accepted,Farewell-To-Spring,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Clarkia,amoena,iNat:165846748,48.938862999999998,-123.500959,2023-06-05,,,,,31,,,,,,,,,,yes,48.938886,-123.500893
Pentagramma triangularis,52676,Pentagramma triangularis,0,accepted,goldback fern,,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Cheilanthoideae,,Pentagramma,triangularis,iNat:167770428,48.944265000000001,-123.517619,2023-05-27,,,Undiné,,,,,,,,,,,,yes,48.944306,-123.517579
Epilobium minutum,57150,Epilobium minutum,0,accepted,little willowherb,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Epilobium,minutum,iNat:167869041,48.943494000000001,-123.515453,2023-05-27,,,Undiné,,,,,,,,,,,,yes,48.94351,-123.515431
Grindelia stricta,61992,Grindelia stricta,0,accepted,Oregon Gumplant,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Grindelia,stricta,iNat:168015225,48.943601000000001,-123.51661,2023-05-27,,,Undiné,,,,,,,,,,,,yes,48.943867,-123.516499
Erythranthe alsinoides,771843,Erythranthe alsinoides,0,accepted,wingstem monkeyflower,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Phrymaceae,,,Erythranthe,alsinoides,iNat:204273967,48.938912999999999,-123.501048,2024-03-26,,,,,210,,,,,,,,,,yes,48.938965,-123.500991
Micranthes integrifolia,78027,Micranthes integrifolia,0,accepted,Wholeleaf Saxifrage,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Micrantheae,Micranthes,integrifolia,iNat:204274253,48.938482999999998,-123.500476,2024-03-26,,,,,339,,,,,,,,,,yes,48.938531,-123.500342
Collinsia grandiflora,76409,Collinsia grandiflora,0,accepted,Giant Blue-eyed Mary,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Cheloneae,Collinsia,grandiflora,iNat:204274552,48.939058000000003,-123.501142,2024-03-26,,,,,277,,,,,,,,,,yes,48.93907,-123.501095
Phalaris arundinacea,63337,Phalaris arundinacea,0,accepted,reed canary grass,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Phalaris,arundinacea,Hunterston:154,48.942881000000000,-123.511658,2010-05-22,,,,,,,,,,,,,,,yes,48.943355,-123.511229
Salix lucida,54846,Salix lucida,0,accepted,shining willow,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Salix,lucida,Hunterston:164,48.942881000000000,-123.511658,2010-05-22,,,,,,,,,,,,,,,yes,48.943403,-123.511359
Arbutus menziesii,51046,Arbutus menziesii,0,accepted,Pacific madrone,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arbutus,menziesii,Hunterston:400,48.943379999999998,-123.509726,2010-05-22,,,,,,,,,,,,,,,yes,48.943547,-123.509609
Cytisus scoparius,48538,Cytisus scoparius,0,accepted,Scotch Broom,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Cytisus,scoparius,Hunterston:403,48.943379999999998,-123.509726,2010-05-22,,,,,,,,,,,,,,,yes,48.943525,-123.509479
Pseudotsuga menziesii menziesii,63910,Pseudotsuga menziesii,0,,Coast Douglas-fir,,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Pinoideae,,Pseudotsuga,menziesii,Hunterston:409,48.943379999999998,-123.509726,2010-05-22,,,,,,,,,,,,,,,yes,48.943511,-123.509413
Quercus garryana,68632,Quercus garryana,0,accepted,Oregon oak,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Fagaceae,,,Quercus,garryana,Hunterston:410,48.943379999999998,-123.509726,2010-05-22,,,,,,,,,,,,,,,yes,48.943531,-123.509707
Rosa nutkana,78883,Rosa nutkana,0,accepted,Nootka rose,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Roseae,Rosa,nutkana,Hunterston:411,48.943379999999998,-123.509726,2010-05-22,,,,,,,,,,,,,,,yes,48.943566,-123.509675
