iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Author,Date observed,Description,Place name,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Timmiella crassinervis,169775,Timmiella crassinervis,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Timmiella,Timmiella crassinervis,(Hampe) L.F. Koch,,,,timmiella moss,2010-01-26,Terry McIntosh,Plantae,2017-12-31,Andrew Simon,observed
Tortella humilis,169801,Tortella humilis,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Tortella,Tortella humilis,(Hedw.) Jenn.,,,,small twisted moss,,,Plantae,2021-05-03,Andrew Simon,observed
Tortella,134216,Tortella sp.,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Tortella,,,,,,crisp-moss,2010,Terry McIntosh,Plantae,,,unobserved
Tortula muralis,123498,Tortula muralis,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Tortula,Tortula muralis,Hedw.,,,,wall screw-moss,2010-01-26,Terry McIntosh,Plantae,2016-03-16,Sarah Tweedale,observed
Triquetrella californica,154411,Triquetrella californica,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Triquetrella,Triquetrella californica,(Lesq.) Grout,,,,coastal Triquetrella,2017-04-22,Olivia Lee,Plantae,2017-05-29,Andrew Simon,observed
Vinealobryum eckeliae,1282315,Vinealobryum eckeliae,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Vinealobryum,Vinealobryum eckeliae,,,,,beard-moss,2010-01-26,Terry McIntosh,Plantae,2020-05-12,Andrew Simon,observed
Vinealobryum norrisii,1282316,Vinealobryum norrisii,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Vinealobryum,Vinealobryum norrisii,R.H. Zander,,,,Norris’ beard-moss,2011,Terry McIntosh,Plantae,2017-03-25,Andrew Simon,observed
Weissia controversa,170306,Weissia controversa,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,,Pottiaceae,,,Weissia,Weissia controversa,Hedw.,,,,green-tufted stubble-moss,2010-01-26,Terry McIntosh,Plantae,2016-03-05,Andrew Simon,observed
Schistostega pennata,168594,Schistostega pennata,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Schistostegaceae,,,Schistostega,Schistostega pennata,(Hedw.) F. Weber & D. Mohr,,,,luminous moss,2012-05-12,Kent Brothers,Plantae,,,unobserved
Blindia acuta,156309,Blindia acuta,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,,Seligeriaceae,,,Blindia,Blindia acuta,(Hedw.) Bruch & Schimp.,,,,sharp-leaved Blindia,,,Plantae,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",observed
Sphagnum capillifolium,123958,Sphagnum capillifolium,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,,Sphagnaceae,,,Sphagnum,Sphagnum capillifolium,(Ehrh.) Hedw.,,,,red bogmoss,2000-06-12,Hans Roemer,Plantae,,,unobserved
Sphagnum fuscum,132803,Sphagnum fuscum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,,Sphagnaceae,,,Sphagnum,Sphagnum fuscum,(Schimp.) H. Klinggr.,,,,brown peatmoss,2000-06-12,Hans Roemer,Plantae,,,unobserved
Sphagnum pacificum,169227,Sphagnum pacificum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,,Sphagnaceae,,,Sphagnum,Sphagnum pacificum,Flatberg,,,,Pacific peatmoss,2000-06-12,Hans Roemer,Plantae,,,unobserved
Sphagnum palustre,169228,Sphagnum palustre,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,,Sphagnaceae,,,Sphagnum,Sphagnum palustre,L.,,,,blunt-leaved bogmoss,2000-06-12,Hans Roemer,Plantae,,,unobserved
Sphagnum papillosum,143516,Sphagnum papillosum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,,Sphagnaceae,,,Sphagnum,Sphagnum papillosum,Lindb.,,,,papillose peat-moss,1980-03-29,Hans Roemer,Plantae,,,unobserved
Sphagnum squarrosum,132807,Sphagnum squarrosum,Plantae,Bryophyta,,,Sphagnopsida,,,Sphagnales,,,,Sphagnaceae,,,Sphagnum,Sphagnum squarrosum,Crome,,,,spiky bog-moss,2000-06-12,Hans Roemer,Plantae,,,unobserved
Tetraphis pellucida,124385,Tetraphis pellucida,Plantae,Bryophyta,,,Tetraphidopsida,,,Tetraphidales,,,,Tetraphidaceae,,,Tetraphis,Tetraphis pellucida,Hedw.,,,,tetraphis moss,,,Plantae,2020-05-09,Andrew Simon,observed
Nitella,180574,Nitella sp.,Plantae,Charophyta,,,Charophyceae,,,Charales,,,,Characeae,,,Nitella,,,,,,green alga,2000-06-12,Hans Roemer,Plantae,,,unobserved
Closterium ehrenbergii,470518,Closterium ehrenbergii,Plantae,Charophyta,,,Conjugatophyceae,,,Zygnematales,,,,Closteriaceae,,,Closterium,Closterium ehrenbergii,Meneghini ex Ralfs,,,,desmid,,,Plantae,2017-11-15,Mark Webber,observed
Closterium praelongum,526977,Closterium praelongum,Plantae,Charophyta,,,Conjugatophyceae,,,Zygnematales,,,,Closteriaceae,,,Closterium,Closterium praelongum,Brébisson,,,,desmid,,,Plantae,2012-12-21,Mark Webber,observed
Micrasterias rotata,468235,Micrasterias rotata,Plantae,Charophyta,,,Conjugatophyceae,,,Zygnematales,,,,Desmidiaceae,,,Micrasterias,Micrasterias rotata,Ralfs,,,,desmid,,,Plantae,2016-12-18,Mark Webber,observed
Volvox globator,474779,Volvox globator,Plantae,Chlorophyta,,,Chlorophyceae,,,Volvocales,,,,Volvocaceae,,,Volvox,Volvox globator,L.,,,,green alga,,,Plantae,2003-07-25,Mark Webber,observed
Prasiola furfuracea,500289,Prasiola furfuracea,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,,Prasiolaceae,,,Prasiola,Prasiola furfuracea,,,,,green alga,1981-11-15,D. Garbary,Plantae,,,unobserved
Prasiola meridionalis,429864,Prasiola meridionalis,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,,Prasiolaceae,,,Prasiola,Prasiola meridionalis,Setchell & N.L. Gardner,,,,short sea lettuce,1981-11-15,D. Garbary,Plantae,,,unobserved
Rosenvingiella polyrhiza,410405,Rosenvingiella polyrhiza,Plantae,Chlorophyta,,,Trebouxiophyceae,,,Prasiolales,,,,Prasiolaceae,,,Rosenvingiella,Rosenvingiella polyrhiza,(Rosenvinge) P.C. Silva,,,,green alga,1981-11-15,D. Garbary,Plantae,,,unobserved
Bryopsis corticulans,339004,Bryopsis corticulans,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,,Bryopsidaceae,,,Bryopsis,Bryopsis corticulans,Setchell,,,,,2008,Andy Lamb & Donna Gibbs,Plantae,,,unobserved
Codium fragile,67555,Codium fragile,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,,Codiaceae,,,Codium,Codium fragile,Hariot,,,,sea staghorn,1977-11-27,Michael W. Hawkes,Plantae,,,unobserved
Codium setchellii,117776,Codium setchellii,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,,Codiaceae,,,Codium,Codium setchellii,N.L.Gardner,,,,spongy cushion,1994-10-22,Andy Lamb & Donna Gibbs,Plantae,,,unobserved
Cladophora columbiana,117775,Cladophora columbiana,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,,Cladophoraceae,,,Cladophora,Cladophora columbiana,Collins,,,,green pin-cushion alga,,,Plantae,2016-09-01,Andrew Simon,observed
Cladophora,53707,Cladophora sp.,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,,Cladophoraceae,,,Cladophora,,,,,,sea moss,2013-05-17,Andy Lamb & Donna Gibbs,Plantae,,,unobserved
Urospora,339056,Urospora sp.,Plantae,Chlorophyta,,,Ulvophyceae,,,Codiolales,,,,Acrosiphoniaceae,,,Urospora,,,,,,,,,Plantae,2020-04-24,Andrew Simon,observed
Trentepohlia abietina,410585,Trentepohlia cf abietina,Plantae,Chlorophyta,,,Ulvophyceae,,,Trentepohliales,,,,Trentepohliaceae,,,Trentepohlia,Trentepohlia abietina,(Flotow ex Kützing) Hansgirg,,,,Trentepohlia algae,,,Plantae,2019-12-01,Andrew Simon & Mark Webber,observed
Monostroma grevillei,465247,Monostroma grevillei,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulotrichales,,,,Monostromataceae,,,Monostroma,Monostroma grevillei,(Thuret) Wittrock,,,,sea cellophane,,,Plantae,2019-05-04,Bridgette Clarkston,observed
Acrosiphonia coalita,429957,Acrosiphonia coalita,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulotrichales,,,,Ulotrichaceae,,,Acrosiphonia,Acrosiphonia coalita,"(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes",,,,green rope,2009-06-12,Andy Lamb & Donna Gibbs,Plantae,2019-05-04,Bridgette Clarkston,observed
Blidingia minima vexata,338996,Blidingia minima var. vexata,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,,Ulvaceae,,,Blidingia,Blidingia minima,(Setchell & N.L.Gardner) J.N.Norris,,,,tiny-tube sea lettuce,2007-12-15,Andy Lamb & Donna Gibbs,Plantae,,,unobserved
Ulva fenestrata,152972,Ulva fenestrata,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,,Ulvaceae,,,Ulva,Ulva fenestrata,Postels & Ruprecht,,,,sea lettuce,1977-11-27,Michael W. Hawkes,Plantae,2015-08-28,Lauren Magner & Andrew Simon,observed
Ulva intestinalis,130197,Ulva intestinalis,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,,Ulvaceae,,,Ulva,Ulva intestinalis,L.,,,,gutweed,1996-09-29,Andy Lamb & Donna Gibbs,Plantae,2016-06-05,Andrew Simon,observed
Equisetum arvense,52724,Equisetum arvense,Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,,Equisetaceae,,,Equisetum,Equisetum arvense,L.,,,,common horsetail,2001-08-26,Harvey Janszen,Plantae,2015-03-13,Lauren Magner & Andrew Simon,observed
Equisetum hyemale affine,53910,Equisetum hyemale ssp. affine,Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,,Equisetaceae,,,Equisetum,Equisetum hyemale,L.,,,,scouring-rush,1981-01-01,Harvey Janszen,Plantae,2015-07-02,Lauren Magner & Andrew Simon,observed
Equisetum telmateia braunii,57032,Equisetum telmateia ssp. braunii,Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,,Equisetaceae,,,Equisetum,Equisetum telmateia,Ehrh.,,,,giant horsetail,1980-04-11,Harvey Janszen,Plantae,2015-02-22,Andrew Simon,observed
Lycopodium clavatum,77914,Lycopodium clavatum,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,Lycopodium clavatum,L.,,,,running club-moss,2001-08-26,Harvey Janszen,Plantae,,,unobserved
Selaginella wallacei,63875,Selaginella wallacei,Plantae,Tracheophyta,,,Lycopodiopsida,,,Selaginellales,,,,Selaginellaceae,,,Selaginella,Selaginella wallacei,Hieron.,,,,Wallace's selaginella,1986-08-17,William J. Crins,Plantae,2015-03-04,Andrew Simon,observed
Fossombronia,56446,Fossombronia sp.,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Fossombroniales,,,,Fossombroniaceae,,,Fossombronia,,,,,,,,,Plantae,2020-11-10,Randal Mindell,observed
Calypogeia trichomanis,159721,Calypogeia trichomanis,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Calypogeiaceae,,,Calypogeia,Calypogeia trichomanis,(L.) Corda,,,,hairy pouchwort,1974-04-21,"Judith D. Godfrey, G.A. Godfrey & Wilfred B. Schofield",Plantae,,,unobserved
Fuscocephaloziopsis lunulifolia,1020174,Fuscocephaloziopsis lunulifolia,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Cephaloziaceae,,,Fuscocephaloziopsis,Fuscocephaloziopsis lunulifolia,,,,,liverwort,1962-06-04,Wilfred B. Schofield & Frank M. Boas,Plantae,,,unobserved
Cephaloziella byssacea,400634,Cephaloziella byssacea,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Cephaloziellaceae,,,Cephaloziella,Cephaloziella byssacea,R.M. Schust.,,,,liverwort,1981-04-02,Wilfred B. Schofield,Plantae,,,unobserved
Cephaloziella divaricata,56495,Cephaloziella divaricata,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Cephaloziellaceae,,,Cephaloziella,Cephaloziella divaricata,(Sm.) Warnst.,,,,spreading threadwort,1964-05-03,Wilfred B. Schofield,Plantae,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",observed
Marsupella emarginata,165172,Marsupella emarginata,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Gymnomitriaceae,,,Marsupella,Marsupella emarginata,(Ehrh.) Dumort.,,,,notched rustwort,1962-06-04,Wilfred B. Schofield & F. M. Boas,Plantae,2020-05-04,Andrew Simon,observed
Leiomyza curvinervis,1338024,Leiomyza curvinervis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,Opomyzoidea,Asteiidae,,,Leiomyza,Leiomyza curvinervis,,,,,ragged-leaf liverwort,1962-06-04,Wilfred B. Schofield & F. M. Boas,Plantae,,,unobserved
Lophozia ventricosa,164810,Lophozia ventricosa,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Lophoziaceae,,,Lophozia,Lophozia ventricosa,(Dicks.) Dumort.,,,,tumid notchwort,1962-06-04,Wilfred B. Schofield & F. M. Boas,Plantae,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",observed
Obtusifolium obtusum,1004040,Obtusifolium obtusum,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Scapaniaceae,,,Obtusifolium,Obtusifolium obtusum,,,,,obtuse notchwort,1974-04-21,Judith D. Godfrey,Plantae,,,unobserved
Lepidozia reptans,123769,Lepidozia reptans,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Lepidoziaceae,,,Lepidozia,Lepidozia reptans,(L.) Dumort.,,,,little hands liverwort,1974-04-21,Judith D. Godfrey,Plantae,2020-04-27,Andrew Simon,observed
Chiloscyphus polyanthos,56506,Chiloscyphus polyanthos,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Lophocoleaceae,,,Chiloscyphus,Chiloscyphus polyanthos,(L.) Corda,,,,pale liverwort,1962-06-04,Wilfred B. Schofield & F. M. Boas,Plantae,,,unobserved
Lophocolea bidentata,83960,Lophocolea bidentata,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Lophocoleaceae,,,Lophocolea,Lophocolea bidentata,(L.) Dumort.,,,,crestwort,1974-04-21,Judith D. Godfrey,Plantae,2018-04-01,"Steve Joya, Olivia Lee & Andrew Simon",observed
Mylia,154339,Mylia sp.,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Myliaceae,,,Mylia,,,,,,liverwort,2000-06-12,Hans Roemer,Plantae,,,unobserved
Plagiochila porelloides,123945,Plagiochila porelloides,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Plagiochilaceae,,,Plagiochila,Plagiochila porelloides,(Torr. ex Nees) Lindbenb.,,,,cedar shake liverwort,2010-04-17,Kent Brothers,Plantae,,,unobserved
Porella cordaeana,67839,Porella cordaeana,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Porellales,,,,Porellaceae,,,Porella,Porella cordaeana,(Huebener) Moore,,,,cliff scalewort,1962-06-04,Wilfred B. Schofield & Frank M. Boas,Plantae,2019-01-20,Andrew Simon,observed
Porella navicularis,55255,Porella navicularis,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Porellales,,,,Porellaceae,,,Porella,Porella navicularis,(Lehm. & Lindenb.) Pfeiff.,,,,tree ruffle liverwort,2010-04-17,Kent Brothers,Plantae,2015-03-27,Lauren Magner & Andrew Simon,observed
Ptilidium californicum,129002,Ptilidium californicum,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Ptilidiales,,,,Ptilidiaceae,,,Ptilidium,Ptilidium californicum,(Austin) Underw.,,,,Pacific fuzzwort,1962-06-04,Wilfred B. Schofield & F. M. Boas,Plantae,,,unobserved
Diplophyllum obtusifolium,56507,Diplophyllum obtusifolium,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Scapaniaceae,,,Diplophyllum,Diplophyllum obtusifolium,(Hook.) Dumort.,,,,blunt-leaved earwort,1974-04-21,"Judith D. Godfrey, G.A. Godfrey & Wilfred B. Schofield",Plantae,,,unobserved
Scapania americana,168492,Scapania americana,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Scapaniaceae,,,Scapania,Scapania americana,K. Müller,,,,American earwort,1974-04-21,"Judith D. Godfrey, G.A. Godfrey & Wilfred B. Schofield",Plantae,2018-02-16,Andrew Simon,observed
Scapania bolanderi,123692,Scapania bolanderi,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Scapaniaceae,,,Scapania,Scapania bolanderi,Austin,,,,yellow-ladle earwort,1974-04-21,"Judith D. Godfrey, G.A. Godfrey & Wilfred B. Schofield",Plantae,2017-03-10,Andrew Simon,observed
Scapania undulata,123973,Scapania undulata,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Scapaniaceae,,,Scapania,Scapania undulata,(L.) Dumort.,,,,water earwort,1974-04-21,Judith D. Godfrey,Plantae,2019-05-04,"Steve Joya, Olivia Lee & Andrew Simon",observed
Pellia neesiana,56461,Pellia neesiana,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Pelliales,,,,Pelliaceae,,,Pellia,Pellia neesiana,(Gottsche) Limpr.,,,,ring pellia,,,Plantae,2017-05-27,Alexander J. Wright,observed
Frullania californica,56520,Frullania californica,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Porellales,,,,Frullaniaceae,,,Frullania,Frullania californica,(Austin ex Underw.) A. Evans,,,,liverwort,1962-06-04,Wilfred B. Schofield & F. M. Boas,Plantae,,,unobserved
Frullania nisquallensis,123818,Frullania nisquallensis,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Porellales,,,,Frullaniaceae,,,Frullania,Frullania nisquallensis,,,,,hanging millipede liverwort,1974-04-21,Judith D. Godfrey,Plantae,,,unobserved
Frullania,56519,Frullania sp.,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Porellales,,,,Frullaniaceae,,,Frullania,,,,,,,,,Plantae,2020-07-13,Andrew Simon,observed
Radula complanata,67842,Radula complanata,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Porellales,,,,Radulaceae,,,Radula,Radula complanata,(L.) Dumort.,,,,flat-leaved scalewort,,,Plantae,2020-07-13,Andrew Simon,observed
Mannia gracilis,818550,Mannia gracilis,Plantae,Marchantiophyta,,,Marchantiopsida,,,Marchantiales,,,,Rebouliaceae,,,Mannia,Mannia gracilis,(F. Weber) D. B. Schill & D.G. Long,,,,thin starwort,,,Plantae,2021-04-15,Andrew Simon,observed
Riccia beyrichiana,56409,Riccia beyrichiana,Plantae,Marchantiophyta,,,Marchantiopsida,,,Marchantiales,,,,Ricciaceae,,,Riccia,Riccia beyrichiana,Hampe ex Lehm.,,,,crystalwort,1981-04-02,Wilfred B. Schofield,Plantae,2021-05-03,Andrew Simon,observed
Riccia fluitans,56415,Riccia fluitans,Plantae,Marchantiophyta,,,Marchantiopsida,,,Marchantiales,,,,Ricciaceae,,,Riccia,Riccia fluitans,L.,,,,floating crystalwort,2000-06-12,Hans Roemer,Plantae,2017-04-07,Judith Holm,observed
Riccia sorocarpa,56420,Riccia sorocarpa,Plantae,Marchantiophyta,,,Marchantiopsida,,,Marchantiales,,,,Ricciaceae,,,Riccia,Riccia sorocarpa,Bisch.,,,,common crystalwort,1981-04-02,Wilfred B. Schofield,Plantae,,,unobserved
Ricciocarpos natans,56422,Ricciocarpos natans,Plantae,Marchantiophyta,,,Marchantiopsida,,,Marchantiales,,,,Ricciaceae,,,Ricciocarpos,Ricciocarpos natans,L. (Corda),,,,purple-fringed Riccia,,,Plantae,2016-06-05,Andrew Simon,observed
Targionia hypophylla,56289,Targionia hypophylla,Plantae,Marchantiophyta,,,Marchantiopsida,,,Marchantiales,,,,Targioniaceae,,,Targionia,Targionia hypophylla,L.,,,,orobus-seed liverwort,,,Plantae,2018-04-11,Ryan Batten,observed
Sphaerocarpos texanus,56436,Sphaerocarpos texanus,Plantae,Marchantiophyta,,,Marchantiopsida,,,Sphaerocarpales,,,,Sphaerocarpaceae,,,Sphaerocarpos,Sphaerocarpos texanus,Austin,,,,Texas balloon-wort,,,Plantae,2013-03-22,Ryan Batten,observed
Juniperus maritima,164313,Juniperus maritima,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Cupressaceae,Cupressoideae,,Juniperus,Juniperus maritima,R.P. Adams,,,,seaside juniper,,,Plantae,2011-12-22,T. Abe Lloyd,observed
Thuja plicata,48252,Thuja plicata,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Cupressaceae,Cupressoideae,,Thuja,Thuja plicata,Donn ex D. Don,,,,western redcedar,2000-06-12,Hans Roemer,Plantae,2012-06-15,"Alison, Laura and Malcolm Colwell",observed
Abies grandis,63690,Abies grandis,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Abies,Abies grandis,(Douglas ex D. Don) Lindl.,,,,grand fir,2001-08-26,Harvey Janszen,Plantae,2016-01-15,"Alison, Laura and Malcolm Colwell",observed
Picea sitchensis,68131,Picea sitchensis,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Picea,Picea sitchensis,(Bong.) Carrière,,,,Sitka spruce,,,Plantae,2020-07-13,Andrew Simon,observed
Pinus contorta contorta,80130,Pinus contorta ssp. contorta,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Pinus,Pinus contorta,Douglas ex Loudon,,,,shore pine,,,Plantae,2015-06-24,Lauren Magner & Andrew Simon,observed
Pinus monticola,68084,Pinus monticola,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Pinus,Pinus monticola,Douglas ex D. Don,,,,western white pine,2000-06-12,Hans Roemer,Plantae,2016-01-24,Lauren Magner & Andrew Simon,observed
Pinus ponderosa ponderosa,81248,Pinus ponderosa var. ponderosa,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Pinus,Pinus ponderosa,Douglas ex P. Lawson & C. Lawson,,,,ponderosa pine,2001-08-26,Harvey Janszen,Plantae,2016-06-27,Andrew Simon,observed
Pseudotsuga menziesii menziesii,63910,Pseudotsuga menziesii var. menziesii,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Pseudotsuga,Pseudotsuga menziesii,(Mirb.) Franco,,,,coast Douglas-fir,2000-06-12,Hans Roemer,Plantae,2011-12-22,T. Abe Lloyd,observed
Tsuga heterophylla,48254,Tsuga heterophylla,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Tsuga,Tsuga heterophylla,(Raf.) Sarg.,,,,western hemlock,2000-06-12,Hans Roemer,Plantae,2012-06-15,"Alison, Laura and Malcolm Colwell",observed
Taxus brevifolia,55209,Taxus brevifolia,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Taxaceae,,,Taxus,Taxus brevifolia,Nutt.,,,,western yew,,Kent Brothers,Plantae,2015-02-22,Andrew Simon,observed
Asplenium trichomanes trichomanes,79637,Asplenium trichomanes ssp. trichomanes,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Aspleniaceae,,,Asplenium,Asplenium trichomanes,L.,,,,maidenhair spleenwort,,,Plantae,2016-06-27,Adam Huggins,observed
Athyrium filix-femina cyclosorum,61002,Athyrium filix-femina ssp. cyclosorum,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Athyriaceae,,,Athyrium,Athyrium filix-femina,(L.) Roth ex Mertens,,,,lady fern,2000-06-12,Hans Roemer,Plantae,2015-04-04,Andrew Simon,observed
Struthiopteris spicant,774894,Struthiopteris spicant,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Blechnaceae,,,Struthiopteris,Struthiopteris spicant,(L.) F.W. Weiss,,,,deer fern,2001-08-26,Harvey Janszen,Plantae,2016-05-24,Lauren Magner & Andrew Simon,observed
Cystopteris fragilis,58755,Cystopteris fragilis,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Cystopteridaceae,,,Cystopteris,Cystopteris fragilis,(L.) Bernh.,,,,fragile fern,1996-05-22,"Harvey Janszen, Jenifer Penny & Charlotte Norris",Plantae,2017-03-30,Andrew Simon,observed
Pteridium aquilinum pubescens,52684,Pteridium aquilinum ssp. pubescens,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Dennstaedtiineae,,,Dennstaedtiaceae,,,Pteridium,Pteridium aquilinum,(L.) Kuhn,,,,bracken fern,1980-04-12,Harvey Janszen,Plantae,2014-11-30,Lauren Magner & Andrew Simon,observed
Dryopteris expansa,64055,Dryopteris expansa,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Polypodiineae,,,Dryopteridaceae,Dryopteridoideae,,Dryopteris,Dryopteris expansa,(C. Presl) Fraser-Jenk. & Jermy,,,,spiny wood fern,2001-08-26,Harvey Janszen,Plantae,2016-05-29,"Alison, Laura and Malcolm Colwell",observed
Polystichum munitum,47751,Polystichum munitum,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Polypodiineae,,,Dryopteridaceae,Dryopteridoideae,,Polystichum,Polystichum munitum,(Kaulf.) C. Presl,,,,sword fern,1975-08-13,Angela Wood,Plantae,2009-07-08,Shera Street,observed
Polypodium glycyrrhiza,55104,Polypodium glycyrrhiza,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Polypodiineae,,,Polypodiaceae,Polypodioideae,,Polypodium,Polypodium glycyrrhiza,D.C. Eaton,,,,licorice fern,1961-05-08,J. A. Calder,Plantae,2015-03-13,Lauren Magner & Andrew Simon,observed
Adiantum aleuticum aleuticum,947668,Adiantum aleuticum var. aleuticum,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Vittarioideae,,Adiantum,Adiantum aleuticum,(Rupr.) Paris,,,,northern maiden-hair,,,Plantae,2017-05-19,Andrew Simon,observed
Pentagramma triangularis triangularis,58767,Pentagramma triangularis ssp. triangularis,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Cheilanthoideae,,Pentagramma,Pentagramma triangularis,(Kaulf.) Yatsk.,,,,goldenback fern,1961-05-08,J. A. Calder,Plantae,2015-03-13,Lauren Magner & Andrew Simon,observed
