Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Harmonia axyridis,"(Pallas, 1773)",,Asian lady beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,exotic,unlisted,new 2017,observed,,,,,,2017-05-27,Libby Avis,https://www.inaturalist.org/observations/6460219,https://static.inaturalist.org/photos/8166319/medium.jpg?1496356718,,48484,ART
Hippodamia sp.,,,oblong ladybird,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,,reported,unobserved,1984-03-05,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-13193,,,,,,,48988,ART
Hyperaspis postica,"LeConte, 1880",,sigil ladybeetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Scymninae,native,S4S5 (2017),reported,unobserved,1990-09-02,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-13070,,,,,,,320391,ART
Mulsantina picta,"(Randall, 1838)",,painted ladybird,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,native,S5 (2017),confirmed,observed,1990-09-02,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-13590,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6217385,https://static.inaturalist.org/photos/7810595/medium.jpeg?1494824384,,225295,ART
Psyllobora borealis,"Casey, 1899",,western fairy ladybeetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,native,S4S5 (2017),confirmed,observed,1985-05-19,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-13793,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6333086,https://static.inaturalist.org/photos/7979049/medium.jpeg?1495551362,,311633,ART
Psyllobora vigintimaculata,"(Say, 1824)",,twenty-spotted lady neetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,native,S5 (2017),confirmed,observed,1990-09-02,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-13984,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3512987,https://static.inaturalist.org/photos/4090589/medium.jpg?1466750882,,118967,ART
Scymnus nebulosus,"(Linnaeus, 1758)",,dusky ladybeetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Scymninae,native,S4S5 (2017),confirmed,observed,1990-04-20,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-14218,,2017-05-14,Scott Gilmore,https://www.inaturalist.org/observations/6223916,https://static.inaturalist.org/photos/7819574/medium.jpeg?1494874956,,320432,ART
Clypastraea sp.,,,minute hooded beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Corylophidae,Corylophinae,,,new 2018,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6231578,https://static.inaturalist.org/photos/7831334/medium.jpeg?1494908927,,174300,ART
Atomaria subdentata,"(Casey, 1900)",,silken fungus beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Cryptophagidae,,native,SU (2017),reported,unobserved,1974-04-14,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-29068,,,,,,,455700,ART
Cucujus clavipes,,,red flat bark beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Cucujidae,,,,new 2019,observed,,,,,,2019-05-04,Charlene Wood,https://www.inaturalist.org/observations/24670721,https://static.inaturalist.org/photos/38149633/medium.jpg?1557157846,,122215,ART
Cryptorhynchus lapathi,"(Linnaeus, 1758)",,poplar-and-willow borer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Cryptorhynchinae,native,S4S5 (2017),new 2017,observed,,,,,,2017-05-27,Andrew Simon,https://www.inaturalist.org/observations/6464894,https://static.inaturalist.org/photos/8173692/medium.jpg?1496386259,,217843,ART
Curculio sp.,,,nut and acorn weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Curculioninae,,,new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6203490,https://static.inaturalist.org/photos/7789052/medium.jpeg?1494737939,,121294,ART
Cylindrocopturus furnissi,"Buchanan, 1940",,Douglas-fir twig weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Conoderinae,native,SU (2017),new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6203489,https://static.inaturalist.org/photos/7789056/medium.jpeg?1494737961,,48906,ART
Dendroctonus pseudotsugae,"Hopkins, 1905",,Douglas-fir beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Scolytinae,native,S5 (2017),reported,unobserved,1971-05-07,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-26357,,,,,,,48905,ART
Dyslobus granicollis,"LeConte, 1869",,broad-nosed weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,native,S5 (2017),new 2017,observed,,,,,,2017-05-16,Scott Gilmore,https://www.inaturalist.org/observations/6250567,https://static.inaturalist.org/photos/7858634/medium.jpeg?1495049525,,455873,ART
Hylastes sp.,,,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Scolytinae,,,new 2017,observed,,,,,,2017-05-27,Lauren Magner & Andrew Simon,https://www.inaturalist.org/observations/6388737,https://static.inaturalist.org/photos/8065869/medium.jpg?1495934442,,177736,ART
Hylurgops porosus,"(LeConte, 1868)",,crenulate bark beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Scolytinae,native,S5 (2017),reported,unobserved,1972-05-14,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-26648,,,,,,,221943,ART
Nemocestes sp.,,,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,,,new 2019,observed,,,,,,2019-04-26,Andrew Simon,https://www.inaturalist.org/observations/24351461,https://static.inaturalist.org/photos/37652432/medium.jpeg?1556773662,,176790,ART
Otiorhynchus rugosostriatus,,,rough strawberry root weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,,,new 2019,observed,,,,,,2019-05-04,Scott Gilmore,https://www.inaturalist.org/observations/26072005,https://static.inaturalist.org/photos/40449783/medium.jpeg?1559240467,,604471,ART
Otiorhynchus singularis,"(Linnaeus, 1767)",,clay-coloured weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,exotic,unlisted,new 2017,observed,,,,,,2017-05-12,Scott Gilmore,https://www.inaturalist.org/observations/6203492,https://static.inaturalist.org/photos/7789051/medium.jpeg?1494737933,,226717,ART
Panscopus sp.,,,broad-nosed weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,,,new 2016,observed,,,,,,2016-06-23,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/3561865,https://static.inaturalist.org/photos/4138804/medium.jpg?1467242587,,176093,ART
Pissodes fasciatus,"LeConte, 1876",,bark weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,native,SU (2017),new 2018,observed,,,,,,2018-05-28,Scott Gilmore,https://www.inaturalist.org/observations/12913440,https://static.inaturalist.org/photos/18757285/medium.jpeg?1527558019,,228178,ART
Pissodes radiatae,"Hopkins, 1911",,Monterey pine weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,native,SU (2017),new 2018,observed,,,,,,2018-05-28,Scott Gilmore,https://www.inaturalist.org/observations/12913441,https://static.inaturalist.org/photos/18757314/medium.jpeg?1527558049,,345154,ART
Rhyncolus sp.,,,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Cossoninae,,,new 2016,observed,2017-05-27,Joel Gibson,RBCM,ENT017-002302,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3512976,https://static.inaturalist.org/photos/5366690/medium.jpeg?1477710932,,211714,ART
Sciaphilus asperatus,"(Bonsdorff, 1785)",,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,exotic,unlisted,new 2016,observed,,,,,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3516432,https://static.inaturalist.org/photos/4095336/medium.jpg?1466812766,,200015,ART
Sciopithes obscurus,,,obscure root weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,,,new 2019,observed,,,,,,2019-05-03,Scott Gilmore,https://www.inaturalist.org/observations/24732966,https://static.inaturalist.org/photos/38248118/medium.jpeg?1557244506,,366563,ART
Sthereus horridus,,,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,,,new 2019,observed,,,,,,2019-05-04,Scott Gilmore,https://www.inaturalist.org/observations/26071998,https://static.inaturalist.org/photos/40449736/medium.jpeg?1559240439,,361533,ART
Strophosoma melanogrammum,"(Forster, 1771)",,weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,exotic,unlisted,new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6203491,https://static.inaturalist.org/photos/7789054/medium.jpeg?1494737950,,231837,ART
Acilius abbreviatus,"Aubé, 1838",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,native,SNR,reported,unobserved,1987-03-29,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-02044,,,,,,,212321,ART
Agabus anthracinus,"Mannerheim, 1852",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,native,SNR,reported,unobserved,1984-09-01,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-02395,,,,,,,212593,ART
Colymbetes densus,"LeConte, 1959",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,native,SNR,reported,unobserved,?,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24007,,,,,,,217479,ART
Desmopachria convexa,"(Aube, 1838)",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,native,SNR,reported,unobserved,1984-09-02,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24015,,,,,,,218285,ART
Hydroporus longiusculus,"Gemminger & Harold, 1868",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,native,SNR,reported,unobserved,1975-04-16,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24044,,,,,,,221667,ART
Hydroporus striola,"(Gyllenhal, 1826)",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,native,SNR,reported,unobserved,1984-03-05,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24055,,,,,,,221685,ART
Laccornis pacificus,"Leech, 1940",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,native,SNR,reported,unobserved,1979-04-14,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24091,,,,,,,222575,ART
Rhantus consimilis,"Motschulsky, 1859",,predatory aquatic beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,,native,SNR,reported,unobserved,1984-03-05,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-24110,,,,,,,229889,ART
Agriotes lineatus,"Linnaeus, 1767",,lined click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,exotic,unlisted,new 2017,observed,,,,,,2017-05-26,Ayla Malcolm,https://www.inaturalist.org/observations/6482385,https://static.inaturalist.org/photos/8199160/medium.jpeg?1496515224,,456217,ART
Agriotes sparsus,"LeConte, 1884",,western wireworm,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,native,SU (2017),new 2017,observed,,,,,,2017-05-14,Scott Gilmore,https://www.inaturalist.org/observations/8925810,https://static.inaturalist.org/photos/12020869/medium.jpeg?1511583823,,456220,ART
Agriotes thevenetii,"G. Horn, 1872",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,native,SU (2017),new 2018,observed,,,,,,2018-05-20,Scott Gilmore,https://www.inaturalist.org/observations/12958127,https://static.inaturalist.org/photos/18836336/medium.jpeg?1527700726,,456223,ART
Ampedus atripennis,"(Schaeffer, 1916)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,native,unlisted,new 2018,observed,,,,,,2018-05-20,Scott Gilmore,https://www.inaturalist.org/observations/12958124,https://static.inaturalist.org/photos/18836319/medium.jpeg?1527700710,,486514,ART
Ampedus behrensi,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,,,new 2018,observed,,,,,,2018-05-20,Scott Gilmore,https://www.inaturalist.org/observations/20946469,https://static.inaturalist.org/photos/32335223/medium.jpeg?1551717740,,456226,ART
Ampedus rhodopus,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,,,new 2019,observed,,,,,,2019-05-04,Scott Gilmore,https://www.inaturalist.org/observations/26071962,https://static.inaturalist.org/photos/40449628/medium.jpeg?1559240380,,456234,ART
Athous imitans,"Fall, 1910",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,native,S4S5 (2017),new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6337895,https://static.inaturalist.org/photos/7986552/medium.jpeg?1495578497,,456245,ART
Cardiophorus sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Cardiophorinae,,,new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6333087,https://static.inaturalist.org/photos/7979046/medium.jpeg?1495551360,,87231,ART
Corymbitodes sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,,new 2019,observed,,,,,,2019-05-04,Scott Gilmore,https://www.inaturalist.org/observations/27516536,https://static.inaturalist.org/photos/42820789/medium.jpeg?1561312898,,320978,ART
Ctenicera angularis,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,,new 2019,observed,,,,,,2019-05-04,Scott Gilmore,https://www.inaturalist.org/observations/26071983,https://static.inaturalist.org/photos/40449688/medium.jpeg?1559240416,,456282,ART
Dalopius corvinus,"Brown, 1934",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,native,SU (2017),new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/8930330,https://static.inaturalist.org/photos/12028494/original.jpeg?1511634443,,456297,ART
Dalopius tristis,"Brown, 1934",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,native,SU (2017),new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6337900,https://static.inaturalist.org/photos/7986567/medium.jpeg?1495578534,,456308,ART
Danosoma brevicorne,"(LeConte, 1853)",,short-horned click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Agrypninae,native,SU (2017),new 2018,observed,,,,,,2018-04-27,Sarah Tweedale,https://www.inaturalist.org/observations/11540332,https://static.inaturalist.org/photos/16476261/medium.jpg?1524863945,,218133,ART
Hadromorphus sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,,new 2018,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6337894,https://static.inaturalist.org/photos/7986531/medium.jpeg?1495578455,,452442,ART
Idolus columbiana,"Brown, 1933",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,native,unlisted,new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6241728,https://static.inaturalist.org/photos/7845727/medium.jpeg?1494980568,,456346,ART
Lacon sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Agrypninae,,,reported,unobserved,1980-05-18,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-30276,,,,,,,177576,ART
Limonius californicus,"(Mannerheim, 1843)",,sugarbeet click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,native,SU (2017),new 2017,observed,,,,,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6337897,https://static.inaturalist.org/photos/7986560/medium.jpeg?1495578513,,322897,ART
Megapenthes nigriventris,"LeConte, 1884",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,native,SU (2017),new 2018,observed,,,,,,2018-05-20,Scott Gilmore,https://www.inaturalist.org/observations/12958624,https://static.inaturalist.org/photos/18837406/medium.jpeg?1527701831,,456375,ART
Megapenthes sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,,,new 2018,observed,,,,,,2018-07-15,Andrew Simon,https://www.inaturalist.org/observations/36932279,https://static.inaturalist.org/photos/58461052/original.jpeg?1577249319,Megapenthes caprella or stigmosus. The distinction between the two species is not all that clear. (SG),,ART
Melanotus longulus oregonensis,"(LeConte, 1853)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,native,SU (2017),new 2018,observed,,,,,,2018-05-20,Scott Gilmore,https://www.inaturalist.org/observations/12722510,https://static.inaturalist.org/photos/18425130/medium.jpeg?1527026906,,456378,ART
Melanotus sp.,,,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Elaterinae,,,new 2018,observed,,,,,,2018-05-14,Andrew Simon,https://www.inaturalist.org/observations/29010521,https://static.inaturalist.org/photos/45254508/medium.jpeg?1563387783,,177077,ART
Prosternon bombycinum,"(Germar, 1843)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,native,SU (2017),confirmed,observed,1972-05-14,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-30240,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6223421,https://static.inaturalist.org/photos/7818439/medium.jpeg?1494871086,,456412,ART
Pseudanostirus nebraskensis,,,propelling click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,,new 2018,observed,,,,,,2018-05-19,Scott Gilmore,https://www.inaturalist.org/observations/12944164,https://static.inaturalist.org/photos/18811987/medium.jpeg?1527649251,,456421,ART
Pseudanostirus propolus columbianus,"(Brown, 1935)",,propelling click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,native,SU (2017),confirmed,observed,1981-04-18,Sydney G. Cannings,SEM,SEM-UBC COL-30247,,2018-05-20,Scott Gilmore,https://www.inaturalist.org/observations/12958123,https://static.inaturalist.org/photos/18836305/medium.jpeg?1527700694,Reported as Pseudanostirus propolus,456424,ART
Pseudanostirus pudicus,,,propelling click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,,new 2017,observed,,,,,,2017-05-14,Scott Gilmore,https://www.inaturalist.org/observations/6231372,https://static.inaturalist.org/photos/7830975/medium.jpeg?1494907754,,456427,ART
Pseudanostirus triundulatus,"(Randall, 1838)",,three-spotted click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,native,SU (2017),new 2018,observed,,,,,,2018-05-19,Scott Gilmore,https://www.inaturalist.org/observations/12944164,https://static.inaturalist.org/photos/18811987/medium.jpeg?1527649251,,451173,ART
Selatosomus lateralis,"(LeConte, 1853)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,native,SU (2017),new 2018,observed,,,,,,2018-05-19,Scott Gilmore,https://www.inaturalist.org/observations/12722946,https://static.inaturalist.org/photos/18425804/medium.jpeg?1527027741,,456434,ART
Selatosomus nigricans,"(Germar, 1844)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,native,SU (2017),new 2016,observed,,,,,,2016-09-12,Andrew Simon,http://www.inaturalist.org/observations/4308475,https://static.inaturalist.org/photos/5174675/medium.jpg?1476059837,,456437,ART
Selatosomus suckleyi,"(LeConte, 1957)",,click beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,native,SU (2017),confirmed,observed,1973-04-22,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-30266,,2017-05-13,Scott Gilmore,https://www.inaturalist.org/observations/6207627,https://static.inaturalist.org/photos/7795632/medium.jpeg?1494781692,,456441,ART
Gyrinus bifarius,"Fall, 1922",,whirligig beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Gyrinidae,Gyrininae,native,S4S5 (2017),new 2017,observed,,,,,,2017-05-14,Scott Gilmore,https://www.inaturalist.org/observations/6346257,https://static.inaturalist.org/photos/7999338/medium.jpeg?1495643186,,220770,ART
Gyrinus picipes,"Aubé, 1838",,whirligig beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Gyrinidae,Gyrininae,native,S5 (2017),reported,unobserved,1984-05-15,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-01509,,,,,,,220785,ART
Paromalus mancus,,,clown beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Histeroidea,Histeridae,Dendrophilinae,,,new 2019,observed,,,,,,2019-05-04,Charlene Wood,https://www.inaturalist.org/observations/32816042,https://static.inaturalist.org/photos/51497682/medium.jpg?1568608113,,456599,ART
Anacaena lutescens,"(Stephens, 1829)",,water scavenger beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Hydrophiloidea,Hydrophilidae,,native,SNR,reported,unobserved,1972-03-18,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-29365,,,,,,,456647,ART
Helophorus lacustris,"LeConte, 1850",,water scavenger beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Hydrophiloidea,Hydrophilidae,,native,S4S5 (2017),reported,unobserved,1984-03-18,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-29426,,,,,,,221132,ART
Helophorus ledatus,"Orchymont, 1945",,water scavenger beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Hydrophiloidea,Hydrophilidae,,native,SU (2017),reported,unobserved,1975-04-16,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-29428,,,,,,,456681,ART
Brachypterus sp.,,,pollen beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Kateretidae,,,,new 2017,unobserved,2017-05-27,Joel Gibson & H. Choong,RBCM,ENT017-002267,,,,,,,173287,ART
Ellychnia corrusca complex,"Linnaeus, 1767",,diurnal firefly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Lampyridae,Lampyrinae,native,SNR,reported,unobserved,1985-05-19,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-31659,,,,,,,125627,ART
Ellychnia facula,"LeConte, 1857",,diurnal firefly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Lampyridae,Lampyrinae,native,SNR,reported,unobserved,1981-02-22,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-31811,,,,,,,334498,ART
Ellychnia hatchi,"Fender in Hatch, 1962",,diurnal firefly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Lampyridae,Lampyrinae,native,SNR,confirmed,observed,1985-06-02,Geoffrey G.E. Scudder,SEM,SEM-UBC COL-31868,,2017-05-28,Andrew Simon,https://www.inaturalist.org/observations/6409665,https://static.inaturalist.org/photos/8086824/medium.jpeg?1496017159,,320483,ART
