Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name,iNaturalist taxon name,iNaturalist taxon ID,Observation count
Pollenia angustigena,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Polleniidae,Polleniinae,,Pollenia,,,,,,,,,,,Pollenia angustigena,701293,1
Pollenia rudis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Polleniidae,Polleniinae,,Pollenia,,,,,,,,,,common cluster-fly,Pollenia rudis,337416,1
Pollenia sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Polleniidae,Polleniinae,,Pollenia,,,,,,,,,,,Pollenia,133825,1
Pollenia vagabunda,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Polleniidae,Polleniinae,,Pollenia,,,,,,,,,,blow fly,Pollenia vagabunda,448298,1
Protophormia terraenovae,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,Chrysomyinae,,Protophormia,,,,,,,,,,blow fly,Protophormia terraenovae,490429,1
Chamaemyia sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Lauxanioidea,Chamaemyiidae,,,Chamaemyia,,,,,,,,,,,Chamaemyia,203271,1
Thalassosmittia marina,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Chironomoidea,Chironomidae,,,Thalassosmittia,,,,,,,,,,,Thalassosmittia marina,826343,1
Myopa rubida,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Sciomyzoidea,Conopidae,Myopinae,,Myopa,,,,,,,,,,,Myopa rubida,465577,1
Aedes aloponotum,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,Aedini,Aedes,,,,,,,,,,mosquito,Aedes aloponotum,458895,1
Aedes fitchii,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,Aedini,Aedes,,,,,,,,,,mosquito,Aedes fitchii,212525,1
Aedes sierrensis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,Aedini,Aedes,,,,,,,,,,mosquito,Aedes sierrensis,335732,1
Aedes togoi,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,Aedini,Ochlerotatus,,,,,,,,,,mosquito,Ochlerotatus togoi,774500,1
Culex tarsalis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,Culicini,Culex,,,,,,,,,,mosquito,Culex tarsalis,259078,1
Culiseta incidens,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,,Culiseta,,,,,,,,,,mosquito,Culiseta incidens,259109,1
Ochlerotatus aloponotum,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,Aedini,Ochlerotatus,,,,,,,,,,mosquito,Ochlerotatus aloponotum,498496,1
Ochlerotatus campestris,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,Aedini,Ochlerotatus,,,,,,,,,,mosquito,Ochlerotatus campestris,294238,1
Oedoparena glauca,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Sciomyzoidea,Dryomyzidae,,,Oedoparena,,,,,,,,,,,Oedoparena glauca,490559,1
Empis sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Empidoidea,Empididae,Empidinae,,Empis,,,,,,,,,,,Empis,52517,1
Hilara sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Empidoidea,Empididae,Empidinae,,Hilara,,,,,,,,,,,Hilara,374103,1
Rhamphomyia sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Empidoidea,Empididae,Empidinae,,Rhamphomyia,,,,,,,,,,,Rhamphomyia,248293,1
Leptopsilopa varipes,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Ephydroidea,Ephydridae,Discomyzinae,Psilopini,Leptopsilopa,,,,,,,,,,shore fly,Leptopsilopa varipes,498417,1
Ochthera sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Ephydroidea,Ephydridae,,,Ochthera,,,,,,,,,,,Ochthera,132236,1
Lipoptena depressa,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Hippoboscoidea,Hippoboscidae,,,Lipoptena,,,,,,,,,,Western American deer ked,Lipoptena depressa,469988,1
Oedalea sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Empidoidea,Hybotidae,Oedaleinae,,Oedalea,,,,,,,,,,dance fly,Oedalea,498413,1
Orfelia sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Sciaroidea,Keroplatidae,Keroplatinae,Orfeliini,Orfelia,,,,,,,,,,,Orfelia,155140,1
Rymosia sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Sciaroidea,Mycetophilidae,Mycetophilinae,Exechiini,Rymosia,,,,,,,,,,,Rymosia,211702,1
Cuterebra fontinella grisea,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Oestridae,Cuterebrinae,,Cuterebra,,,,,,,,,,,Cuterebra fontinella grisea,751508,1
Toxonevra muliebris,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tephritoidea,Pallopteridae,,,Toxonevra,,,,,,,,,,,Toxonevra muliebris,795146,1
Pedicia sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Tipuloidea,Pediciidae,Pediciinae,,Pedicia,,,,,,,,,,pedeciid crane fly,Pedicia,70403,1
Megaselia sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Platypezoidea,Phoridae,Metopininae,,Megaselia,,,,,,,,,,,Megaselia,123837,1
Rhagio sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Rhagionoidea,Rhagionidae,,,Rhagio,,,,,,,,,,,Rhagio,60471,1
Symphoromyia sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Rhagionoidea,Rhagionidae,,,Symphoromyia,,,,,,,,,,snipe fly,Symphoromyia,371977,1
Prosimulium sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Chironomoidea,Simuliidae,,,Prosimulium,,,,,,,,,,,Prosimulium,211990,1
Simulium sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Chironomoidea,Simuliidae,,,Simulium,,,,,,,,,,,Simulium,63165,1
Baccha elongata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Bacchini,Baccha,,,,,,,,,,hover fly,Baccha elongata,125659,1
Blera nigra,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Blera,,,,,,,,,,drone fly,Blera nigra,498425,1
Brachypalpus amithaon,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Brachypalpus,,,,,,,,,,drone fly,Brachypalpus amithaon,498428,1
Criorhina coquilletti,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Criorhina,,,,,,,,,,hover fly,Criorhina coquilletti,498433,1
Criorhina nigripes,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Criorhina,,,,,,,,,,mousy fly,Criorhina nigripes,498434,1
Dasysyrphus sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Dasysyrphus,,,,,,,,,,,Dasysyrphus,346004,1
Eristalis obscura,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalis,,,,,,,,,,,Eristalis obscura,499539,1
Eristalis tenax,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalis,,,,,,,,,,drone fly,Eristalis tenax,55719,1
Eupeodes fumipennis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Eupeodes,,,,,,,,,,bird hover fly,Eupeodes fumipennis,493594,1
Eupeodes volucris,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Eupeodes,,,,,,,,,,bird hover fly,Eupeodes volucris,322357,1
Ferdinandea croesus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Rhingiini,Ferdinandea,,,,,,,,,,drone fly,Ferdinandea croesus,473926,1
Hadromyia crawfordi,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Hadromyia,,,,,,,,,,hover fly,Hadromyia crawfordi,498421,1
Hadromyia grandis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Hadromyia,,,,,,,,,,hover fly,Hadromyia grandis,498419,1
Hadromyia pulcher,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Hadromyia,,,,,,,,,,hover fly,Hadromyia pulcher,498486,1
Helophilus fasciatus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Helophilus,,,,,,,,,,narrow-headed sun fly,Helophilus fasciatus,119561,1
Lapposyrphus lapponicus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Lapposyrphus,,,,,,,,,,,Lapposyrphus lapponicus,428810,1
Melanostoma mellinum,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Bacchini,Melanostoma,,,,,,,,,,hover fly,Melanostoma mellinum,324344,1
Meliscaeva cinctella,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Meliscaeva,,,,,,,,,,hover fly,Meliscaeva cinctella,342901,1
Platycheirus stegnus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Bacchini,Platycheirus,,,,,,,,,,hover fly,Platycheirus stegnus,498410,1
Pyritis kincaidii,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Pyritis,,,,,,,,,,hover fly,Pyritis kincaidii,498407,1
Sericomyia chalcopyga,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Sericomyia,,,,,,,,,,drone fly,Sericomyia chalcopyga,68132,1
Sphaerophoria sulphuripes,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,,,,,,,,,,hover fly,Sphaerophoria sulphuripes,129893,1
Sphecomyia pattonii,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Sphecomyia,,,,,,,,,,drone fly,Sphecomyia pattonii,498403,1
Spilomyia citima,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Spilomyia,,,,,,,,,,drone fly,Spilomyia citima,498402,1
Toxomerus marginatus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Toxomerini,Toxomerus,,,,,,,,,,margined calligrapher,Toxomerus marginatus,126889,1
Toxomerus occidentalis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Toxomerini,Toxomerus,,,,,,,,,,hover fly,Toxomerus occidentalis,58752,1
Volucella sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Volucellini,Volucella,,,,,,,,,,,Volucella,52481,1
Xylota barbata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Xylota,,,,,,,,,,drone fly,Xylota barbata,498390,1
Xylota quadrimaculata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Xylota,,,,,,,,,,drone fly,Xylota quadrimaculata,491512,1
Chrysops furcatus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Chrysopsinae,,Chrysops,,,,,,,,,,deer fly,Chrysops furcatus,216869,1
Chrysops proclivis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Chrysopsinae,,Chrysops,,,,,,,,,,deer fly,Chrysops proclivis,216882,1
Hybomitra aasa,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Tabaninae,Tabanini,Hybomitra,,,,,,,,,,horse fly,Hybomitra aasa,221525,1
Hybomitra affinis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Tabaninae,Tabanini,Hybomitra,,,,,,,,,,horse fly,Hybomitra affinis,221527,1
Hybomitra astuta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Tabaninae,Tabanini,Hybomitra,,,,,,,,,,horse fly,Hybomitra astuta,221530,1
Hybomitra atrobasis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Tabaninae,Tabanini,Hybomitra,,,,,,,,,,horse fly,Hybomitra atrobasis,221531,1
Hybomitra californica,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Tabaninae,Tabanini,Hybomitra,,,,,,,,,,horse fly,Hybomitra californica,221534,1
Hybomitra captonis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Tabaninae,Tabanini,Hybomitra,,,,,,,,,,horse fly,Hybomitra captonis,221535,1
Hybomitra epistates,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Tabaninae,Tabanini,Hybomitra,,,,,,,,,,horse fly,Hybomitra epistates,133637,1
Hybomitra sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tabanoidea,Tabanidae,Tabaninae,Tabanini,Hybomitra,,,,,,,,,,horse fly,Hybomitra,133638,1
Billaea sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Tachinidae,Dexiinae,Dexiini,Billaea,,,,,,,,,,tachinid,Billaea,321741,1
Gymnosoma sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Tachinidae,Phasiinae,Gymnosomatini,Gymnosoma,,,,,,,,,,,Gymnosoma,154311,1
Tephritis araneosa,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tephritoidea,Tephritidae,Tephritinae,Tephritini,Tephritis,,,,,,,,,,,Tephritis araneosa,335768,1
Pandivirilia conspicua,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Therevidae,Therevinae,,Pandivirilia,,,,,,,,,,stiletto fly,Pandivirilia conspicua,294457,1
Phoroctenia vittata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Tipuloidea,Tipulidae,Ctenophorinae,,Phoroctenia,,,,,,,,,,crane fly,Phoroctenia vittata,491863,1
Tipula sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Tipuloidea,Tipulidae,Tipulinae,,Tipula,,,,,,,,,,,Tipula,548112,1
Elasmostethus cruciatus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Acanthosomatidae,Acanthosomatinae,,Elasmostethus,,,,,,,,,,red-cross shield bug,Elasmostethus cruciatus,130508,1
Elasmucha lateralis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Acanthosomatidae,Acanthosomatinae,,Elasmucha,,,,,,,,,,,Elasmucha lateralis,325588,1
Alydus calcaratus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Coreoidea,Alydidae,Alydinae,,Alydus,,,,,,,,,,true bug,Alydus calcaratus,453774,1
Megalotomus quinquespinosus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Coreoidea,Alydidae,Alydinae,,Megalotomus,,,,,,,,,,lupine bug,Megalotomus quinquespinosus,327623,1
Tollius curtulus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Coreoidea,Alydidae,Alydinae,,Tollius,,,,,,,,,,broad-headed bug,Tollius curtulus,467973,1
Anthocoris antevolens,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Cimicoidea,Anthocoridae,Anthocorinae,Anthocorini,Anthocoris,,,,,,,,,,minute pirate bug,Anthocoris antevolens,498349,1
Orius tristicolor,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Cimicoidea,Anthocoridae,Anthocorinae,Oriini,Orius,,,,,,,,,,minute pirate bug,Orius tristicolor,330094,1
Orius vicinus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Cimicoidea,Anthocoridae,Anthocorinae,Oriini,Orius,,,,,,,,,,minute pirate bug,Orius vicinus,464426,1
Xylocoris californicus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Cimicoidea,Anthocoridae,Anthocorinae,Xylocorini,Xylocoris,,,,,,,,,,minute pirate bug,Xylocoris californicus,498391,1
Neophilaenus lineatus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Cercopoidea,Aphrophoridae,Aphrophorinae,Philaenini,Neophilaenus,,,,,,,,,,lined spittle bug,Neophilaenus lineatus,203336,1
Philaenus spumarius,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Cercopoidea,Aphrophoridae,Aphrophorinae,Philaenini,Philaenus,,,,,,,,,,meadow spittlebug,Philaenus spumarius,56189,1
Aradus fuscomaculatus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Aradoidea,Aradidae,,,Aradus,,,,,,,,,,flat bug,Aradus fuscomaculatus,498352,1
Lethocerus americanus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Nepoidea,Belostomatidae,Lethocerinae,,Lethocerus,,,,,,,,,,giant water bug,Lethocerus americanus,81572,1
Jalysus wickhami,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Berytidae,Metacanthinae,,Jalysus,,,,,,,,,,stilt bug,Jalysus wickhami,416821,1
Neoneides muticus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Berytidae,Berytinae,,Neoneides,,,,,,,,,,stilt bug,Neoneides muticus,60039,1
Anoscopus albiger,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Aphrodinae,Aphrodini,Anoscopus,,,,,,,,,,,Anoscopus albiger,213731,1
Colladonus arctostaphyli,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Deltocephalinae,Athysanini,Colladonus,,,,,,,,,,,Colladonus arctostaphyli,787517,1
Empoasca sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Typhlocybinae,Empoascini,Empoasca,,,,,,,,,,,Empoasca,518476,1
Okanagana rimosa,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Cicadoidea,Cicadidae,Tibicininae,Tibicinini,Okanagana,,,,,,,,,,cicada,Okanagana rimosa,176579,1
Coriomeris insularis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Coreoidea,Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,,,,,,,,,,,Coriomeris insularis,217596,1
Leptoglossus occidentalis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Coreoidea,Coreidae,Coreinae,Anisoscelini,Leptoglossus,,,,,,,,,,western conifer seed bug,Leptoglossus occidentalis,67771,1
Callicorixa vulnerata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Corixoidea,Corixidae,Corixinae,Corixini,Callicorixa,,,,,,,,,,water boatman,Callicorixa vulnerata,498430,1
Corisella inscripta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Corixoidea,Corixidae,Corixinae,Corixini,Corisella,,,,,,,,,,water boatman,Corisella inscripta,498432,1
Hesperocorixa atopodonta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Corixoidea,Corixidae,Corixinae,Corixini,Hesperocorixa,,,,,,,,,,water boatman,Hesperocorixa atopodonta,221231,1
Hesperocorixa laevigata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Corixoidea,Corixidae,Corixinae,Corixini,Hesperocorixa,,,,,,,,,,water boatman,Hesperocorixa laevigata,221236,1
Cymus luridus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Cymidae,,,Cymus,,,,,,,,,,true bug,Cymus luridus,453839,1
Delphacodes lutulentella,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Fulgoroidea,Delphacidae,Delphacinae,Delphacini,Delphacodes,,,,,,,,,,planthopper,Delphacodes lutulentella,498435,1
Nothodelphax consimilis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Fulgoroidea,Delphacidae,Delphacinae,Delphacini,Nothodelphax,,,,,,,,,,delphacid planthopper,Nothodelphax consimilis,500961,1
Nothodelphax occlusa,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Fulgoroidea,Delphacidae,Delphacinae,Delphacini,Nothodelphax,,,,,,,,,,delphacid planthopper,Nothodelphax occlusa,498415,1
Omolicna sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Fulgoroidea,Derbidae,Derbinae,Cenchreini,Omolicna,,,,,,,,,,,Omolicna,340042,1
Aquarius remigis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Gerroidea,Gerridae,Gerrinae,Gerrini,Aquarius,,,,,,,,,,common water strider,Aquarius remigis,59651,1
Gerris buenoi,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Gerroidea,Gerridae,Gerrinae,Gerrini,Gerris,,,,,,,,,,water strider,Gerris buenoi,220375,1
Gerris incognitus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Gerroidea,Gerridae,Gerrinae,Gerrini,Gerris,,,,,,,,,,water strider,Gerris incognitus,209850,1
Gerris incurvatus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Gerroidea,Gerridae,Gerrinae,Gerrini,Gerris,,,,,,,,,,water strider,Gerris incurvatus,878056,1
Limnoporus notabilis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Gerroidea,Gerridae,Gerrinae,Gerrini,Limnoporus,,,,,,,,,,water strider,Limnoporus notabilis,366934,1
Kleidocerys resedae fuscomaculatus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,Ischnorhynchinae,,Kleidocerys,,,,,,,,,,,Kleidocerys resedae fuscomaculatus,555944,1
Lygaeus kalmii,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Lygaeidae,Lygaeinae,,Lygaeus,,,,,,,,,,small milkweed bug,Lygaeus kalmii,62045,1
Platycotis vittata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Membracoidea,Membracidae,Membracinae,Hoplophorionini,Platycotis,,,,,,,,,,oak tree hopper,Platycotis vittata,48679,1
Mesovelia mulsanti,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Mesovelioidea,Mesoveliidae,,,Mesovelia,,,,,,,,,,water treader,Mesovelia mulsanti,224954,1
Deraeocoris sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Miroidea,Miridae,Deraeocorinae,Deraeocorini,Deraeocoris,,,,,,,,,,plant bug,Deraeocoris,173953,1
