Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Aequorea victoria s.lat.,"(Murbach and Shearer, 1902)",,water jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,,confirmed,observed,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,2017-05-30,Karolle Wall,https://www.inaturalist.org/observations/7647290,https://static.inaturalist.org/photos/10005489/medium.jpg?1503684773,,325995,"Andy et al. report Aequorea sp.; Wyatt Patry, Senior Aquarist at the Monterey Bay Aquarium, reports that A. victoria is our native species, named nearby; whereas A. forskalea is native to Europe or the East Coast.  Sarah Abboud's recent molecular analysis of all the Aequorea on the west coast showed they belonged to a 'victoria' clade with many potential species/sub-species within. This is a species complex, though Sarah has not published or renamed anything. Claudia's website has all the literature listed."
Aglaophenia sp.,,,ostrich-plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Aglaopheniidae,,,,reported,unobserved,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Clytia gregaria,"(A. Agassiz, 1862)",,gregarious jellyfish,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNI 1900-1132,,,,,,,,Reported as Phialidium gregarium in CMN collections
Obelia sp.,,,wine-glass hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,,reported,unobserved,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Orthopyxis sp.,,,spider web hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,,reported,unobserved,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Rhizocaulus verticillatus,"(Linnaeus, 1758)",,horse-tail hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,,reported,unobserved,2008-03-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Eutonina indicans,"(Romanes, 1876)",,aggregating jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Eirenidae,,,,reported,unobserved,1996-05-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Halecium beani,"(Johnston, 1838)",,candalabrum hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Haleciidae,,,,reported,unobserved,2010-04-18,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Halecium densum,"Calkins, 1899",,dense bushy hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Haleciidae,,,,reported,unobserved,2006-06-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Grammaria sp.,,,spindly embedded hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Lafoeidae,,,,reported,unobserved,2009-04-13,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
