iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Date observed,Description,Common name,Recorded by,Captive/Cultivated,Quality grade,coordinateUncertaintyInMeters
Rhizocarpon,117899,Rhizocarpon,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,,Rhizocarpaceae,,,Rhizocarpon,,iNat:32140745,49.681575,-123.145828,2019-05-30T14:15:00-07:00,,,Jason Headley,false,needs_id,5
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:32185370,49.946193,-123.065365,2019-08-25T11:39:00-07:00,,,Kelly Fretwell,false,needs_id,
Hypomyces lactifluorum,48215,Hypomyces lactifluorum,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,,Hypocreaceae,,,Hypomyces,lactifluorum,iNat:32307737,49.372487,-123.348593,2019-09-07T16:24:41-07:00,,,Nick Page,false,research,48
Hypomyces,48246,Hypomyces,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,,Hypocreaceae,,,Hypomyces,,iNat:32379969,49.406416,-123.20866,2019-09-08T09:30:32-07:00,,,Ben Keen,false,needs_id,526
Evernia prunastri,123175,Evernia prunastri,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Evernia,prunastri,iNat:32483880,49.728798,-123.132419,2019-09-10T11:52:46-07:00,,,Kai H,false,research,10
Lecanoromycetes,54743,Lecanoromycetes,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,,,,,,,,,,,,iNat:32484360,49.728944,-123.132058,2019-09-10T12:00:16-07:00,,,Rikki Logan,false,needs_id,87
Peltigera neopolydactyla,147374,Peltigera neopolydactyla,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,neopolydactyla,iNat:32712473,49.694929,-123.096198,2012-06-02,,,judith holm,false,research,1375
Hypomyces lactifluorum,48215,Hypomyces lactifluorum,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,,Hypocreaceae,,,Hypomyces,lactifluorum,iNat:32796197,49.39955,-123.455044,2019-07-12T12:08:00-07:00,,,Tiny Tina,false,research,698
Chlorociboria aeruginascens,122329,Chlorociboria aeruginascens,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Chlorociboriaceae,,,Chlorociboria,aeruginascens,iNat:32835369,49.818262,-123.130417,2019-09-15T16:26:10-07:00,,,Caitlin Robinson,false,needs_id,32
Parmelia squarrosa,125728,Parmelia squarrosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Parmelia,squarrosa,iNat:33079336,49.699028,-123.163957,2019-09-20T10:34:31-07:00,,,Kai H,false,needs_id,10
Usnea,67747,Usnea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Usnea,,iNat:33082284,49.699185,-123.163935,2019-09-20T11:05:33-07:00,,,Kai H,false,needs_id,22
Evernia prunastri,123175,Evernia prunastri,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Evernia,prunastri,iNat:33082312,49.699167,-123.163889,2019-09-20T11:07:53-07:00,,,Kai H,false,research,5
Parmelioideae,1094690,Parmelioideae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,,,iNat:33101446,49.431755,-123.476303,2019-09-20T16:29:13-07:00,,,Aaron Thomas,false,needs_id,
Hypomyces lactifluorum,48215,Hypomyces lactifluorum,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,,Hypocreaceae,,,Hypomyces,lactifluorum,iNat:33246009,49.416583,-123.48458,2019-09-18T12:32:52-07:00,,,Nicola Rammell,false,research,3510
Hypomyces lactifluorum,48215,Hypomyces lactifluorum,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,,Hypocreaceae,,,Hypomyces,lactifluorum,iNat:33350540,49.788341,-123.135875,2019-09-24T18:58:07-07:00,,,Chris Sullivan,false,research,12
Usnea longissima,122681,Usnea longissima,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Usnea,longissima,iNat:33353556,49.699028,-123.09603,2019-09-24T10:46:31-07:00,,,,false,research,64
Hypogymnia,117988,Hypogymnia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Hypogymnia,,iNat:33405606,49.707731,-123.136813,2019-09-23,,,judith holm,false,needs_id,42
Cladonia portentosa pacifica,340879,Cladonia portentosa pacifica,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,portentosa,iNat:33410749,49.707694,-123.136018,2019-09-23,,,judith holm,false,needs_id,21
Calycina citrina,955949,Calycina citrina,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Pezizellaceae,,,Calycina,citrina,iNat:33462951,49.391884,-123.371185,2019-09-26T17:41:34-07:00,,,Ben Keen,false,research,
Cladonia macilenta,117950,Cladonia macilenta,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,macilenta,iNat:33632128,49.7088,-123.129311,2019-09-25T09:49:53-07:00,,,,false,needs_id,3001
Aleuria aurantia,48716,Aleuria aurantia,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Pyronemataceae,,,Aleuria,aurantia,iNat:33681604,49.381302,-123.33918,2019-09-30T18:01:21-07:00,,,Ben Keen,false,needs_id,
Cladonia chlorophaea,49488,Cladonia chlorophaea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,chlorophaea,iNat:33775284,49.708714,-123.133852,2019-10-02T11:29:00-07:00,,,judith holm,false,research,31
Platismatia glauca,117874,Platismatia glauca,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Platismatia,glauca,iNat:33776148,49.709514,-123.133156,2019-10-02T11:40:00-07:00,,,judith holm,false,research,31
Parmotrema arnoldii,123349,Parmotrema arnoldii,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Parmotrema,arnoldii,iNat:33776649,49.709096,-123.132991,2019-10-02T11:48:00-07:00,,,judith holm,false,needs_id,61
Peltigera neopolydactyla,147374,Peltigera neopolydactyla,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,neopolydactyla,iNat:33777842,49.709624,-123.133403,2019-10-02T11:56:00-07:00,,,judith holm,false,research,61
Hypomyces lactifluorum,48215,Hypomyces lactifluorum,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,,Hypocreaceae,,,Hypomyces,lactifluorum,iNat:33865990,49.721328,-123.087495,2019-09-27T12:26:24-07:00,,,Erin Galloway,false,research,16
Calycina citrina,955949,Calycina citrina,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Pezizellaceae,,,Calycina,citrina,iNat:33917093,49.388073,-123.373955,2019-10-05T13:38:58-07:00,,,Ben Keen,false,needs_id,
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:33919528,49.388721,-123.367645,2019-10-05T12:31:50-07:00,,,Ben Keen,false,needs_id,
Aleuria aurantia,48716,Aleuria aurantia,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Pyronemataceae,,,Aleuria,aurantia,iNat:33920435,49.388721,-123.367645,2019-10-05T11:16:10-07:00,,,Ben Keen,false,research,
Xylaria polymorpha,58698,Xylaria polymorpha,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,,Xylariaceae,,,Xylaria,polymorpha,iNat:33930970,49.720066,-123.096047,2019-10-05T13:27:00-07:00,,,judith holm,false,research,31
Peltigera degenii,179748,Peltigera degenii,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,degenii,iNat:33975141,49.400394,-123.209737,2019-10-06T13:27:14-07:00,,,Glen Bodie,false,needs_id,24
Helvella vespertina,423950,Helvella vespertina,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Helvellaceae,,,Helvella,vespertina,iNat:33987944,49.356752,-123.23905,2019-10-06T14:56:46-07:00,,,Rhiannon Fox,false,research,1341
Cudoniaceae,175087,Cudoniaceae,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,,Cudoniaceae,,,,,iNat:34042308,49.830138,-123.138207,2019-10-06T11:32:00-07:00,,,judith holm,false,needs_id,61
Lecanora,50252,Lecanora,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Lecanoraceae,,,Lecanora,,iNat:34048465,49.826401,-123.138701,2019-10-06T11:49:00-07:00,,,judith holm,false,needs_id,122
Chrysothrix,117942,Chrysothrix,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,,Chrysothricaceae,,,Chrysothrix,,iNat:34050555,49.822857,-123.138035,2019-10-06T10:18:00-07:00,,,judith holm,false,needs_id,244
Lepraria,154184,Lepraria,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Stereocaulaceae,,,Lepraria,,iNat:34102635,49.821231,-123.13504,2019-10-06T10:18:00-07:00,,,judith holm,false,needs_id,807
Hypogymnia,117988,Hypogymnia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Hypogymnia,,iNat:34147188,49.824518,-123.138164,2019-10-06T11:01:00-07:00,,,judith holm,false,needs_id,122
Cladonia chlorophaea,49488,Cladonia chlorophaea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,chlorophaea,iNat:34230076,49.696884,-123.13047,2019-10-11T13:19:18-07:00,,,Jamie Hargreaves,false,needs_id,
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:34230137,49.696884,-123.13047,2019-10-11T13:18:12-07:00,,,Jamie Hargreaves,false,needs_id,
Cladonia coniocraea,155093,Cladonia coniocraea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,coniocraea,iNat:34230153,49.696865,-123.130798,2019-10-11T13:20:14-07:00,,,Jamie Hargreaves,false,needs_id,
Calycina citrina,955949,Calycina citrina,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Pezizellaceae,,,Calycina,citrina,iNat:34273607,49.384895,-123.372391,2019-10-12T14:18:51-07:00,,,Ben Keen,false,research,
Gyromitra infula,117994,Gyromitra infula,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Discinaceae,,,Gyromitra,infula,iNat:34273998,49.400148,-123.205868,2019-10-06T11:43:00-07:00,,,John Martin,false,research,
Ascocoryne sarcoides,49075,Ascocoryne sarcoides,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Gelatinodiscaceae,,,Ascocoryne,sarcoides,iNat:34284150,49.400967,-123.210492,2019-10-06T13:21:00-07:00,,,John Martin,false,research,
Peltigera,54294,Peltigera,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,,iNat:34325139,49.353085,-123.239136,2019-10-13T12:51:36-07:00,,,Ben Keen,false,needs_id,
Usnea,67747,Usnea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Usnea,,iNat:34507036,49.737796,-123.099175,2019-10-17T10:44:13-07:00,,,Annah McCurry,false,needs_id,48
Evernia prunastri,123175,Evernia prunastri,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Evernia,prunastri,iNat:34507039,49.737839,-123.097646,2019-10-17T10:44:34-07:00,,,Annah McCurry,false,research,8
Usnea,67747,Usnea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Usnea,,iNat:34507044,49.737798,-123.097679,2019-10-17T10:45:24-07:00,,,Annah McCurry,false,needs_id,8
Peltigera,54294,Peltigera,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,,iNat:34548976,49.739,-123.099902,2019-10-18T12:12:04-07:00,,,,false,needs_id,87
Peziza varia,411300,Peziza varia,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Pezizaceae,,,Peziza,varia,iNat:34595704,49.372581,-123.363319,2019-10-19T10:42:39-07:00,,,Ben Keen,false,needs_id,
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:34649784,49.399226,-123.211983,2019-10-19T15:05:17-07:00,,,Larissa Bron,false,needs_id,119
Xylariales,48805,Xylariales,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,,,,,,,iNat:34663487,49.382416,-123.403679,2019-10-20T15:23:21-07:00,,,Ben Keen,false,needs_id,
Xylaria hypoxylon,55267,Xylaria hypoxylon,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,,Xylariaceae,,,Xylaria,hypoxylon,iNat:34664114,49.380821,-123.4049,2019-10-20T14:53:29-07:00,,,Ben Keen,false,research,
Calycina citrina,955949,Calycina citrina,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Pezizellaceae,,,Calycina,citrina,iNat:34664230,49.380791,-123.405144,2019-10-20T14:49:35-07:00,,,Ben Keen,false,research,
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:34714607,49.332253,-123.262548,2019-10-19T15:24:00-07:00,,,John Martin,false,needs_id,
Chlorociboria,54595,Chlorociboria,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Chlorociboriaceae,,,Chlorociboria,,iNat:34744820,49.738135,-123.096794,2019-10-22T10:46:14-07:00,,,,false,needs_id,64
Ascocoryne sarcoides,49075,Ascocoryne sarcoides,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Gelatinodiscaceae,,,Ascocoryne,sarcoides,iNat:34758012,49.400938,-123.20979,2019-10-06T12:20:00-07:00,,,,false,research,
Gyromitra infula,117994,Gyromitra infula,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Discinaceae,,,Gyromitra,infula,iNat:34758899,49.399973,-123.205525,2019-10-06T10:41:00-07:00,,,,false,research,
Cladonia bellidiflora,123391,Cladonia bellidiflora,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,bellidiflora,iNat:34815917,49.401483,-123.209772,2019-10-06T11:58:00-07:00,,,,false,research,
Icmadophila ericetorum,119695,Icmadophila ericetorum,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,,Icmadophilaceae,,,Icmadophila,ericetorum,iNat:34816068,49.401493,-123.209763,2019-10-06T11:58:00-07:00,,,,false,research,
Ascocoryne,49072,Ascocoryne,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Gelatinodiscaceae,,,Ascocoryne,,iNat:34982814,49.884025,-123.185305,2019-10-27T14:24:41-07:00,,,,false,needs_id,10
Platismatia,117886,Platismatia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Platismatia,,iNat:34983612,49.353455,-123.236801,2019-10-27T14:14:06-07:00,,,,false,needs_id,32
Aleuria aurantia,48716,Aleuria aurantia,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Pyronemataceae,,,Aleuria,aurantia,iNat:35027910,49.372161,-123.3747,2019-10-28T11:49:14-07:00,,,,false,needs_id,10
Helvella,49206,Helvella,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Helvellaceae,,,Helvella,,iNat:35033020,49.793565,-123.153115,2019-10-27T11:12:17-07:00,,,,false,needs_id,14
Ascocoryne sarcoides,49075,Ascocoryne sarcoides,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Gelatinodiscaceae,,,Ascocoryne,sarcoides,iNat:35101591,49.883773,-123.18526,2019-10-27T13:24:00-07:00,,,,false,research,
Cladonia portentosa,119666,Cladonia portentosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,portentosa,iNat:35245344,49.333724,-123.268108,2019-11-03T09:58:58+00:00,,,Trish McIntosh,false,needs_id,4
Cladonia cristatella,119669,Cladonia cristatella,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,cristatella,iNat:35272180,49.431217,-123.207664,2019-11-03T14:48:37-08:00,,,Zoë Davis,false,needs_id,20
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:35272288,49.415477,-123.207539,2019-11-03T11:45:37-08:00,,,Sam Herniman,false,needs_id,30
Ascocoryne sarcoides,49075,Ascocoryne sarcoides,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Gelatinodiscaceae,,,Ascocoryne,sarcoides,iNat:35504674,49.389507,-123.366776,2019-11-09T12:44:12-08:00,,,Ben Keen,false,research,
Helvella vespertina,423950,Helvella vespertina,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Helvellaceae,,,Helvella,vespertina,iNat:35548320,49.399414,-123.360161,2019-11-10T13:39:42-08:00,,,Ben Keen,false,research,
Parmeliaceae,54321,Parmeliaceae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,,,,,iNat:35555483,49.333464,-123.268283,2019-11-10,,,,false,needs_id,23
Kretzschmaria deusta,128051,Kretzschmaria deusta,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,,Xylariaceae,,,Kretzschmaria,deusta,iNat:35575298,49.406903,-123.465897,2019-11-11T09:40:40-08:00,,,Riley Pollom,false,needs_id,4
Peziza varia,411300,Peziza varia,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Pezizaceae,,,Peziza,varia,iNat:35584858,49.397991,-123.358795,2019-11-11T12:23:10-08:00,,,Ben Keen,false,needs_id,
Lobaria pulmonaria,48711,Lobaria pulmonaria,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Lobariaceae,,,Lobaria,pulmonaria,iNat:35588793,49.395721,-123.360229,2019-11-11T14:51:21-08:00,,,Ben Keen,false,research,
Cladonia squamosa,117963,Cladonia squamosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,squamosa,iNat:35593090,49.749823,-123.118286,2019-11-01T15:16:44-07:00,,,Gwen L'Hirondelle,false,research,
Evernia prunastri,123175,Evernia prunastri,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Evernia,prunastri,iNat:35633759,49.383297,-123.348838,2019-11-11T13:52:42+08:00,,,Nicole Lam,false,research,2102
Cladonia chlorophaea,49488,Cladonia chlorophaea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,chlorophaea,iNat:35725219,49.747186,-123.112661,2019-11-15T15:40:16-08:00,,,Gwen L'Hirondelle,false,needs_id,
Ascocoryne sarcoides,49075,Ascocoryne sarcoides,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Gelatinodiscaceae,,,Ascocoryne,sarcoides,iNat:35759270,49.395462,-123.349075,2019-11-16T14:12:41-08:00,,,Ben Keen,false,research,
Lepraria finkii,463344,Lepraria finkii,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Stereocaulaceae,,,Lepraria,finkii,iNat:35797981,49.364143,-123.386757,2019-11-17T13:32:12-08:00,,,Ben Keen,false,needs_id,
Cladonia rangiferina,119778,Cladonia rangiferina,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,rangiferina,iNat:35798632,49.379204,-123.407425,2019-11-17T15:01:51-08:00,,,Ben Keen,false,needs_id,
Peltigera britannica,119677,Peltigera britannica,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,britannica,iNat:35798656,49.378979,-123.407768,2019-11-17T15:00:17-08:00,,,Ben Keen,false,needs_id,
Helvella,49206,Helvella,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Helvellaceae,,,Helvella,,iNat:35809340,49.395687,-123.325072,2019-11-17T14:59:38-06:00,,,Tobin Sparling (he/him),false,needs_id,15
Calycina citrina,955949,Calycina citrina,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Pezizellaceae,,,Calycina,citrina,iNat:36030388,49.387665,-123.359184,2019-11-24T11:33:58-08:00,,,Ben Keen,false,research,
Morchella rufobrunnea,206090,Morchella rufobrunnea,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,,Morchellaceae,,,Morchella,rufobrunnea,iNat:36400306,49.374283,-123.345695,2019-04-15T09:10:29-07:00,,,Nick Page,false,needs_id,
Trichoderma viride,352599,Trichoderma viride,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,,Hypocreaceae,,,Trichoderma,viride,iNat:36446873,49.386547,-123.371727,2019-12-07T12:20:32-08:00,,,Ben Keen,false,needs_id,
Ascocoryne sarcoides,49075,Ascocoryne sarcoides,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,,Gelatinodiscaceae,,,Ascocoryne,sarcoides,iNat:36447001,49.388,-123.372665,2019-12-07T11:55:23-08:00,,,Ben Keen,false,research,
Cladonia rangiferina,119778,Cladonia rangiferina,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,rangiferina,iNat:36545880,49.690897,-123.126513,2019-12-10T13:33:40-08:00,,,Maddie Beange,false,needs_id,15
Icmadophila ericetorum,119695,Icmadophila ericetorum,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,,Icmadophilaceae,,,Icmadophila,ericetorum,iNat:36652275,49.379295,-123.372726,2019-12-14T11:15:17-08:00,,,Ben Keen,false,research,
Xylaria hypoxylon,55267,Xylaria hypoxylon,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,,Xylariaceae,,,Xylaria,hypoxylon,iNat:36692555,49.671017,-123.158242,2019-12-15T13:33:00-08:00,,,John D Reynolds,false,research,13
Cladonia macilenta,117950,Cladonia macilenta,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,macilenta,iNat:36692557,49.670994,-123.159539,2019-12-15T13:53:00-08:00,,,John D Reynolds,false,needs_id,16
Cladonia squamosa,117963,Cladonia squamosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,squamosa,iNat:36692559,49.670475,-123.159942,2019-12-15T13:27:00-08:00,,,John D Reynolds,false,needs_id,9
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:36692561,49.670394,-123.159942,2019-12-15T13:27:00-08:00,,,John D Reynolds,false,needs_id,10
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:36692562,49.671361,-123.159378,2019-12-15T13:50:00-08:00,,,John D Reynolds,false,needs_id,8
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:36692563,49.670911,-123.159478,2019-12-15T13:53:00-08:00,,,John D Reynolds,false,needs_id,16
Cladonia macilenta,117950,Cladonia macilenta,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,macilenta,iNat:36692564,49.670903,-123.159478,2019-12-15T13:52:00-08:00,,,John D Reynolds,false,needs_id,16
