iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Author,Date observed,Place name,Recorded by
Sanguisorba officinalis,64549,Sanguisorba officinalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Agrimonieae,Sanguisorba,officinalis,HOWE:45,49.49343,-123.578566,L.,2020-07-25,,Rand Rudland
Solidago lepida,79152,Solidago lepida,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Solidago,lepida,HOWE:46,49.493922,-123.576403,DC.,2021-08-05,,pumakit
Solidago lepida,79152,Solidago lepida,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Solidago,lepida,HOWE:47,49.493145,-123.581872,DC.,2022-09-10,,Rand Rudland
Struthiopteris spicant,774894,Struthiopteris spicant,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Blechnaceae,,,Struthiopteris,spicant,HOWE:48,49.493145,-123.581872,(L.) F.W. Weiss,2022-08-20,,Rand Rudland
Veronica officinalis,129020,Veronica officinalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Veroniceae,Veronica,officinalis,HOWE:49,49.492331,-123.582184,L.,2020-07-25,,Rand Rudland
Viburnum edule,79499,Viburnum edule,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Viburnum,edule,HOWE:50,49.493145,-123.581872,(Michx.) Raf.,2022-09-18,,Rand Rudland
Anaphalis margaritacea,52833,Anaphalis margaritacea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Anaphalis,margaritacea,HOWE:51,49.483424,-123.571295,(L.) Benth. & Hook.,2020-09-13,,brianjanice
Gaultheria ovatifolia,77228,Gaultheria ovatifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Gaultherieae,Gaultheria,ovatifolia,HOWE:52,49.483106,-123.57188,A. Gray,2022-06-26,,Lyrae
Cinna latifolia,76340,Cinna latifolia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Cinna,latifolia,HOWE:53,49.55,-123.566667,(Trev. ex Goepp.) Griseb.,1979-07-28,McNair Creek Valley: Avalanche chute W side of McNair Creek Valley,C. Tay
Solidago lepida,79152,Solidago lepida,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Solidago,lepida,HOWE:54,49.503779,-123.563416,DC.,2020-11-06,,Rand Rudland
