Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Rhizophagus sculpturatus,Mannerheim,root-eating beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,,Monotomidae,,,,undocumented,1975-04-16,G.G.E. Scudder,SEM,,,,,,,ART
Epuraea aestiva,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Nitidulidae,Epuraeinae,,,new 2017,,,,2017-04-20,A. Simon,https://www.inaturalist.org/observations/5886025,https://static.inaturalist.org/photos/7336195/medium.jpg?1492763888,,219366,ART
Pityophagus rufipennis,Horn,sap-feeding beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Nitidulidae,Cryptarchinae,,,undocumented,1972-05-28,G.G.E. Scudder,SEM,,,,,,,ART
Thalycra sinuata,Howden,sap-feeding beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Nitidulidae,Nitidulinae,,,undocumented,1973-09-01,G.G.E. Scudder,SEM,,,,,,,ART
Ditylus quadricollis,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Oedemeridae,Oedemerinae,,,new 2016,,,,2016-05-31,S. Tweedale,http://inaturalist.ca/observations/3539278,https://static.inaturalist.org/photos/4125117/medium.jpg?1467132685,,361540,ART
Ptilinus basilis,LeConte,spider beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Ptinidae,Ptilininae,,,undocumented,1973-07-09,G.G.E. Scudder,SEM,,,,,,,ART
Ptinus sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Ptinidae,Ptininae,,,new 2017,,,,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6224412,https://static.inaturalist.org/photos/7820679/medium.jpeg?1494877438,,131940,ART
Clinidium calcaratum,LeConte,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Rhysodidae,,,,undocumented,1976-12-27,G.G.E. Scudder,SEM,,,,,,,ART
Anaspis sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Scraptiidae,,,,new 2016,,,,2016-06-21,A. Simon,http://www.inaturalist.org/observations/3500450,https://static.inaturalist.org/photos/4072614/medium.jpg?1466565075,,173182,ART
Nicrophorus defodiens,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Silphidae,Nicrophorinae,,,new 2017,,,,2017-05-27,S. Gilmore,https://www.inaturalist.org/observations/8215971,https://static.inaturalist.org/photos/10889007/medium.jpeg?1506916211,,69793,ART
Nicrophorus investigator,Zetterstedt,banded sexton beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Silphidae,Nicrophorinae,,,undocumented,1978-07-25,J. Scudder,SEM,,,,,,,ART
Amphichroum maculatum,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Omaliinae,,,new 2017,,,,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6223425,https://static.inaturalist.org/photos/7818442/medium.jpeg?1494871093,,457434,ART
Hypocyphalus crotchii,Horn,rove beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Anoplodermatinae,,,undocumented,1981-04-19,S.G. Cannings,SEM,,,,,,,ART
Lophioderus insignis,Marsh,rove beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Scydmaeninae,,,undocumented,1976-05-09,G.G.E. Scudder,SEM,,,,,,,ART
Oropus striatus,Casey,rove beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Pselaphinae,,,undocumented,1973-08-28,G.G.E. Scudder,SEM,,,,,,,ART
Reichenbachia binodifer,Casey,rove beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Pselaphinae,,,undocumented,1990-04-07,G.G.E. Scudder,SEM,,,,,,,ART
Staphylinus aeneocephalus,DeG,rove beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Staphylininae,,,undocumented,1977-10-27,G.G.E. Scudder,SEM,,,,,,,ART
Staphylinus rutilicauda,Horn,rove beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Staphylininae,,,undocumented,1977-04-24,G.G.E. Scudder,SEM,,,,,,,ART
Tachyporus dispar,(Paykull),rove beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Staphylinidae,Tachyporinae,,,undocumented,1983-04-30,G.G.E. Scudder,SEM,,,,,,,ART
Eleodes sp.,,desert stink beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,Tenebrioninae,,,new 2016,,,,2016-09-01,A. Simon,http://www.inaturalist.org/observations/4016849,https://static.inaturalist.org/photos/4745057/medium.jpg?1472818152,,53817,ART
Helops laetus,?,darkling beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,Tenebrioninae,,,undocumented,1977-04-24,G.G.E. Scudder,SEM,,,,,,,ART
Helops pernitens,?,darkling beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,Tenebrioninae,,,undocumented,1986-03-16,J. Scudder,SEM,,,,,,,ART
Helops sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,Tenebrioninae,,,new 2017,,,,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6337891,https://static.inaturalist.org/photos/7986536/medium.jpeg?1495578463,,177921,ART
Iphthiminus serratus,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,Stenochiinae,,,new 2017,,,,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6217386,https://static.inaturalist.org/photos/7810597/medium.jpeg?1494824386,,177661,ART
Isomira comstocki,,Comstock’s comb-clawed beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,Alleculinae,,,documented,1991-06-14,G.G.E. Scudder,SEM,2016-06-21,A. Simon,http://www.inaturalist.org/observations/3500438,https://static.inaturalist.org/photos/4072590/medium.jpg?1466564878,,,ART
Trachypachus holmbergi,Mannerheim,false ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Trachypachidae,,,,undocumented,1980-06-14,G.G.E. Scudder,SEM,,,,,,,ART
Trox scaber,(Linnaeus),hide beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Trogidae,,,,undocumented,1973-07-17,G.G.E. Scudder,SEM,,,,,,,ART
Eronyxa pallida,(Motschulsky),bark-gnawing beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cleroidea,Trogossitidae,Lophocaterinae,,,documented,1986-06-01,G.G.E. Scudder,SEM,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6223426,https://static.inaturalist.org/photos/7818447/medium.jpeg?1494871101,,458141,ART
Ostoma pippingskoeldi,(Mannerheim),bark-gnawing beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cleroidea,Trogossitidae,Peltinae,,,undocumented,1979-10-08,J. Scudder,SEM,,,,,,,ART
Temnochila chlorodia,(Mannerheim),pine trogossitid,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cleroidea,Trogossitidae,Trogossitinae,,,undocumented,1975-10-13,G.G.E. Scudder,SEM,,,,,,,ART
Phellopsis porcata,(LeConte),,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Zopheridae,,,,undocumented,1973-05-21,G.G.E. Scudder,SEM,,,,,,,ART
Anisolabis maritima,(Bonelli),,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Dermaptera,,,Anisolabididae,,,,undocumented,1984-08-02,J. Scudder,SEM,,,,,,,ART
Forficula auricularia,Linnaeus,common earwig,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Dermaptera,,,Forficularidae,,,,documented,1997-07-24,G.G.E. Scudder,SEM,2016-06-21,J. Magner,http://inaturalist.ca/observations/3498599,https://static.inaturalist.org/photos/4069775/medium.jpeg?1466540902,,61524,ART
Fucellia fucorum,(Fallen),seaweed fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Muscoidea,Anthomylidae,,,,undocumented,1982-03-28,G.G.E. Scudder,SEM,,,,,,,ART
Eudioctria sackeni,Williston,robbery fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Asiloidea,Asilidae,,,,undocumented,1986-07-20,G.G.E. Scudder,SEM,,,,,,,ART
Laphria asackeni,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Asiloidea,Asilidae,,,,undocumented,1976-08-28,Geoffrey Scudder,RBCM,,,,,,,ART
Laphria fernaldi,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Asiloidea,Asilidae,,,,undocumented,1980-07-08,Geoffrey Scudder,RBCM,,,,,,,ART
Laphria sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Asiloidea,Asilidae,,,,undocumented,1980-07-12,Geoffrey Scudder,RBCM,,,,,,,ART
Laphria ventralis,Williston,bee-like robber fly,Animalia,Arthropoda,Hexapoda,,insecta,Pterygota,,Diptera,,Asiloidea,Asilidae,,,,undocumented,1983-08-20,G.G.E. Scudder,SEM,,,,,,,ART
Neomochtherus willistoni,(Hine),,Animalia,Arthropoda,Hexapoda,,insecta,Pterygota,,Diptera,,Asiloidea,Asilidae,,,,undocumented,1983-08-14,J. Skudder,SEM,,,,,,,ART
Scleropogon bradleyi,(Bromley),,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Asiloidea,Asilidae,,,,undocumented,1990-08-01,S.G. Cannings,SEM,,,,,,,ART
Bibio sp.,,Saint Mark's fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionoidea,Bibionidae,,,,new 2017,,,,2017-05-14,S. Gilmore,https://www.inaturalist.org/observations/6223675,https://static.inaturalist.org/photos/7819145/medium.jpeg?1494873539,,56098,ART
Bombylius major,Linnaeus,greater bee fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Asiloidea,Bombyliidae,,,,documented,1987-03-29,G.G.E. Scudder,SEM,2016-04-09,K. Sigvardsen,http://www.inaturalist.org/observations/2926958,https://static.inaturalist.org/photos/3352555/medium.jpg?1460518448,,51557,ART
Hemipenthes sinuosa,(Wiedemann),sinuous bee fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Asiloidea,Bombyliidae,,,,undocumented,1983-08-22,G.G.E. Scudder,SEM,,,,,,,ART
Thevenetimyia luctifera,(Osten Sacken),bee fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Asiloidea,Bombyliidae,,,,undocumented,1975-07-13,G.G.E. Scudder,SEM,,,,,,,ART
Calliphora terraenovae,Macquart,blow fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,,,,undocumented,1981-06-07,G.G.E. Scudder,SEM,,,,,,,ART
Calliphora vomitoria,(Linneaus),blow fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,,,,undocumented,1986-05-03,G.G.E. Scudder,SEM,,,,,,,ART
Eucalliphora latifrons,(Hough),blow fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,,,,undocumented,1990-08-01,S.G. Cannings,SEM,,,,,,,ART
Lucilia illustris,(Meigen),green bottle fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,,,,undocumented,1982-08-14,G.G.E. Scudder,SEM,,,,,,,ART
Phormia regina,(Meigen),blow fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,,,,undocumented,1990-08-01,S.G. Cannings,SEM,,,,,,,ART
Pollenia rudis,(Fabricius),common cluster-fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,,,,undocumented,1981-10-03,G.G.E. Scudder,SEM,,,,,,,ART
Pollenia sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,,,,documented,,,,2016-03-06,A. Simon,http://www.inaturalist.org/observations/2780418,https://static.inaturalist.org/photos/3151324/medium.jpg?1457936170,,133825,ART
Pollenia vagabunda,(Meigen),blow fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,,,,undocumented,1980-05-11,G.G.E. Scudder,SEM,,,,,,,ART
Protophormia terraenovae,(Robineau-Desvoidy),blow fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,,,,undocumented,1986-02-09,G.G.E. Scudder,SEM,,,,,,,ART
Aedes aloponotum,Dyar,mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,undocumented,1981-06-20,G.G.E. Scudder,SEM,,,,,,,ART
Aedes fitchii,(Felt & Young),mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,undocumented,1981-06-21,G.G.E. Scudder,SEM,,,,,,,ART
Aedes sierrensis,(Ludlow),mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,undocumented,1981-06-21,G.G.E. Scudder,SEM,,,,,,,ART
Aedes togoi,Theobald,mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,undocumented,1981-06-21,G.G.E. Scudder,SEM,,,,,,,ART
Culex tarsalis,Coquillett,mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,undocumented,1971-06-15,G.G.E. Scudder,SEM,,,,,,,ART
Culiseta incidens,(Thomson),mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,undocumented,1983-05-01,G.G.E. Scudder,SEM,,,,,,,ART
Ochlerotatus aloponotum,Dyar,mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,undocumented,1981-06-21,G.G.E. Scudder,SEM,,,,,,,ART
Ochlerotatus campestris,Dyar & Knab,mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,undocumented,1981-06-21,G.G.E. Scudder,SEM,,,,,,,ART
Ochlerotatus dorsalis,(Meigen),mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,undocumented,1990-09-02,G.G.E. Scudder,SEM,,,,,,,ART
Leptopsilopa varipes,(Coquillett),shore fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Ephydroidea,Ephydridae,,,,undocumented,1981-04-18,S.G. Cannings,SEM,,,,,,,ART
Ochthera sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Ephydroidea,Ephydridae,,,,new 2016,,,,2016-07-13,A. Simon,http://www.inaturalist.org/observations/3680868,https://static.inaturalist.org/photos/4266278/medium.jpg?1468561138,,132236,ART
Oedalea sp.,,dance fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Empidoidea,Hybotidae,,,,undocumented,1974-06-23,G.G.E. Scudder,SEM,,,,,,,ART
Geomyza lurida,(Loew),,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Opomyzoidea,Opomyzidae,,,,undocumented,1990-05-01,G.G.E. Scudder,SEM,,,,,,,ART
Pedicia sp.,,pedeciid crane fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Tipuloidea,Pediciidae,,,,undocumented,1980-04-04,G.G.E. Scudder,SEM,,,,,,,ART
Rhagio sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Rhagionoidea,Rhagionidae,,,,new 2017,,,,2017-05-14,S. Gilmore,https://www.inaturalist.org/observations/6231214,https://static.inaturalist.org/photos/7830740/medium.jpeg?1494907005,,60471,ART
Symphoromyia sp.,,snipe fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Rhagionoidea,Rhagionidae,,,,undocumented,1984-07-29,G.G.E. Scudder,SEM,,,,,,,ART
Baccha elongata,(Fabricius),hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,documented,1987-10-11,N.C. Scudder,SEM,2017-05-18,A. Simon,https://www.inaturalist.org/observations/8858929,https://static.inaturalist.org/photos/11908355/medium.jpeg?1511077613,,125659,ART
Blera nigra,(Williston),drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1979-04-29,G.G.E. Scudder,SEM,,,,,,,ART
Brachypalpus amithaon,Walker,drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1986-05-03,J. Scudder,SEM,,,,,,,ART
Criorhina coquilletti,Williston,hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1980-07-11,N.C. Scudder,SEM,,,,,,,ART
Criorhina nigripes,(Williston),mousy fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1986-07-16,G.G.E. Scudder,SEM,,,,,,,ART
Dasysyrphus sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,new 2017,,,,2017-05-27,L. Avis,https://www.inaturalist.org/observations/6460179,https://static.inaturalist.org/photos/8166240/medium.jpg?1496356531,,346004,ART
Eristalis anthophorinus,(Fallen),drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1983-06-12,G.G.E. Scudder,SEM,,,,,,,ART
Eristalis obscura,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,new 2017,,,,2017-05-27,L. Avis,https://www.inaturalist.org/observations/6460183,https://static.inaturalist.org/photos/8166260/medium.jpg?1496356569,,499539,ART
Eristalis sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,new 2017,,,,2017-05-27,L. Avis,https://www.inaturalist.org/observations/6460183,,,,ART
Eristalis tenax,(Linnaeus),drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1980-10-13,G.G.E. Scudder,SEM,,,,,,,ART
Eupeodes fumipennis,Thomson,bird hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,new 2016,,,,2014-06-22,I. Guthrie,http://www.inaturalist.org/observations/4170139,https://static.inaturalist.org/photos/4965484/medium.jpg?1474507829,,493594,ART
Eupeodes volucris,Osten Sacken,bird hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1985-05-19,G.G.E. Scudder,SEM,,,,,,,ART
Ferdinandea croesus,(Osten Sacken),drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1984-07-19,G.G.E. Scudder,SEM,,,,,,,ART
Hadromyia crawfordi,(Shannon),hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1980-05-11,G.G.E. Scudder,SEM,,,,,,,ART
Hadromyia grandis,Williston,hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1983-08-14,N.C. Scudder,SEM,,,,,,,ART
Hadromyia pulcher,(Williston),hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1987-08-01,G.G.E. Scudder,SEM,,,,,,,ART
Melanostoma mellinum,(Linnaeus),hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,documented,1983-08-19,G.G.E. Scudder,SEM,2015-08-04,A. Simon,http://www.inaturalist.org/observations/1838789,https://static.inaturalist.org/photos/2233689/medium.jpg?1438897063,,324344,ART
Meliscaeva cinctella,(Zetterstedt),hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,undocumented,1981-04-19,S.G. Cannings,SEM,,,,,,,ART
Platycheirus stegnus,(Say),hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,undocumented,1980-10-13,G.G.E. Scudder,SEM,,,,,,,ART
Pyritis kincaidii,(Coquillett),hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1982-04-09,G.G.E. Scudder,SEM,,,,,,,ART
Scaeva pyrastri,,holarctic pied hoverfly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,new 2017,,,,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6333093,https://static.inaturalist.org/photos/7979053/medium.jpeg?1495551367,,52160,ART
Sericomyia chalcopyga,Loew,drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1989-09-09,G.G.E. Scudder,SEM,,,,,,,ART
Sphaerophoria sulphuripes,(Thomson),hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,undocumented,1980-10-12,G.G.E. Scudder,SEM,,,,,,,ART
Sphecomyia pattonii,Williston,drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1978-05-20,G.G.E. Scudder,SEM,,,,,,,ART
Spilomyia citima,Vockeroth,drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1986-09-02,J. Scudder,SEM,,,,,,,ART
Toxomerus marginatus,(Say),margined calligrapher,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,documented,1986-07-13,G.G.E. Scudder,SEM,2014-06-22,I. Guthrie,http://www.inaturalist.org/observations/4169936,https://static.inaturalist.org/photos/4965222/medium.jpg?1474506762,,126889,ART
Toxomerus occidentalis,Curran,hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,documented,1987-04-19,G.G.E. Scudder,SEM,2016-05-06,C. King,https://www.inaturalist.org/observations/8533264,https://static.inaturalist.org/photos/11397188/medium.jpeg?1508868294,,58752,ART
Xylota barbata,Loew,drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1984-07-28,G.G.E. Scudder,SEM,,,,,,,ART
Xylota quadrimaculata,Loew,drone fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Eristalinae,,,undocumented,1978-07-02,G.G.E. Scudder,SEM,,,,,,,ART
Chrysops furcatus,Walker,deer fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Tabanoidea,Tabanidae,,,,undocumented,1982-07-10,N.C. Scudder,SEM,,,,,,,ART
Chrysops proclivis,Osten Sacken,deer fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Tabanoidea,Tabanidae,,,,undocumented,1979-06-24,G.G.E. Scudder,SEM,,,,,,,ART
Hybomitra aasa,Philip,horse fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Tabanoidea,Tabanidae,,,,undocumented,1979-06-25,N.C. Scudder,SEM,,,,,,,ART
Hybomitra affinis,(Kirby),horse fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Tabanoidea,Tabanidae,,,,undocumented,1975-08-14,G.G.E. Scudder,SEM,,,,,,,ART
Hybomitra astuta,(Osten Sacken),horse fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,Tabanoidea,Tabanidae,,,,undocumented,1973-07-17,G.G.E. Scudder,SEM,,,,,,,ART
