Taxon,Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,First.Observed,Observer,iNaturalist.Link,iNaturalist.Photo,Notes,ID,Stats.Code,Critical Notes A.L.&D.G.
Sebastes emphaeus,"(Starks, 1911)",Puget Sound rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,Scorpaenoidei,,Sebastidae,Sebastinae,,,confirmed,observed,16/08/1993,Andy Lamb & Donna Gibbs,PMLS,,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854781,https://static.inaturalist.org/photos/3257132/medium.jpg?1459384258,,64468,FIS,
Sebastes flavidus,"(Ayres, 1862)",yellowtail rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,Scorpaenoidei,,Sebastidae,Sebastinae,,,reported,unobserved,21/08/1971,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,FIS,
Sebastes maliger,"(Jordan & Gilbert, 1880)",quillback rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,Scorpaenoidei,,Sebastidae,Sebastinae,,,confirmed,observed,08/06/1982,C. E. Kasserra,CMN,CMNFI 1985-0086.2,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763497,https://static.inaturalist.org/photos/3127787/medium.jpg?1457578777,,63386,FIS,
Sebastes melanops,"Girard, 1856",black rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,Scorpaenoidei,,Sebastidae,Sebastinae,,,reported,unobserved,16/08/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,FIS,
Sebastes nigrocinctus,"Ayres, 1859",tiger rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,Scorpaenoidei,,Sebastidae,Sebastinae,,,reported,unobserved,21/08/1971,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,FIS,
Sebastes ruberrimus,"(Cramer, 1895)",yellow-eye rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,Scorpaenoidei,,Sebastidae,Sebastinae,,,confirmed,observed,08/06/1982,C. E. Kasserra,CMN,CMNFI 1985-0086.1,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854164,https://static.inaturalist.org/photos/3256011/medium.jpg?1459375796,,63695,FIS,
Syngnathus leptorhynchus,"Girard, 1854",bay pipefish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Syngnathiformes,,,Syngnathidae,Syngnathinae,,,confirmed,observed,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,03/07/2016,Paz Touchburn,http://www.inaturalist.org/observations/3612908,https://static.inaturalist.org/photos/4172035/medium.JPG?1467577966,,54538,FIS,
Clavelina huntsmani,"Van Name, 1931",light-bulb tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Clavelinidae,,,,reported,unobserved,24/02/1995,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Pycnoclavella stanleyi,"Berrill & Abbott, 1949",yellow social ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Clavelinidae,,,,reported,unobserved,16/08/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Didemnum carnulentum,"Ritter & Forsyth, 1917",Pacific white crust,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,,reported,unobserved,29/07/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Didemnum sp.,,white glove leather,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,,reported,unobserved,16/08/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,Didemnum/Trididemnum complex; requires review; confer with Gretchen Lambert,,MAR,
Didemnum sp.,,wrinkled sea mat,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,,new 2016,observed,,,,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2976349,https://static.inaturalist.org/photos/3420624/medium.jpg?1461099539,Didemnum/Trididemnum complex; requires review; confer with Gretchen Lambert,55512,MAR,
Didemnum vexillum,"Kott, 2002",carpet sea squirt,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,,reported,unobserved,23/10/2013,Andy Lamb & Donna Gibbs,PMLS,,,,,,Requires review; confer with Gretchen Lambert,,MAR,
Diplosoma listerianum,"(Milne-Edwards, 1841)",gray encrusting compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,,reported,unobserved,31/07/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Trididemnum alexi,"Lambert, 2003",speckled compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Distaplia occidentalis,"Bancroft, 1899",mushroom compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Holozoidae,,,,reported,unobserved,31/05/1981,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Cystodytes lobatus,"(Ritter, 1900)",lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,,,reported,unobserved,09/05/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Eudistoma molle,"(Ritter, 1900)",red-dotted compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polycitoridae,,,,reported,unobserved,10/09/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Aplidium californicum,"(Ritter & Forsyth, 1917)",California sea pork,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,,,reported,unobserved,07/10/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Aplidium solidum,"(Ritter & Forsyth, 1917)",red ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,,,reported,unobserved,29/07/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Synoicum parfustis,"(Ritter & Forsyth, 1917)",peach-coloured compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,,,reported,unobserved,31/07/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Eudistoma purpuropunctatum,"Lambert, 1989",mauve lobed compound tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Enterogona,,,Polycitoridae,,,,confirmed,observed,12/11/2008,Andy Lamb & Donna Gibbs,PMLS,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2976065,https://static.inaturalist.org/photos/3420229/medium.jpg?1461098012,,492675,MAR,
Ascidia columbiana,"(Huntsman, 1912)",sea blisters,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,,,reported,unobserved,18/11/2011,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Ascidia paratropa,"(Huntsman, 1912)",glassy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,,,reported,unobserved,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Ciona savignyi,"Herdman, 1882",sea vase,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Cionidae,,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Chelyosoma productum,"Stimpson, 1864",disc-top tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,,,reported,unobserved,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Corella inflata,"Huntsman, 1912",brooding transparent tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,,,reported,unobserved,31/07/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Corella sp.,,tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,,,new 2017,observed,,,,,18/05/2017,Andrew Simon,https://www.inaturalist.org/observations/6298908,https://static.inaturalist.org/photos/7930227/medium.jpeg?1495351124,,347993,MAR,
Corella willmeriana,"Herdman, 1898",transparent tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,,,reported,unobserved,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Perophora annectens,"Ritter, 1893",yellow social tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Perophoridae,,,,reported,unobserved,29/07/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Boltenia villosa,"(Stimpson, 1864)",hairy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Pyuridae,,,,confirmed,observed,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854899,https://static.inaturalist.org/photos/3257040/medium.jpg?1459383044,,194568,MAR,
Halocynthia igaboja,"Oka, 1906",bristly tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Pyuridae,,,,confirmed,observed,26/02/1994,Andy Lamb & Donna Gibbs,PMLS,,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854905,https://static.inaturalist.org/photos/3257048/medium.jpg?1459383148,,428524,MAR,
Cnemidocarpa finmarkiensis,"(Kiaer, 1893)",broadbase tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Styelidae,,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,24/07/2013,Karolle Wall,http://www.inaturalist.org/observations/4015210,https://static.inaturalist.org/photos/3420358/medium.jpg?1461098569,,47807,MAR,
Styela montereyensis,"(Dall, 1872)",stalked tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Styelidae,,,,new 2016,observed,,,,,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854893,https://static.inaturalist.org/photos/3257032/medium.jpg?1459382963,,333922,MAR,
Molgula pacifica,"(Huntsman, 1912)",globular ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Molgulidae,,,,reported,unobserved,16/08/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Bathypera feminalba,"Young & Vazquez, 1995",tiny white tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,,reported,unobserved,04/04/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Halocynthia aurantium,"(Pallas, 1787)",Pacific sea peach,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,,reported,unobserved,26/02/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Pyura haustor,"(Stimpson, 1864)",warty tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,,reported,unobserved,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Pyura mirabilis,"(Von Drasche, 1884)",Aladdin's lamp tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,,reported,unobserved,23/10/2013,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Botrylloides violaceus,"Oka, 1927",lined compound ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,,reported,unobserved,14/10/2007,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Metandrocarpa taylori,"Huntsman, 1912",orange social tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,,reported,unobserved,29/07/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Styela gibbsii,"Stimpson, 1864",brown tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,,reported,unobserved,29/07/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Hydrolagus colliei,"(Lay & Bennett, 1839)",spotted ratfish,Animalia,Chordata,Vertebrata,,Chondrichthyes,Holocephali,,Chimaeriformes,,,Chimaeridae,,,,reported,unobserved,21/08/1971,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,FIS,
Beringraja binoculata,"Girard, 1855",big skate,Animalia,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,,Rajiformes,,,Rajidae,Rajinae,,,reported,unobserved,23/02/1995,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,FIS,
Beringraja rhina,"Jordan & Gilbert, 1880",longnose skate,Animalia,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,,Rajiformes,,,Rajidae,Rajinae,,,reported,unobserved,12/11/2010,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,FIS,
Squalus suckleyi,"(Girard, 1855)",North Pacific spiny dogfish shark,Animalia,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,Squalomorphi,Squaliformes,,,Squalidae,,,,confirmed,observed,08/06/1982,C. E. Kasserra,CMN,CMNFI 1985-0086.5,14/08/2017,Tyson Ehlers,https://www.inaturalist.org/observations/8898612,https://static.inaturalist.org/photos/11974205/medium.jpeg?1511380177,Reported as Squalus acanthias,201523,FIS,
Lontra canadensis,"Schreber, 1777",North American river otter,Animalia,Chordata,Vertebrata,,Mammalia,Boreosphenida,,Carnivora,Caniformia,,Mustelidae,Lutrinae,native,S5 (2015),confirmed,observed,,Kent Brothers,VMS,,04/09/2006,Shera Street,http://www.inaturalist.org/observations/2635258,https://static.inaturalist.org/photos/2954368/large.png?1454297748,,41777,MAM,
Eumetopias jubatus,"(Schreber, 1776)",Steller sea lion,Animalia,Chordata,Vertebrata,,Mammalia,Boreosphenida,,Carnivora,Pinnipedia,,Otariidae,,native,"S3B,S4N (2013) ",confirmed,observed,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,22/12/2016,Lauren Magner & Andrew Simon,https://www.inaturalist.org/observations/4833811,https://static.inaturalist.org/photos/5866662/medium.jpg?1482468472,,41755,MAM,
Zalophus californianus,"(Lesson, 1828)",California sea lion,Animalia,Chordata,Vertebrata,,Mammalia,Boreosphenida,,Carnivora,Pinnipedia,,Otariidae,,native,S5N (2006),new 2016,observed,,,,,27/05/2016,Chessi Miltner,http://www.inaturalist.org/observations/3598720,https://static.inaturalist.org/photos/4166404/medium.jpg?1467511675,,41740,MAM,
Phoca vitulina richardii,"Linnaeus, 1758",Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,Boreosphenida,,Carnivora,Pinnipedia,,Phocidae,,native,S5 (2006),confirmed,observed,24/02/1995,Andy Lamb & Donna Gibbs,PMLS,,12/02/2015,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2565228,https://static.inaturalist.org/photos/2858978/medium.png?1452288198,,41708,MAM,
Megaptera novaeangliae,"(Borowski, 1781)",humpback whale,Animalia,Chordata,Vertebrata,,Mammalia,Boreosphenida,,Cetartiodactyla,Cetacea,Balaenopteroidea,Balaenopteridae,,native,S3 (2006),new 2017,observed,,,,,06/06/2017,Andrew Simon,http://inaturalist.ca/observations/6532303,https://static.inaturalist.org/photos/8276707/medium.jpg?1496815103,,41566,MAM,
Orcinus orca,"(Linnaeus, 1758)",orca (southern resident population),Animalia,Chordata,Vertebrata,,Mammalia,Boreosphenida,,Cetartiodactyla,Cetacea,Delphinoidea,Delphinidae,,native,S1 (2011),new 2017,observed,,,,,26/06/2011,Kris Krüg,http://inaturalist.ca/observations/3291897,https://static.inaturalist.org/photos/3805149/medium.jpg?1464115606,,41521,MAM,
Anthopleura artemisia,"(Pickering in Dana, 1846)",burrowing anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,confirmed,observed,29/09/1996,Andy Lamb & Donna Gibbs,PMLS,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2976378,https://static.inaturalist.org/photos/3421025/medium.jpg?1461100891,,51658,JEL,
Anthopleura elegantissima,"(Brandt, 1835)",pink-tipped anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,confirmed,observed,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,13/10/2013,Bridgit Spencer,http://www.inaturalist.org/observations/3328198,https://static.inaturalist.org/photos/3844714/large.jpg?1464490840,,52564,JEL,
Cribrinopsis rubens,"Sanamyan, Sanamyan, McDaniel, Martynov, Korshunova & Bocharova, 2019",crimson anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,reported,unobserved,21/08/1971,Andy Lamb & Donna Gibbs,PMLS,,,,,,"Reported as Cribrinopsis fernaldi; based on available evidence so far it appears this name is misapplied in the region; this report tentatively refers to the newly described taxon Cribrinopsis rubens Sanamyan, Sanamyan, McDaniel, Martynov, Korshunova & Bocharova, 2019.",,JEL,
Epiactis lisbethae,"Fautin & Chia, 1986",brooding anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,reported,unobserved,31/07/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Epiactis prolifera,"Verrill, 1869",proliferating anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,reported,unobserved,20/09/1973,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Urticina clandestina,"(Cuvier, 1798)",stubby rose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,reported,unobserved,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Urticina coriacea,"(Cuvier, 1798)",stubby rose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,new 2016,observed,,,,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763403,https://static.inaturalist.org/photos/3127639/medium.jpg?1457577398,,122038,JEL,
Urticina crassicornis,"(Müller, 1776)",Christmas anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,new 2016,observed,,,,,08/05/2016,Karolle Wall,http://www.inaturalist.org/observations/3706034,https://static.inaturalist.org/photos/4303411/medium.jpg?1468965737,,127236,JEL,
Urticina grebelnyi,"(O.F. Môller, 1776)",painted anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,confirmed,observed,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2975837,https://static.inaturalist.org/photos/3419900/medium.jpg?1461096606,,492672,JEL,
Stomphia coccinea,"(O.F. Môller, 1776)",spotted swimming anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinostoloidea,Actinostolidae,,,,reported,unobserved,04/04/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Stomphia didemon,"Siebert, 1973",swimming anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinostoloidea,Actinostolidae,,,,reported,unobserved,21/08/1971,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Diadumene lineata,"(Verrill, 1869)",striped green sea anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Diadumenidae,,,,new 2018,observed,,,,,05/08/2018,Kristian Sigvardsen,https://www.inaturalist.org/observations/15156184,https://static.inaturalist.org/photos/22659175/medium.jpg?1533521228,,81783,JEL,
Halcampa decemtentaculata,"Hand, 1955",ten-tentacled burrowing anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Halcampidae,,,,reported,unobserved,21/06/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Peachia quinquecapitata,"McMurrich, 1913",jelly-dwelling anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Haloclavidae,,,,reported,unobserved,23/06/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Metridium farcimen,"(Brandt, 1835)",giant plumose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,,,reported,unobserved,21/09/1973,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Metridium senile,"(Linnaeus, 1761)",short plumose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,,,reported,unobserved,02/08/1968,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Metridium sp.,,anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,,,new 2017,observed,,,,,30/04/2017,Andrew Simon,https://www.inaturalist.org/observations/6047558,https://static.inaturalist.org/photos/7577726/medium.jpeg?1493700336,,49069,JEL,
Alcyonium sp.,,orange soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,"Dr. Gary Williams is still grappling with the official naming of this species; ""both the 'Gulf Island soft coral' and the 'Race Rocks/Browning Passage/Weynton Passage soft coral' are in the genus Alcyonium. But they are genetically different and await sorting out taxonomically."" (Neil McDaniel pers. comm. 2019)",,JEL,
Discophyton rudyi,"de Blainville, 1830",white soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,,,reported,unobserved,24/02/1995,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Thrombophyton trachydermum,"de Blainville, 1830",pale soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,,,reported,unobserved,30/01/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Scleronephthya sp.,,cauliflower coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Nephtheidae,,,,new 2016,observed,,,,,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854918,https://static.inaturalist.org/photos/3257063/medium.jpg?1459383294,,418133,JEL,
Pachycerianthus fimbriatus,"McMurrich, 1910",tube-dwelling anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Ceriantharia,,,Cerianthidae,,,,confirmed,observed,20/09/1973,Andy Lamb & Donna Gibbs,PMLS,,05/07/2016,Karolle Wall,http://www.inaturalist.org/observations/4052594,https://static.inaturalist.org/photos/4799740/medium.jpg?1473210888,,47702,JEL,
Halipteris willemoesi,"K_lliker, 1870",sea whip,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Halipteridae,,,,reported,unobserved,09/12/2007,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Ptilosarcus gurneyi,"(Gray, 1860)",orange sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Pennatulidae,,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763461,https://static.inaturalist.org/photos/3130226/medium.jpg?1457631809,,448320,JEL,
Acanthoptilum sp.,,white sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,,,reported,observed,23/01/2016,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Stylatula sp.,,white sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,,,reported,unobserved,23/01/2016,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Virgularia schultzei,"Kükenthal, 1910",feathery sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,,,new 2016,observed,,,,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2975931,https://static.inaturalist.org/photos/3420031/medium.jpg?1461097213,,498936,JEL,
Virgularia sp.,"Lamarck, 1816",white sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,,,reported,unobserved,25/02/1995,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Caryophyllia alaskensis,"Vaughan, 1941",round tan cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Caryophylliina,,Caryophylliidae,,,,reported,unobserved,14/02/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Paracyathus stearnsii,"Verrill, 1869",brown oval cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Caryophylliina,,Caryophylliidae,,,,reported,unobserved,23/06/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Balanophyllia elegans,"Verrill, 1864",orange cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Dendrophylliina,,Dendrophylliidae,,,,reported,unobserved,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Epizoanthus scotinus,"Wood, 1958",orange zoanthid,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,Epizoanthidae,,,,reported,unobserved,31/05/1981,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Bougainvillia sp.,"Lesson, 1836",cluster-tentacled jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,,,reported,unobserved,05/10/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Garveia annulata,"Nutting, 1901",orange hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,,,reported,unobserved,23/10/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
Euphysa flammea,"(Hartlaub, 1902)",,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Corymorphidae,,,,new 2016,observed,,,,,09/05/2013,Karolle Wall,http://www.inaturalist.org/observations/4052450,https://static.inaturalist.org/photos/4799494/medium.jpg?1473208745,,465161,JEL,
Euphysa sp.,,tiny red sausage jellies,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Corymorphidae,,,,reported,unobserved,09/05/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,JEL,
